courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AAM 2000,Freedom Dreams: Intro to African American Studies,,1818 Advanced College Credit Program,,
ANTH 1210,"Humans Past, Present, and Future: Introduction to Anthropology",,1818 Advanced College Credit Program,,
ANTH 2200,Cultural Anthropology,,1818 Advanced College Credit Program,,
BIOL 1240,General Biology: Information Flow and Evolution,,1818 Advanced College Credit Program,,
BIOL 1245,Principles of Biology I Laboratory,,1818 Advanced College Credit Program,,
CHEM 1110,General Chemistry 1,,1818 Advanced College Credit Program,,
CHEM 1115,General Chemistry 1 Laboratory,,1818 Advanced College Credit Program,,
CHEM 1120,General Chemistry 2,,1818 Advanced College Credit Program,,
CHEM 1125,General Chemistry 2 Laboratory,,1818 Advanced College Credit Program,,
CHIN 1010,Elementary Chinese I: Language and Culture,,1818 Advanced College Credit Program,,
CHIN 1020,Elementary Chinese II: Language and Culture,,1818 Advanced College Credit Program,,
CHIN 2010,Intermediate Chinese I: Language and Culture,,1818 Advanced College Credit Program,,
CHIN 2020,Intermediate Chinese II: Language and Culture,,1818 Advanced College Credit Program,,
CMM 1200,Public Speaking,,1818 Advanced College Credit Program,,
CMM 2400,Media and Society,,1818 Advanced College Credit Program,,
CSCI 1010,Introduction to Computer Science: Principles,,1818 Advanced College Credit Program,,
CSCI 1020,Introduction to Computer Science: Bioinformatics,,1818 Advanced College Credit Program,,
CSCI 1300,Introduction to Object-Oriented Programming,,1818 Advanced College Credit Program,,
EAS 1080,Introduction to Environmental Science,,1818 Advanced College Credit Program,,
EAS 1081,Introduction to Environmental Science Laboratory,,1818 Advanced College Credit Program,,
EAS 1450,Introduction to Oceanography,,1818 Advanced College Credit Program,,
EDUC 1200,"Growth, Development, and Learning",,1818 Advanced College Credit Program,,
EDUC 1300,Exceptional Learners,,1818 Advanced College Credit Program,,
ENGL 1500,The Process of Composition,,1818 Advanced College Credit Program,,
ENGL 1900,Advanced Strategies of Rhetoric and Research,,1818 Advanced College Credit Program,,
ENGL 2250,"Conflict, Social Justice and Literature",,1818 Advanced College Credit Program,,
ENGL 2350,"Faith, Doubt and Literature",,1818 Advanced College Credit Program,,
ENGL 2450,"Nature, Ecology & Literature",,1818 Advanced College Credit Program,,
ENGL 2550,"Gender, Identity & Literature",,1818 Advanced College Credit Program,,
ENGL 2650,"Technology, Media & Literature",,1818 Advanced College Credit Program,,
ENGL 2750,"Film, Culture and Literature",,1818 Advanced College Credit Program,,
ENGL 2850,"Nation, Identity, and Literature",,1818 Advanced College Credit Program,,
FREN 1010,Communicating in French I,,1818 Advanced College Credit Program,,
FREN 1020,Communicating in French II,,1818 Advanced College Credit Program,,
FREN 2010,Intermediate French Language & Culture,,1818 Advanced College Credit Program,,
FRSC 2600,Survey of Forensic Science,,1818 Advanced College Credit Program,,
GK 1010,Reading Greek I,,1818 Advanced College Credit Program,,
GK 1020,Reading Greek II,,1818 Advanced College Credit Program,,
GK 2010,Intermediate Greek Lang & Lit,,1818 Advanced College Credit Program,,
GR 1010,Communicating in German I,,1818 Advanced College Credit Program,,
GR 1020,Communicating in German II,,1818 Advanced College Credit Program,,
GR 2010,Intermediate German: Language & Culture,,1818 Advanced College Credit Program,,
HIST 1110,Origins of the Modern World to 1500,,1818 Advanced College Credit Program,,
HIST 1120,Origins of the Modern World (1500 to Present),,1818 Advanced College Credit Program,,
HIST 1600,History of the United States of America to 1865,,1818 Advanced College Credit Program,,
HIST 1610,History of the United States Since 1865,,1818 Advanced College Credit Program,,
LATN 1010,Reading Latin I,,1818 Advanced College Credit Program,,
LATN 1020,Reading Latin II,,1818 Advanced College Credit Program,,
LATN 2010,Intermediate Latin: Language & Literature,,1818 Advanced College Credit Program,,
LATN 2020,Intermediate Latin: Rhetoric and Poetry,,1818 Advanced College Credit Program,,
MATH 1200,College Algebra,,1818 Advanced College Credit Program,,
MATH 1400,Pre-Calculus,,1818 Advanced College Credit Program,,
