courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACC 201,Financial Accounting,"(3, 3)",Accounting,Undergraduate,
ACC 202,Managerial Accounting,"(3, 3)",Accounting,Undergraduate,
ACC 215,Fundamentals of Financial Accounting,"(3, 3)",Accounting,Undergraduate,
ACC 225,Foundations of QuickBooks,"(1, 1)",Accounting,Undergraduate,
ACC 302,Professional Communication in Accounting,"(2, 3)",Accounting,Undergraduate,
ACC 307,Intermediate Accounting I,"(3, 3)",Accounting,Undergraduate,
ACC 308,Intermediate Accounting II,"(3, 3)",Accounting,Undergraduate,
ACC 309,Intermediate Accounting III,"(3, 3)",Accounting,Undergraduate,
ACC 311,Cost Accounting,"(3, 3)",Accounting,Undergraduate,
ACC 312,International Managerial Accounting,"(3, 3)",Accounting,Undergraduate,
ACC 315,Accounting Information Systems,"(3, 3)",Accounting,Undergraduate,
ACC 317,Intermediate Accounting I,"(3, 3)",Accounting,Undergraduate,
ACC 318,Intermediate Accounting II,"(3, 3)",Accounting,Undergraduate,
ACC 320,Microsoft Excel for Accountants,"(2, 3)",Accounting,Undergraduate,
ACC 322,Governmental and Non-Profit Accounting,"(3, 3)",Accounting,Undergraduate,
ACC 325,Accounting for Nonprofit Organizations,"(3, 3)",Accounting,Undergraduate,
ACC 330,Federal Taxation I,"(3, 3)",Accounting,Undergraduate,
ACC 331,Federal Taxation II,"(3, 3)",Accounting,Undergraduate,
ACC 340,Controllership,"(3, 3)",Accounting,Undergraduate,
ACC 345,Financial Statement Analysis/ Business Valuation,"(3, 3)",Accounting,Undergraduate,
ACC 350,Volunteer Income Tax Assistance,"(3, 3)",Accounting,Undergraduate,
ACC 405,Advanced Accounting,"(3, 3)",Accounting,Undergraduate,
ACC 411,Auditing Principles,"(3, 3)",Accounting,Undergraduate,
ACC 421,Auditing and Forensic Accounting,"(3, 3)",Accounting,Undergraduate,
ACC 423,Detection/Prevention Fraudulent Financial Statements,"(3, 3)",Accounting,Undergraduate,
ACC 425,Interview Techniques/Legal Aspects Fraud,"(3, 3)",Accounting,Undergraduate,
ACC 427,Investigating with Computers,"(3, 3)",Accounting,Undergraduate,
ACC 430,Data Analytics for Financial Professionals,"(3, 3)",Accounting,Undergraduate,
ACC 482,VITA Mentorship,"(3, 3)",Accounting,Undergraduate,
ACC 485,Accounting Leadership,"(0, 15)",Accounting,Undergraduate,
ACC 490,Accounting Internship,"(0, 15)",Accounting,Undergraduate,
ACC 496,Experiential Learning for Accounting,"(3, 3)",Accounting,Undergraduate,
ACC 550,Cost Accounting,"(3, 3)",Accounting,Graduate,
ACC 610,Financial Reporting I,"(3, 3)",Accounting,Graduate,
ACC 620,Financial Reporting II,"(3, 3)",Accounting,Graduate,
ACC 630,Financial Reporting III,"(3, 3)",Accounting,Graduate,
ACC 640,Auditing,"(3, 3)",Accounting,Graduate,
ACC 645,Advanced Auditing,"(3, 3)",Accounting,Graduate,
ACC 646,Introduction to Forensic Accounting/ Fraud Exam,"(3, 3)",Accounting,Graduate,
ACC 660,Controllership,"(3, 3)",Accounting,Graduate,
ACC 660,Controllership,"(2, 2)",Accounting,Graduate,
ACC 665,Governmental and Non-Profit Accounting,"(3, 3)",Accounting,Graduate,
ACC 675,Control/Audit of Accounting Info System,"(3, 3)",Accounting,Graduate,
ACC 676,Audit of Accounting Information Systems,"(3, 3)",Accounting,Graduate,
ACC 677,Information Systems Assurance and Advising,"(3, 3)",Accounting,Graduate,
ACC 680,International Accounting,"(3, 3)",Accounting,Graduate,
ACC 680,International Accounting,"(2, 2)",Accounting,Graduate,
ACC 685,Governmental and Nonprofit Accounting,"(3, 3)",Accounting,Graduate,
ACC 690,Advanced Topics in Financial Reporting,"(3, 3)",Accounting,Graduate,
ACC 691,Detection and Prevention of Fraudulent Financial Statements,"(3, 3)",Accounting,Graduate,
ACC 692,Interview Techniques/Legal Aspects of Fraud,"(3, 3)",Accounting,Graduate,
ACC 693,Investigating with Computers,"(3, 3)",Accounting,Graduate,
ACC 695,Seminar in Audit and Information Assurance,"(3, 3)",Accounting,Graduate,
ACC 696,Situational Ethics in Accounting,"(3, 3)",Accounting,Graduate,
ACC 700,Accounting Capstone,"(3, 3)",Accounting,Graduate,
ACC 700,Seminar in Accounting Topics,"(2, 2)",Accounting,Graduate,
ACC 701,Advanced Topics in Financial Reporting I,"(2, 2)",Accounting,Graduate,
ACC 702,Advanced Topics in Financial Reporting II,"(2, 2)",Accounting,Graduate,
ACC 705,Advanced Topics in Information Systems and Controls,"(3, 3)",Accounting,Graduate,
ACC 720,Auditing and Attestation Review Course,"(4, 4)",Accounting,Graduate,
ACC 730,Financial Reporting Review Course,"(4, 4)",Accounting,Graduate,
ACC 735,Advanced Managerial Accounting,"(3, 3)",Accounting,Graduate,
ACC 740,Culminating Experience for Accounting,"(3, 3)",Accounting,Graduate,
ADV 263,Advertising Copy and Design,"(3, 3)",Advertising,Undergraduate,
ADV 340,Advertising Media Planning,"(3, 3)",Advertising,Undergraduate,
AM 201,Aviation Law,"(3, 3)",Aviation Management,Undergraduate,
AM 205,Aircraft Operating Economics,"(3, 3)",Aviation Management,Undergraduate,
AM 215,General Aviation Operations,"(3, 3)",Aviation Management,Undergraduate,
AM 220,Airport Operations,"(3, 3)",Aviation Management,Undergraduate,
AM 320,Air Carrier Operation,"(3, 3)",Aviation Management,Undergraduate,
AM 330,Business & Corporate Aviation,"(3, 3)",Aviation Management,Undergraduate,
AM 340,Airport and Airspace Capacity Management,"(3, 3)",Aviation Management,Undergraduate,
AM 340,Airport and Airspace Capacity Management,"(1, 1)",Aviation Management,Undergraduate,
AM 460,Airport Planning and Management,"(3, 3)",Aviation Management,Undergraduate,
AS 101,Heritage and Values of the U.S. Air Force Part I,"(1, 1)",Aerospace Studies,Undergraduate,
AS 101,Leadership Laboratory – Air Force ROTC Leadership Lab,"(0, 0)",Aerospace Studies,Undergraduate,
AS 102,Heritage and Values of the U.S. Air Force Part II,"(1, 1)",Aerospace Studies,Undergraduate,
AS 102,Leadership Laboratory,"(0, 0)",Aerospace Studies,Undergraduate,
AS 201,"Team and Leadership Fundamentals, Part I","(1, 1)",Aerospace Studies,Undergraduate,
AS 201,Leadership Laboratory,"(0, 0)",Aerospace Studies,Undergraduate,
