courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACC 211,Financial Accounting,3,Accounting,,
ACC 212,Managerial Accounting,3,Accounting,,
ACC 310,Intro to Acc & Bus Software,3,Accounting,,
ACC 321,Acct for Entrepreneurial Bus,3,Accounting,,
ACC 331,Taxation of Individuals,3,Accounting,,
ACC 341,Accounting Information Systems,3,Accounting,,
ACC 350,Financial Statement Analysis,3,Accounting,,
ACC 371,Intermediate Accounting 1,3,Accounting,,
ACC 372,Intermediate Accounting II,3,Accounting,,
ACC 380,Cost Accounting for Managers,3,Accounting,,
ACC 381,Cost Accounting,3,Accounting,,
ACC 410,Forensic Accounting,3,Accounting,,
ACC 415,Data Analytics for Accounting,3,Accounting,,
ACC 416,Int'l and Advanced Accounting,3,Accounting,,
ACC 432,Tax of Partnerships and Corps,3,Accounting,,
ACC 451,Auditing - W,3,Accounting,,
ACC 452,Advanced Auditing & Analytics,3,Accounting,,
ACC 461,Acc for Gov and Not-For-Profit,3,Accounting,,
ACC 490,Special Topics,3,Accounting,,
ACC 494,Directed Studies,3,Accounting,,
ACC 496,Accounting Internship,3,Accounting,,
ACC 510,Forensic Acc. & Litig. Svcs.,3,Accounting,,
ACC 511,Financial Accounting Theory,3,Accounting,,
ACC 516,Advanced Financial Accounting,3,Accounting,,
ACC 521,Advanced Managerial Accounting,3,Accounting,,
ACC 531,Tax Planning and Research,3,Accounting,,
ACC 532,Tax Partnerships/Corporations,3,Accounting,,
ACC 534,"Tax of Gifts, Trusts & Estates",3,Accounting,,
ACC 535,Multi Tax,3,Accounting,,
ACC 541,Advanced Accounting Systems,3,Accounting,,
ACC 552,Advanced Auditing & Analytics,3,Accounting,,
ACC 561,Acc of Government and NFPE,3,Accounting,,
ACC 570,Professional Accounting I,3,Accounting,,
ACC 571,Professional Accounting II,3,Accounting,,
ACC 572,Fraud Ex,3,Accounting,,
ACC 580,Emerging Issues in Accounting,3,Accounting,,
ACC 590,Special Topics,3,Accounting,,
ACC 594,Independent Study in Account,3,Accounting,,
AE 260,Aerospace Fundamentals,3,Aerospace Engineering (AE),,
AE 361,Fundamentals of Aerodynamics,3,Aerospace Engineering (AE),,
AE 366,Aerospace Propulsion,3,Aerospace Engineering (AE),,
AE 371,Aerodynamics Laboratory,1,Aerospace Engineering (AE),,
AE 410,Principles of Aerospace Design,3,Aerospace Engineering (AE),,
AE 416,Aerospace Capstone Project,3,Aerospace Engineering (AE),,
AE 425,Orbital Mechanics,3,Aerospace Engineering (AE),,
