courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AA 92SI,"Advanced Air Mobility: Technology, Business Model, and Regulations",1,Aeronautics and Astronautics,Undergraduate,
AA 100,Introduction to Aeronautics and Astronautics,3,Aeronautics and Astronautics,Undergraduate,
AA 101,High Speed Gasdynamics,3,Aeronautics and Astronautics,Undergraduate,
AA 102,Introduction to Applied Aerodynamics,3,Aeronautics and Astronautics,Undergraduate,
AA 103,Air and Space Propulsion,3,Aeronautics and Astronautics,Undergraduate,
AA 107,How to Shoot for the Moon,3,Aeronautics and Astronautics,Undergraduate,
AA 108N,Surviving Space,3,Aeronautics and Astronautics,Undergraduate,
AA 109Q,Aerodynamics of Race Cars,3,Aeronautics and Astronautics,Undergraduate,
AA 113,Aerospace Computational Science,3,Aeronautics and Astronautics,Undergraduate,
AA 114Q,Large Spacecraft Structures,3,Aeronautics and Astronautics,Undergraduate,
AA 115Q,"The Global Positioning System: Where on Earth are We, and What Time is It?",3,Aeronautics and Astronautics,Undergraduate,
AA 116,Embedded Systems for Aerospace,3,Aeronautics and Astronautics,Undergraduate,
AA 118N,How to Design a Space Mission: from Concept to Execution,3,Aeronautics and Astronautics,Undergraduate,
AA 120Q,Building Trust in Autonomy,3,Aeronautics and Astronautics,Undergraduate,
AA 121Q,It IS Rocket Science!,3,Aeronautics and Astronautics,Undergraduate,
AA 124,Introduction to Planetary Science,3-4,Aeronautics and Astronautics,Undergraduate,
AA 126,Aerospace Prototyping Lab,3,Aeronautics and Astronautics,Undergraduate,
AA 131,Space Flight,3,Aeronautics and Astronautics,Undergraduate,
AA 132,Planetary and Geological Optical Remote Sensing,3,Aeronautics and Astronautics,Undergraduate,
AA 133,Finding a Habitable Planet: The search for exoplanets,3-4,Aeronautics and Astronautics,Undergraduate,
AA 136A,Spacecraft Design,3,Aeronautics and Astronautics,Undergraduate,
AA 136B,Spacecraft Design Laboratory,3,Aeronautics and Astronautics,Undergraduate,
AA 141,Atmospheric Flight,3,Aeronautics and Astronautics,Undergraduate,
AA 146A,Aircraft Design,3,Aeronautics and Astronautics,Undergraduate,
AA 146B,Aircraft Design Laboratory,3,Aeronautics and Astronautics,Undergraduate,
AA 149,Operation of Aerospace Systems,1,Aeronautics and Astronautics,Undergraduate,
AA 151,Lightweight Structures,3,Aeronautics and Astronautics,Undergraduate,
AA 156,Introduction to Mechanics of Composite Materials,3,Aeronautics and Astronautics,Undergraduate,
AA 160,Flying: Private Pilot Ground School,3,Aeronautics and Astronautics,Undergraduate,
AA 172,Guidance & Navigation,3,Aeronautics and Astronautics,Undergraduate,
AA 173,Flight Mechanics & Controls,3,Aeronautics and Astronautics,Undergraduate,
AA 174A,Principles of Robot Autonomy I,3-4,Aeronautics and Astronautics,Undergraduate,
AA 174B,Principles of Robot Autonomy II,3-4,Aeronautics and Astronautics,Undergraduate,
AA 179,Orbital and Attitude Mechanics,3,Aeronautics and Astronautics,Undergraduate,
AA 190,Directed Research and Writing in Aero/Astro,3-5,Aeronautics and Astronautics,Undergraduate,
AA 191,Practical Training,1-3,Aeronautics and Astronautics,Undergraduate,
AA 199,Independent Study in Aero/Astro,1-5,Aeronautics and Astronautics,Undergraduate,
AA 200,Applied Aerodynamics,3,Aeronautics and Astronautics,Graduate,
AA 201A,Fundamentals of Acoustics,3,Aeronautics and Astronautics,Graduate,
AA 201B,Topics in Aeroacoustics,3,Aeronautics and Astronautics,Graduate,
AA 203,Optimal and Learning-based Control,3,Aeronautics and Astronautics,Graduate,
AA 204,Spacecraft Electric Propulsion,3,Aeronautics and Astronautics,Graduate,
AA 205,Rarefied and Ionized Gases,3,Aeronautics and Astronautics,Graduate,
AA 210A,Fundamentals of Compressible Flow,3,Aeronautics and Astronautics,Graduate,
AA 212,Advanced Feedback Control Design,3,Aeronautics and Astronautics,Graduate,
AA 214,Numerical Methods for Compressible Flows,3,Aeronautics and Astronautics,Graduate,
AA 222,Engineering Design Optimization,3-4,Aeronautics and Astronautics,Graduate,
AA 228,Decision Making under Uncertainty,3-4,Aeronautics and Astronautics,Graduate,
AA 228V,Validation of Safety Critical Systems,3-4,Aeronautics and Astronautics,Graduate,
AA 229,Advanced Topics in Sequential Decision Making,3-4,Aeronautics and Astronautics,Graduate,
AA 232,Planetary and Geological Optical Remote Sensing,3,Aeronautics and Astronautics,Graduate,
AA 233,Finding a Habitable Planet: The search for exoplanets,3-4,Aeronautics and Astronautics,Graduate,
AA 234,"Planetary Geophysics: Theory, Observational Techniques and Data Analysis",3,Aeronautics and Astronautics,Graduate,
AA 235,Experimental Earth and Planetary System Analysis,4,Aeronautics and Astronautics,Graduate,
AA 236A,Spacecraft Design,3,Aeronautics and Astronautics,Graduate,
AA 236B,Spacecraft Design Laboratory,4,Aeronautics and Astronautics,Graduate,
AA 240,Analysis of Structures,3,Aeronautics and Astronautics,Graduate,
AA 240B,Analysis of Structures,3,Aeronautics and Astronautics,Graduate,
AA 241A,Aircraft Design: Synthesis and Analysis,3,Aeronautics and Astronautics,Graduate,
AA 241B,Aircraft Design: Synthesis and Analysis,3,Aeronautics and Astronautics,Graduate,
AA 242A,Classical Dynamics,3,Aeronautics and Astronautics,Graduate,
AA 242B,Mechanical Vibrations,3,Aeronautics and Astronautics,Graduate,
AA 244A,Fundamentals of Plasmas I,3,Aeronautics and Astronautics,Graduate,
AA 244B,Fundamentals of Plasmas II,3,Aeronautics and Astronautics,Graduate,
AA 245,Stability of Structures,3,Aeronautics and Astronautics,Graduate,
AA 251,Introduction to the Space Environment,3,Aeronautics and Astronautics,Graduate,
AA 252,Techniques of Failure Analysis,3,Aeronautics and Astronautics,Graduate,
AA 254,Deployable Space Structures,3,Aeronautics and Astronautics,Graduate,
AA 255,Origami Engineering,3,Aeronautics and Astronautics,Graduate,
AA 256,Mechanics of Composites,3,Aeronautics and Astronautics,Graduate,
AA 257,Structural Health Monitoring,3,Aeronautics and Astronautics,Graduate,
AA 260,Sustainable Aviation,3,Aeronautics and Astronautics,Graduate,
AA 261,Building an Aerospace Startup from the Ground Up,3,Aeronautics and Astronautics,Graduate,
AA 262,Governing Autonomous and AI Systems in Outer Space,3,Aeronautics and Astronautics,Graduate,
AA 271A,Dynamics and Control of Aircraft,3,Aeronautics and Astronautics,Graduate,
AA 272,Global Positioning Systems,3,Aeronautics and Astronautics,Graduate,
AA 273,State Estimation and Filtering for Robotic Perception,3,Aeronautics and Astronautics,Graduate,
AA 274A,Principles of Robot Autonomy I,3,Aeronautics and Astronautics,Graduate,
AA 274B,Principles of Robot Autonomy II,3-4,Aeronautics and Astronautics,Graduate,
AA 275,Navigation for Autonomous Systems,3,Aeronautics and Astronautics,Graduate,
AA 276,Principles of Safety-Critical Autonomy,3,Aeronautics and Astronautics,Graduate,
AA 277,Multi-Robot Control and Distributed Optimization,3,Aeronautics and Astronautics,Graduate,
AA 278,"Lunar Positioning, Navigation, and Timing (PNT)",3,Aeronautics and Astronautics,Graduate,
