courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACC 100,Applied Accounting,3,Accounting,,
ACC 110,Financial Accounting,4,Accounting,,
ACC 114,Managerial Accounting,3,Accounting,,
ACC 120,Computer Accounting Applications for Business,3,Accounting,,
ACC 122,Computer Accounting Applications - Spreadsheets,3,Accounting,,
ACC 124,Computer Accounting Applications - Databases,3,Accounting,,
ACC 203,Cost Accounting,3,Accounting,,
ACC 204,Income Tax Accounting,3,Accounting,,
ACC 206,Auditing,3,Accounting,,
ACC 208,Intermediate Accounting I,3,Accounting,,
ACC 209,Intermediate Accounting II,3,Accounting,,
ACC 211,Current Topics in Accounting,3,Accounting,,
ACC 212,Nonprofit Accounting,3,Accounting,,
ACC 213,Survey of Business Taxes,3,Accounting,,
ACC 214,Business Taxes: Research and Planning,3,Accounting,,
ACC 215,Fraud and Forensic Accounting,3,Accounting,,
ACC 291,Accounting Internship,3,Accounting,,
ACC 292,Accounting Internship II,3,Accounting,,
ACC 293,Accounting Internship III,3,Accounting,,
ANT 101,General Anthropology (MOTR ANTH 101),3,Anthropology,,
ANT 102,Introduction to Cultural Anthropology (MOTR ANTH 201),3,Anthropology,,
ARA 101,Modern Arabic I (MOTR LANG 105),4,Arabic,,
ARA 102,Modern Arabic II (MOTR LANG 106),4,Arabic,,
ART 100,Art Appreciation (MOTR ARTS 100),3,Art,,
ART 101,Art History - Prehistory to 1300 (MOTR ARTS 101),3,Art,,
ART 102,Art History - 1300 to Present (MOTR ARTS 102),3,Art,,
ART 103,History of Modern Art (MOTR ARTS 100),3,Art,,
ART 109,Drawing I (MOTR PERF 105D),3,Art,,
ART 110,Drawing II,3,Art,,
ART 111,Figure Drawing I,3,Art,,
ART 112,Figure Drawing II,3,Art,,
ART 113,Ceramics I (MOTR PERF 105C),3,Art,,
ART 114,Painting I,3,Art,,
ART 115,Printmaking I (MOTR PERF 105GA),3,Art,,
ART 116,Sculpture I (MOTR PERF 105S),3,Art,,
ART 131,Computer Art Studio,3,Art,,
ART 133,Graphic Design I,3,Art,,
ART 134,Graphic Design II,3,Art,,
ART 135,Graphic Production,2,Art,,
ART 138,Drawing and Rendering for Graphics,3,Art,,
ART 140,Two-Dimensional Design,3,Art,,
ART 150,Design Communication for Interior Design and Architecture,3,Art,,
ART 151,Interior Design I,3,Art,,
ART 153,History of Cultural Environments I,3,Art,,
ART 154,Architectural Graphics and Technology I,3,Art,,
ART 158,Workplace Learning: Kitchen and Bath Design,3,Art,,
ART 165,Photography I (MOTR PERF 105GA),3,Art,,
ART 166,Photography II,3,Art,,
ART 168,History of Photography,3,Art,,
ART 169,Concepts in the Visual Arts (MOTR ARTS 100),3,Art,,
ART 172,Digital Photography (MOTR PERF 105GA),3,Art,,
ART 186,Building Systems and Construction for Interior Designers,3,Art,,
ART 204,Photography III,3,Art,,
ART 207,Three-Dimensional Design,3,Art,,
ART 210,Advanced Drawing,3,Art,,
ART 213,Ceramics II,3,Art,,
ART 214,Painting II,3,Art,,
ART 215,Printmaking II,3,Art,,
ART 216,Sculpture II,3,Art,,
ART 228,Workplace Learning: Photography,3,Art,,
ART 233,Graphic Design III,3,Art,,
ART 234,Graphic Design IV,3,Art,,
ART 236,Typography,3,Art,,
ART 239,Editorial and Commercial Illustration,3,Art,,
ART 240,Digital Illustration,3,Art,,
ART 245,Portfolio Design and Workplace Preparation,3,Art,,
ART 249,Digital Photography II,3,Art,,
ART 251,Interior Design II,3,Art,,
