courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AFRI 1101,INTRODUCTION TO AFRICANA STUDIES,4,Africana Studies,,
AFRI 1248,MUSIC OF BLACK AMERICANS,4,Africana Studies,,
AFRI 2101,ANCIENT AFRICAN CIVILIZATIONS,4,Africana Studies,,
AFRI 2103,THE CONTEMPORARY AFRICAN DIASPORA,4,Africana Studies,,
AFRI 2105,RACE AND IDENTITY IN LATIN AMERICA &amp; CARIBBEAN,4,Africana Studies,,
AFRI 2108,WEST AFRICAN HISTORY AND CULTU,4,Africana Studies,,
AFRI 2110,"PAN-AFRICANISM &amp; DIASPORIC POLITICAL MOVEMENTS, ORGANIZATIONS, SOCIAL GROUPS &amp; INITIATIVES",4,Africana Studies,,
AFRI 2115,THE EVOLUTION OF CONTEMPORARY BLACK EXPERIENCE IN MUSIC,4,Africana Studies,,
AFRI 2118,BLACK SUPERHEROES,4,Africana Studies,,
AFRI 2120,BLACK WOMEN IN AMERICA,4,Africana Studies,,
AFRI 2122,A HISTORY OF BLACK PROTEST &amp; CIVIL UNREST,4,Africana Studies,,
AFRI 2123,BLACK PERFORMANCE AND BLACK CREATIVE PRODUCTION,4,Africana Studies,,
AFRI 2124,THE INSTITUTIONALIZATION OF ANTI-BLACK RACISM,4,Africana Studies,,
AFRI 2184,AN INTRODUCTION TO HIP HOP CULTURE,4,Africana Studies,,
AFRI 2202,BLACK PERFORMANCE FROM THE HARLEM RENAISSANCE TO THE BLACK ARTS MOVEMENT,4,Africana Studies,,
AFRI 2305,BLACK PSYCHOLOGY,4,Africana Studies,,
AFRI 2602,AFRICAN-AMERICAN THEATRE WORKSHOP II,4,Africana Studies,,
AFRI 2701,AFRICAN-AMERICAN DANCE: THE CONTEMPORARY ERA,4,Africana Studies,,
AFRI 3110,AFRICAN LANGUAGES,4,Africana Studies,,
AFRI 3112,LITERATURE OF THE AFRICAN DIAS,4,Africana Studies,,
AFRI 3115,AFRICAN LITERATURE,4,Africana Studies,,
AFRI 3118,AFRICAN AND DIASPORIC AFRICAN FO,4,Africana Studies,,
AFRI 3122,AN AFROCENTRIC APPROACH TO AMERICAN HISTORY,4,Africana Studies,,
AFRI 3125,WEST AFRICA NOW,4,Africana Studies,,
AFRI 3132,AFRICAN AMERICANS IN NJ,4,Africana Studies,,
AFRI 3135,AFRICAN AMERICANS AND THE SHAPING OF POP CULTURE,2-4,Africana Studies,,
AFRI 3142,AFRICAN AND AFRICAN AMERICAN RELIGIOUS PRACTICE,4,Africana Studies,,
AFRI 3143,AFRICAN-AMERICAN CIVIL RIGHTS: MUSEUM AND HISTORIC SITE INTERPRETATION,4,Africana Studies,,
AFRI 3145,THE CONTEMPORARY AFRICAN AMERICAN FAMILY: SOCIAL ISSUES AND CONCERNS,4,Africana Studies,,
AFRI 3148,BLACK COMEDY/ BLACK COMEDIANS: WHAT LIES BENEATH THE SURFACE,4,Africana Studies,,
AFRI 3149,SPIKE LEE: A FILMOGRAPHY OF RESISTANCE,4,Africana Studies,,
AFRI 3152,THE AFRICAN CONTRIBUTION TO HISTORY &amp; WORLD DEVELOPMENT,4,Africana Studies,,
AFRI 3162,AFRICAN AMERICAN LEADERSHIP &amp; COMMUNITY DEVELOPMENT,4,Africana Studies,,
AFRI 3165,SOCIAL &amp; PSYCHOLOGICAL THEORIES ON THE BLACK EXPERIENCE,4,Africana Studies,,
AFRI 3168,RACE AND IDENTITY IN THE AFRICAN DIASPORA,4,Africana Studies,,
AFRI 3169,THE HAITIAN REVOLUTION: THEN &amp; NOW,4,Africana Studies,,
AFRI 3170,URBAN BLACK POLITICS,4,Africana Studies,,
AFRI 3190,BLACK POWER,4,Africana Studies,,
AFRI 3295,AFRICAN AMERICAN MOVIES,4,Africana Studies,,
AFRI 3602,BLACK FEMINISM,4,Africana Studies,,
AFRI 3800,INDEPENDENT STUDY,0-4,Africana Studies,,
AFRI 4112,THE HISTORY OF BLACK EDUCATION,4,Africana Studies,,
AFRI 4601,AFRICANA STUDIES SENIOR SEMINAR,4,Africana Studies,,
AFRI 4603,RHETORIC OF THE AFRICAN DIASPORA,4,Africana Studies,,
AFRI 4800,AFRICANA STUDIES INDEPENDENT STUDY,0-4,Africana Studies,,
AMST 5000,PROSEMINAR IN AMERICAN STUDIES,3,American Studies,,
AMST 5001,RESEARCH METHODS IN AMERICAN STUDIES,3,American Studies,,
AMST 5002,CRITICAL THEORY AND AMERICAN STUDIES,3,American Studies,,
AMST 5003,LITERATURE OF THE AMERICAS,3,American Studies,,
AMST 5007,CONTEMPORARY AMERICA,3,American Studies,,
AMST 5008,THE U.S. AND THE WORLD,3,American Studies,,
AMST 5009,WORLDS OF MOBY DICK,3,American Studies,,
AMST 5010,AMERICAN SEXUALITIES,3,American Studies,,
AMST 5012,PRAGMATISM,3,American Studies,,
AMST 5014,AFRICANS IN THE AMERICAS,3,American Studies,,
AMST 5015,DOCUMENTING AMERICA: FILM ANALYSIS &amp; PRACTICE,3,American Studies,,
AMST 5017,TEACHING AMERICAN STUDIES,3,American Studies,,
AMST 5018,THE SIXTIES,3,American Studies,,
AMST 5019,IDENTITY NARRATIVES IN BLACK CULTURE,3,American Studies,,
AMST 5020,STUDY TOUR,3,American Studies,,
AMST 5022,"SUPERHEROES, POLITICS, AND AMERICA",3,American Studies,,
AMST 5023,ETHNOGRAPHY OF THE U.S.,3,American Studies,,
AMST 5024,RED SUMMER,3,American Studies,,
AMST 5025,AMERICAN POLITICAL THOUGHT,3,American Studies,,
AMST 5026,THE VIETNAM WAR,3,American Studies,,
AMST 5027,PUERTO RICANS IN THE US: TRANSNATIONAL CONTEXTS,3,American Studies,,
AMST 5028,SETTLER COLONIALISM: A LONG HISTORY,3,American Studies,,
AMST 5030,1930&#39;S AMERICA,3,American Studies,,
