courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
MUSC 6457,Advanced Vocal Accompanying,"(2, 2)",,Graduate,
MUSC 6467,Advanced Vocal Accompanying,"(2, 2)",,Graduate,
MUSC 6557,Advanced Instrumental Accompanying/Chamber Music,"(2, 2)",,Graduate,
MUSC 6567,Advanced Instrumental Accompanying/Chamber Music,"(2, 2)",,Graduate,
MUSC 6993,Graduate Recital,"(1, 1)",,Graduate,
MUSC 6994,Graduate Recital,"(1, 1)",,Graduate,
ACCT 6221,Principles of Accounting and Finance,"(3, 3)",,Graduate,
ACCT 6231,Principles of Business,"(3, 3)",,Graduate,
ACCT 6241,Financial and Managerial Accounting,"(3, 3)",,Graduate,
ACCT 6301,Fraud Examination,"(3, 3)",,Graduate,
ACCT 6521,Accounting for Decision Making,"(3, 3)",,Graduate,
ACCT 6611,Auditing,"(3, 3)",,Graduate,
ACCT 6621,Intermediate Financial Accounting Theory,"(6, 6)",,Graduate,
ACCT 6631,Advanced Cost and Systems,"(3, 3)",,Graduate,
ACCT 6641,Advanced and Governmental Accounting,"(3, 3)",,Graduate,
ACCT 6701,Regulation,"(3, 3)",,Graduate,
ACCT 6801,Accounting Theory,"(3, 3)",,Graduate,
ACCT 6831,Taxation and Business Decisions,"(3, 3)",,Graduate,
ACCT 6891,Federal Income Taxation,"(3, 3)",,Graduate,
ACCT 6901,Advanced Federal Taxation,"(3, 3)",,Graduate,
ACCT 6911,Research in Taxation,"(3, 3)",,Graduate,
ACCT 6921,Advanced Taxation of Partnerships,"(3, 3)",,Graduate,
ACCT 6931,Advanced Taxation of Estates,"(3, 3)",,Graduate,
ACCT 6951,Auditing Seminar,"(3, 3)",,Graduate,
ACCT 6961,Information Technology Auditing,"(3, 3)",,Graduate,
ACCT 6971,Corporate Governance and Accounting Ethics,"(3, 3)",,Graduate,
ACCT 6981,The Professional Accounting Environment,"(3, 3)",,Graduate,
ACCT 6991,Advanced Topics in Accounting,"(3, 3)",,Graduate,
ADRE 6000,Medical and Psychosocial Aspects of Disability,"(3, 3)",,Graduate,
ADRE 6001,Medical and Psychosocial Aspects of Disability,"(0, 0)",,Graduate,
ADRE 6010,"Introduction to Clinical, Addictions, and Rehabilitation Counseling","(3, 3)",,Graduate,
ADRE 6050,"Ethical and Legal Aspects in Clinical, Addictions, and Rehabilitation Counseling","(3, 3)",,Graduate,
ADRE 6100,Occupational Analysis and Career Counseling,"(3, 3)",,Graduate,
ADRE 6200,Psychosocial Aspects of Disability,"(3, 3)",,Graduate,
ADRE 6250,Diagnosis and Treatment of Mental and Emotional Disorders,"(3, 3)",,Graduate,
ADRE 6300,"Clinical, Addictions, and Rehabilitation Counseling Theories","(3, 3)",,Graduate,
ADRE 6310,"Prepracticum in Clinical, Addictions, and Rehabilitation Counseling","(3, 3)",,Graduate,
ADRE 6320,Family Treatment in Substance Abuse Rehabilitation,"(3, 3)",,Graduate,
ADRE 6330,Clinical and Addictions Counseling,"(3, 3)",,Graduate,
ADRE 6340,"Human Growth and Development in Clinical, Addictions and Rehabilitation Counseling","(3, 3)",,Graduate,
ADRE 6350,"Clinical, Addictions, and Rehabilitation Group Counseling","(3, 3)",,Graduate,
ADRE 6351,Personal Growth Group Lab,"(1, 1)",,Graduate,
ADRE 6360,"Practicum in Clinical, Addictions, and Rehabilitation Counseling","(3, 3)",,Graduate,
ADRE 6361,"Practicum in Clinical, Addictions, and Rehabilitation Counseling Lab","(1, 1)",,Graduate,
ADRE 6370,"Multicultural Issues in Clinical, Addictions, and Rehabilitation Counseling","(3, 3)",,Graduate,
ADRE 6375,Military and Trauma Counseling,"(3, 3)",,Graduate,
ADRE 6376,Civilian Trauma Counseling,"(3, 3)",,Graduate,
ADRE 6380,"Career Counseling in Clinical, Addictions, and Rehabilitation Counseling","(3, 3)",,Graduate,
ADRE 6400,Introduction to Vocational Evaluation and Career Assessment,"(3, 3)",,Graduate,
ADRE 6401,"Assessment in Clinical, Addictions, and Rehabilitation Counseling","(3, 3)",,Graduate,
ADRE 6501,"Independent Study in Clinical, Addictions, and Rehabilitation Counseling","(1, 1)",,Graduate,
ADRE 6521,"Directed Research in Clinical, Addictions, and Rehabilitation Counseling","(1, 1)",,Graduate,
ADRE 6522,Directed Readings in Rehabilitation,"(1, 1)",,Graduate,
ADRE 6523,Directed Readings in Rehabilitation,"(1, 1)",,Graduate,
ADRE 6550,"Research in Clinical, Addictions, and Rehabilitation Counseling","(3, 3)",,Graduate,
ADRE 6561,Master of Science Research Project,"(3, 3)",,Graduate,
ADRE 6703,Foundations of Addictions and Clinical Counseling,"(3, 3)",,Graduate,
ADRE 6793,Treatment in Addictions and Clinical Counseling,"(3, 3)",,Graduate,
ADRE 6795,Prevention of Drug and Behavioral Addictions,"(3, 3)",,Graduate,
ADRE 6796,Contemporary Issues for Addictions,"(3, 3)",,Graduate,
ADRE 6799,Independent Study in Alcohol/Drug Abuse Addiction,"(3, 3)",,Graduate,
ADRE 6895,Internship in Vocational Evaluation,"(3, 12)",,Graduate,
ADRE 6991,"Internship in Clinical, Addictions, and Rehabilitation Counseling","(3, 3)",,Graduate,
ADRE 7000,Thesis,"(1, 6)",,Graduate,
ADRE 7001,Thesis: Summer Research,"(1, 1)",,Graduate,
ADRE 7340,Advanced Clinical Counseling Theories and Techniques,"(3, 3)",,Graduate,
ADRE 7404,Resource Development in Rehabilitation Counseling and Administration,"(3, 3)",,Graduate,
ADRE 7601,Rehabilitation Administration and Leadership,"(3, 3)",,Graduate,
ADRE 7610,Employee Assistance Programs,"(3, 3)",,Graduate,
ADRE 8050,Ethical and Legal Issues in Counselor Education and Supervision,"(3, 3)",,Graduate,
ADRE 8210,Advanced Pedagogy in Rehabilitation Counseling,"(3, 3)",,Graduate,
ADRE 8350,Advanced Group Counseling in Rehabilitation,"(3, 3)",,Graduate,
ADRE 8360,Advanced Practicum,"(3, 3)",,Graduate,
ADRE 8370,Advanced Multicultural Ethics and Leadership in Counseling,"(3, 3)",,Graduate,
ADRE 8380,Rehabilitation Counseling Supervision,"(3, 3)",,Graduate,
ADRE 8410,Seminar in Vocational Evaluation Systems Design,"(3, 3)",,Graduate,
ADRE 8420,Advanced Assessment and Evaluation,"(3, 3)",,Graduate,
ADRE 8531,Independent Study,"(1, 1)",,Graduate,
ADRE 8532,Independent Study,"(1, 1)",,Graduate,
ADRE 8533,Independent Study,"(1, 1)",,Graduate,
ADRE 8550,Advanced Research in Rehabilitation,"(3, 3)",,Graduate,
ADRE 8630,Theory and Design of Rehabilitation Programs,"(3, 3)",,Graduate,
ADRE 8710,Substance Abuse Seminar,"(3, 3)",,Graduate,
ADRE 8810,Doctoral Seminar in Rehabilitation Counseling,"(1, 4)",,Graduate,
ADRE 8991,Advanced Internship,"(3, 3)",,Graduate,
ADRE 8992,Advanced Internship,"(3, 3)",,Graduate,
ADRE 8993,Advanced Internship,"(3, 3)",,Graduate,
ADRE 8994,Advanced Internship,"(3, 3)",,Graduate,
ADRE 9000,Dissertation,"(1, 12)",,Graduate,
ADRE 9001,Dissertation Summer Research,"(1, 1)",,Graduate,
ADED 6001,Special Topics Seminar,"(1, 1)",,Graduate,
ADED 6003,Special Topics Seminar,"(3, 3)",,Graduate,
ADED 6100,Introduction to Student Affairs,"(3, 3)",,Graduate,
ADED 6240,Effective College Teaching,"(3, 3)",,Graduate,
ADED 6307,Proposal Writing for Grants and Contracts,"(3, 3)",,Graduate,
ADED 6358,Classroom Assessment and Measurement,"(3, 3)",,Graduate,
ADED 6379,Issues and Strategies in Adult Literacy,"(3, 3)",,Graduate,
ADED 6445,Introduction to Adult and Community Education,"(3, 3)",,Graduate,
ADED 6446,Community Education and Community Development,"(3, 3)",,Graduate,
ADED 6450,"Community, Junior, and Technical College","(3, 3)",,Graduate,
CSCI 7000,Thesis,"(1, 6)",,Graduate,
CSCI 7001,Thesis: Summer Research,"(1, 1)",,Graduate,
CSCI 5726,Scientific Programming,"(1, 1)",,Graduate,
MUSC 5706,Advanced Applied Conducting,"(3, 3)",,Graduate,
MUSC 5716,Advanced Applied Conducting,"(3, 3)",,Graduate,
MUSC 6706,Advanced Conducting,"(3, 3)",,Graduate,
CMGT 6600,Research Methods for Construction,"(3, 3)",,Graduate,
CMGT 6605,Decision and Risk Analysis in Construction,"(3, 3)",,Graduate,
CMGT 6615,Productivity Improvement in Construction and Engineering,"(3, 3)",,Graduate,
CMGT 6625,Residential Construction Trends,"(3, 3)",,Graduate,
CMGT 6630,Advanced Applications in Construction Scheduling,"(3, 3)",,Graduate,
CMGT 6635,Residential Project Risk Management,"(3, 3)",,Graduate,
CMGT 6640,Residential Land Use Management and Design,"(3, 3)",,Graduate,
CMGT 6645,Construction Financial Management,"(3, 3)",,Graduate,
CMGT 6650,Global Management of Construction,"(3, 3)",,Graduate,
CMGT 6655,Residential Sustainability,"(3, 3)",,Graduate,
CMGT 6660,Quality Control Systems,"(3, 3)",,Graduate,
CMGT 6662,Legal Implications of Design and Construction,"(3, 3)",,Graduate,
CMGT 6664,Advanced Cost Estimating/Cost Analysis,"(3, 3)",,Graduate,
CMGT 6665,"Residential Codes, Contracts, and Law","(3, 3)",,Graduate,
CMGT 6670,Special Topics in Construction,"(3, 3)",,Graduate,
CMGT 6675,Green Building and Sustainable Construction,"(3, 3)",,Graduate,
CMGT 6680,Ethical Practices in Construction Profession,"(3, 3)",,Graduate,
CMGT 6685,Construction Safety Management,"(3, 3)",,Graduate,
CMGT 6690,Lean Construction,"(3, 3)",,Graduate,
CMGT 6700,Research Capstone Seminar,"(3, 3)",,Graduate,
CMGT 7000,Thesis,"(1, 6)",,Graduate,
CMGT 6610,Advanced Computer Applications in Construction,"(3, 3)",,Graduate,
CMGT 6620,Human Resources and Training,"(3, 3)",,Graduate,
COAD 6001,Special Topics,"(1, 1)",,Graduate,
COAD 6002,Special Topics,"(2, 2)",,Graduate,
COAD 6003,Special Topics,"(3, 3)",,Graduate,
COAD 6004,Interpersonal Communication Skills,"(3, 3)",,Graduate,
COAD 6100,Introduction to Student Affairs,"(3, 3)",,Graduate,
COAD 6358,Classroom Assessment and Measurement,"(3, 3)",,Graduate,
COAD 6370,Counseling Children and Adolescents,"(3, 3)",,Graduate,
COAD 6400,Introduction to Counseling and Human Services,"(3, 3)",,Graduate,
COAD 6401,Analysis of the Individual,"(3, 3)",,Graduate,
COAD 6402,Career Development and Counseling,"(3, 3)",,Graduate,
COAD 6404,Counseling Theory and Techniques,"(3, 3)",,Graduate,
COAD 6405,Group Procedures,"(3, 3)",,Graduate,
COAD 6406,Counseling in Schools,"(3, 3)",,Graduate,
COAD 6407,Social and Cultural Issues in Counseling,"(3, 3)",,Graduate,
COAD 6408,Counseling the Exceptional Student,"(3, 3)",,Graduate,
COAD 6409,Counseling Skills and Techniques,"(3, 3)",,Graduate,
COAD 6411,Student Affairs and College Counseling,"(3, 3)",,Graduate,
COAD 6412,Developmental Counseling and Learning: A Life-Span Approach,"(3, 3)",,Graduate,
COAD 6414,Family Approaches in Professional Counseling,"(3, 3)",,Graduate,
COAD 6415,Clinical Mental Health Counseling,"(3, 3)",,Graduate,
COAD 6416,Concepts of Self,"(3, 3)",,Graduate,
COAD 6417,Creativity in Counseling,"(3, 3)",,Graduate,
COAD 6418,Diagnosis and Psychopathology in Counseling,"(3, 3)",,Graduate,
COAD 6419,"Family, School, and Community Partnerships in a Global Context","(3, 3)",,Graduate,
COAD 6420,Integrated Behavioral Health in Rural Settings,"(3, 3)",,Graduate,
COAD 6421,Skills for Counseling Spanish Speaking Families,"(3, 3)",,Graduate,
