courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AA 3010,Survey of Arts Administration,,AA,,
AA 3030,Arts Advocacy,,AA,,
AA 3050,Cultural Policy in Context,,AA,,
AA 4010,Legal Issues for Artists,,AA,,
AA 6010,Principles of Arts Administration,,AA,,
AA 6040,Arts Advocacy and Cultural Policy,,AA,,
AA 6050,Managing the Finances of Art Organizations,,AA,,
AA 6060,Fund Development for Arts Administrators,,AA,,
AA 6070,Leadership Development in the Arts,,AA,,
AA 6080,Visual and Performing Arts Studies,,AA,,
AA 6090,Accounting for Arts Administrators,,AA,,
AA 6110,Legal Issues in the Arts,,AA,,
AA 6210,Grant Writing,,AA,,
AA 6220,Fundraising and Event Planning,,AA,,
AA 6800,Board Relations and Planning,,AA,,
AA 6810,Principles of Marketing for Arts and Culture,,AA,,
AA 6830,Digital Marketing for Arts and Culture Organizations,,AA,,
AA 6850,Professional Development and Projects,,AA,,
AA 6890,Professional Arts Internship,,AA,,
AA 6900,Capstone: Master of Fine Arts,,AA,,
AA 6920,Special Projects in Arts Administration,,AA,,
AA 6940,Capstone: Master of Arts,,AA,,
AA 6980,Degree Defense,,AA,,
ACCT 2000,Survey of Accounting,,ACCT,,
ACCT 2010,Accounting Principles,,ACCT,,
ACCT 2020,Managerial Accounting,,ACCT,,
ACCT 3010,Financial Accounting I,,ACCT,,
ACCT 3020,Financial Accounting II,,ACCT,,
ACCT 3100,Accounting Information Systems,,ACCT,,
ACCT 3200,Tax I,,ACCT,,
ACCT 3300,Cost,,ACCT,,
ACCT 3350,Business Law and Ethics,,ACCT,,
ACCT 3510,Accounting Data Analytics,,ACCT,,
ACCT 4030,Advanced Accounting,,ACCT,,
ACCT 4200,Tax Research and Advanced Topics,,ACCT,,
ACCT 4400,Auditing I,,ACCT,,
ACCT 4890,Internship,,ACCT,,
ACCT 4900,Special Topics,,ACCT,,
ACCT 4950,Professionalism in Accounting,,ACCT,,
ACCT 6000,Foundations of Accounting,,ACCT,,
ACCT 6100,Management Accounting,,ACCT,,
ACCT 6210,Corporate Tax I,,ACCT,,
ACCT 6230,Tax Procedure,,ACCT,,
ACCT 6240,Estate and Gift Taxes,,ACCT,,
ACCT 6260,Taxes for Pass Through Entities,,ACCT,,
ACCT 6270,Tax Seminar,,ACCT,,
ACCT 6290,Property Transactions,,ACCT,,
ACCT 6320,Advanced Cost Accounting,,ACCT,,
ACCT 6360,Business Law II,,ACCT,,
ACCT 6400,Auditing II,,ACCT,,
ACCT 6450,Forensic Accounting,,ACCT,,
ACCT 6510,Advanced Accounting Data Analytics,,ACCT,,
ACCT 6600,Practice and Theory Seminar,,ACCT,,
ACCT 6650,Accounting Ethics Seminar,,ACCT,,
ACCT 6700,Graduate Reading,,ACCT,,
ACCT 6890,Accounting Internship Program,,ACCT,,
ACCT 6900,Special Topics,,ACCT,,
ACEN 3040,Advanced Oral Fluency and Accuracy Workshop,,ACEN,,
ACEN 3110,Writing and Research Workshop,,ACEN,,
ACEN 3120,Strategic Reading Workshop,,ACEN,,
ACEN 3140,Presentation and Pronunciation Workshop,,ACEN,,
ACEN 3150,Language Strategies and Culture Workshop,,ACEN,,
AERO 1000,Leadership Laboratory 1A,,AERO,,
AERO 1010,Leadership Laboratory 1B,,AERO,,
AERO 1100,The Foundation of the USAF A,,AERO,,
AERO 1110,The Foundation of the USAF B,,AERO,,
AERO 1435,Physical Training,,AERO,,
AERO 2000,Leadership Laboratory 2A,,AERO,,
AERO 2010,Leadership Laboratory 2B,,AERO,,
AERO 2100,The Evolution of USAF Air and Space Power A,,AERO,,
AERO 2110,The Evolution of USAF Air and Space Power B,,AERO,,
AERO 3000,Leadership Laboratory 3A,,AERO,,
AERO 3010,Leadership Laboratory 3B,,AERO,,
AERO 3055,Honor Guard,,AERO,,
AERO 3100,Management and Leadership A,,AERO,,
AERO 3110,Management and Leadership B,,AERO,,
AERO 4005,Leadership Laboratory 4A,,AERO,,
AERO 4015,Leadership Laboratory 4B,,AERO,,
AERO 4100,National Security Affairs A,,AERO,,
AERO 4110,National Security Affairs B,,AERO,,
AGSC 1010,Agriculture and Society,,AGSC,,
AGSC 1100,Principles of Animal Science,,AGSC,,
AGSC 1110,Crop Production,,AGSC,,
AGSC 1115,Crop Production Lab,,AGSC,,
AGSC 1200,Introduction to Swine Production,,AGSC,,
AGSC 1750,Horsemanship I,,AGSC,,
AGSC 1800,Introduction to Horticulture,,AGSC,,
AGSC 1950,Agriculture Enterprise Practicum Production,,AGSC,,
AGSC 1990,Agriculture Leadership,,AGSC,,
AGSC 2200,Advanced Swine Production,,AGSC,,
AGSC 2600,Swine Production Practices,,AGSC,,
AGSC 2630,Horse Production Practices,,AGSC,,
AGSC 2640,Livestock Production Practices,,AGSC,,
AGSC 2650,Livestock Production Practices II,,AGSC,,
AGSC 2760,Horsemanship II,,AGSC,,
AGSC 2820,Artificial Insemination of Cattle,,AGSC,,
AGSC 2890,Agricultural Internship,,AGSC,,
AGSC 2920,Agriculture Science Workshop,,AGSC,,
AGSC 2950,Equine Practicum,,AGSC,,
AGSC 3020,Agribusiness Management,,AGSC,,
