courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
SEM 100,Selected Topics,"(1, 6)",Other Courses,,
AAA 101,Introduction to Asian/Asian-American Studies,"(3, 3)",Asian/Asian American Studies,,
AAA 200,Selected Topics,"(1, 6)",Asian/Asian American Studies,,
AAA 300,Selected Topics,"(1, 6)",Asian/Asian American Studies,,
AAA 307,Asian Americans and Social Stratification,"(3, 3)",Asian/Asian American Studies,,
AAA 380,International Course,"(1, 12)",Asian/Asian American Studies,,
AAS 112,Introduction to African American Studies,"(3, 3)",African American Studies,,
AAS 138,Writing About Black Culture,"(3, 3)",African American Studies,,
AAS 200,Selected Topics,"(1, 6)",African American Studies,,
AAS 202,Caribbean Society Since Independence,"(3, 3)",African American Studies,,
AAS 206,Introduction to African American Music,"(3, 3)",African American Studies,,
AAS 207,A Survey of African Music,"(3, 3)",African American Studies,,
AAS 213,Africa: Ancient Times to 1800,"(3, 3)",African American Studies,,
AAS 214,Modern Africa: 1800 - Present,"(3, 3)",African American Studies,,
AAS 231,African American Literature to 1900: An Introduction,"(3, 3)",African American Studies,,
AAS 232,African American Literature: Twentieth and Twenty-First Centuries,"(3, 3)",African American Studies,,
AAS 233,The Caribbean Novel,"(3, 3)",African American Studies,,
AAS 234,African Fiction,"(3, 3)",African American Studies,,
AAS 235,African American Drama,"(3, 3)",African American Studies,,
AAS 241,African Religions: An Introduction,"(2007, 8)",African American Studies,,
AAS 254,Comparative Study of American Ethnic Communities,"(3, 3)",African American Studies,,
AAS 290,Independent Study,"(1, 6)",African American Studies,,
AAS 300,Selected Topics,"(1, 6)",African American Studies,,
AAS 302,Contemporary African American Theater,"(3, 3)",African American Studies,,
AAS 303,Black Women Writers,"(3, 3)",African American Studies,,
AAS 304,Workshop:African American Theater,"(3, 3)",African American Studies,,
AAS 305,African Orature,"(3, 3)",African American Studies,,
AAS 306,African American Politics,"(3, 3)",African American Studies,,
AAS 307,African Women Writers,"(3, 3)",African American Studies,,
AAS 309,"Race, Gender and Sexuality in the African Diaspora","(3, 3)",African American Studies,,
AAS 310,Elements of Theater Production,"(3, 3)",African American Studies,,
AAS 312,Pan Africanism,"(3, 3)",African American Studies,,
AAS 327,History of Southern Africa,"(3, 3)",African American Studies,,
AAS 331,The African American Novel: Twentieth and Twenty-First Centuries,"(2004, 5)",African American Studies,,
AAS 332,African American History: Through the 19th Century,"(3, 3)",African American Studies,,
AAS 333,African American History: After the 19th Century,"(3, 3)",African American Studies,,
AAS 338,Creative Writing Workshop,"(3, 3)",African American Studies,,
AAS 341,Politics of Africa,"(3, 3)",African American Studies,,
AAS 345,African American Religious History,"(3, 3)",African American Studies,,
AAS 346,Comparative Third World Politics,"(3, 3)",African American Studies,,
AAS 353,Sociology of the African American Experience,"(2004, 5)",African American Studies,,
AAS 361,Art of the Black World,"(3, 3)",African American Studies,,
AAS 364,African International Relations,"(3, 3)",African American Studies,,
AAS 365,International Political Economy of the Third World,"(3, 3)",African American Studies,,
AAS 367,Protest Movements and African American Art and Literature,"(3, 3)",African American Studies,,
AAS 380,International Course,"(1, 12)",African American Studies,,
AAS 390,Independent Study,"(1, 6)",African American Studies,,
AAS 400,Selected Topics,"(1, 6)",African American Studies,,
AAS 401,Research in African American Studies,"(3, 3)",African American Studies,,
AAS 402,Slavery and Abolition,"(3, 3)",African American Studies,,
AAS 403,African and Caribbean Women Writers,"(3, 3)",African American Studies,,
AAS 408,Masters of American Black Music,"(3, 3)",African American Studies,,
AAS 409,African American Jazz and Social Life,"(3, 3)",African American Studies,,
AAS 410,Seminar on Social Change,"(3, 3)",African American Studies,,
AAS 411,The Music and Life of Prince,"(3, 3)",African American Studies,,
AAS 412,"Hurricane Katrina: Race, Class, Gender & Disaster","(3, 3)",African American Studies,,
AAS 413,There Goes the Neighborhood: US Residential Segregation,"(3, 3)",African American Studies,,
AAS 414,African American Popular Culture,"(3, 3)",African American Studies,,
AAS 416,"Race, Crime and Punishment","(3, 3)",African American Studies,,
AAS 417,Human Rights in the Americas,"(3, 3)",African American Studies,,
AAS 425,”Revolt of the Black Athlete”: Africana Studies and the History and Culture of Sport,"(3, 3)",African American Studies,,
AAS 426,African American Urban History,"(3, 3)",African American Studies,,
AAS 427,New York City: Black Women Domestic Workers,"(3, 3)",African American Studies,,
AAS 433,Harlem Renaissance:Literature and Ideology,"(2004, 5)",African American Studies,,
AAS 434,Underground Railroad,"(3, 3)",African American Studies,,
AAS 445,"The Caribbean: Sex Workers, Transnational Capital, and Tourism","(3, 3)",African American Studies,,
AAS 465,The Image of Blacks in Art and Film,"(3, 3)",African American Studies,,
AAS 470,Experience Credit,"(1, 6)",African American Studies,,
AAS 480,International Course,"(1, 12)",African American Studies,,
AAS 490,Independent Study,"(1, 6)",African American Studies,,
AAS 499,Honors Capstone Project,"(1, 3)",African American Studies,,
AAS 500,Selected Topics,"(1, 6)",African American Studies,,
AAS 501,African American Sociological Practice:1900-45,"(3, 3)",African American Studies,,
AAS 503,"Black Paris: Studies in Literature, Culture and Intellectual Life","(2004, 5)",African American Studies,,
AAS 510,Studies in African American History,"(3, 3)",African American Studies,,
AAS 511,Black Intellectual Thought In Music,"(3, 3)",African American Studies,,
AAS 512,African American Women’s History,"(2007, 8)",African American Studies,,
AAS 513,Toni Morrison: Black Book Seminar,"(2004, 5)",African American Studies,,
AAS 525,Research Methods in African American Studies,"(3, 3)",African American Studies,,
AAS 540,Seminar:African American Studies,"(3, 4)",African American Studies,,
AAS 580,International Course,"(1, 12)",African American Studies,,
AAS 590,Independent Study,"(1, 6)",African American Studies,,
ACC 151,Introduction to Financial Accounting,"(4, 4)",Accounting,,
ACC 201,Essentials of Accounting,"(3, 3)",Accounting,,
ACC 252,Intro to Managerial Acc,"(3, 3)",Accounting,,
ACC 356,Intermediate Financial Accounting I,"(3, 3)",Accounting,,
ACC 357,Intermediate Financial Accounting II,"(3, 3)",Accounting,,
ACC 363,Cost Analysis & Control,"(3, 3)",Accounting,,
ACC 383,ESG Reporting,"(3, 3)",Accounting,,
ACC 385,Principles of Taxation,"(3, 3)",Accounting,,
ACC 425,Accounting Information Systems,"(3, 3)",Accounting,,
ACC 452,Accounting Analytics,"(3, 3)",Accounting,,
ACC 476,Auditing Theory/Practice,"(3, 3)",Accounting,,
ACC 477,Advanced Financial Accounting,"(3, 3)",Accounting,,
ACC 481,Taxation of Business Entities,"(3, 3)",Accounting,,
ACC 485,Financial Statement Analysis,"(3, 3)",Accounting,,
ACC 486,Accounting Advisory,"(3, 3)",Accounting,,
ACC 499,Honors Capstone Project,"(1, 3)",Accounting,,
ADV 200,Selected Topics,"(1, 6)",Advertising,,
ADV 201,Best Advertisements in the Universe,"(3, 3)",Advertising,,
CAR 501,Animation Workshop II,"(3, 3)",Computer Art,,
CAR 502,Visual Effects Workshop II,"(3, 3)",Computer Art,,
CAR 530,Special Topics in Digital Art,"(3, 12)",Computer Art,,
CAS 101,First Year Forum,"(1, 1)",College Of Arts And Sciences,,
CAS 102,Summer Start Seminar,"(1, 1)",College Of Arts And Sciences,,
CAS 104,Generation One Scholars Learning Community Seminar,"(1, 1)",College Of Arts And Sciences,,
CAS 133,Introduction to the History of Architecture I,"(3, 3)",College Of Arts And Sciences,,
