courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 601,Financial Reporting I,"(3, 3)",Accounting,Graduate,
ACCT 602,Financial Reporting II,"(3, 3)",Accounting,Graduate,
ACCT 603,Energy Accounting,"(3, 3)",Accounting,Graduate,
ACCT 604,Auditing,"(3, 3)",Accounting,Graduate,
ACCT 605,Income Tax,"(3, 3)",Accounting,Graduate,
ACCT 607,Seminar in Auditing,"(3, 3)",Accounting,Graduate,
ACCT 608,Internal Auditing,"(3, 3)",Accounting,Graduate,
ACCT 610,Financial Accounting,"(1, 3)",Accounting,Graduate,
ACCT 611,Management of Taxation,"(3, 3)",Accounting,Graduate,
ACCT 612,Partnership and Real Estate Taxation,"(3, 3)",Accounting,Graduate,
ACCT 615,Contemporary Tax Topics,"(3, 3)",Accounting,Graduate,
ACCT 620,Management Accounting and Control,"(1, 3)",Accounting,Graduate,
ACCT 621,Corporate Taxation I,"(3, 3)",Accounting,Graduate,
ACCT 622,Accounting for Income Taxes,"(3, 3)",Accounting,Graduate,
ACCT 624,Tax Technology and Analytics,"(3, 3)",Accounting,Graduate,
ACCT 625,Professional Accounting Seminar,"(1, 1)",Accounting,Graduate,
ACCT 628,Business Application Modeling,"(3, 3)",Accounting,Graduate,
ACCT 629,Controls and Audit Technology,"(3, 3)",Accounting,Graduate,
ACCT 640,Accounting Concepts and Procedures I,"(3, 3)",Accounting,Graduate,
ACCT 644,Control and Audit of Information Systems,"(3, 3)",Accounting,Graduate,
ACCT 646/IBUS 646,International Accounting,"(3, 3)",Accounting,Graduate,
ACCT 647/FINC 647,Financial Statement Analysis,"(3, 3)",Accounting,Graduate,
ACCT 648,Accounting Information Systems,"(3, 3)",Accounting,Graduate,
ACCT 650,Accounting Ethics,"(3, 3)",Accounting,Graduate,
ACCT 651,Development of Accounting Thought,"(3, 3)",Accounting,Graduate,
ACCT 657,Accounting Data Analytics,"(3, 3)",Accounting,Graduate,
ACCT 658,Advanced Accounting Data Analytics,"(3, 3)",Accounting,Graduate,
ACCT 659,Introduction to Academic Research,"(3, 3)",Accounting,Graduate,
ACCT 660,Accounting Information and Financial Markets,"(3, 3)",Accounting,Graduate,
ACCT 665,Research Methodology I,"(3, 3)",Accounting,Graduate,
