courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 2101,Financial Accounting,"(3, 3)",Accounting,,
ACCT 2102,Managerial Accounting,"(3, 3)",Accounting,,
ACCT 2103,Financial and Managerial Accounting for Decision Making,"(4, 4)",Accounting,,
ACCT 2501,Survey of Accounting,"(3, 3)",Accounting,,
ACCT 2521,Cost Accounting,"(3, 3)",Accounting,,
ACCT 2901,Honors Financial Accounting,"(3, 3)",Accounting,,
ACCT 2902,Honors Managerial Accounting,"(3, 3)",Accounting,,
ACCT 2903,Honors Financial and Managerial Accounting for Decision Making,"(4, 4)",Accounting,,
ACCT 3511,Intermediate Accounting I,"(3, 3)",Accounting,,
ACCT 3512,Intermediate Accounting II,"(3, 3)",Accounting,,
ACCT 3526,Accounting Information Systems,"(3, 3)",Accounting,,
ACCT 3531,Federal Taxes on Income,"(3, 3)",Accounting,,
ACCT 3532,Topics in Taxation,"(3, 3)",Accounting,,
ACCT 3533,Advanced Financial Accounting,"(3, 3)",Accounting,,
ACCT 3534,Information Systems and Controls for Accounting Professionals,"(3, 3)",Accounting,,
ACCT 3561,International Accounting,"(3, 3)",Accounting,,
ACCT 3580,Special Topics - Accounting,"(1, 3)",Accounting,,
ACCT 3581,Co-operative Experience in Accounting,"(3, 3)",Accounting,,
ACCT 3582,Independent Study,"(1, 6)",Accounting,,
ACCT 3596,Auditing,"(3, 3)",Accounting,,
ACCT 3911,Honors Intermediate Accounting I,"(3, 3)",Accounting,,
ACCT 3999,Honors Thesis I,"(1, 3)",Accounting,,
ACCT 4501,Accounting Analytics Senior Seminar,"(3, 3)",Accounting,,
ACCT 4502,Strategic Financial Management Accounting,"(3, 3)",Accounting,,
ACCT 4999,Honors Senior Thesis II,"(1, 3)",Accounting,,
ACCT 5001,Accounting for Managerial and Investment Analysis and Planning,"(3, 3)",Accounting,,
ACCT 5003,Financial Accounting,"(3, 3)",Accounting,,
ACCT 5004,Managerial Decision Making Using Accounting Information,"(1, 3)",Accounting,,
ACCT 5101,Financial Accounting Theory,"(3, 4)",Accounting,,
ACCT 5102,Advanced Financial Accounting,"(3, 3)",Accounting,,
ACCT 5107,Accounting for Third Party Reimbursements,"(3, 3)",Accounting,,
ACCT 5108,Acct in an ERP Environment,"(3, 3)",Accounting,,
ACCT 5111,Concepts and Analysis of Financial Statements,"(3, 3)",Accounting,,
ACCT 5112,Federal Taxation,"(2, 3)",Accounting,,
ACCT 5121,"Budgeting, Planning and Forecasting","(3, 3)",Accounting,,
ACCT 5123,Auditing Theory and Practice,"(3, 3)",Accounting,,
ACCT 5125,Applied Data Driven Decision Making,"(3, 3)",Accounting,,
ACCT 5126,Strat Use Equity Comp,"(3, 3)",Accounting,,
ACCT 5127,International Financial Reporting Standards (IFRS),"(1, 3)",Accounting,,
ACCT 5170,Special Topics,"(1, 6)",Accounting,,
ACCT 5180,Special Topics,"(1, 6)",Accounting,,
ACCT 5182,Independent Study,"(1, 6)",Accounting,,
ACCT 5190,Special Topics - Accounting,"(1, 6)",Accounting,,
ACCT 5201,Advanced Studies in Financial Reporting,"(3, 3)",Accounting,,
ACCT 5202,Enterprise Systems and Data Analytics,"(3, 3)",Accounting,,
ACCT 5203,Professional Skills Development,"(1, 4)",Accounting,,
ACCT 5204,Advanced Auditing and Assurance Services,"(3, 3)",Accounting,,
ACCT 5205,Advanced Federal Taxation,"(3, 3)",Accounting,,
ACCT 5206,Law Ethics & Regulations,"(3, 3)",Accounting,,
ACCT 5207,Concepts and Analysis of Financial Statements,"(3, 3)",Accounting,,
ACCT 5208,Strategic Technology and Performance Management,"(3, 3)",Accounting,,
ACCT 5209,Taxes & Business Strategy,"(2, 2)",Accounting,,
ACCT 5211,Advanced Data Analytics and Innovation in Accounting,"(3, 3)",Accounting,,
ACCT 5282,Independent Study,"(1, 3)",Accounting,,
ACCT 5287,Colloquium on Current Issues in Accounting Practice,"(1, 3)",Accounting,,
ACCT 5411,Financial and Managerial Accounting in Decision Making,"(3, 3)",Accounting,,
ACCT 5601,Identifying and Managing Cross-Enterprise Risks,"(3, 3)",Accounting,,
ACCT 5611,Applied Management Accounting I,"(2, 2)",Accounting,,
ACCT 5612,Applied Management Accounting II,"(2, 2)",Accounting,,
ACCT 5801,Fin Info Reporting & Analysis,"(3, 3)",Accounting,,
ACCT 5802,Strategic Cost Analysis for Enterprise Management,"(3, 3)",Accounting,,
ACCT 5882,Independent Study,"(1, 6)",Accounting,,
ACCT 5890,Special Topics,"(1, 6)",Accounting,,
ACCT 9001,Interdisciplinary Accounting Research,"(3, 3)",Accounting,,
ACCT 9002,Seminar in Financial Accounting Theory,"(3, 3)",Accounting,,
ACCT 9003,Seminar in Research Methods - Accounting,"(3, 3)",Accounting,,
ACCT 9011,Proseminar in Accounting,"(1, 3)",Accounting,,
ACCT 9090,Seminar - Special Topics in Accounting,"(1, 6)",Accounting,,
ACCT 9183,Directed Study in Accounting,"(1, 6)",Accounting,,
AS 1501,Actuarial Probability,"(3, 3)",Actuarial Science,,
AS 1601,Introduction to Actuarial Spreadsheets and Programming,"(1, 1)",Actuarial Science,,
AS 1901,Honors Introduction to Actuarial Science,"(3, 3)",Actuarial Science,,
AS 2101,Actuarial Probability and Statistics II,"(3, 3)",Actuarial Science,,
AS 2502,Theory of Interest,"(3, 3)",Actuarial Science,,
AS 2503,Actuarial Corporate Finance,"(3, 3)",Actuarial Science,,
AS 2505,Actuarial Statistics,"(3, 3)",Actuarial Science,,
AS 3501,Long-Term Actuarial Modeling,"(3, 3)",Actuarial Science,,
AS 3502,Advanced Long-Term Actuarial Modeling,"(3, 3)",Actuarial Science,,
AS 3503,Short-Term Actuarial Modeling,"(3, 3)",Actuarial Science,,
AS 3504,Actuarial Analytics,"(3, 3)",Actuarial Science,,
AS 3580,Special Topics: Actuarial Science,"(3, 3)",Actuarial Science,,
AS 3582,Independent Study,"(1, 6)",Actuarial Science,,
AS 3596,Actuarial Practice: Property and Liability,"(3, 3)",Actuarial Science,,
AS 3597,Actuarial Practice: Group & Health Benefits,"(3, 3)",Actuarial Science,,
AS 3999,Honors Thesis I,"(1, 3)",Actuarial Science,,
AS 4503,Advanced Short-Term Actuarial Modeling,"(3, 3)",Actuarial Science,,
AS 4504,Advanced Actuarial Analytics,"(3, 3)",Actuarial Science,,
AS 4999,Honors Senior Thesis II,"(1, 3)",Actuarial Science,,
AS 5001,Actuarial Probability,"(3, 3)",Actuarial Science,,
AS 5015,Introduction to Actuarial Spreadsheets and Programming,"(1, 1)",Actuarial Science,,
AS 5022,Actuarial Statistics,"(3, 3)",Actuarial Science,,
AS 5101,Theory of Interest,"(3, 3)",Actuarial Science,,
AS 5102,Long-Term Actuarial Modeling,"(3, 3)",Actuarial Science,,
AS 5103,Advanced Long-Term Actuarial Modeling,"(3, 3)",Actuarial Science,,
AS 5104,Short-Term Actuarial Modeling,"(3, 3)",Actuarial Science,,
AS 5105,Actuarial Economics,"(3, 3)",Actuarial Science,,
AS 5106,Actuarial Corporate Finance,"(2, 2)",Actuarial Science,,
AS 5108,Actuarial Analytics,"(3, 3)",Actuarial Science,,
AS 5114,Advanced Short-Term Actuarial Modeling,"(3, 3)",Actuarial Science,,
AS 5116,Financial Reporting for Actuaries,"(1, 1)",Actuarial Science,,
AS 5118,Advanced Actuarial Analytics,"(3, 3)",Actuarial Science,,
AS 5126,Option Pricing,"(1, 1)",Actuarial Science,,
AS 5170,Special Topics,"(3, 3)",Actuarial Science,,
AS 5180,Special Topics,"(3, 3)",Actuarial Science,,
AS 5182,Independent Study,"(1, 6)",Actuarial Science,,
AS 5190,Special Topics in Actuarial Science,"(3, 3)",Actuarial Science,,
AS 5191,Mentored Research,"(1, 6)",Actuarial Science,,
AS 5282,Independent Study,"(1, 3)",Actuarial Science,,
AS 5685,Actuarial Internship,"(1, 3)",Actuarial Science,,
