courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 505,Accounting Essentials,1.5,Accounting,Graduate,
ACCT 510,Intermediate Accounting I,3,Accounting,Graduate,
ACCT 511,Intermediate Accounting Ii,3,Accounting,Graduate,
ACCT 512,Auditing/Accounting Information Systems,3,Accounting,Graduate,
ACCT 513,Intermediate Accounting Iii,3,Accounting,Graduate,
ACCT 601,Forensic Accounting Principles,3,Accounting,Graduate,
ACCT 605,Performance Management And Accounting Contrls,3,Accounting,Graduate,
ACCT 611,Data Science Toolkit I,1.5,Accounting,Graduate,
ACCT 612,Data Science Toolkit Ii,1.5,Accounting,Graduate,
ACCT 624,Finance And Accounting Analytics,3,Accounting,Graduate,
ACCT 630,Contemporary Issues In Financial Accounting,3,Accounting,Graduate,
ACCT 635,Financial Statement Analysis,3,Accounting,Graduate,
ACCT 650,Law And Professional Responsibility,3,Accounting,Graduate,
ACCT 655,Tax Policy,3,Accounting,Graduate,
ACCT 680,Taxation Of Entities,3,Accounting,Graduate,
ACCT 695,Independent Research In Accounting,1-3,Accounting,Graduate,
ACCT 697,Graduate Accounting Internship,3,Accounting,Graduate,
ACCT 701,Accounting Ethics,3,Accounting,Graduate,
ACCT 702,Federal And State Government Accounting,3,Accounting,Graduate,
ACCT 712,International Financial Reporting,3,Accounting,Graduate,
ACCT 720,Design Of Managerial Cost And Control Systems,3,Accounting,Graduate,
ACCT 722,Visual Business Intelligence,3,Accounting,Graduate,
ACCT 730,Financial Statement Analytics And Valuation,3,Accounting,Graduate,
ACCT 740,Advanced Topics In Assurance Services,3,Accounting,Graduate,
ACCT 750,Forensic Accounting,3,Accounting,Graduate,
ACCT 752,Advanced Topics In Accounting Systems,3,Accounting,Graduate,
ACCT 755,Governmental And Not-For-Profit Accounting,3,Accounting,Graduate,
ACCT 770,Seminar In Current Topics In Accounting,3,Accounting,Graduate,
ACCT 780,Sustainability Accounting,3,Accounting,Graduate,
ACCT 797,Special Topics In Accounting,3,Accounting,Graduate,
ACCT 799,Individual Research,1-3,Accounting,Graduate,
AFST 511,Topics In African And African American Studies,3,African and African-American Studies,Graduate,
AHLT 513,Clinical Program Plan & Evaluation,3,Allied Health,Graduate,
AHLT 515,Financial Management For The Allied Health Professional,3,Allied Health,Graduate,
AHLT 545,Research Methods In Allied Health,3,Allied Health,Graduate,
AHLT 570,Special Topics In Allied Health,1-3,Allied Health,Graduate,
ANTH 501,Anthropological Theory,3,Anthropology,Graduate,
ANTH 530,Topics In Anthropology,3,Anthropology,Graduate,
ANTH 564,"Religion, Magic And Witchcraft",3,Anthropology,Graduate,
ANTH 567,Peoples Of The Middle East,3,Anthropology,Graduate,
ANTH 568,Globalization In Cross-Culture Perspective,3,Anthropology,Graduate,
ANTH 570,Special Topics In Anthropology,1-3,Anthropology,Graduate,
ANTH 591,Internship In Anthropology I,3,Anthropology,Graduate,
ANTH 592,Internship In Anthropology Ii,3,Anthropology,Graduate,
ANTH 595,Independent Research,3,Anthropology,Graduate,
AIT 500,Fundamentals Of Computer Programming And Data Structures,6,Applied Information Technology,Graduate,
AIT 600,Information Technology Infrastructure,3,Applied Information Technology,Graduate,
AIT 610,Systems Development Process,3,Applied Information Technology,Graduate,
AIT 612,Information Systems Vulnerability And Risk Analysis,3,Applied Information Technology,Graduate,
AIT 613,Introduction To Software Security,3,Applied Information Technology,Graduate,
AIT 614,Network Security,3,Applied Information Technology,Graduate,
AIT 616,Fundamentals Of Web Technologies And Development,3,Applied Information Technology,Graduate,
AIT 618,Client/Server-Side Programming On The Web,3,Applied Information Technology,Graduate,
AIT 620,Business Data Communications,3,Applied Information Technology,Graduate,
AIT 622,Networks Architecture And Protocols,3,Applied Information Technology,Graduate,
AIT 624,Software Engineering Fundamentals,3,Applied Information Technology,Graduate,
AIT 628,Information Technology And Business Strategy,3,Applied Information Technology,Graduate,
AIT 630,Information Technology Project Management,3,Applied Information Technology,Graduate,
AIT 632,Database Management Systems,3,Applied Information Technology,Graduate,
AIT 641,Software Requirements Engineering,3,Applied Information Technology,Graduate,
AIT 642,Software Testing And Maintenance,3,Applied Information Technology,Graduate,
AIT 643,Enterprise Architecture,3,Applied Information Technology,Graduate,
AIT 644,Health Information Technology,3,Applied Information Technology,Graduate,
AIT 645,Healthcare Data Analytics,3,Applied Information Technology,Graduate,
AIT 650,Computer & Network Forensics And Incident Response,3,Applied Information Technology,Graduate,
AIT 652,"Ethics, Law And Policy In Cyberspace",3,Applied Information Technology,Graduate,
AIT 655,Managing Information Security,3,Applied Information Technology,Graduate,
AIT 660,Mobile Device Forensics,3,Applied Information Technology,Graduate,
AIT 665,Cloud Computing,3,Applied Information Technology,Graduate,
AIT 670,Special Topics In Applied Information Technology,3,Applied Information Technology,Graduate,
AIT 695,Independent Study In Applied Information Technology,3,Applied Information Technology,Graduate,
AIT 697,Graduate Internship,3,Applied Information Technology,Graduate,
AIT 710,Case Studies In Information Security,3,Applied Information Technology,Graduate,
AIT 715,Case Studies In Internet Applications,3,Applied Information Technology,Graduate,
AIT 720,Case Studies In Networking Technology,3,Applied Information Technology,Graduate,
AIT 725,Case Studies In Software Engineering,3,Applied Information Technology,Graduate,
AIT 730,Case Studies In Information Systems,3,Applied Information Technology,Graduate,
AIT 732,Advanced Database Management Systems,3,Applied Information Technology,Graduate,
AIT 735,Case Studies In Database Management Systems,3,Applied Information Technology,Graduate,
AIT 740,Case Studies On Healthcare Information Technologies,3,Applied Information Technology,Graduate,
AIT 745,Case Studies In Computer Forensics,3,Applied Information Technology,Graduate,
AIT 790,"Research Methodology, It Technical Writing And Presentation",3,Applied Information Technology,Graduate,
AIT 880,Graduate Project,3-6,Applied Information Technology,Graduate,
AIT 885,Project Continuum,1,Applied Information Technology,Graduate,
AIT 890,Pre-Dissertation Research Rotation,3-6,Applied Information Technology,Graduate,
AIT 895,Doctoral Independent Study,3-6,Applied Information Technology,Graduate,
AIT 997,Dissertation,3-6,Applied Information Technology,Graduate,
AIT 999,Dissertation Continuum,1,Applied Information Technology,Graduate,
ART 500,Ceramic Raw Materials,3,Art,Graduate,
ART 507,Materials: Concept And Process,3,Art,Graduate,
ART 508,Ceramics: Sculpture,3,Art,Graduate,
ART 513,Electroforming And Enameling,3,Art,Graduate,
ART 514,Advanced Studio,2-3,Art,Graduate,
ART 515,Advanced Studio,2-3,Art,Graduate,
ART 516,Advanced Studio,2-3,Art,Graduate,
ART 534,Photo Imaging - Concepts I,3,Art,Graduate,
ART 536,Photo Imaging - Portfolio,3,Art,Graduate,
ART 543,Interactive Media: Theory And Application,3,Art,Graduate,
ART 547,Screen Process Ii,3,Art,Graduate,
ART 549,Relief Process Ii,3,Art,Graduate,
ART 553,Lithograpy Process Ii,3,Art,Graduate,
ART 555,New Directions In Printmaking,3,Art,Graduate,
ART 556,Artist Books,3,Art,Graduate,
ART 557,Graphic Design Iii,3,Art,Graduate,
ART 561,Digital Object Design Ii,3,Art,Graduate,
ART 573,Illustration Ii,3,Art,Graduate,
ART 578,"New Directions In Painting, Experimental Media And Art I",3,Art,Graduate,
ART 602,Elements Of Visual Design,3,Art,Graduate,
ART 608,Graduate Ceramics I,3,Art,Graduate,
ART 610,Foundations Of User Experience (Ux) Design,3,Art,Graduate,
ART 611,Graduate Drawing I,3,Art,Graduate,
ART 614,Graduate Studio,2-3,Art,Graduate,
ART 615,Graduate Studio,2-3,Art,Graduate,
ART 616,Graduate Studio,2-3,Art,Graduate,
ART 620,User Experience (Ux) Typography,3,Art,Graduate,
ART 622,Graduate Exhibition Design,3,Art,Graduate,
ART 629,Graduate Painting I,3,Art,Graduate,
ART 630,Watercolor,3,Art,Graduate,
ART 635,Graduate Experimental Directions,3,Art,Graduate,
ART 640,Graduate Sculpture I,3,Art,Graduate,
ART 641,"User Experience (Ux) Design, Theory And Methods",3,Art,Graduate,
ART 650,"Graduate Intaglio, Relief I",3,Art,Graduate,
ART 653,"Graphics: Lithography, Serigraphy",3,Art,Graduate,
ART 671,Graduate Programming For Design,3,Art,Graduate,
ART 673,Graduate Illustration I,3,Art,Graduate,
ART 678,"New Directions In Painting, Experimental Media And Art Ii",3,Art,Graduate,
ART 685,Graduate Information + Interface Design Ii,3,Art,Graduate,
ART 694,Graduate Travel Study,3-6,Art,Graduate,
ART 711,Graduate Drawing Ii,3,Art,Graduate,
ART 715,Mfa Studio I,3,Art,Graduate,
ART 729,Graduate Painting Ii,3,Art,Graduate,
ART 750,"Graduate Intaglio, Relief Ii",3,Art,Graduate,
ART 761,Digital Object Design Ii,3,Art,Graduate,
ART 765,User Interface (Ui) Design,3,Art,Graduate,
ART 766,Advanced Projects In Www Design,3,Art,Graduate,
ART 781,Graduate Illustration Ii,3,Art,Graduate,
ART 782,Art Topics,3,Art,Graduate,
