courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ARCH 1001,Tactile Design in Architecture,,University Catalog 2026-2027,,
ARCH 1002,Digital Design in Architecture,,University Catalog 2026-2027,,
ARCH 1003,Architecture: Real Estate,,University Catalog 2026-2027,,
ARCH 1011,Architecture Studio,,University Catalog 2026-2027,,
ARCH 1012,Architecture Studio,,University Catalog 2026-2027,,
ARCH 1013,Building Belonging: Transitions into the Tulane School of Architecture and Built Environment,,University Catalog 2026-2027,,
ARCH 1110,Intro to Architecture,,University Catalog 2026-2027,,
ARCH 1111,Topics in Architecture History/Theory,,University Catalog 2026-2027,,
ARCH 1112,Topics in Architecture History/Theory,,University Catalog 2026-2027,,
ARCH 1121,History and Theory of Architecture and Urbanism I,,University Catalog 2026-2027,,
ARCH 1901,Special Topics,,University Catalog 2026-2027,,
ARCH 1902,Special Topics,,University Catalog 2026-2027,,
ARCH 1903,Special Topics,,University Catalog 2026-2027,,
ARCH 1904,Special Topics,,University Catalog 2026-2027,,
ARCH 1905,Special Topics,,University Catalog 2026-2027,,
ARCH 1940,Transfer Coursework,,University Catalog 2026-2027,,
ARCH 2021,Architecture Studio,,University Catalog 2026-2027,,
ARCH 2022,Architecture Studio,,University Catalog 2026-2027,,
ARCH 2113,Topics in Architecture History/Theory,,University Catalog 2026-2027,,
ARCH 2114,Topics in Architecture History/Theory,,University Catalog 2026-2027,,
ARCH 2122,History and Theory of Architecture and Urbanism II,,University Catalog 2026-2027,,
ARCH 2211,Site Strategies,,University Catalog 2026-2027,,
ARCH 2212,Materials and Methods,,University Catalog 2026-2027,,
ARCH 2213,"Building, Climate, Comfort",,University Catalog 2026-2027,,
ARCH 2223,"Building, Climate, Comfort Lab",,University Catalog 2026-2027,,
ARCH 2311,Design Media I,,University Catalog 2026-2027,,
ARCH 2322,Digital Media Workshop I,,University Catalog 2026-2027,,
ARCH 2327,Intro to Spatial Painting,,University Catalog 2026-2027,,
ARCH 2890,Service Learning,,University Catalog 2026-2027,,
ARCH 2892,Service Learning,,University Catalog 2026-2027,,
ARCH 2930,Special Topics,,University Catalog 2026-2027,,
ARCH 2931,Special Topics,,University Catalog 2026-2027,,
ARCH 2940,Transfer Coursework,,University Catalog 2026-2027,,
ARCH 3031,Architecture Studio,,University Catalog 2026-2027,,
ARCH 3032,Architecture Studio,,University Catalog 2026-2027,,
ARCH 3130,Architectural Research Methods,,University Catalog 2026-2027,,
ARCH 3142,Contemporary Swiss Architecture,,University Catalog 2026-2027,,
ARCH 3144,Philosophies of Architecture,,University Catalog 2026-2027,,
ARCH 3150,Identity & Agency in Architecture,,University Catalog 2026-2027,,
