courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACC 2301,Accounting in Organizations and Society.,"(3, 3)",Accounting,,
ACC 2361,Introduction to Financial Accounting.,"(3, 3)",Accounting,,
ACC 2362,Introduction to Managerial Accounting.,"(3, 3)",Accounting,,
ACC 3305,Financial Accounting and Reporting.,"(3, 3)",Accounting,,
ACC 3308,Survey of Income Tax.,"(3, 3)",Accounting,,
ACC 3313,Intermediate Accounting I.,"(3, 3)",Accounting,,
ACC 3314,Intermediate Accounting II.,"(3, 3)",Accounting,,
ACC 3323,Data Analytics for Accounting.,"(3, 3)",Accounting,,
ACC 3363,Governmental Accounting.,"(3, 3)",Accounting,,
ACC 3365,Cost/Managerial Accounting.,"(3, 3)",Accounting,,
ACC 3385,Accounting Systems.,"(3, 3)",Accounting,,
ACC 4313,Auditing and Internal Controls.,"(3, 3)",Accounting,,
ACC 4390A,International Accounting.,"(3, 3)",Accounting,,
ACC 5315,Selected Topics in Financial Accounting.,"(3, 3)",Accounting,,
ACC 5316,Advanced Accounting.,"(3, 3)",Accounting,,
ACC 5320,Auditing.,"(3, 3)",Accounting,,
ACC 5323,Accounting Data Analytics.,"(3, 3)",Accounting,,
ACC 5340,Individual Income Tax.,"(3, 3)",Accounting,,
ACC 5350,Professional Accounting Research.,"(3, 3)",Accounting,,
ACC 5352,Financial Statement Reporting and Analysis.,"(3, 3)",Accounting,,
ACC 5355,IT Auditing.,"(3, 3)",Accounting,,
ACC 5357,Regulation and Professionalism.,"(3, 3)",Accounting,,
ACC 5361,Accounting Analysis for Managerial Decision Making.,"(3, 3)",Accounting,,
ACC 5362,Cost and Managerial Accounting Theory.,"(3, 3)",Accounting,,
ACC 5366,Business Entity Taxation.,"(3, 3)",Accounting,,
ACC 5369,Special Studies in Accounting.,"(3, 3)",Accounting,,
ACC 5370,Internship in Accounting.,"(3, 3)",Accounting,,
ACC 5372,Tax Research.,"(3, 3)",Accounting,,
ACC 5373,Fraud Examination.,"(3, 3)",Accounting,,
ACC 5375,Business Information Consulting.,"(3, 3)",Accounting,,
ACC 5377,Partnership Taxation.,"(3, 3)",Accounting,,
ACC 5378,"Tax Practice, Procedures, Audits and Controversy.","(3, 3)",Accounting,,
ACC 5389,Corporate Governance and Ethics.,"(3, 3)",Accounting,,
ACC 5390A,International Accounting.,"(3, 3)",Accounting,,
ACC 5390G,Sustainability Reporting.,"(3, 3)",Accounting,,
ACC 5390L,"Exploring Accounting Oversight in Washington, D.C..","(3, 3)",Accounting,,
ACC 5680,Internship in Accounting.,"(6, 6)",Accounting,,
ADED 4321,Introduction to Adult Learning.,"(3, 3)",Adult Education,,
ADED 4322,Foundations of Human Resources Development.,"(3, 3)",Adult Education,,
ADED 4325,Methods for Teaching Adults.,"(3, 3)",Adult Education,,
ADED 4330,Adult Education Program Planning and Management.,"(3, 3)",Adult Education,,
ADED 4343,Organization Development.,"(3, 3)",Adult Education,,
ADED 4345A,Applied Linguistics for ESL/EFL Teachers of Adults.,"(3, 3)",Adult Education,,
ADED 4345B,Adult Literacy.,"(3, 3)",Adult Education,,
ADED 4384,Internship in Human Resource Development.,"(3, 3)",Adult Education,,
ADED 5199B,Thesis.,"(1, 1)",Adult Education,,
ADED 5299B,Thesis.,"(2, 2)",Adult Education,,
ADED 5314,Community Development for Educators.,"(3, 3)",Adult Education,,
ADED 5321,Adult Learning and Development.,"(3, 3)",Adult Education,,
ADED 5322,Human Resources and Professional Development.,"(3, 3)",Adult Education,,
ADED 5325,Teaching Adults: Principles and Practices.,"(3, 3)",Adult Education,,
ADED 5330,"Planning, Evaluating, and Managing Programs in Adult Education.","(3, 3)",Adult Education,,
ADED 5334,Family Literacy.,"(3, 3)",Adult Education,,
ADED 5335,Applied Research in Adult Education.,"(3, 3)",Adult Education,,
ADED 5337,Adult Literacy.,"(3, 3)",Adult Education,,
ADED 5338,Applied Linguistics for ESL Teachers of Adults.,"(3, 3)",Adult Education,,
ADED 5339,Adult Literacy ESL Assessment and Evaluation.,"(3, 3)",Adult Education,,
ADED 5340,Adult Second Language Acquisition.,"(3, 3)",Adult Education,,
ADED 5342,Adult ESL Methods and Materials.,"(3, 3)",Adult Education,,
ADED 5343,Organizational Learning and Development.,"(3, 3)",Adult Education,,
ADED 5344,Multicultural Perspectives in Postsecondary Education and Adult Education.,"(3, 3)",Adult Education,,
ADED 5345,"Current Issues in Adult, Continuing and Professional Education.","(3, 3)",Adult Education,,
ADED 5346,Adult and Nontraditional Students in Higher Education.,"(3, 3)",Adult Education,,
ADED 5357,Advanced Studies in Action Research.,"(3, 3)",Adult Education,,
ADED 5364,Team Development in Education.,"(3, 3)",Adult Education,,
ADED 5378,Problems in Adult Education.,"(3, 3)",Adult Education,,
ADED 5379,Independent Study.,"(3, 3)",Adult Education,,
ADED 5382,Foundations of Adult Education.,"(3, 3)",Adult Education,,
ADED 5384,Internship in Adult Education.,"(3, 3)",Adult Education,,
ADED 5399A,Thesis.,"(3, 3)",Adult Education,,
ADED 5399B,Thesis.,"(3, 3)",Adult Education,,
ADED 5599B,Thesis.,"(5, 5)",Adult Education,,
ADED 5999B,Thesis.,"(9, 9)",Adult Education,,
ADED 7325,Teaching Adults: Principles and Practices.,"(3, 3)",Adult Education,,
ADED 7337,Adult Literacy.,"(3, 3)",Adult Education,,
ADED 7342,Adult ESL Methods and Materials.,"(3, 3)",Adult Education,,
ADED 7343,Organizational Learning and Development.,"(3, 3)",Adult Education,,
ADED 7344,Multicultural Perspectives in Postsecondary Education and Adult Education.,"(3, 3)",Adult Education,,
ADED 7345,"Current Issues in Adult, Continuing and Professional Education.","(3, 3)",Adult Education,,
ADED 7346,Adult and Nontraditional Students in Higher Education.,"(3, 3)",Adult Education,,
