courseId,courseName,courseDescription,courseCredits,courseSubject,courseLevel,courseCampus
AAST 502,Special Topics,An examination of selected African American topics. Special Topics Course.,"(3, 3)",,Graduate,
AMS 500,Internship,"An internship opportunity that combines independent study and practical field work focusing on a particular problem or topic related to American culture and experience. Recent examples include internships in museum management, historic preservation, archaeological research, television production, category fiction, promotion of academic programs, documentary television, academic public relations, with Alabama Heritage and Louisville magazines, and with the Paul Bryant Museum.","(1, 3)",,Graduate,
AMS 505,Directed Study,No description available. Special Topics Course.,"(1, 3)",,Graduate,
AMS 506,Directed Study,No description available. Special Topics Course.,"(1, 3)",,Graduate,
AMS 507,Landscapes of the South,"This seminar explores the cultural, social, and natural ecology of the Mississippi watershed from St. Louis to the Gulf Coast. This interdisciplinary American Studies course examines the river dubbed “the Body of the Nation,” its history, cultural geography, and geophysical ecology. Through readings in history, literary accounts, and artistic expressions, we explore effects of human interventions in nature and nature’s impact on the course of human events.","(3, 3)",,Graduate,
AMS 512,On The Road,"This course seeks to introduce the breadth and power of the travel culture that defines ""America"" and examines enduring features when writers take to the open road in America.","(3, 3)",,Graduate,
AMS 516,American Environmental Thought,"Popular conceptions of nature hold extraordinary power in shaping our responses and policies toward both the geophysical world and built environments. This interdisciplinary course examines key concepts and controversies in American thought about nature since before colonization. Using accounts from various regions, the course explores evolving conceptions of nature and justice, competing claims about race and class, and changing institutional responses and remedies to environmental degradation in the context of global change.","(3, 3)",,Graduate,
AMS 521,Writer & Artist in America,"This course offers a comparative examination of responses by 20th century literary and visual artists to perceived social crises and challenges to American cultural values, such as sex in the early 20th century American city, working class struggles during the Great Depression, issues of atomic anxiety during the early years of the Cold War, the ethical dilemmas of the Vietnam War, the perils of the AIDS/HIV crisis, and the flourishing of contemporary consumer culture. The course also introduces several important movements in twentieth century American arts and letters, including Naturalism, Modernism, Social Realism, the Beat movement, Social Surrealism, and Postmodernism.","(3, 3)",,Graduate,
AMS 522,Popular Culture in America,"Survey and analysis of 20th century US popular culture including social context and how it has reflected and shaped American society, including gender, race, class and region.","(3, 3)",,Graduate,
AMS 523,The Roots of American Music,"This class surveys American music from ragtime, blues, and hillbilly to Broadway, Hollywood musicals, and swing jazz. Our focus will be on commercial mainstreams and democratic audiences – how selling sound led to different identities being expressed through taste and style. Race, gender, class, sexuality, age, technology, and the music business will all factor as we move from blackface minstrelsy in the 1800s to World War II. We will listen closely to several songs each week, connecting music to larger themes through primary and secondary sources, regular writing, and in-class discussion.","(3, 3)",,Graduate,
AMS 529,American between the Wars,"This course examines a crucial period in the modern American experience beginning with the end of one world war and ending with the beginning of another. Adjusting to modernity required Americans to square old values with new departures, something that makes this period more than merely two decades linked by the calendar and the Stock Market Crash. Top to bottom, between 1919 and 1941, Americans redefined themselves and their society, embraced (some of them) and debated (nearly all of them), often hotly, old beliefs, new conceptions, and the implications of a modern, machine-driven, consumer society. What they argued over then, is what is still argued over, issues and assertions students should find very familiar. Students will look closely at this debate from its origins in post-war prosperity and its evolution through Great Depression scarcity, paying particular attention to such crucial issues as Modernism, consumerism, the growth of American national culture, and the influence of commercialized forms of popular expression on everyday lives and values.","(3, 3)",,Graduate,
AMS 530,Special Topics,Selected American topics in American Studies offered by AMS faculty members or Americanists from related departments. Recent example: Women in America. Special Topics Course.,"(3, 3)",,Graduate,
AMS 531,Studies In Pop Culture,"Research and discussion of selected topics in American popular culture: literature, music, network broadcasting, advertising, film, and drama.","(3, 3)",,Graduate,
AMS 532,Studies In The Arts,"Research and discussion of selected topics in literature, film, painting, photography, and architecture, and the role of the artist in 19th- and 20th-century America.","(3, 3)",,Graduate,
AMS 536,Studies Social Experience,Research and discussion of selected topics in the American social experience.,"(3, 3)",,Graduate,
AMS 539,Urban Spaces,"This interdisciplinary social science course provides an introduction to the cultural and physical ecology of cities, focusing primarily on urbanization in the United States from the late 19th century to the present. Course readings include classical scholars in urbanism and urban design. Contemporary urban environmental histories explore population shifts and land use along the urban gradient from the suburbs to urban centers, with attention to water, sewer, and transportation infrastructure, pollution, and urban sprawl.","(3, 3)",,Graduate,
