courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AC 500,Financial Accounting I,3,Accounting,Graduate,
AC 501,Cost Accounting,3,Accounting,Graduate,
AC 502,Income Taxation I,3,Accounting,Graduate,
AC 504,Accounting Information Systems,3,Accounting,Graduate,
AC 510,Financial Accounting II,3,Accounting,Graduate,
AC 513,Internal Auditing,3,Accounting,Graduate,
AC 514,Governmental and Not-for-Profit Accounting,3,Accounting,Graduate,
AC 523,External Auditing,3,Accounting,Graduate,
AC 530,Intermediate Accounting III,3,Accounting,Graduate,
AC 564,Accounting Internship,3,Accounting,Graduate,
AC 572,Information Technology Auditing,3,Accounting,Graduate,
AC 573,Fraud Examination,3,Accounting,Graduate,
AC 580,Corporate Financial Reporting and Analysis,3,Accounting,Graduate,
AC 590,Advanced Topics in Accounting,3,Accounting,Graduate,
AC 600,Financial Accounting Research,3,Accounting,Graduate,
AC 606,Advanced Auditing and Attestation,3,Accounting,Graduate,
AC 607,Seminar in Financial Accounting,3,Accounting,Graduate,
AC 608,Advanced Topics in Taxation,3,Accounting,Graduate,
AC 609,Professional Standards for CPAs,3,Accounting,Graduate,
AH 701,Administrative Theory,3,Administration Health Services,Graduate,
AH 703,Philosophy of Science,3,Administration Health Services,Graduate,
AH 705,Health Care Finance,3,Administration Health Services,Graduate,
AH 706,Strategic Management Theory and Research,3,Administration Health Services,Graduate,
AH 707,Research Methods,3,Administration Health Services,Graduate,
AH 710,Comparative Health Systems,3,Administration Health Services,Graduate,
AH 712,Research in Organizational Behavior,3,Administration Health Services,Graduate,
AH 715,Research in Organizational Theory,3,Administration Health Services,Graduate,
AH 716,Macroenvironmental Analysis,3,Administration Health Services,Graduate,
AH 720,Continuing Seminar,2,Administration Health Services,Graduate,
AH 722,Regression Analysis,3,Administration Health Services,Graduate,
AH 727,Applied Multivariate Statistic,3,Administration Health Services,Graduate,
AH 755,Dissemination and Implementation Science in Health Care,3,Administration Health Services,Graduate,
AH 760,Foundations for Health Policy Research and Evaluation,3,Administration Health Services,Graduate,
AH 770,Special Topics in Administration - Health Services,1-4,Administration Health Services,Graduate,
AH 772,Grant Writing for Dissemination & Implementation Scientists,3,Administration Health Services,Graduate,
AH 774,Advanced Methods in Dissemination & Implementation Science,3,Administration Health Services,Graduate,
AH 775,Strategic Planning and Management Health Care Organizations,3,Administration Health Services,Graduate,
AH 777,Mixed Methods Research I: Introduction,3,Administration Health Services,Graduate,
AH 778,Mixed Methods Research II: Designing and Conducting Mix Mthds Study,3,Administration Health Services,Graduate,
AH 779,Mixed Methods Applications in Action and Community-Based Participatory Research,3,Administration Health Services,Graduate,
AH 783,Writing Effective Mixed Methods Grant Proposals,3,Administration Health Services,Graduate,
AH 785,Qualitative Research: Analysis and Interpretation,3,Administration Health Services,Graduate,
AH 788,Independent Studies,3,Administration Health Services,Graduate,
AH 790,Independent Study and Research,1-12,Administration Health Services,Graduate,
AH 798,Non-Dissertation Research,1-9,Administration Health Services,Graduate,
AH 799,Dissertation Research,1-9,Administration Health Services,Graduate,
HA 599,Professional Development,0,Health Administration,Graduate,
HA 602,Introduction to Health Care Systems,3-4,Health Administration,Graduate,
HA 605,Health Policy and Politics in the U,3,Health Administration,Graduate,
HA 606,Operations Management & Process Improvement in Health Care Organizations,3-4,Health Administration,Graduate,
HA 607,Operation Management for Health Services,3,Health Administration,Graduate,
HA 610,Health Systems and Policy for Leaders,1-4,Health Administration,Graduate,
HA 612,Essentials of Health and Human Disease,3,Health Administration,Graduate,
HA 613,Health Law,3,Health Administration,Graduate,
HA 614,Process Improvement,3,Health Administration,Graduate,
HA 616,Biomedical Ethics,3,Health Administration,Graduate,
