courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACC 201,ACC &amp; FIN FOR ENTREPRENEURS,3,Accounting,,
ACC 210,ACCOUNTING FOR BUSINESS,4,Accounting,,
ACC 211,PRINC OF FINANCIAL ACCOUNTING,3,Accounting,,
ACC 212,PRIN MANAGERIAL ACCOUNTING,3,Accounting,,
ACC 308,ACCOUNTING INFORMATION SYS I,3,Accounting,,
ACC 310,INTERM FINANCIAL ACCT I,3,Accounting,,
ACC 310L,LABORATORY,0,Accounting,,
ACC 311,INTERM FINANCIAL ACCT II,3,Accounting,,
ACC 311L,INTERM FINANCIAL ACCT II LAB,0,Accounting,,
ACC 313,INDIVIDUAL/SMALL BUS INCOME TA,3,Accounting,,
ACC 408,ACCOUNTING INFORMATION SYS II,3,Accounting,,
ACC 413,CORPORATE &amp; PARTNERSHIP TAXATN,3,Accounting,,
ACC 414,COST ACCOUNTING,3,Accounting,,
ACC 415,ADV FINANCIAL ACCOUNTING,3,Accounting,,
ACC 417,ACC ST/LOCAL GOV &amp; NON-PROFITS,3,Accounting,,
ACC 431,PRINCIPLES OF AUDITING,3,Accounting,,
ACC 433,FORENSIC ACCOUNTING,3,Accounting,,
ACC 440,BASIC GOV CONTRACT ACCTG,3,Accounting,,
ACC 470,SEMINAR/CONTEMP ACCTG ISSUES,3,Accounting,,
ACC 490,SPECIAL PROJECTS,1-3,Accounting,,
ACC 495,INTERNSHIP IN ACCOUNTING,1-3,Accounting,,
ACC 513,CORPORATE &amp; PARTNERSHIP TAXATN,3,Accounting,,
ACC 515,ADV FINANCIAL ACCOUNTING,3,Accounting,,
ACC 516,ADVANCED COST ACCOUNTING,3,Accounting,,
ACC 517,ACC FOR STATE/LOCAL GOV/NON-PR,3,Accounting,,
ACC 533,FORENSIC ACCOUNTING,3,Accounting,,
ACC 540,BASIC GOVERNMENT CONTRACT ACCT,3,Accounting,,
ACC 570,SEMINAR/CONT ACCTG ISSUE,3,Accounting,,
ACC 590,SPECIAL PROJECTS,3,Accounting,,
ACC 595,INTERNSHIP IN ACCOUNTING,1-3,Accounting,,
ACC 600,FOUNDATIONS ACC MANAGERS &amp; ENG,3,Accounting,,
ACC 602,MANAGERIAL ACCOUNTING,3,Accounting,,
ACC 603,FIN ACTG PROBLEMS &amp; ANALYSIS,3,Accounting,,
ACC 607,ACCOUNTING ANALYTICS,3,Accounting,,
ACC 613,TAX RESEARCH,3,Accounting,,
ACC 642,ADV AUDITING TOPICS,3,Accounting,,
ACC 650,SELECTED RESEARCH TOPICS,3,Accounting,,
ACC 670,FINANCIAL INSIGHTS,1.5,Accounting,,
ACC 699,MASTER&#39;S THESIS,1-3,Accounting,,
AS 100,HERITAGE AND VALUES,1,Air and Space Studies,,
AS 150,HERITAGE AND VALUES II,1,Air and Space Studies,,
AS 200,TEAM &amp; LEADERSHIP FUNDAMENTALS,1,Air and Space Studies,,
AS 250,TEAM &amp; LEADER FUNDAMENTALS II,1,Air and Space Studies,,
AS 300,LEADING PPL &amp; EFFECTIVE COMM,3,Air and Space Studies,,
AS 350,LEAD PPL &amp; EFFECTIVE COMM II,3,Air and Space Studies,,
AS 400,NAT SEC &amp; PREP FOR ACTIVE DUTY,3,Air and Space Studies,,
AS 450,NAT SEC &amp; PREP FOR AD II,3,Air and Space Studies,,
AS 499,LEADERSHIP LABORATORY,0,Air and Space Studies,,
AMS 229,ANCIENT &amp; MEDIEVAL WORLDS,3,Ancient &amp; Medieval Studies,,
ABA 601,FUNDAMENTALS OF ABA,3,Applied Behavior Analysis,,
ABA 602,CONEPTUAL ANALYSIS OF BEHAVIOR,3,Applied Behavior Analysis,,
ABA 603,RESEARCH METHODS ABA,3,Applied Behavior Analysis,,
ABA 604,APPLIED BEHAVIOR ANALYSIS I,3,Applied Behavior Analysis,,
ABA 605,ETHICS IN ABA,3,Applied Behavior Analysis,,
ABA 606,APPLIED BEHAVIOR ANALYSIS II,3,Applied Behavior Analysis,,
ABA 607,EXPERIMENTAL ABA,3,Applied Behavior Analysis,,
ABA 608,ORGANIZATIONAL BEHAVIOR MGMT,3,Applied Behavior Analysis,,
ABA 609,SUPERVISION &amp; MGMT. IN ABA,3,Applied Behavior Analysis,,
ABA 620,ABA PRACTICUM I,1,Applied Behavior Analysis,,
ABA 621,ABA PRACTICUM II,2,Applied Behavior Analysis,,
ABA 622,ABA PRACTICUM III,3,Applied Behavior Analysis,,
ABA 623,ABA PRACTICUM IV,2,Applied Behavior Analysis,,
ABA 624,ABA PRACTICUM V,1,Applied Behavior Analysis,,
ARH 100,ARH SUR: ANCIENT-MEDIEVAL,3,Art History,,
ARH 101,ARH SUR: RENAISSANCE-MODERN,3,Art History,,
ARH 103,ARH SUR: WORLD ART,3,Art History,,
ARH 303,RENAISSANCE ART,3,Art History,,
ARH 304,TWENTIETH CENTURY ART,3,Art History,,
ARH 306,COLLAPSE OF CIVILIZATIONS,3,Art History,,
ARH 309,CONTEMPORARY ART HISTORY,3,Art History,,
ARH 311,PHILOSOPHY OF ART,3,Art History,,
ARH 320,SPECIAL TOPICS IN ART HY,3,Art History,,
ARH 395,INDEPENDENT STUDY,3,Art History,,
ARH 400,SENIOR THESIS,3,Art History,,
ARH 401,ANCIENT GREEK ART,3,Art History,,
ARH 402,MEDIEVAL ART,3,Art History,,
ARH 403,RENAISSANCE ART,3,Art History,,
ARH 404,EARLY 20TH-CENTURY MODERNISM,3,Art History,,
ARH 405,ANCIENT ROMAN ART,3,Art History,,
ARH 406,INSTALLATION ART,3,Art History,,
ARH 407,IMPRESSIONISM &amp; POST-IMP,3,Art History,,
ARH 408,OBJECT LESSONS:1985 TO PRESENT,3,Art History,,
ARH 410,NINETEENTH CENTURY ART,3,Art History,,
ARH 412,EARLY MODERN PRINT: 1450-1800,3,Art History,,
ARH 413,ART AND THE APOCALYPSE,3,Art History,,
ARH 414,BAROQUE ART AND ARCHITECTURE,3,Art History,,
ARS 123,2D DESIGN &amp; COLOR THEORY,3,Art Studio,,
ARS 140,3D DESIGN,3,Art Studio,,
ARS 150,FOUNDATIONS: DIGITAL MEDIA,3,Art Studio,,
ARS 160,DRAWING: FOUNDATIONS,3,Art Studio,,
ARS 210,GAME DESIGN: INTRODUCTION,3,Art Studio,,
ARS 220,ANIMATION: INTRODUCTION,3,Art Studio,,
ARS 230,GRAPHIC DESIGN: INTRODUCTION,3,Art Studio,,
ARS 240,SCULPTURE: INTRODUCTION,3,Art Studio,,
ARS 250,PHOTOGRAPHY: INTRODUCTION,3,Art Studio,,
ARS 260,DRAWING II,3,Art Studio,,
ARS 270,PAINTING: INTRODUCTION,3,Art Studio,,
ARS 280,PRINTMAKING: INTRODUCTION,3,Art Studio,,
ARS 311,GAME DESIGN: SCRIPTING &amp; DES I,3,Art Studio,,
ARS 312,GAME DESIGN: LEVEL DES TESTING,3,Art Studio,,
ARS 313,GAME DESIGN: SERIOUS GAMES,3,Art Studio,,
ARS 320,ANIMATION: DIGITAL PAINTING,3,Art Studio,,
ARS 321,ANIMATION: ORGANIC MODELING,3,Art Studio,,
ARS 322,ANIMATION: 3D ANIMATION,3,Art Studio,,
ARS 323,ANIMATION: REALITY TO CGI,3,Art Studio,,
ARS 324,ANIMATION: TECHNICAL ARTS,3,Art Studio,,
ARS 325,ANIMATION: HARD SURF MODELING,3,Art Studio,,
ARS 326,DRAWING DYNAMIC FIGURES,3,Art Studio,,
ARS 327,ANIMATION; VISUAL STORY DEV,3,Art Studio,,
ARS 328,ANIMATION: CONCEPT ART,3,Art Studio,,
ARS 329,ANIMATION: 2D ANIMATION,3,Art Studio,,
ARS 330,GRAPHIC DESIGN: PRINT MEDIA I,3,Art Studio,,
ARS 332,GRAPHIC DESIGN: WEB DESIGN,3,Art Studio,,
ARS 333,GRAPH DES: WATERCOLOR &amp; DIG I,3,Art Studio,,
ARS 334,GRAPH DES: WEB USER EXPER I,3,Art Studio,,
ARS 335,GRAPHIC DESIGN: TYPOGRAPHY I,3,Art Studio,,
ARS 336,GRAPHIC DESIGN: JAVASCRIPT,3,Art Studio,,
ARS 340,SCULP: FABRICATION I,3,Art Studio,,
ARS 341,SCULP: CARVING I,3,Art Studio,,
ARS 342,SCULP: CASTING I,3,Art Studio,,
ARS 347,SPACE AND PLACE,3,Art Studio,,
ARS 348,DIGITAL FABRICATION,3,Art Studio,,
ARS 349,SCULPTURE: 3D PRINTING,3,Art Studio,,
ARS 350,PHOTO: DIGITAL I,3,Art Studio,,
ARS 352,PHOTO: DARKROOM I,3,Art Studio,,
ARS 353,"PHOTO; DRKRM, HIST &amp; EXPER I",3,Art Studio,,
ARS 355,PHOTO: DOCUMENTARY I,3,Art Studio,,
ARS 360,DRAWING: FIGURE,3,Art Studio,,
ARS 375,PAINTING: FIGURE I,3,Art Studio,,
ARS 376,PAINTING: CONTEMPORARY I,3,Art Studio,,
ARS 377,PAINTING: MIXED MEDIA I,3,Art Studio,,
ARS 381,PRINT: ETCHING &amp; RELIEF I,3,Art Studio,,
ARS 382,PRINT: MOKUHANGA I,3,Art Studio,,
ARS 383,PRINT: SCREENPRINT I,3,Art Studio,,
ARS 385,PRINT: BOOK ARTS I,3,Art Studio,,
ARS 387,PRINT: MONOPRINT &amp; LITHOGPHY I,3,Art Studio,,
ARS 390,PORTFOLIO DEVELOPMENT I,3,Art Studio,,
ARS 395,SP TOPICS IN STUDIO ART,3,Art Studio,,
ARS 396,ANIMATION: ENVIRONMENT ART,3,Art Studio,,
ARS 411,GAME DESIGN: DEV &amp; PUBLISHING,3,Art Studio,,
ARS 415,ANIMATION: TEAM GAME DESN I,3,Art Studio,,
ARS 416,ANIMATION: TEAM GAME DESN II,3,Art Studio,,
ARS 425,ANIMATION: SHORT FILM I,3,Art Studio,,
ARS 426,ANIMATION: SHORT FILM II,3,Art Studio,,
ARS 430,GRAPHIC DESIGN: PRINT MEDIA II,3,Art Studio,,
ARS 432,GRAPH DES: SENIOR PROJ MGMT,3,Art Studio,,
ARS 433,GRAPH DES: WATERCOLOR &amp; DIG II,3,Art Studio,,
ARS 434,GRAPH DES: WEB USER EXPER II,3,Art Studio,,
ARS 435,GRAPHIC DESIGN: TYPOGRAPHY II,3,Art Studio,,
ARS 440,SCULP: FABRICATION II,3,Art Studio,,
ARS 441,SCULP: CARVING II,3,Art Studio,,
ARS 442,SCULP: CASTING II,3,Art Studio,,
ARS 447,SCULP: SPACE AND PLACE II,3,Art Studio,,
ARS 448,DIGITAL FABRICATION II,3,Art Studio,,
ARS 449,SCULPTURE: 3D PRINTING II,3,Art Studio,,
ARS 450,PHOTO: DIGITAL II,3,Art Studio,,
ARS 452,PHOTO: DARKROOM II,3,Art Studio,,
ARS 453,"PHOTO; DRKRM, HIST &amp; EXPER II",3,Art Studio,,
ARS 455,PHOTO: DOCUMENTARY II,3,Art Studio,,
ARS 460,DRAWING: CONTEMPORARY APPROACH,3,Art Studio,,
