courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
LAWW 4000V,Entertainment Law,"(None, None)",Law Courses,Law,
LAWW 40103,Legal Research & Writing I,"(None, None)",Law Courses,Law,
LAWW 40204,Contracts,"(None, None)",Law Courses,Law,
LAWW 40504,Property,"(None, None)",Law Courses,Law,
LAWW 4060V,Upper Level Writing,"(None, None)",Law Courses,Law,
LAWW 40704,Criminal Law,"(None, None)",Law Courses,Law,
LAWW 41004,Civil Procedure,"(None, None)",Law Courses,Law,
LAWW 41103,Legal Research & Writing II,"(None, None)",Law Courses,Law,
LAWW 41404,Torts,"(None, None)",Law Courses,Law,
LAWW 41703,Criminal Procedure: Investigations,"(None, None)",Law Courses,Law,
LAWW 41802,Upper Level Writing - Business Drafting,"(None, None)",Law Courses,Law,
LAWW 42904,Business Organizations,"(None, None)",Law Courses,Law,
LAWW 44402,Law & Accounting,"(None, None)",Law Courses,Law,
LAWW 4450V,Mastering Legal Analysis,"(None, None)",Law Courses,Law,
LAWW 5000V,Special Topics,"(None, None)",Law Courses,Law,
LAWW 50103,Professional Responsibility,"(None, None)",Law Courses,Law,
LAWW 5020V,Remedies,"(None, None)",Law Courses,Law,
LAWW 50301,Basic Title Examination,"(None, None)",Law Courses,Law,
LAWW 50401,Oil and Gas Title Examination,"(None, None)",Law Courses,Law,
LAWW 50503,Energy Law,"(None, None)",Law Courses,Law,
LAWW 50703,Family Law,"(None, None)",Law Courses,Law,
LAWW 50803,First Amendment,"(None, None)",Law Courses,Law,
LAWW 50902,Banking & Creditors' Rights Litigation,"(None, None)",Law Courses,Law,
LAWW 5100V,Law: Study Abroad,"(None, None)",Law Courses,Law,
LAWW 51104,Constitutional Law,"(None, None)",Law Courses,Law,
LAWW 51202,ABOTA Trial Practice Lecture Series,"(None, None)",Law Courses,Law,
LAWW 51303,Real Estate Transactions,"(None, None)",Law Courses,Law,
LAWW 51603,Administrative Law,"(None, None)",Law Courses,Law,
LAWW 51702,Disability Law,"(None, None)",Law Courses,Law,
LAWW 5180V,Banking Law,"(None, None)",Law Courses,Law,
LAWW 51901,Deposition Practice,"(None, None)",Law Courses,Law,
LAWW 52103,Business & Transactional Skills,"(None, None)",Law Courses,Law,
LAWW 52502,International Commercial Arbitration,"(None, None)",Law Courses,Law,
LAWW 5270V,Law and Economics,"(None, None)",Law Courses,Law,
LAWW 52903,Cyber Crime,"(None, None)",Law Courses,Law,
LAWW 53103,Payment Systems,"(None, None)",Law Courses,Law,
LAWW 53303,Health Policy,"(None, None)",Law Courses,Law,
LAWW 5360V,Securities Regulation,"(None, None)",Law Courses,Law,
LAWW 53702,Immigration Law,"(None, None)",Law Courses,Law,
LAWW 53901,Effective Corporate Compliance,"(None, None)",Law Courses,Law,
LAWW 54002,Legislation,"(None, None)",Law Courses,Law,
LAWW 54103,Natural Resources Law,"(None, None)",Law Courses,Law,
LAWW 54301,Jury Trial Strategies,"(None, None)",Law Courses,Law,
LAWW 5440V,Legal Operations,"(None, None)",Law Courses,Law,
LAWW 54501,Environmental Torts,"(None, None)",Law Courses,Law,
LAWW 5470V,State and Local Government,"(None, None)",Law Courses,Law,
LAWW 5480V,Privacy Law,"(None, None)",Law Courses,Law,
LAWW 5500V,"Wills, Trusts, and Estates","(None, None)",Law Courses,Law,
LAWW 55103,Labor Law,"(None, None)",Law Courses,Law,
LAWW 55403,International Business Transactions,"(None, None)",Law Courses,Law,
LAWW 55503,Military Law,"(None, None)",Law Courses,Law,
LAWW 55803,Wrongful Convictions,"(None, None)",Law Courses,Law,
LAWW 56000,Law Research Assistant,"(None, None)",Law Courses,Law,
LAWW 56103,Capital Punishment,"(None, None)",Law Courses,Law,
LAWW 56202,Essential Legal Research,"(None, None)",Law Courses,Law,
LAWW 56602,Mergers and Acquisitions,"(None, None)",Law Courses,Law,
LAWW 5670V,Nonprofit Organizations,"(None, None)",Law Courses,Law,
LAWW 56902,Rule of Law Colloquium,"(None, None)",Law Courses,Law,
LAWW 57001,Baseball and the Law,"(None, None)",Law Courses,Law,
LAWW 57802,Introduction to Banking & Creditors' Rights Litigation,"(None, None)",Law Courses,Law,
LAWW 57903,Arbitration,"(None, None)",Law Courses,Law,
LAWW 58003,"NCAA Governance, Legislation, & Compliance","(None, None)",Law Courses,Law,
LAWW 5810V,Regulation of Cryptotransactions,"(None, None)",Law Courses,Law,
LAWW 58301,Arkansas Adoption Law,"(None, None)",Law Courses,Law,
LAWW 58401,Arkansas Equity,"(None, None)",Law Courses,Law,
LAWW 58503,Constitutional and Impact Litigation,"(None, None)",Law Courses,Law,
LAWW 58601,Foreclosure Law,"(None, None)",Law Courses,Law,
LAWW 58703,Lawyers as Leaders,"(None, None)",Law Courses,Law,
LAWW 58801,Arkansas Landlord Tenant Law,"(None, None)",Law Courses,Law,
LAWW 58901,The Razorbacks and the Law,"(None, None)",Law Courses,Law,
LAWW 59003,Post-Conviction Remedies,"(None, None)",Law Courses,Law,
LAWW 59203,Legal And Political Aspects,"(None, None)",Law Courses,Law,
LAWW 5990V,Debtor-Creditor Relations,"(None, None)",Law Courses,Law,
LAWW 6020V,Independent Legal Research,"(None, None)",Law Courses,Law,
LAWW 6030V,Federal Courts,"(None, None)",Law Courses,Law,
LAWW 6070V,Conflict of Laws,"(None, None)",Law Courses,Law,
LAWW 60903,Evidence,"(None, None)",Law Courses,Law,
LAWW 61003,Jurisprudence,"(None, None)",Law Courses,Law,
LAWW 6110V,Interschool Competition Team,"(None, None)",Law Courses,Law,
LAWW 61202,Private Equity Investing,"(None, None)",Law Courses,Law,
LAWW 61303,Antitrust Law,"(None, None)",Law Courses,Law,
LAWW 61403,Oil and Gas,"(None, None)",Law Courses,Law,
LAWW 6143V,Board of Advocates Credit,"(None, None)",Law Courses,Law,
LAWW 6150V,Elder Law,"(None, None)",Law Courses,Law,
LAWW 6160V,Law Review Credit,"(None, None)",Law Courses,Law,
LAWW 61703,Introduction to Intellectual Property Law,"(None, None)",Law Courses,Law,
LAWW 6180V,Journal of Food Law & Policy Credit,"(None, None)",Law Courses,Law,
LAWW 61933,Workplace Legislation,"(None, None)",Law Courses,Law,
LAWW 62003,Trial Advocacy,"(None, None)",Law Courses,Law,
LAWW 6210V,Products Liability,"(None, None)",Law Courses,Law,
LAWW 62303,Federal Income Tax of Individuals,"(None, None)",Law Courses,Law,
LAWW 62503,Federal Income Taxation of Business Entities,"(None, None)",Law Courses,Law,
LAWW 62602,Estate Planning,"(None, None)",Law Courses,Law,
LAWW 62802,Multistate Substance and Strategies,"(None, None)",Law Courses,Law,
LAWW 6290V,Public Corporations,"(None, None)",Law Courses,Law,
LAWW 6310V,Interschool Competition Team,"(None, None)",Law Courses,Law,
LAWW 63203,Poverty Law:  Theory and Practice,"(None, None)",Law Courses,Law,
LAWW 63403,Conflict Resolution,"(None, None)",Law Courses,Law,
LAWW 6350V,Arkansas Law Notes Credit,"(None, None)",Law Courses,Law,
LAWW 63604,Legal Clinic: Immigration,"(None, None)",Law Courses,Law,
LAWW 63704,Legal Clinic: Bankruptcy,"(None, None)",Law Courses,Law,
LAWW 63903,Legal Clinic: Nonprofit,"(None, None)",Law Courses,Law,
LAWW 64003,Land Use,"(None, None)",Law Courses,Law,
LAWW 64103,Legal Clinic: Advanced Criminal Practice,"(None, None)",Law Courses,Law,
LAWW 64204,Legal Clinic: Criminal Practice Clinic,"(None, None)",Law Courses,Law,
LAWW 6450V,American Legal History,"(None, None)",Law Courses,Law,
LAWW 6460V,Student Coordinating Attorney,"(None, None)",Law Courses,Law,
LAWW 6480V,Special Topics (Skills),"(None, None)",Law Courses,Law,
LAWW 65203,Employment Law,"(None, None)",Law Courses,Law,
LAWW 6540V,Public Interest Externship,"(None, None)",Law Courses,Law,
LAWW 65602,Legal Clinic:  Advanced Immigration,"(None, None)",Law Courses,Law,
LAWW 6600V,Government Externship,"(None, None)",Law Courses,Law,
LAWW 6610V,Bankruptcy,"(None, None)",Law Courses,Law,
LAWW 66303,Criminal Procedure: Adjudication,"(None, None)",Law Courses,Law,
LAWW 67002,Copyright Law,"(None, None)",Law Courses,Law,
LAWW 6710V,Judicial Externship,"(None, None)",Law Courses,Law,
LAWW 6730V,Criminal Defense Externship,"(None, None)",Law Courses,Law,
LAWW 6760V,Capstone Externship,"(None, None)",Law Courses,Law,
LAWW 68202,Patent Law,"(None, None)",Law Courses,Law,
LAWW 6830V,Criminal Prosecution Externship,"(None, None)",Law Courses,Law,
LAWW 68403,Legal Clinic: Advanced Civil Litigation and Advocacy Clinic,"(None, None)",Law Courses,Law,
LAWW 6860V,Corporate Counsel Externships,"(None, None)",Law Courses,Law,
LAWW 68703,Legal Clinic: Advanced Nonprofit Clinic,"(None, None)",Law Courses,Law,
LAWW 69103,Environmental Law,"(None, None)",Law Courses,Law,
LAWW 69204,Legal Clinic: Civil Litigation and Advocacy Clinic,"(None, None)",Law Courses,Law,
LAWW 69303,Legal Clinic: Human Trafficking,"(None, None)",Law Courses,Law,
LAWW 69403,Public International Law,"(None, None)",Law Courses,Law,
