courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AADM 5110,Managing a Professional Performance Career,,Arts Administration,,
AADM 5160,Introduction to Arts Administration for Non-Majors,,Arts Administration,,
AADM 5186,Independent Study Special Topics,,Arts Administration,,
AADM 6010,Managing a Professional Performance Career,,Arts Administration,,
AADM 6060,Introduction to Arts Administration for Non-Majors,,Arts Administration,,
AADM 7056,Part-Time Internship,,Arts Administration,,
AADM 7071,Introduction to Arts Administration,,Arts Administration,,
AADM 7080,Introduction to Financial Management for Not For Profit Arts Organizations,,Arts Administration,,
AADM 7081,Fundamentals of Fundraising,,Arts Administration,,
AADM 7086,Independent Study Special Topics,,Arts Administration,,
AADM 7088,Marketing and Development for the Arts,,Arts Administration,,
AADM 7098,Programming and Operations for the Performing Arts I,,Arts Administration,,
AADM 7099,Programming and Operations for the Performing Arts II,,Arts Administration,,
AADM 8001,"Mission, Money, and Strategy in the Arts",,Arts Administration,,
AADM 8011,Cultural Policy,,Arts Administration,,
AADM 8012,Arts Education and Community Engagement,,Arts Administration,,
AADM 8013,"Internet Marketing, Communications and Web Development",,Arts Administration,,
AADM 8020,Governance and Leadership in Non-Profit Organizations,,Arts Administration,,
AADM 8030,Career Planning in Arts Administration,,Arts Administration,,
AADM 8040,Professional Internship,,Arts Administration,,
AADM 8070,Current Issues Forum,,Arts Administration,,
AADM 8081,Advanced Topics in Patron Development,,Arts Administration,,
AADM 8085,Advanced Topics in Development,,Arts Administration,,
AADM 8099,Master's Candidacy,,Arts Administration,,
ACCT 2051,Fundamentals of Computerized Accounting,,Accounting,,
ACCT 2073,Fundamentals of Tax Preparation Service Learning*** view multiple offerings,,Accounting,,
ACCT 2074,Fundamentals of Fraud Examination*** view multiple offerings,,Accounting,,
ACCT 2075,Fundamentals of Tax Preparation*** view multiple offerings,,Accounting,,
ACCT 2081,Financial Accounting*** view multiple offerings,,Accounting,,
ACCT 2082,Managerial Accounting*** view multiple offerings,,Accounting,,
ACCT 2085,Fundamentals of Topics in Accounting*** view multiple offerings,,Accounting,,
ACCT 2091,Advanced Bookkeeping*** view multiple offerings,,Accounting,,
ACCT 3031,Intermediate Accounting I*** view multiple offerings,,Accounting,,
ACCT 3032,Intermediate Accounting II*** view multiple offerings,,Accounting,,
ACCT 3072,Introduction to Taxation*** view multiple offerings,,Accounting,,
ACCT 3073,Cost Accounting*** view multiple offerings,,Accounting,,
ACCT 4033,Advanced Financial Reporting,,Accounting,,
ACCT 4074,Accounting Information Systems,,Accounting,,
ACCT 4083,Auditing,,Accounting,,
ACCT 5025,International Accounting and Financial Management,,Accounting,,
ACCT 5078,Corporate & Government Accounting Careers,,Accounting,,
ACCT 5099,Independent Study in Accounting,,Accounting,,
ACCT 5121,Fraud Examination,,Accounting,,
ACCT 5133,Advanced Financial Reporting,,Accounting,,
ACCT 5146,Estate and Gift Taxation Planning,,Accounting,,
ACCT 5172,Taxation of Business Entities,,Accounting,,
ACCT 5175,Advanced Financial Accounting,,Accounting,,
ACCT 5176,Accounting for Non-Profit Organizations,,Accounting,,
ACCT 5198,Ethics for Accountants,,Accounting,,
ACCT 6021,Fraud Examination,,Accounting,,
ACCT 6033,Advanced Financial Reporting,,Accounting,,
ACCT 6046,Estate and Gift Taxation Planning,,Accounting,,
ACCT 6072,Taxation of Business Entities,,Accounting,,
ACCT 6075,Advanced Financial Accounting,,Accounting,,
ACCT 6076,Accounting for Non-Profit Organizations,,Accounting,,
ACCT 6098,Ethics for Accountants,,Accounting,,
ACCT 7000,Foundations in Accounting,,Accounting,,
ACCT 7011,Financial Accounting for Managers,,Accounting,,
ACCT 7012,Accounting for Managerial Decisions,,Accounting,,
ACCT 7021,Managerial Accounting and Financial Decision Making for the Pharmacist,,Accounting,,
ACCT 7031,Intermediate Accounting I,,Accounting,,
ACCT 7032,Intermediate Accounting II,,Accounting,,
ACCT 7072,Individual Tax Planning,,Accounting,,
ACCT 7073,Cost Accounting,,Accounting,,
ACCT 7077,Public Accounting Careers and Professional Development,,Accounting,,
ACCT 7078,Corporate and Government Accounting Careers and Professional Development,,Accounting,,
ACCT 7083,Auditing,,Accounting,,
ACCT 7090,Industry Practicum 1,,Accounting,,
ACCT 7092,Industry Practicum II,,Accounting,,
ACCT 7093,Special Topics in Accounting,,Accounting,,
ACCT 7099,Independent Study in Accounting,,Accounting,,
ACCT 8011,CPA Exam Strategies I,,Accounting,,
ACCT 8012,CPA Exam Strategies II,,Accounting,,
ACCT 8021,Management Control Systems,,Accounting,,
ACCT 8022,Forensic Accounting,,Accounting,,
ACCT 8023,Individual Tax: Structure,,Accounting,,
ACCT 8030,Partnership Taxation,,Accounting,,
ACCT 8031,Corporate Tax: Formation & Structure,,Accounting,,
ACCT 8032,Corporate Tax: Life Cycle Strategies,,Accounting,,
ACCT 8033,Corporate Tax: Attributes & Operational Considerations,,Accounting,,
ACCT 8036,International Taxation,,Accounting,,
ACCT 8037,Consolidated Tax Returns,,Accounting,,
ACCT 8038,Deferred Compensation and Other Employee Benefits,,Accounting,,
ACCT 8039,International Tax: Special Topics,,Accounting,,
ACCT 8040,Federal Tax Planning and Research I,,Accounting,,
ACCT 8041,Taxation of Subchapter S Corporations,,Accounting,,
ACCT 8042,IRS Tax Practice and Procedure,,Accounting,,
ACCT 8043,Individual Tax: Special Topics,,Accounting,,
ACCT 8044,State and Local Taxation,,Accounting,,
ACCT 8045,Tax Accounting Methods,,Accounting,,
ACCT 8046,Estate and Gift Tax,,Accounting,,
ACCT 8050,Federal Tax Planning & Research II,,Accounting,,
ACCT 8060,Federal Tax Planning & Research III,,Accounting,,
ACCT 8070,Federal Tax Planning & Research IV,,Accounting,,
ACCT 8071,Accounting Theory and Research,,Accounting,,
ACCT 8072,Federal Tax Planning and Research,,Accounting,,
ACCT 8074,Advanced Auditing,,Accounting,,
ACCT 8077,Accounting Information Systems,,Accounting,,
ACCT 8079,Financial Statement Analysis for Analysts,,Accounting,,
ACCT 8080,Federal Tax Research: Individuals,,Accounting,,
ACCT 8082,Strategic Cost Management,,Accounting,,
ACCT 8087,International Financial Reporting Standards,,Accounting,,
ACCT 8088,Corporate Governance,,Accounting,,
ACCT 8089,Financial Statement Analysis,,Accounting,,
ACCT 8090,Federal Tax Research: Corporations,,Accounting,,
ACCT 8093,Accounting for Income Taxes,,Accounting,,
ACCT 8094,Tax Strategy for Business Ventures,,Accounting,,
ACCT 8099,Independent Study in Accounting,,Accounting,,
ACCT 9001,Accounting Research Workshop,,Accounting,,
ACCT 9011,Research Seminar in Accounting: Efficient Markets,,Accounting,,
ACCT 9012,Research Seminar in Accounting: Earnings and Security Prices,,Accounting,,
ACCT 9013,Research Seminar in Accounting: Fundamental Valuation Theory,,Accounting,,
ACCT 9014,Tax Research Seminar,,Accounting,,
ACCT 9015,Research Seminar in Accounting: Agency Theory and Management Control,,Accounting,,
ACCT 9016,"Research Seminar in Accounting: Agency Theory, Accting Policy Choice, Corp Gov",,Accounting,,
ACCT 9045,Accounting Independent Study for Area of Concentration,,Accounting,,
ACCT 9055,Accounting Independent Study for Support Area,,Accounting,,
ACCT 9065,Accounting Independent Study for Additional Research Methods,,Accounting,,
ACCT 9071,Research in Accounting,,Accounting,,
ACCT 9091,PhD Dissertation Research,,Accounting,,
AE 1011,Architectural Skills I,,Architectural Engineering,,
AE 1011L,Architectural Skills I Lab,,Architectural Engineering,,
AE 1012,Architectural Skills II,,Architectural Engineering,,
AE 1013,Architectural Engineering Skills 1,,Architectural Engineering,,
AE 1013L,Architectural Engineering Skills 1 Lab,,Architectural Engineering,,
AE 1014,Architectural Engineering Skills 2,,Architectural Engineering,,
AE 1014L,Architectural Engineering Skills 2 Lab,,Architectural Engineering,,
AE 1100,Introduction to Architectural Engineering,,Architectural Engineering,,
AE 2031C,Architectural Engineering Laboratory I,,Architectural Engineering,,
AE 2041,Principles of HVAC,,Architectural Engineering,,
AE 2043,Building Physics,,Architectural Engineering,,
AE 2046,Principles of Lighting and Electricity,,Architectural Engineering,,
AE 2062,Building Construction Science,,Architectural Engineering,,
AE 3004,Architectural Studio I,,Architectural Engineering,,
AE 3032C,Architectural Engineering Laboratory II,,Architectural Engineering,,
AE 3041,Principles of HVAC,,Architectural Engineering,,
AE 3042,Building Systems II - Plumbing & Fire Protection,,Architectural Engineering,,
AE 3043,Building Physics,,Architectural Engineering,,
AE 3044,Principles of Lighting and Electricity,,Architectural Engineering,,
AE 3045,HVAC Systems 1,,Architectural Engineering,,
AE 3046,Lighting Systems 1,,Architectural Engineering,,
AE 4041C,HVAC Systems 1,,Architectural Engineering,,
AE 4042C,Hydronic and Plumbing Systems,,Architectural Engineering,,
AE 4043,Building Systems III - Electrical & Lighting,,Architectural Engineering,,
AE 4044,Lighting Systems 1,,Architectural Engineering,,
AE 4045,Power and Electrical Systems 1,,Architectural Engineering,,
AE 4046,Power and Electrical Systems 1,,Architectural Engineering,,
AE 4047,Hydronics and Plumbing Systems,,Architectural Engineering,,
AE 4099,Special Topics in Architectural Engineering,,Architectural Engineering,,
AE 5001,Architectural Engineering Capstone I,,Architectural Engineering,,
AE 5002,Architectural Engineering Capstone II,,Architectural Engineering,,
AE 5003,Professional Issues in AE,,Architectural Engineering,,
AE 5004,Architectural Design and Engineering Processes,,Architectural Engineering,,
AE 5010,High Performance Building Envelopes,,Architectural Engineering,,
AE 5099,Independent Study in AE,,Architectural Engineering,,
AE 5110,Advanced Building Mechanical Systems,,Architectural Engineering,,
AE 5120,Advanced Lighting and Daylighting,,Architectural Engineering,,
AE 5130,Building Energy Modeling,,Architectural Engineering,,
AE 5147,Building Energy Audits and Data Analytics,,Architectural Engineering,,
AE 5150,Indoor Air Quality,,Architectural Engineering,,
AE 6010,Advanced Building Mechanical Systems,,Architectural Engineering,,
AE 6020,Advanced lighting and daylighting,,Architectural Engineering,,
AE 6030,Building Energy Modeling,,Architectural Engineering,,
AE 6047,Building Energy Audits and Data Analytics,,Architectural Engineering,,
AE 6050,Indoor Air Quality,,Architectural Engineering,,
