courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
EAE 001,Introduction to Aerospace Science Engineering,"(None, None)",Aerospace Science & Engineering,,
EAE 010,From the Wright Brothers to Drones & Quadcopters,"(None, None)",Aerospace Science & Engineering,,
EAE 099,Special Study for Undergraduates,"(None, None)",Aerospace Science & Engineering,,
EAE 126,Theoretical & Computational Aerodynamics,"(None, None)",Aerospace Science & Engineering,,
EAE 127,Applied Aircraft Aerodynamics,"(None, None)",Aerospace Science & Engineering,,
EAE 129,Stability & Control of Aerospace Vehicles,"(None, None)",Aerospace Science & Engineering,,
EAE 130A,Aircraft Performance & Design,"(None, None)",Aerospace Science & Engineering,,
EAE 130B,Aircraft Performance & Design,"(None, None)",Aerospace Science & Engineering,,
EAE 133,Finite Element Methods in Structures,"(None, None)",Aerospace Science & Engineering,,
EAE 135,Aerospace Structures,"(None, None)",Aerospace Science & Engineering,,
EAE 137,Structural Composites,"(None, None)",Aerospace Science & Engineering,,
EAE 138,Aircraft Propulsion,"(None, None)",Aerospace Science & Engineering,,
EAE 140,Rocket Propulsion,"(None, None)",Aerospace Science & Engineering,,
EAE 142,Orbital Mechanics,"(None, None)",Aerospace Science & Engineering,,
EAE 143A,Space Vehicle Design,"(None, None)",Aerospace Science & Engineering,,
EAE 143B,Space Mission Design,"(None, None)",Aerospace Science & Engineering,,
EAE 189C,Flight Simulation & Testing in Design of Aircraft & Spacecraft,"(None, None)",Aerospace Science & Engineering,,
EAE 198,Directed Group Study,"(None, None)",Aerospace Science & Engineering,,
EAE 199,Special Study for Advanced Undergraduates,"(None, None)",Aerospace Science & Engineering,,
AAS 010,African-American Culture & Society,"(None, None)",African American & African Studies,,
AAS 012,Introduction to African Studies,"(None, None)",African American & African Studies,,
AAS 015,Introduction to African American Humanities,"(None, None)",African American & African Studies,,
AAS 016,Verbal & Performance Arts in Africa,"(None, None)",African American & African Studies,,
AAS 017,Women in African Societies,"(None, None)",African American & African Studies,,
AAS 018,Introduction to Caribbean Studies,"(None, None)",African American & African Studies,,
AAS 050,Black Popular Culture,"(None, None)",African American & African Studies,,
AAS 051,History of Afro American Dance,"(None, None)",African American & African Studies,,
AAS 052,African Traditional Religion,"(None, None)",African American & African Studies,,
AAS 053,Black California,"(None, None)",African American & African Studies,,
AAS 080,Introduction to Black Politics,"(None, None)",African American & African Studies,,
AAS 099,Special Study for Undergraduates,"(None, None)",African American & African Studies,,
AAS 100,Survey of Ethnicity in the US,"(None, None)",African American & African Studies,,
AAS 101,Introduction to Research in the Afro-American Community,"(None, None)",African American & African Studies,,
AAS 103,The Black Human Rights Tradition,"(None, None)",African American & African Studies,,
AAS 107A,African Descent Communities & Culture in the Caribbean & Latin America,"(None, None)",African American & African Studies,,
AAS 107B,African Descent Communities & Culture in North America,"(None, None)",African American & African Studies,,
AAS 107C,African Descent Communities & Culture in Asia,"(None, None)",African American & African Studies,,
AAS 107D,African Descent Communities & Cultures in Europe,"(None, None)",African American & African Studies,,
AAS 110,West African Social Organization,"(None, None)",African American & African Studies,,
AAS 111,Cultural Politics in Contemporary Africa,"(None, None)",African American & African Studies,,
AAS 115,Kingdoms in Contemporary African Politics,"(None, None)",African American & African Studies,,
AAS 115V,Kingdoms in Contemporary African Politics,"(None, None)",African American & African Studies,,
AAS 116,Presidential Politics in Africa,"(None, None)",African American & African Studies,,
AAS 123,Black Female Experience in Contemporary Society,"(None, None)",African American & African Studies,,
AAS 130,Education in the African-American Community,"(None, None)",African American & African Studies,,
AAS 133,The Black Family In America,"(None, None)",African American & African Studies,,
AAS 136,Black Women & Food,"(None, None)",African American & African Studies,,
AAS 138,"AIDS, Race, Gender & Sexuality in Black Communities","(None, None)",African American & African Studies,,
AAS 141,Psychology of the African American Experience,"(None, None)",African American & African Studies,,
AAS 145A,Black Social & Political Thought,"(None, None)",African American & African Studies,,
AAS 145B,Black Intellectuals,"(None, None)",African American & African Studies,,
AAS 150A,Afro-American Visual Arts Tradition: A Historical & Cultural Study,"(None, None)",African American & African Studies,,
AAS 150B,Afro-American Visual Arts Tradition: A Historical & Cultural Study,"(None, None)",African American & African Studies,,
AAS 151,Afro-American Vernacular Music & Verbal Arts,"(None, None)",African American & African Studies,,
AAS 152,Major Voices in Black World Literature,"(None, None)",African American & African Studies,,
