courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AGRI 5000 -,Advanced Issues in Agriculture,3,Agriculture-CSU,,
AGRI 5460 -,Principles of Cooperative Extension,3,Agriculture-CSU,,
AGRI 5470 -,Delivery of Co-operative Extension Programs,4,Agriculture-CSU,,
AGRI 6950 -,Independent Study - Agriculture,1-18,Agriculture-CSU,,
ANAT 6111 -,Human Gross Anatomy,8,Modern Human Anatomy,,
ANAT 6205 -,Imaging and Modeling,4,Modern Human Anatomy,,
ANAT 6208 -,Foundations in 3D Modeling for Anatomical Sciences,1,Modern Human Anatomy,,
ANAT 6210 -,Autodesk Maya for Anatomical Science,2,Modern Human Anatomy,,
ANAT 6220 -,Unreal Engine for the Anatomical Sciences,2,Modern Human Anatomy,,
ANAT 6310 -,Neuroanatomy,4,Modern Human Anatomy,,
ANAT 6321 -,Human Histology,4,Modern Human Anatomy,,
ANAT 6330 -,Human Embryology,3,Modern Human Anatomy,,
ANAT 6412 -,Foundations of Teaching,1,Modern Human Anatomy,,
ANAT 6490 -,Advanced Teaching in Anatomical Sciences,3,Modern Human Anatomy,,
ANAT 6600 -,Experimental Design and Research Methods,1,Modern Human Anatomy,,
ANAT 6750 -,Special Topics: Modern Human Anatomy,1-6,Modern Human Anatomy,,
ANAT 6840 -,Independent Study,1-6,Modern Human Anatomy,,
ANAT 6910 -,Teaching Practicum,1-4,Modern Human Anatomy,,
ANAT 6911 -,Advanced Teaching Practicum,1-4,Modern Human Anatomy,,
ANAT 6931 -,MSMHA Internship,1-6,Modern Human Anatomy,,
ANAT 6950 -,MSMHA Capstone Project,1-12,Modern Human Anatomy,,
ANEQ 5670 -,HAACP Meat Safety,2,Animal Sciences-CSU,,
ANEQ 6760 -,Molecular Approach to Food Safety,3,Animal Sciences-CSU,,
ANES 6038 -,Clinical Anesthesiology IV,5.5,Anesthesiology,,
ANES 8000 -,Clinical Anesthesiology,4-16,Anesthesiology,,
ANES 8001 -,Surgery Intensive Care AI,4-8,Anesthesiology,,
ANES 8002 -,Anesthesia Subspecialties,4-8,Anesthesiology,,
ANES 8100 -,ANES Elective Away,4-8,Anesthesiology,,
ANES 8600 -,Research in Anesthesiology,4-16,Anesthesiology,,
ANES 8630 -,ANES Research Elective Away,4-16,Anesthesiology,,
ANMS 5000 -,Orientation to Anesthesia,1,Anesthesiology,,
ANMS 5001 -,Introduction to Clinical Anesthesia,2,Anesthesiology,,
ANMS 5002 -,Perioperative Medicine,2,Anesthesiology,,
ANMS 5006 -,Simulation and Skills Laboratory I,1,Anesthesiology,,
ANMS 5007 -,Survey of Anatomy,2,Anesthesiology,,
ANMS 5008 -,Clinical Anesthesiology I,5,Anesthesiology,,
ANMS 5009 -,Anesthesia Monitoring and Delivery Systems,2,Anesthesiology,,
ANMS 5010 -,Basic Cardiac Physiology,2,Anesthesiology,,
ANMS 5011 -,Anesthesia Principles and Practice I,2,Anesthesiology,,
ANMS 5012 -,Physiology I,2,Anesthesiology,,
ANMS 5013 -,Patient Monitoring II,2,Anesthesiology,,
ANMS 5016 -,Simulation and Skills Laboratory II,1,Anesthesiology,,
ANMS 5018 -,Clinical Anesthesiology II,5,Anesthesiology,,
ANMS 5021 -,Anesthesia Principles and Practice II,2,Anesthesiology,,
ANMS 5026 -,Simulation and Skills Laboratory III,1,Anesthesiology,,
ANMS 5028 -,Clinical Anesthesiology III,7.5,Anesthesiology,,
ANMS 5200 -,Pharmacology I,2,Anesthesiology,,
ANMS 5210 -,Pharmacology II,2,Anesthesiology,,
ANMS 5501 -,Anesthesia and Co-Existing Diseases I,2,Anesthesiology,,
ANMS 5502 -,Clinical Imaging,2,Anesthesiology,,
ANMS 6007 -,Anatomical Imaging I,2,Anesthesiology,,
ANMS 6012 -,Physiology II,4,Anesthesiology,,
ANMS 6031 -,Anesthesia Principles and Practice III,2,Anesthesiology,,
ANMS 6038 -,Clinical Anesthesiology IV,7.5,Anesthesiology,,
ANMS 6048 -,Clinical Anesthesiology V,10,Anesthesiology,,
ANMS 6058 -,Clinical Anesthesiology VI,10,Anesthesiology,,
ANMS 6068 -,Clinical Anesthesiology VII,10,Anesthesiology,,
ANMS 6110 -,Physiology III,2,Anesthesiology,,
ANMS 6201 -,Senior Project I,1,Anesthesiology,,
ANMS 6212 -,Senior Project II,1,Anesthesiology,,
ANMS 6220 -,Pharmacology III,2,Anesthesiology,,
ANMS 6221 -,Senior Project III,1,Anesthesiology,,
ANMS 6301 -,Senior Seminar I,2,Anesthesiology,,
ANMS 6311 -,Senior Seminar II,2,Anesthesiology,,
ANMS 6321 -,Senior Seminar III,2,Anesthesiology,,
ANMS 6511 -,Anesthesia and Co-Existing Diseases II,2,Anesthesiology,,
ANMS 6701 -,Anesthesia Non-Technical Skills & Wellness I,1,Anesthesiology,,
ANMS 6711 -,Anesthesia Non-Technical Skills & Wellness II,1,Anesthesiology,,
ANMS 6801 -,MSA-1 Seminar 1,1,Anesthesiology,,
ANMS 6811 -,MSA-1 Seminar II,1,Anesthesiology,,
ANMS 6821 -,MSA-1 Seminar III,1,Anesthesiology,,
ANMS 6831 -,MSA-1 Seminar IV,1,Anesthesiology,,
ANTP 5050 -,"Resilience, Well-Being and Social Justice",3,Anthropology-CSU,,
ANTP 5200 -,Women Health & Culture,3,Anthropology-CSU,,
ANTP 5320 -,Culture of Disaster,3,Anthropology-CSU,,
