courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACG 2021,Principles of Financial Accounting,"(None, None)",Accounting General,Undergraduate,
ACG 2071,Principles of Managerial Accounting,"(None, None)",Accounting General,Undergraduate,
ACG 3131,Intermediate Financial Accounting I,"(None, None)",Accounting General,Undergraduate,
ACG 3141,Intermediate Financial Accounting II,"(None, None)",Accounting General,Undergraduate,
ACG 3173,Accounting for Decision-Makers,"(None, None)",Accounting General,Undergraduate,
ACG 3361,Cost Accounting I,"(None, None)",Accounting General,Undergraduate,
ACG 3501,Financial Accounting for Governmental and Nonprofit Organizations,"(None, None)",Accounting General,Undergraduate,
ACG 4401,Accounting Information Systems,"(None, None)",Accounting General,Undergraduate,
ACG 4651,Auditing,"(None, None)",Accounting General,Undergraduate,
ACG 4671,Internal Auditing,"(None, None)",Accounting General,Undergraduate,
ACG 4803,Advanced Issues in Financial Accounting,"(None, None)",Accounting General,Undergraduate,
ACG 4840,Accounting Analytics,"(None, None)",Accounting General,Undergraduate,
ADE 4382,Teaching Adult Learners in Technical Programs,"(None, None)",Adult Education,Undergraduate,
ADV 3001,Advertising Strategy,"(None, None)",Advertising,Undergraduate,
ADV 3008,Principles of Advertising,"(None, None)",Advertising,Undergraduate,
ADV 4101,Advertising Copywriting,"(None, None)",Advertising,Undergraduate,
ADV 4103,Radio-Television Advertising,"(None, None)",Advertising,Undergraduate,
ADV 4300,Advertising Media Planning,"(None, None)",Advertising,Undergraduate,
ADV 4903,Honors Directed Reading I,"(None, None)",Advertising,Undergraduate,
ADV 4906,Independent Study,"(None, None)",Advertising,Undergraduate,
ADV 4912,Research,"(None, None)",Advertising,Undergraduate,
ADV 4941,Internship,"(None, None)",Advertising,Undergraduate,
ADV 4970,Honors Undergrad Thesis,"(None, None)",Advertising,Undergraduate,
AFA 3006,The African Diaspora: Theories and Movements,"(None, None)",African American Studies,Undergraduate,
AFA 3102,Introduction to Africana Studies: A Multidisciplinary Approach,"(None, None)",African American Studies,Undergraduate,
AFA 3104,The Black Intellectual Experience,"(None, None)",African American Studies,Undergraduate,
AFA 3300,African-American and Caribbean Music,"(None, None)",African American Studies,Undergraduate,
AFA 3371,Evolution of Hip Hop,"(None, None)",African American Studies,Undergraduate,
AFA 3371,Honors Evolution of Hip Hop,"(None, None)",African American Studies,Undergraduate,
AFA 3850,Researching Africana Heritage and Life,"(None, None)",African American Studies,Undergraduate,
AFA 3955,Study Abroad in the Caribbean,"(None, None)",African American Studies,Undergraduate,
AFA 4105,Documenting Africana Heritage and Life,"(None, None)",African American Studies,Undergraduate,
AFA 4242,Contemporary Issues in Africana Studies,"(None, None)",African American Studies,Undergraduate,
AFH 3100,African History to 1870,"(None, None)",African History,Undergraduate,
AFH 3200,African History Since 1870,"(None, None)",African History,Undergraduate,
AFH 3458,History of South Africa 1652-present,"(None, None)",African History,Undergraduate,
AFR 1101,Heritage and Values of the United States Air Force I,"(None, None)",Air Force Rotc,Undergraduate,
AFR 1111,Heritage and Values of the United States Air Force II,"(None, None)",Air Force Rotc,Undergraduate,
AFR 2130,Team and Leadership Fundamentals I,"(None, None)",Air Force Rotc,Undergraduate,
AFR 2131,Team and Leadership Fundamentals II,"(None, None)",Air Force Rotc,Undergraduate,
AFR 3220,Leading People and Effective Communication I,"(None, None)",Air Force Rotc,Undergraduate,
AFR 3230,Leading People and Effective Communication II,"(None, None)",Air Force Rotc,Undergraduate,
AFR 4201,National Security Affairs and Prep for Active Duty I,"(None, None)",Air Force Rotc,Undergraduate,
AFR 4210,National Security Affairs/Preparation for Active Duty II,"(None, None)",Air Force Rotc,Undergraduate,
AMH 1070,"Florida: People, Places, and History","(None, None)",American History,Undergraduate,
AMH 2010,U.S. History: 1492-1877,"(None, None)",American History,Undergraduate,
AMH 2010,Honors U.S. History: 1492-1877,"(None, None)",American History,Undergraduate,
AMH 2020,U.S. History: 1877-Present,"(None, None)",American History,Undergraduate,
AMH 2020,Honors U.S. History: 1877-Present,"(None, None)",American History,Undergraduate,
AMH 3370,Capitalism & Democracy in US History,"(None, None)",American History,Undergraduate,
AMH 3402,History of the South to 1865,"(None, None)",American History,Undergraduate,
AMH 3403,History of the South Since 1865,"(None, None)",American History,Undergraduate,
AMH 3422,Frontier Florida,"(None, None)",American History,Undergraduate,
AMH 3425,Sunbelt Florida,"(None, None)",American History,Undergraduate,
AMH 3441,History of the Frontier: Eastern America,"(None, None)",American History,Undergraduate,
AMH 3442,History of the Frontier: Western America,"(None, None)",American History,Undergraduate,
AMH 3483,History of Florida Indians,"(None, None)",American History,Undergraduate,
AMH 3541,U. S. Military History To 1900,"(None, None)",American History,Undergraduate,
AMH 3547,U.S. Military History Since 1900,"(None, None)",American History,Undergraduate,
AMH 3558,History of American Law,"(None, None)",American History,Undergraduate,
AMH 3560,"Women, Law, and Society in American History","(None, None)",American History,Undergraduate,
AMH 3561,Women in American History I,"(None, None)",American History,Undergraduate,
AMH 3562,Women in American History II,"(None, None)",American History,Undergraduate,
AMH 3571,Black American History I,"(None, None)",American History,Undergraduate,
AMH 3572,Black American History II,"(None, None)",American History,Undergraduate,
AMH 3580,North American Indians,"(None, None)",American History,Undergraduate,
AMH 3586,History of Latinos in the U.S.,"(None, None)",American History,Undergraduate,
AMH 3611,Sport in America Since 1945,"(None, None)",American History,Undergraduate,
AMH 3710,Canadian History,"(None, None)",American History,Undergraduate,
AMH 4110,"Colonial America, 1607-1763","(None, None)",American History,Undergraduate,
AMH 4130,"The Age of the American Revolution, 1763-1789","(None, None)",American History,Undergraduate,
AMH 4140,Jeffersonian America,"(None, None)",American History,Undergraduate,
AMH 4160,Jacksonian America,"(None, None)",American History,Undergraduate,
AMH 4170,Civil War and Reconstruction,"(None, None)",American History,Undergraduate,
AMH 4174,Emancipation and Reconstruction,"(None, None)",American History,Undergraduate,
AMH 4201,The Gilded Age and Progressivism,"(None, None)",American History,Undergraduate,
AMH 4231,United States History: 1914-1939,"(None, None)",American History,Undergraduate,
AMH 4270,United States History: 1939-1960,"(None, None)",American History,Undergraduate,
AMH 4273,U. S. History Since 1960,"(None, None)",American History,Undergraduate,
AMH 4311,American Culture I,"(None, None)",American History,Undergraduate,
AMH 4344,American Car Culture,"(None, None)",American History,Undergraduate,
AMH 4345,History of American Tourism,"(None, None)",American History,Undergraduate,
AMH 4375,Technology and US Culture,"(None, None)",American History,Undergraduate,
AMH 4376,U.S. Space History,"(None, None)",American History,Undergraduate,
AMH 4407,Jim Crow America,"(None, None)",American History,Undergraduate,
AMH 4510,"Rise of the United States to World Power, 1776-1914","(None, None)",American History,Undergraduate,
AMH 4512,US Foreign Relations from the Founding Era to World War II,"(None, None)",American History,Undergraduate,
AMH 4513,US Foreign Relations: Close of World War II to the Present,"(None, None)",American History,Undergraduate,
AMH 4573,Black Militancy in the 20th Century,"(None, None)",American History,Undergraduate,
AMH 4575,History of the Civil Rights Movement,"(None, None)",American History,Undergraduate,
AMH 4594,Laser Scanning America's Past,"(None, None)",American History,Undergraduate,
AMH 4594,Honors Laser Scanning America's Past,"(None, None)",American History,Undergraduate,
AMH 4644,Viewing American History in the Twentieth Century,"(None, None)",American History,Undergraduate,
AMH 4650,History of U.S. Aviation,"(None, None)",American History,Undergraduate,
AMH 4680,Women in American Science,"(None, None)",American History,Undergraduate,
AML 3031,American Literature I,"(None, None)",American Literature,Undergraduate,
AML 3041,American Literature II,"(None, None)",American Literature,Undergraduate,
AML 3076,Topics in American Literature,"(None, None)",American Literature,Undergraduate,
AML 3261,Literature of the South,"(None, None)",American Literature,Undergraduate,
AML 3273,Beat Literature and Other Mid-Century Writers,"(None, None)",American Literature,Undergraduate,
AML 3283,Contemporary American Women's Fiction,"(None, None)",American Literature,Undergraduate,
AML 3286,Early American Women's Words,"(None, None)",American Literature,Undergraduate,
AML 3605,African American Literature I,"(None, None)",American Literature,Undergraduate,
AML 3613,Narratives of Slavery,"(None, None)",American Literature,Undergraduate,
AML 3614,Topics in African-American Literature,"(None, None)",American Literature,Undergraduate,
AML 3615,"Harlem, Haiti, and Havana","(None, None)",American Literature,Undergraduate,
AML 3630,Latinx Literature,"(None, None)",American Literature,Undergraduate,
AML 3632,Puerto Rican Literature,"(None, None)",American Literature,Undergraduate,
AML 3640,Native American Literature,"(None, None)",American Literature,Undergraduate,
AML 3643,Contemporary Native American Prose and Poetry,"(None, None)",American Literature,Undergraduate,
AML 3682,Ethnic Literature in America,"(None, None)",American Literature,Undergraduate,
AML 3682,Honors Ethnic Literature in America,"(None, None)",American Literature,Undergraduate,
AML 4101,American Novel,"(None, None)",American Literature,Undergraduate,
AML 4155,Modern American Poetry,"(None, None)",American Literature,Undergraduate,
AML 4265,Florida Writers,"(None, None)",American Literature,Undergraduate,
AML 4300,Major American Authors,"(None, None)",American Literature,Undergraduate,
AML 4321,Modern American Literature,"(None, None)",American Literature,Undergraduate,
ANT 2000,General Anthropology,"(None, None)",Anthropology,Undergraduate,
ANT 2000,Honors General Anthropology,"(None, None)",Anthropology,Undergraduate,
ANT 2140,Introduction to Archaeology,"(None, None)",Anthropology,Undergraduate,
ANT 2410,"Cultural Anthropology: Global Perspectives, Local Contexts","(None, None)",Anthropology,Undergraduate,
ANT 2511,The Human Species,"(None, None)",Anthropology,Undergraduate,
ANT 2511,Honors The Human Species,"(None, None)",Anthropology,Undergraduate,
ANT 3010,"Digging Up Disney:  An Archaeology of Walt Disney World, FL","(None, None)",Anthropology,Undergraduate,
ANT 3011,The Anthropology of American Television,"(None, None)",Anthropology,Undergraduate,
ANT 3016,Fantastic Archaeology and Pseudoscience,"(None, None)",Anthropology,Undergraduate,
ANT 3017,Muggle Studies: The Anthropology of Harry Potter,"(None, None)",Anthropology,Undergraduate,
ANT 3026,"Mummies, Zombies, and Vampires: Anthropology of the Undead","(None, None)",Anthropology,Undergraduate,
ANT 3052,Disaster Anthropology,"(None, None)",Anthropology,Undergraduate,
ANT 3082,New Frontiers: Anthropology of Space,"(None, None)",Anthropology,Undergraduate,
ANT 3106,Archaeology and Popular Culture,"(None, None)",Anthropology,Undergraduate,
ANT 3107,Blood and Valor in the Viking World,"(None, None)",Anthropology,Undergraduate,
ANT 3145,Archaeology of Complex Societies,"(None, None)",Anthropology,Undergraduate,
ANT 3148,Life and Death in Ancient Egypt,"(None, None)",Anthropology,Undergraduate,
ANT 3152,Archaeology of the Greater Southwest,"(None, None)",Anthropology,Undergraduate,
ANT 3154,Historical Archaeology,"(None, None)",Anthropology,Undergraduate,
