courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ARTS 1,ArtsCore,"(None, None)",Arts,,
ARTS 199,Independent Study,"(None, None)",Arts,,
ARTS 75,Digital Media: Exhibition,"(None, None)",Arts,,
ARTS H81,Improvisation and Modes of Research / Creative Expression,"(None, None)",Arts,,
ARMN 1A,Elementary Armenian,"(None, None)",Armenian,,
ARMN 1B,Elementary Armenian,"(None, None)",Armenian,,
ARMN 1C,Elementary Armenian,"(None, None)",Armenian,,
ARMN 2A,Intermediate Armenian,"(None, None)",Armenian,,
ARMN 2B,Intermediate Armenian,"(None, None)",Armenian,,
ARMN 2C,Intermediate Armenian,"(None, None)",Armenian,,
ARABIC 10A,Arabic Peer-to-Peer Language Mentor Program,"(None, None)",Arabic,,
ARABIC 10B,Arabic Peer-to-Peer Language Mentor Program,"(None, None)",Arabic,,
ARABIC 199,Independent Study,"(None, None)",Arabic,,
ARABIC 1A,Fundamentals of Arabic,"(None, None)",Arabic,,
ARABIC 1B,Fundamentals of Arabic,"(None, None)",Arabic,,
ARABIC 1C,Fundamentals of Arabic,"(None, None)",Arabic,,
ARABIC 2A,Intermediate Arabic Language and Culture,"(None, None)",Arabic,,
ARABIC 2B,Intermediate Arabic Language and Culture,"(None, None)",Arabic,,
ARABIC 2C,Intermediate Arabic Language and Culture,"(None, None)",Arabic,,
ARABIC 51,Introduction to the Koran,"(None, None)",Arabic,,
AC ENG 139W,Advanced Academic Writing Across the Curriculum,"(None, None)",Academic English,,
AC ENG 200,Oral English Communication I,"(None, None)",Academic English,,
AC ENG 201,Oral English Communication II,"(None, None)",Academic English,,
AC ENG 202,Oral English Communication III,"(None, None)",Academic English,,
AC ENG 20A,Academic Writing,"(None, None)",Academic English,,
AC ENG 20B,Academic Writing,"(None, None)",Academic English,,
AC ENG 20C,Essentials of Academic Writing,"(None, None)",Academic English,,
AC ENG 20D,Academic Writing,"(None, None)",Academic English,,
AC ENG 210,Introduction to Graduate Research Writing,"(None, None)",Academic English,,
AC ENG 211,Graduate Writing for Scholarly Publication,"(None, None)",Academic English,,
AC ENG 212,Thesis/Dissertation Writing for Graduate Students,"(None, None)",Academic English,,
AC ENG 22A,Academic English Reading and Vocabulary,"(None, None)",Academic English,,
AC ENG 22B,ESL Reading and Vocabulary,"(None, None)",Academic English,,
AC ENG 29,Special Topics in ESL,"(None, None)",Academic English,,
BIOCHEM 200A,Research in Biological Chemistry,"(None, None)",Biological Chemistry,,
BIOCHEM 200B,Research in Biological Chemistry,"(None, None)",Biological Chemistry,,
BIOCHEM 200C,Research in Biological Chemistry,"(None, None)",Biological Chemistry,,
BIOCHEM 200R,Research in Biological Chemistry for First-Year Students,"(None, None)",Biological Chemistry,,
BIOCHEM 202A,Laboratory Seminar Series,"(None, None)",Biological Chemistry,,
BIOCHEM 202B,Laboratory Seminar Series,"(None, None)",Biological Chemistry,,
BIOCHEM 202C,Laboratory Seminar Series,"(None, None)",Biological Chemistry,,
BIOCHEM 207,Current Topics in Cancer Genomics,"(None, None)",Biological Chemistry,,
BIOCHEM 210A,Medical Biochemistry and Molecular Biology,"(None, None)",Biological Chemistry,,
BIOCHEM 225,Epigenetics in Health and Disease,"(None, None)",Biological Chemistry,,
BIOCHEM 281,Fundamentals of Informatics for Biologists,"(None, None)",Biological Chemistry,,
BIOCHEM 291,Research Seminar,"(None, None)",Biological Chemistry,,
BIOCHEM 292A,Scientific Communication,"(None, None)",Biological Chemistry,,
BIOCHEM 292B,Scientific Communication,"(None, None)",Biological Chemistry,,
BIOCHEM 292C,Scientific Communication,"(None, None)",Biological Chemistry,,
BATS 201,Pathways in Biomedical and Translational Science,"(None, None)",Biomed And Translational Sci,,
BATS 209A,Introduction to Medical Statistics,"(None, None)",Biomed And Translational Sci,,
BATS 209B,Introduction to Medical Statistics II,"(None, None)",Biomed And Translational Sci,,
