courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AERO ST A,Leadership Laboratory,"(0, 0)",Aerospace Studies,,
AERO ST 1A,Department of Air Force Professionalism,"(2, 2)",Aerospace Studies,,
AERO ST 1B,Department of Air Force Professionalism,"(2, 2)",Aerospace Studies,,
AERO ST 1C,Department of Air Force Professionalism,"(2, 2)",Aerospace Studies,,
AERO ST 19,Fiat Lux Freshman Seminars,"(1, 1)",Aerospace Studies,,
AERO ST 20A,Team and Leadership Fundamentals,"(2, 2)",Aerospace Studies,,
AERO ST 20B,Team and Leadership Fundamentals,"(2, 2)",Aerospace Studies,,
AERO ST 20C,Team and Leadership Fundamentals,"(2, 2)",Aerospace Studies,,
AERO ST 130A,Air Force Leadership Studies,"(4, 4)",Aerospace Studies,,
AERO ST 130B,Air Force Leadership Studies,"(4, 4)",Aerospace Studies,,
AERO ST 130C,Air Force Leadership Studies,"(4, 4)",Aerospace Studies,,
AERO ST 140A,National Security Affairs/Preparation for Active Duty,"(4, 4)",Aerospace Studies,,
AERO ST 140B,National Security Affairs/Preparation for Active Duty,"(4, 4)",Aerospace Studies,,
AERO ST 140C,National Security Affairs/Preparation for Active Duty,"(4, 4)",Aerospace Studies,,
AERO ST 197,Individual Studies in Aerospace Studies,"(2, 2)",Aerospace Studies,,
AF AMER 1,Introduction to Black Studies,"(5, 5)",African American Studies,,
AF AMER 2A,Africa and Middle East,"(4, 4)",African American Studies,,
AF AMER 2B,Race and U.S. Military Intervention in Africa,"(5, 5)",African American Studies,,
AF AMER 2C,"Black Folks Kung Fu Fightin': Black America, Martial Arts, and Popular Culture","(5, 5)",African American Studies,,
AF AMER M5,Social Organization of Black Communities,"(5, 5)",African American Studies,,
AF AMER 6,Trends in Black Intellectual Thought,"(5, 5)",African American Studies,,
AF AMER M7A,Elementary Yoruba,"(4, 4)",African American Studies,,
AF AMER M7B,Elementary Yoruba,"(4, 4)",African American Studies,,
AF AMER M7C,Elementary Yoruba,"(4, 4)",African American Studies,,
AF AMER M8A,Elementary Tigrinya,"(4, 4)",African American Studies,,
AF AMER M8B,Elementary Tigrinya,"(4, 4)",African American Studies,,
AF AMER M9A,Elementary Amharic,"(4, 4)",African American Studies,,
AF AMER M9B,Elementary Amharic,"(4, 4)",African American Studies,,
AF AMER M9C,Elementary Amharic,"(4, 4)",African American Studies,,
AF AMER M10A,History of Africa to 1800,"(5, 5)",African American Studies,,
AF AMER M18,Leadership and Student-Initiated Retention,"(2, 2)",African American Studies,,
AF AMER 19,Fiat Lux Freshman Seminars,"(1, 1)",African American Studies,,
AF AMER M25,Perceptions of Blackness in the Ancient World,"(5, 5)",African American Studies,,
AF AMER 89,Honors Seminars,"(1, 1)",African American Studies,,
AF AMER 89HC,Honors Contracts,"(1, 1)",African American Studies,,
AF AMER 96W,Variable Topics in Black Studies,"(5, 5)",African American Studies,,
AF AMER 99,Student Research Program,"(1, 2)",African American Studies,,
AF AMER M102,"Culture, Media, and Los Angeles","(6, 6)",African American Studies,,
AF AMER M103A,African American Theater History: Slavery to Mid-1800s,"(4, 4)",African American Studies,,
AF AMER M103B,African American Theater History: Minstrel Stage to Rise of American Musical,"(4, 4)",African American Studies,,
AF AMER M103E,Modern African American Drama: Harlem Renaissance to Black Arts Movement,"(4, 4)",African American Studies,,
AF AMER M103J,Contemporary Black Theater: Modern Civil Rights Era to Black Lives Matter and Beyond,"(4, 4)",African American Studies,,
AF AMER M104A,Early African American Literature,"(5, 5)",African American Studies,,
AF AMER M104B,African American Literature from Harlem Renaissance to 1960s,"(5, 5)",African American Studies,,
AF AMER M104C,African American Literature of 1960s and 1970s,"(5, 5)",African American Studies,,
AF AMER M104D,Contemporary African American Literature,"(5, 5)",African American Studies,,
AF AMER M104E,Topics in African American Literature and Culture,"(5, 5)",African American Studies,,
AF AMER 105A,Ideology and Black Consciousness,"(4, 4)",African American Studies,,
AF AMER 105B,Issues in Pan-African Biography and Autobiography,"(4, 4)",African American Studies,,
AF AMER 105C,"Africa, African Americans, and History of Capitalism","(4, 4)",African American Studies,,
AF AMER 105D,"African American-Caribbean Relations: Difference, Solidarity, and Empire","(4, 4)",African American Studies,,
AF AMER 106A,Africa and World,"(4, 4)",African American Studies,,
AF AMER 106B,"Militarism, International Security, and African American Political Thought","(4, 4)",African American Studies,,
AF AMER M107,Cultural History of Rap,"(5, 5)",African American Studies,,
AF AMER 108,Jazz and Political Imagination,"(4, 4)",African American Studies,,
AF AMER M109,Jazz in Gendered Perspectives,"(4, 4)",African American Studies,,
AF AMER CM110,Bibliography and Research Methods in Rap Music/Hip-Hop Studies,"(4, 4)",African American Studies,,
AF AMER 110A,"Race, Science, and Society","(4, 4)",African American Studies,,
AF AMER 110B,Reproducing While Black: Politics of Black Reproduction,"(4, 4)",African American Studies,,
AF AMER 110C,"Black Health Matters: Wellness, Health, and Self-Care","(4, 4)",African American Studies,,
AF AMER CM110D,Posthumans,"(4, 4)",African American Studies,,
AF AMER M111,Ellingtonia,"(4, 4)",African American Studies,,
AF AMER 112A,"Sunken Place: Racism, Survival, and Black Horror Aesthetic","(4, 4)",African American Studies,,
AF AMER 112B,Aboard Mothership: Introduction to Afrofuturism,"(4, 4)",African American Studies,,
AF AMER CM113B,Legislative Theater for Race and Gender Justice,"(5, 5)",African American Studies,,
AF AMER M113D,Spoken Word Workshop: Creative Writing and Performance Practicum,"(4, 4)",African American Studies,,
AF AMER CM113XP,"Narratives of Justice: Disrupting School-to-Prison Pipeline--Arts, Activism, and Agency","(4, 4)",African American Studies,,
AF AMER M114C,African American Political Thought,"(4, 4)",African American Studies,,
AF AMER M115,We Gone Be Alright: Developing Next Generation of Black Organizers,"(4, 4)",African American Studies,,
AF AMER M116A,African American Musical Heritage,"(5, 5)",African American Studies,,
AF AMER M116B,African American Musical Heritage,"(5, 5)",African American Studies,,
AF AMER 117,"Ecologies of Empire, Liberation, and Resistance","(4, 4)",African American Studies,,
AF AMER M118,Student-Initiated Retention and Outreach Issues in Higher Education,"(4, 4)",African American Studies,,
AF AMER M120,"Race, Inequality, and Public Policy","(4, 4)",African American Studies,,
AF AMER M121,Afro-Indigenous History: from Enslavement and Settlement to Black Lives Matter and Indigenous Sovereignty,"(4, 4)",African American Studies,,
AF AMER M123,Global Hip Hop,"(4, 4)",African American Studies,,
AF AMER M124,Comparative Racialization and Indigeneity,"(4, 4)",African American Studies,,
