courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 2000,Topics in Accounting,,ACCT,,
ACCT 2113,Accounting I,,ACCT,,
ACCT 2133,Accounting II,,ACCT,,
ACCT 2223,Survey of Accounting,,ACCT,,
ACCT 3000,Workshop in Accounting,,ACCT,,
ACCT 3113,Managerial Accounting,,ACCT,,
ACCT 3213,Intermediate Accounting I,,ACCT,,
ACCT 3233,Intermediate Accounting II,,ACCT,,
ACCT 3333,Income Tax Accounting,,ACCT,,
ACCT 3413,Cost Accounting,,ACCT,,
ACCT 3423,Data Analysis for Accountants,,ACCT,,
ACCT 3433,Accounting Information Systems,,ACCT,,
ACCT 3513,Tax Planning,,ACCT,,
ACCT 3990,Advanced Topics in Accounting,,ACCT,,
ACCT 4013,Oil and Gas Accounting,,ACCT,,
ACCT 4113,Accounting Ethics & Professionalism,,ACCT,,
ACCT 4213,Advanced Income Tax Accounting,,ACCT,,
ACCT 4243,Advanced Cost Accounting,,ACCT,,
ACCT 4283,Advanced Accounting,,ACCT,,
ACCT 4313,Governmental/Nonprofit Acct.,,ACCT,,
ACCT 4323,Consolidated Statements,,ACCT,,
ACCT 4363,Auditing,,ACCT,,
ACCT 4373,Internal Auditing,,ACCT,,
ACCT 4383,Fraud Examination,,ACCT,,
ACCT 4393,Forensic Accounting,,ACCT,,
ACCT 4412,CPA Review - Audit,,ACCT,,
ACCT 4421,CPA Review - BEC,,ACCT,,
ACCT 4432,CPA Review-Regulation,,ACCT,,
ACCT 4442,CPA Review-Financial Accounting and Reporting,,ACCT,,
ACCT 4900,Practicum in Accounting,,ACCT,,
ACCT 4910,Seminar in Accounting,,ACCT,,
ACCT 4920,Workshop in Accounting,,ACCT,,
ACCT 4930,Individual Study in Accounting,,ACCT,,
ACCT 4940,Field Study in Accounting,,ACCT,,
ACCT 4950,Internship,,ACCT,,
ACM 1132,Music Culture,,ACM,,
ACM 1142,Music Fundamentals I,,ACM,,
ACM 1152,Aural Skills I,,ACM,,
ACM 1172,Applied Instruction I,,ACM,,
ACM 1212,Introduction to the Music Industry,,ACM,,
ACM 1222,Beginning Keyboard Skills,,ACM,,
ACM 1252,Studio Recording I,,ACM,,
ACM 1272,Sonic Fundamentals,,ACM,,
ACM 1363,Introduction to Artist Development,,ACM,,
ACM 1412,Music and Media,,ACM,,
ACM 1422,The Freelance World,,ACM,,
ACM 1432,Studio Recording II,,ACM,,
ACM 1512,Live Sound Fundamentals,,ACM,,
ACM 1522,DAW I,,ACM,,
ACM 1622,DAW II,,ACM,,
ACM 1722,Topline Writing,,ACM,,
ACM 2000,Topics in Academy of Contemporary Music,,ACM,,
ACM 2012,Songwriting I,,ACM,,
ACM 2043,Stand-Up Comedy,,ACM,,
ACM 2121,Repertoire Development I,,ACM,,
ACM 2141,Live Performance I,,ACM,,
ACM 2152,Aural Skills II,,ACM,,
ACM 2163,Music Business Fundamentals,,ACM,,
ACM 2172,Applied Instruction II,,ACM,,
ACM 2182,Music Fundamentals II,,ACM,,
ACM 2212,Studio Recording III,,ACM,,
ACM 2222,Music IT I,,ACM,,
ACM 2232,Post Production in Technology,,ACM,,
ACM 2253,Introduction to Concert & Tour Management,,ACM,,
ACM 2263,Music Industry Marketing,,ACM,,
ACM 2272,Writing Music for Radio,,ACM,,
ACM 2373,Music & Meaning,,ACM,,
ACM 2383,Social Media Revolution,,ACM,,
ACM 2422,Cultural Studies,,ACM,,
ACM 2432,Composition & Arranging II,,ACM,,
ACM 2442,Music IT II,,ACM,,
ACM 2453,Music Business Capstone,,ACM,,
ACM 2473,Contemporary Music Appreciation,,ACM,,
ACM 2512,Songwriting II,,ACM,,
ACM 2543,Artist Management,,ACM,,
ACM 2623,Record Label Operations I,,ACM,,
ACM 2642,Beginning Production Techniques,,ACM,,
ACM 2663,Music Publishing,,ACM,,
ACM 2712,Studio Recording IV,,ACM,,
ACM 2723,"Music Marketing, Merchandising, & Retail II",,ACM,,
ACM 2753,Applied New Media,,ACM,,
ACM 2783,Business Management for Artists,,ACM,,
ACM 2843,Ethics and the Music Industry,,ACM,,
ACM 3123,"Charting, Transcription, Arranging",,ACM,,
ACM 3133,Music Business and Entrepreneurship,,ACM,,
ACM 3143,Contemporary Music Marketing and Public Relations,,ACM,,
ACM 3221,Performance Showcase I,,ACM,,
ACM 3233,Songwriting and Demo Building,,ACM,,
ACM 3273,Survey of Music Business Nonfiction,,ACM,,
ACM 3312,Applied Instruction III,,ACM,,
ACM 3333,"Contemporary Music Operations Management, Logistics, and Planning",,ACM,,
ACM 3343,The Physics of Sound,,ACM,,
ACM 3353,Advanced Pro Tools I,,ACM,,
ACM 3373,Music Industry Staffing,,ACM,,
ACM 3433,Mixing and Managing Live Sound,,ACM,,
ACM 3473,ACM Records I,,ACM,,
ACM 3513,Sound Design,,ACM,,
ACM 3523,"Advanced Tracking, Editing & Mixing",,ACM,,
ACM 3533,Advanced Sound Capture,,ACM,,
ACM 3553,Operations Management,,ACM,,
ACM 3613,Songwriting in a Collaborative Environment,,ACM,,
ACM 3633,Advanced Logic Pro I,,ACM,,
ACM 3713,"Movie Music in the 21st Century, A Technical Approach",,ACM,,
ACM 4013,Creating Your Team,,ACM,,
ACM 4023,Record Label Operations II,,ACM,,
ACM 4042,Live Performance II,,ACM,,
ACM 4062,Repertoire Development II,,ACM,,
ACM 4113,Contemporary Music Contracts,,ACM,,
ACM 4123,"Road, Stage, Production, and Performance Management",,ACM,,
ACM 4133,Advanced ProTools II,,ACM,,
ACM 4143,Mixing for Sound Design,,ACM,,
ACM 4213,Studio Design,,ACM,,
ACM 4223,Advanced Mixing and Mastering,,ACM,,
ACM 4253,Applied Concert Promotion,,ACM,,
ACM 4343,Creating Studio Libraries,,ACM,,
ACM 4353,Digital Media,,ACM,,
ACM 4423,Audio Post-Production for Film & Television,,ACM,,
ACM 4433,Touring and Show Design,,ACM,,
ACM 4443,Writing Music for Film and TV,,ACM,,
ACM 4473,ACM Records II,,ACM,,
ACM 4513,Advanced Logic Pro II,,ACM,,
ACM 4523,Advanced Music Business Studies,,ACM,,
ACM 4533,Media Techniques for Business,,ACM,,
ACM 4543,Current Events in the Creative Industries,,ACM,,
ACM 4551,Session Lab,,ACM,,
ACM 4553,Key Events in the Music Industry,,ACM,,
ACM 4573,ACM Records III,,ACM,,
ACM 4603,Music Supervision,,ACM,,
ACM 4622,Applied Instruction IV,,ACM,,
ACM 4633,Synthesis Techniques,,ACM,,
ACM 4643,Music Copyright,,ACM,,
ACM 4653,Legal Issues in the Music Industry,,ACM,,
ACM 4743,Music Publishing II,,ACM,,
ACM 4763,Fair Use in Contemporary Music,,ACM,,
ACM 4841,Performance Showcase II,,ACM,,
