courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 5121,Financial Accounting and Reporting.,"(3, 3)",Accounting,Graduate,
ACCT 5122,Financial Reporting I.,"(3, 3)",Accounting,Graduate,
ACCT 5123,Cost Analysis and Control.,"(3, 3)",Accounting,Graduate,
ACCT 5124,Financial Reporting II.,"(3, 3)",Accounting,Graduate,
ACCT 5243,Assurance Services.,"(3, 3)",Accounting,Graduate,
ACCT 5260,Federal Income Taxation.,"(3, 3)",Accounting,Graduate,
ACCT 5327,Financial Statement Analysis and Business Valuation.,"(3, 3)",Accounting,Graduate,
ACCT 5505,Ethics and the Accounting Professional Environment.,"(3, 3)",Accounting,Graduate,
ACCT 5530,Business Sustainability Reporting and Analysis.,"(3, 3)",Accounting,Graduate,
ACCT 5532,Contemporary Issues in Financial Reporting and Analysis.,"(3, 3)",Accounting,Graduate,
ACCT 5533,Contemporary Managerial Accounting Issues.,"(3, 3)",Accounting,Graduate,
ACCT 5535,Global Financial Reporting and Analysis.,"(3, 3)",Accounting,Graduate,
ACCT 5543,Advanced Assurance Services.,"(3, 3)",Accounting,Graduate,
ACCT 5545,"Business Law, Business Ethics, and Public Accounting.","(3, 3)",Accounting,Graduate,
ACCT 5546,Forensic Accounting and Fraud Examination.,"(3, 3)",Accounting,Graduate,
ACCT 5549,Accounting and Disclosure for Not for Profit Entities.,"(3, 3)",Accounting,Graduate,
ACCT 5554,Data Analytics: Skills for Accountants.,"(3, 3)",Accounting,Graduate,
ACCT 5555,Data Analytics: Accounting Applications.,"(3, 3)",Accounting,Graduate,
ACCT 5557,Advanced Accounting Information Systems.,"(3, 3)",Accounting,Graduate,
ACCT 5559,Accounting and Auditing for Governmental Entities.,"(3, 3)",Accounting,Graduate,
ACCT 5563,Enterprise Risk Management: Identify Events as Risks to Manage or Opportunities to Seize.,"(3, 3)",Accounting,Graduate,
ACCT 5570,Taxation of Business Entities - Flow Through Entities.,"(3, 3)",Accounting,Graduate,
ACCT 5571,Taxation of Business Entities: C Corporations.,"(3, 3)",Accounting,Graduate,
ACCT 5575,Taxes and Business Strategy.,"(3, 3)",Accounting,Graduate,
ACCT 5582,Research for Accounting Professionals.,"(3, 3)",Accounting,Graduate,
ACCT 5583,Financial Reporting of Income Taxes.,"(3, 3)",Accounting,Graduate,
ACCT 5584,Advanced Accounting.,"(3, 3)",Accounting,Graduate,
ACCT 5894,Special Topics in Accounting.,"(1, 3)",Accounting,Graduate,
ACCT 5895,Independent Study in Accounting.,"(1, 6)",Accounting,Graduate,
ACCT 6200,Investigation of Special Topics.,"(1, 3)",Accounting,Graduate,
ACCT 6201,Introduction to Accounting Research.,"(3, 3)",Accounting,Graduate,
