courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ARC 040,EARLY START SEMINAR,0,Academic Resource Center,,
ARC 060,ECON 002 WORKSHP:CHASS LEARN C,0,Academic Resource Center,,
ARC 070,CS SPLMNTL INST - CNAS,0,Academic Resource Center,,
ARC 071,STAT SPLMNTL INST - CNAS,0,Academic Resource Center,,
ARC 072,CHEM SPLMNTL INST - CNAS,0,Academic Resource Center,,
ARC 073,MATH SPLMNTL INST - CNAS,0,Academic Resource Center,,
ARC 075,PHYS- SPLMNTL INST - CNAS,0,Academic Resource Center,,
ARC 078,BIOL SPLMNTL INST - CNAS,0,Academic Resource Center,,
ARC 080,COE: LEARNING CENTER WORKSHOP,0,Academic Resource Center,,
ARC MAER,MAE: TEST INTO MATH 008B,0,Academic Resource Center,,
BUAS 101,FUNDAMENTALS OF INSURANCE,4,Actuarial Sciences,,
ANTH ----,ANTH:SUBJECT CREDIT,4.5,Anthropology,,
ANTH --92,ARCHAEOLOGY:SUBJECT CREDIT,4,Anthropology,,
ANTH --93,BIOLOGICAL ANTH:SUBJECT CRDT,4,Anthropology,,
ANTH --94,CULTURAL/SOC:SUBJECT CREDIT,4,Anthropology,,
ANTH --95,LINGUISITICS: SUBJECT CREDIT,4,Anthropology,,
ANTH 001,CULTURAL ANTHROPOLOGY,0-4,Anthropology,,
ANTH 001H,HONORS CULTURAL ANTHROPOLOGY,0-4,Anthropology,,
ANTH 001W,CULTURAL ANTHROPOLOGY,0-4,Anthropology,,
ANTH 002,BIOLOGICAL ANTHROPOLOGY,0-5,Anthropology,,
ANTH 003,WORLD PREHISTORY,0-4,Anthropology,,
ANTH 005,INTRODUCTION TO ARCHAEOLOGY,0-5,Anthropology,,
ANTH 006,INTRODUCTION TO WORLD MUSIC,0-4,Anthropology,,
ANTH 007,INTRODUCTION TO LINGUISTIC ANTHROPOLOGY,4,Anthropology,,
ANTH 007S,INTRODUCTION TO LINGUISTIC ANTHROPOLOGY,0-5,Anthropology,,
ANTH 010,MYSTERIES OF THE ANCIENT MAYA,4,Anthropology,,
ANTH 010S,MYSTERIES OF THE ANCIENT MAYA,0-5,Anthropology,,
ANTH 012,GREAT DISCOVERIES IN ARCHAEOLOGY,4,Anthropology,,
ANTH 020,"CULTURE, HEALTH, AND HEALING",0-4,Anthropology,,
ANTH 020S,"CULTURE, HEALTH AND HEALING",0-4,Anthropology,,
ANTH 027,ART OF PRE-COLUMBIAN AMERICA,4,Anthropology,,
ANTH 050,HUMAN EVOLUTION,4,Anthropology,,
ANTH 1---,ANTH: SUBJECT CREDIT,4.5,Anthropology,,
ANTH 100,HISTORY OF ANTHROPOLOGICAL THEORY,4,Anthropology,,
ANTH 100W,HISTORY OF ANTHROPOLOGICAL THEORY,0-4,Anthropology,,
ANTH 101,CONTEMPORARY ANTHROPOLOGICAL THEORY,4,Anthropology,,
ANTH 103,INTRODUCTION TO VISUAL ANTHROPOLOGY,4,Anthropology,,
ANTH 103S,INTRO TO VISUAL ANTHROPOLOGY,0-5,Anthropology,,
ANTH 104,BIOARCHAEOLOGY,0-4,Anthropology,,
ANTH 105,ORGANIZATIONS AS CULTURAL SYSTEMS,4,Anthropology,,
ANTH 106,GENDER AND GENOCIDE,4,Anthropology,,
ANTH 107,EVOLUTION OF THE CAPACITY FOR CULTURE,4,Anthropology,,
ANTH 108,ANTHROPOLOGY OF GLOBAL MEDIA,4,Anthropology,,
ANTH 110,PREHISTORIC AGRICULTURE,4,Anthropology,,
ANTH 111,PEOPLING OF THE NEW WORLD,4,Anthropology,,
ANTH 112,SETTLEMENT PATTERNS AND LOCATIONAL ANALYSIS,4,Anthropology,,
ANTH 113,ANCIENT HOUSEHOLDS AND COMMUNITIES,4,Anthropology,,
ANTH 114A,LITHIC TECHNOLOGY I,0-4,Anthropology,,
ANTH 114B,LITHIC TECHNOLOGY 2,0-4,Anthropology,,
ANTH 114C,LITHIC ANALYSIS,0-4,Anthropology,,
ANTH 115E,NORTH AMERICAN PREHISTORY,4,Anthropology,,
ANTH 115M,PREHISTORY OF CALIFORNIA,4,Anthropology,,
ANTH 115R,ARCHAEOLOGY OF EASTERN MESOAMERICA,4,Anthropology,,
ANTH 115S,ARCHAEOLOGY OF WESTERN MESOAMERICA,4,Anthropology,,
ANTH 115T,PREHISTORY OF THE SOUTHWEST,4,Anthropology,,
ANTH 115U,ANDEAN PREHISTORY,4,Anthropology,,
ANTH 115X,ANCIENT OAXACA,4,Anthropology,,
ANTH 117,ANTHROPOLOGY OF CITIES,4,Anthropology,,
ANTH 118,ORIGINS OF CITIES,4,Anthropology,,
ANTH 119,THE ANTHROPOLOGY OF TOURISM,4,Anthropology,,
ANTH 120,LANGUAGE AND CULTURE,0-4,Anthropology,,
ANTH 121,ANTHROPOLOGICAL THEORIES OF THE ARTS,4,Anthropology,,
ANTH 122,ECONOMIC ANTHROPOLOGY,4,Anthropology,,
ANTH 123,LINGUISTIC ANTHROPOLOGY,4,Anthropology,,
ANTH 124,RITUAL AND RELIGION,4,Anthropology,,
ANTH 125,KINSHIP AND FAMILY ORGANIZATION,4,Anthropology,,
ANTH 126,SOUTHEAST ASIAN PERFORMANCE,4,Anthropology,,
ANTH 127,POLITICAL ANTHROPOLOGY,4,Anthropology,,
ANTH 127S,POLITICAL ANTHROPOLOGY,0-4,Anthropology,,
ANTH 128,PERFORMING ARTS OF ASIA,4,Anthropology,,
ANTH 129A,INTRODUCTION TO MAYA HIEROGLYPHS,4,Anthropology,,
ANTH 129B,THE LINGUISTICS OF ANCIENT MAYA WRITING,4,Anthropology,,
ANTH 130,ANCIENT POTTERY ANALYSIS,4,Anthropology,,
ANTH 131,APPLIED ANTHROPOLOGY,4,Anthropology,,
ANTH 132,CULTURAL ECOLOGY,4,Anthropology,,
ANTH 133,ANTHROPOLOGY AND INTERNATIONAL DEVELOPMENT,4,Anthropology,,
ANTH 134,THE WILL TO ADORN DRESS AND IDENTITY,4,Anthropology,,
ANTH 135,THE ARCHAEOLOGY OF AFRICAN DIASPORA HISTORY AND CULTURE,4,Anthropology,,
ANTH 136,ANTHROPOLOGICAL PERSPECTIVES ON GENDER IN SOUTHEAST ASIA,4,Anthropology,,
ANTH 136S,ANTHROPOLOGICAL PERSPECTIVES ON GENDER IN SOUTHEAST ASIA,0-5,Anthropology,,
ANTH 137,ANTHROPOLOGY: THE AMERICAN TRADITION,4,Anthropology,,
ANTH 138,PALEOPATHOLOGY,4,Anthropology,,
ANTH 139,CHANGE AND DEVELOPMENT,4,Anthropology,,
ANTH 140E,ETHNOLOGY OF THE GREATER SOUTHWEST,4,Anthropology,,
ANTH 140G,ANTHROPOLOGICAL PERSPECTIVES IN AFRICA,4,Anthropology,,
ANTH 140I,CULTURES OF SOUTHEAST ASIA,0-4,Anthropology,,
ANTH 140P,CULTURES OF THE PACIFIC,4,Anthropology,,
ANTH 140S,THE PEOPLES OF MEXICO IN HISTORICAL AND GLOBAL PERSPECTIVE,4,Anthropology,,
ANTH 141W,SOCIOCULTURAL PERSPECTIVES ON GRADUATE EDUCATION FUTURES,4,Anthropology,,
ANTH 142E,BLACKNESS AND MASS INCARCERATION,4,Anthropology,,
ANTH 142F,BLACK BUSINESS CULTURES AND IDENTITIES,4,Anthropology,,
ANTH 142G,CARIBBEAN CULTURE AND SOCIETY,4,Anthropology,,
ANTH 142I,AFRO-AMERICAN EXPERIENCE IN THE U.S.,4,Anthropology,,
ANTH 142J,POLITICAL ECONOMY OF SOUTHERN AFRICA,4,Anthropology,,
