courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
MUS CS105MR,"1960S Musical Revolutionaries: Miles Davis, Jimi Hendrix, Yoko Ono, And Karlheinz Stockhausen","(0, 0)",,,
BL ST216,1968 in Global Perspective,"(4, 4)",,,
ARTHI 134,20C Japanese Arts and Visual Culture,"(4, 4)",,,
CH ST132,A History of Chicana/o Education,"(4, 4)",,,
HIST 170,A History of Social Policy in the United States,"(4, 4)",,,
HIST 170,A History of Social Policy in the United States,"(4, 4)",,,
HIST 144,A History of the U.S.-Mexico Border Through Film,"(4, 4)",,,
PSY 229,A Patient-based Approach to Cognitive Neuroscience,"(4, 4)",,,
CH ST281A,"A People's History of Los Angeles: Race, Class, and Resistance in the City","(4, 4)",,,
INT 186,"A place, a grape, and a love story:  the science behind the perfect pairing of Santa Barbara and Pinot Noir","(1, 1)",,,
MATH 111,Abstract Algebra,"(4, 4)",,,
MATH 111,Abstract Algebra,"(4, 4)",,,
MATH 111,Abstract Algebra,"(4, 4)",,,
INT 191,Academic Affairs Internship,"(2, 2)",,,
ED 222,Academic and Cognitive Characteristics of Students with Mild Disabilities,"(4, 4)",,,
C LIT592,Academic Presentation and Writing in World Literature,"(0, 0)",,,
LING 10,Academic Reading Across the Curriculum,"(4, 4)",,,
WRIT 251,Academic Research Writing,"(4, 4)",,,
WRIT 2,Academic Writing,"(5, 5)",,,
WRIT 2,Academic Writing,"(5, 5)",,,
WRIT 2,Academic Writing for Engineers,"(4, 4)",,,
WRIT 501,Academic Writing Instruction Theory and Practice,"(0, 0)",,,
SPAN 2,Accelerated Elementary Spanish I,"(5, 5)",,,
SPAN 3,Accelerated Elementary Spanish II,"(5, 5)",,,
MUS 235,Accompanying Techniques and Repertoire,"(2, 2)",,,
MUS 235,Accompanying Techniques and Repertoire,"(2, 2)",,,
MUS 235,Accompanying Techniques and Repertoire,"(2, 2)",,,
HIST 111,"Achaemenid Persia, 559-330BCE","(4, 4)",,,
LING 265,Acquisition of Grammar,"(4, 4)",,,
FAMST 102,Acting and Directing Workshop,"(4, 4)",,,
MUS 154,Acting for Singers,"(3, 3)",,,
MUS 254,Acting for Singers,"(3, 3)",,,
MUS 54,Acting for Singers,"(3, 3)",,,
THTR 14,Acting Workshop,"(3, 3)",,,
PHIL 149,Action Theory,"(4, 4)",,,
PHIL 249,Action Theory,"(4, 4)",,,
SOC 134,Activism,"(4, 4)",,,
ANTH 102,Activist Anthropology,"(4, 4)",,,
GEOG 211,Activity and Travel Behavior Analysis,"(4, 4)",,,
PSTAT 172,Actuarial Statistics I,"(4, 4)",,,
PSTAT 172,Actuarial Statistics II,"(4, 4)",,,
THTR 250,Adaptation,"(4, 4)",,,
PSY 594,Adaptionist Modeling,"(3, 3)",,,
ECE 245,Adaptive Algorithms for Data Analysis and Modeling,"(4, 4)",,,
ECE 249,Adaptive Control Systems,"(4, 4)",,,
MS 143,Adaptive Leadership,"(2, 2)",,,
ARTHI 143,Adaptive Reuse and Art,"(4, 4)",,,
MATRL 289,Additive Manufacturing,"(3, 3)",,,
ED 263,Adolescent Development and Learning,"(4, 4)",,,
RG ST114E,Adolescent Rites of Passage: Exploring Religious Diversity in the U.S.,"(4, 4)",,,
PSY 151,Adult Development And Aging,"(4, 4)",,,
C LIT186AD,Adultery in the Novel,"(4, 4)",,,
ECON 139,Advanced Accounting,"(4, 4)",,,
ECON 139,Advanced Accounting - Honors,"(1, 1)",,,
THTR 151,Advanced Acting,"(4, 4)",,,
THTR 151,Advanced Acting,"(4, 4)",,,
THTR 151,Advanced Acting,"(4, 4)",,,
THTR 140,Advanced Acting Workshop I,"(4, 4)",,,
THTR 140,Advanced Acting Workshop II,"(4, 4)",,,
THTR 151,Advanced Acting: Modern Trends,"(4, 4)",,,
CHEM 153,Advanced Analytical Techniques,"(3, 3)",,,
CMPSC 156,Advanced Applications Programming,"(4, 4)",,,
RG ST148B,Advanced Arabic,"(4, 4)",,,
RG ST148A,Advanced Arabic,"(4, 4)",,,
RG ST148C,Advanced Arabic,"(4, 4)",,,
MUS 127,Advanced Bassoon,"(0, 0)",,,
WRIT 152,Advanced Beat Reporting,"(4, 4)",,,
EEMB 174,Advanced Biostatistics using Bayesian Methods,"(4, 4)",,,
EEMB 274,Advanced Biostatistics using Bayesian Methods,"(4, 4)",,,
ESM 281,Advanced Business and Sustainability,"(4, 4)",,,
MUS 124,Advanced Carillon,"(1, 1)",,,
CH E240C,Advanced Catalysis,"(3, 3)",,,
CHEM 264,Advanced Catalysis,"(3, 3)",,,
CH E246,Advanced Catalysis,"(3, 3)",,,
MUS 126,Advanced Cello,"(0, 0)",,,
CH E240B,Advanced Chemical Reaction Engineering,"(3, 3)",,,
CH E240A,Advanced Chemical Reaction Engineering,"(3, 3)",,,
CHIN 127,Advanced Chinese in Practice I,"(4, 4)",,,
CHIN 127,Advanced Chinese in Practice II,"(4, 4)",,,
CHIN 127,Advanced Chinese in Practice III,"(4, 4)",,,
MUS 127,Advanced Clarinet,"(0, 0)",,,
MUS 126,Advanced Classical Guitar,"(0, 0)",,,
ESM 239,Advanced Climate Change Science for Policy Makers,"(4, 4)",,,
ITAL 104,Advanced Communication: Business Italian,"(4, 4)",,,
ITAL 103,"Advanced Communication: Travel, Tourism, and Mobility","(4, 4)",,,
EEMB 194,Advanced Community Ecology,"(2, 2)",,,
EEMB 595,Advanced Community Ecology,"(2, 2)",,,
FR 100,Advanced Composition,"(4, 4)",,,
MUS 108,Advanced Composition,"(0, 0)",,,
SPAN 102,Advanced Composition through Literature,"(4, 4)",,,
SPAN 102,Advanced Composition through Literature,"(4, 4)",,,
LING 209,Advanced Computational Linguistics: Speech Processing,"(4, 4)",,,
LING 119,Advanced Computational Linguistics: Speech Processing,"(4, 4)",,,
LING 210,Advanced Computational Linguistics: Text Processing,"(4, 4)",,,
