courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACEN 110A,Advanced Academic English 1,"(5, 5)",,,
ACEN 110B,Advanced Academic English 2,"(5, 5)",,,
ACEN 110C,Advanced Grammar in Context,"(5, 5)",,,
ACEN 110D,Advanced Academic English 4,"(5, 5)",,,
AM 3,Precalculus for the Social Sciences,"(5, 5)",,,
AM 6,Precalculus for Statistics,"(5, 5)",,,
AM 10,Mathematical Methods for Engineers I,"(5, 5)",,,
AM 11A,Mathematical Methods for Economists I,"(5, 5)",,,
AM 11B,Mathematical Methods for Economists II,"(5, 5)",,,
AM 20,Mathematical Methods for Engineers II,"(5, 5)",,,
AM 30,Multivariate Calculus for Engineers,"(5, 5)",,,
AM 100,Mathematical Methods for Engineers,"(5, 5)",,,
AM 107,Introduction to Fluid Dynamics,"(5, 5)",,,
AM 112,Introduction to Partial Differential Equations,"(5, 5)",,,
AM 114,Introduction to Dynamical Systems,"(5, 5)",,,
AM 115,Stochastic Modeling in Biology,"(5, 5)",,,
AM 129,Foundations of Scientific Computing for Scientists and Engineers,"(5, 5)",,,
AM 147,Computational Methods and Applications,"(5, 5)",,,
AM 148,GPU Programming for Scientific Computations,"(5, 5)",,,
AM 160,Introduction to Scientific Machine Learning,"(5, 5)",,,
AM 170A,Mathematical Modeling 1,"(5, 5)",,,
AM 170B,Mathematical Modeling 2,"(5, 5)",,,
AM 198,Independent Study or Research,"(5, 5)",,,
AM 198F,Independent Study or Research,"(2, 2)",,,
AM 200,Research and Teaching in Applied Mathematics,"(3, 3)",,,
AM 211,Foundations of Applied Mathematics,"(5, 5)",,,
AM 212,Advanced Methods of Applied Mathematics,"(5, 5)",,,
AM 212A,Applied Partial Differential Equations,"(5, 5)",,,
AM 212B,Applied Mathematical Methods II,"(5, 5)",,,
AM 213A,Numerical Linear Algebra,"(5, 5)",,,
AM 213B,Numerical Methods for the Solution of Differential Equations,"(5, 5)",,,
AM 214,Applied Dynamical Systems,"(5, 5)",,,
AM 215,Stochastic Modeling in Biology,"(5, 5)",,,
AM 216,Stochastic Differential Equations,"(5, 5)",,,
AM 217,Introduction to Fluid Dynamics,"(5, 5)",,,
AM 224,Applied Dynamical Systems,"(5, 5)",,,
AM 227,"Waves, Instabilities, and Turbulence in Fluids","(5, 5)",,,
AM 229,Convex Optimization,"(5, 5)",,,
AM 230,Numerical Optimization,"(5, 5)",,,
AM 231,Nonlinear Control Theory,"(5, 5)",,,
AM 232,Applied Optimal Control,"(5, 5)",,,
AM 238,Fundamentals of Uncertainty Quantification in Computational Science and Engineering,"(5, 5)",,,
AM 250,An Introduction to High Performance Computing,"(5, 5)",,,
AM 260,Computational Fluid Dynamics,"(5, 5)",,,
AM 275,Magnetohydrodynamics,"(5, 5)",,,
AM 280A,Seminar in Mathematical and Computational Biology,"(2, 2)",,,
AM 280B,Seminar in Applied Mathematical Modeling,"(2, 2)",,,
AM 280C,Seminar in Geophysical and Astrophysical Fluid Dynamics,"(2, 2)",,,
AM 296,Masters Project,"(5, 5)",,,
AM 297A,Independent Study or Research,"(5, 5)",,,
AM 297B,Independent Study or Research,"(10, 10)",,,
AM 297C,Independent Study or Research,"(15, 15)",,,
AM 297F,Independent Study,"(2, 2)",,,
AM 299A,Thesis Research,"(5, 5)",,,
AM 299B,Thesis Research,"(10, 10)",,,
AM 299C,Thesis Research,"(15, 15)",,,
ANTH 1,Introduction to Biological Anthropology,"(5, 5)",,,
ANTH 2,Introduction to Cultural Anthropology,"(5, 5)",,,
ANTH 3,Introduction to Archaeology,"(5, 5)",,,
ANTH 93,Field Study,"(5, 5)",,,
ANTH 97,Laboratory Safety Practicum,"(2, 2)",,,
ANTH 100,History and Theory of Biological Anthropology,"(5, 5)",,,
ANTH 101,Human Evolution,"(5, 5)",,,
ANTH 102A,Human Skeletal Biology,"(5, 5)",,,
ANTH 103,Forensic Anthropology,"(5, 5)",,,
ANTH 104,Human Variation and Adaptation,"(5, 5)",,,
ANTH 105,Human Paleopathology,"(5, 5)",,,
ANTH 106,Primate Behavior and Ecology,"(5, 5)",,,
