courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AIP 97,Academic Internship,"(2, 2)",Academic Internship Program,,
AIP 197,Academic Internship Program,"(2, 2)",Academic Internship Program,,
AIP 197DC,"UCDC: Washington, DC Internship","(6, 6)",Academic Internship Program,,
AIP 197P,Public Service Internship,"(4, 4)",Academic Internship Program,,
AIP 197T,Academic Internship Program—Special Programs,"(2, 2)",Academic Internship Program,,
AAS 10,Introduction to African American Studies,"(4, 4)",African American Studies Minor,,
AAS 11,Introduction to Black Diasporic Studies,"(4, 4)",African American Studies Minor,,
AAS 14,Introduction to African Studies,"(4, 4)",African American Studies Minor,,
AAS 15,Racism and Global Imperialism,"(4, 4)",African American Studies Minor,,
AAS 87,First-year Student Seminar,"(1, 1)",African American Studies Minor,,
AAS 170,Legacies of Research on Disenfranchised Communities,"(4, 4)",African American Studies Minor,,
AAS 171,Service Learning in Non-Profits,"(4, 4)",African American Studies Minor,,
AAS 172,Scholarly Practicum,"(4, 4)",African American Studies Minor,,
AAS 179,Capstone for Black and African American Studies,"(4, 4)",African American Studies Minor,,
AAS/ANSC 185,#BlackLivesMatter,"(4, 4)",African American Studies Minor,,
AAS 190,Special Topics in African American Studies,"(1, 4)",African American Studies Minor,,
AAS 191,Special Topics: Explorations of Science in Black Diaspora and African American Studies,"(4, 4)",African American Studies Minor,,
AAS 193,Special Topics: Social Science Research and Theory in Black Diaspora and African American Studies,"(4, 4)",African American Studies Minor,,
AAS 194,Special Topics: Art and Humanities in Black Diaspora and African American Studies,"(4, 4)",African American Studies Minor,,
AAS 197,Internship Program,"(4, 4)",African American Studies Minor,,
AAS 198,Directed Group Study in African American Studies,"(2, 2)",African American Studies Minor,,
AAS 199,Independent Study in African American Studies,"(2, 2)",African American Studies Minor,,
AWP 3,Analytical Writing,"(4, 4)",Analytical Writing Program,,
AWP 4A,Analytical Writing and Academic English A,"(4, 4)",Analytical Writing Program,,
AWP 4B,Analytical Writing and Academic English B,"(4, 4)",Analytical Writing Program,,
AWP 10,Language and Learning in the American Academy,"(4, 4)",Analytical Writing Program,,
AWP 10R,Language and Learning in the American Academy,"(4, 4)",Analytical Writing Program,,
AWP 100,Writing a Researched Argument,"(4, 4)",Analytical Writing Program,,
AWP 101,Writing about Science,"(4, 4)",Analytical Writing Program,,
AWP 102,Writing for the Professions,"(4, 4)",Analytical Writing Program,,
AWP 102R,Writing for the Professions,"(4, 4)",Analytical Writing Program,,
AWP 103,Writing about the Law,"(4, 4)",Analytical Writing Program,,
AWP 104,Writing about Climate Change,"(4, 4)",Analytical Writing Program,,
ANTH 1,Introduction to Culture,"(4, 4)",Anthropology,,
ANTH 2,Human Origins,"(4, 4)",Anthropology,,
ANTH 3,Global Archaeology,"(4, 4)",Anthropology,,
ANTH 4,Words and Worlds: Introduction to Linguistic Anthropology,"(4, 4)",Anthropology,,
ANTH 5,The Human Machine,"(4, 4)",Anthropology,,
ANTH 10,Climate Justice,"(4, 4)",Anthropology,,
ANTH 21,Race and Racisms,"(4, 4)",Anthropology,,
ANTH 23,"Debating Multiculturalism: Race, Ethnicity, and Class in American Societies","(4, 4)",Anthropology,,
ANTH 24,Mapping Capitalism,"(4, 4)",Anthropology,,
ANTH 42,Primates in a Human-Dominated World,"(4, 4)",Anthropology,,
ANTH 43,Introduction to Biology and Culture of Race,"(4, 4)",Anthropology,,
ANTH 45,Wisdom and Ecstasy,"(4, 4)",Anthropology,,
ANTH 87,First-year Student Seminar,"(1, 1)",Anthropology,,
ANTH 101,Foundations of Social Complexity,"(4, 4)",Anthropology,,
ANTH 102,Humans Are Cultural Animals,"(4, 4)",Anthropology,,
ANTH 103,Sociocultural Anthropology,"(4, 4)",Anthropology,,
ANTH 104,Transforming the Global Environment,"(4, 4)",Anthropology,,
ANTH 105,"Climate Change, Race, and Inequality","(4, 4)",Anthropology,,
ANTH 106,Climate and Civilization,"(4, 4)",Anthropology,,
ANTH 107,"Designing for Disasters, Emergencies, and Extreme Weather","(4, 4)",Anthropology,,
ANTH 108,"Indigenous Peoples, Extractive Development, and Climate Change","(4, 4)",Anthropology,,
ANTH 109,"Climate Change, Cultural Heritage, and Vulnerability","(4, 4)",Anthropology,,
ANTH 110,The Climate Change Seminar,"(4, 4)",Anthropology,,
ANTH 111,Religion and Ecology: How Religion Matters in the Anthropocene,"(4, 4)",Anthropology,,
ANTH 112,Regenerative Science and Human Ecology,"(4, 4)",Anthropology,,
ANTH 120,Climate Change in California: Problems and Solutions,"(4, 4)",Anthropology,,
ANTH 128A,Climate Action Scholars: Community Engagement and Research,"(6, 6)",Anthropology,,
ANTH 128B,Climate Action Scholars: Capstone Project,"(6, 6)",Anthropology,,
ANTH 147,Understanding the Human Social Order: Anthropology and the Long-Term,"(4, 4)",Anthropology,,
ANTH 192,Senior Seminar in Anthropology,"(1, 1)",Anthropology,,
ANTH 195,Instructional Apprenticeship in Anthropology,"(4, 4)",Anthropology,,
ANTH 196A,Honors Studies in Anthropology,"(4, 4)",Anthropology,,
ANTH 196B,Honors Studies in Anthropology,"(4, 4)",Anthropology,,
ANTH 196C,Honors Studies in Anthropology,"(4, 4)",Anthropology,,
ANTH 197,Field Studies,"(4, 4)",Anthropology,,
ANTH 198,Directed Group Study,"(2, 4)",Anthropology,,
ANTH 199,Independent Study,"(4, 4)",Anthropology,,
ANAR 100,Special Topics in Anthropological Archaeology,"(4, 4)",Anthropology,,
ANAR 104,Introduction to Geographic Information Systems (GIS) for Anthropologists and Archaeologists,"(4, 4)",Anthropology,,
ANAR 105,The Archaeology of Literate Societies in Mesoamerica,"(4, 4)",Anthropology,,
ANAR 111,Foundations of Archaeology,"(4, 4)",Anthropology,,
ANAR 111,Foundations of Archaeology,"(4, 4)",Anthropology,,
ANAR 114,Environmental Hazards in Israel,"(4, 4)",Anthropology,,
ANAR 115,Coastal Geomorphology and Environmental Change—Perspectives from Israel and the South-Eastern Mediterranean,"(4, 4)",Anthropology,,
ANAR 115B,Coastal Geomorphology and GIS Applications,"(4, 4)",Anthropology,,
ANAR 116,Sea Level Change—The Israel Case in World Perspective,"(4, 4)",Anthropology,,
ANAR 117,"Archaeological Field and Lab Class, Southern California","(8, 8)",Anthropology,,
ANAR 118,Archaeology of the UC San Diego Campus,"(4, 4)",Anthropology,,
ANAR 119S,Archaeological Field and Lab Class,"(8, 8)",Anthropology,,
ANAR 120,Documenting Climate Change: Past and Present,"(4, 4)",Anthropology,,
ANAR 121,Cyber-Archaeology and World Digital Cultural Heritage,"(4, 4)",Anthropology,,
ANAR 124,Archaeology of Asia,"(4, 4)",Anthropology,,
ANAR 135,Ancient Mediterranean Civilization,"(8, 8)",Anthropology,,
