courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACC 1XTR,Additional Accepted Transfer C,0-3,Accounting,,
ACC 1XX,Accepted Transfer Credit,0-99,Accounting,,
ACC 200,Intro to Accounting,3,Accounting,,
ACC 201,Acc Info for Decisions I,3,Accounting,,
ACC 202,Acc Info for Decisions II,3,Accounting,,
ACC 290,Prof Dev in Accounting,1,Accounting,,
ACC 291,EY Day One Ready,2,Accounting,,
ACC 2XTR,Additional Accepted Transfer C,0-3,Accounting,,
ACC 2XX,Accepted Transfer Credit,0-99,Accounting,,
ACC 303,Managerial Accountng,3,Accounting,,
ACC 305,Intrm Financial Acc I,3,Accounting,,
ACC 306,Intrm Financial Acc II,3,Accounting,,
ACC 341,Acc Sys and Analytics,3,Accounting,,
ACC 3XX,Accepted Transfer Credit,0-99,Accounting,,
ACC 401,Auditing Principles,3,Accounting,,
ACC 408,Advanced Financial Accounting,3,Accounting,,
ACC 412A,Contemp Iss-Acctng,3,Accounting,,
ACC 420,Federal Income Taxation,3,Accounting,,
ACC 421,Taxes &amp; Bus Strategy,3,Accounting,,
ACC 431,Accounting for Community,3,Accounting,,
ACC 432,Adv Acc Data Analytics,3,Accounting,,
ACC 433,Fin Reporting and Analysis,3,Accounting,,
ACC 434,Enterprise Risk/Internal Assur,3,Accounting,,
ACC 491,Honors Thesis,3,Accounting,,
ACC 492,Honors Thesis,3,Accounting,,
ACC 497,Professional Work Experience,0-3,Accounting,,
ACC 498,VITA,1,Accounting,,
ACC 499,Indep Study in Acc,1-6,Accounting,,
ACC 4XX,Accepted Transfer Credit,1-4,Accounting,,
ACC 602A,Information Assurance,3,Accounting,,
ACC 602B,Fraud Examination,3,Accounting,,
ACC 603A,Advanced Financial Accounting,3,Accounting,,
ACC 604A,Taxes &amp; Bus Strategy,3,Accounting,,
ACC 605A,Contemp Iss-Acctng,3,Accounting,,
ACC 609A,SpTopics-Accounting,3,Accounting,,
ACC 611,Internal Auditing,3,Accounting,,
ACC 695,Individual Research,1-6,Accounting,,
ACC 697,ProfWorkExp,3,Accounting,,
ACC 699,Indep Study in Acc,1-6,Accounting,,
ACC 701,Professional Speakers Forum,1.5,Accounting,,
ACC 702,Acc &amp; Bus Ethics,1.5,Accounting,,
ACC 703,Accounting for Community,3,Accounting,,
ACC 704,"Ethics, Governance, Accntblty",3,Accounting,,
ACC 706,Fin Reporting and Analysis,3,Accounting,,
ACC 707,Adv Acc Data Analytics,3,Accounting,,
ACC 708,Bus Law for Acc,3,Accounting,,
ACC 709,Acc Rsrch &amp; Critical Thinking,3,Accounting,,
ACC XTR1,Accepted Transfer Credit,0-1,Accounting,,
ACC XTR2,Additional Accepted Transfer C,1,Accounting,,
AEE 501,Fundamental Aerodynamics,3,Aerospace Engineering,,
AEE 502,Advanced Aerodynamics,3,Aerospace Engineering,,
AEE 503,Intro to Continuum Mechanics,3,Aerospace Engineering,,
AEE 504,Fundamentals Fluid Mechanics,3,Aerospace Engineering,,
AEE 506,Mechanical Behavior Materials,3,Aerospace Engineering,,
AEE 507,Orbital Dynamics,3,Aerospace Engineering,,
AEE 509,Experimental Aerodynamics,3,Aerospace Engineering,,
AEE 512,Spacecraft Systems Engineering,3,Aerospace Engineering,,
AEE 513,Propulsion,3,Aerospace Engineering,,
AEE 517,Radiation Heat Transfer,3,Aerospace Engineering,,
AEE 523,Engr Design Optimization,3,Aerospace Engineering,,
AEE 525,Principles in Corrosion,3,Aerospace Engineering,,
AEE 526,Aerospace Fuels Science,3,Aerospace Engineering,,
AEE 527,Automatic Control Theory,3,Aerospace Engineering,,
AEE 538,Introduction to Aeroelasticity,3,Aerospace Engineering,,
AEE 539,Structural Design Optimization,3,Aerospace Engineering,,
AEE 540,Flight Vehicle Dynamics,3,Aerospace Engineering,,
AEE 541,Exp Mech Composite Materials,3,Aerospace Engineering,,
AEE 543,Analytical Mech Composite Mat,3,Aerospace Engineering,,
AEE 545,Computational Methods Design,3,Aerospace Engineering,,
AEE 546,Finite Element Analysis,3,Aerospace Engineering,,
AEE 547,Finite Element Analysis,3,Aerospace Engineering,,
AEE 550,Exergy Analysis for Aero Apps,3,Aerospace Engineering,,
AEE 551,Noise &amp; Vibration Control,3,Aerospace Engineering,,
AEE 553,Compressible Flow,3,Aerospace Engineering,,
AEE 554,Transonic Aerodynamics,3,Aerospace Engineering,,
AEE 555,Turbulence,3,Aerospace Engineering,,
AEE 556,Hypersonic Aerodynamics,3,Aerospace Engineering,,
AEE 558,Computational Fluid Dynamics,3,Aerospace Engineering,,
AEE 560,Propulsion Systems,3,Aerospace Engineering,,
AEE 561,Viscous Flow,3,Aerospace Engineering,,
AEE 565,Fundamentals Fuels Combustion,3,Aerospace Engineering,,
AEE 590,Problems Aerospace Engineering,1-3,Aerospace Engineering,,
AEE 593,GEA - Course A,6,Aerospace Engineering,,
AEE 594,GEA - Course B,6,Aerospace Engineering,,
AEE 595,Aerospace Engineering Project,0-3,Aerospace Engineering,,
AEE 599,Master&#39;s Thesis,1-3,Aerospace Engineering,,
AEE 690,Selected Readings,1-3,Aerospace Engineering,,
AEE 698,DE Dissertation,1-15,Aerospace Engineering,,
AEE 699,PHD Dissertation,1-3,Aerospace Engineering,,
AES 120,GMC-Leadership Lab,0,Air Force Aerospace Studies,,
AES 121,Heritage-US Air Force I,1,Air Force Aerospace Studies,,
AES 122,Heritage-US Air Force II,1,Air Force Aerospace Studies,,
AES 130,GMC LLAB,0,Air Force Aerospace Studies,,
AES 1XTR,ADDITIONAL TRANSFER CREDIT,0-3,Air Force Aerospace Studies,,
AES 1XX,Accepted Transfer Credit,3,Air Force Aerospace Studies,,
AES 220,FTP-Leadrshp Lab,0,Air Force Aerospace Studies,,
AES 221,Team &amp; Leadership Fund I,1,Air Force Aerospace Studies,,
AES 222,Team &amp; Leadership Fund II,1,Air Force Aerospace Studies,,
AES 230,FTP LLAB,0,Air Force Aerospace Studies,,
AES 2XX,NON EQUIVALENT COURSE,0-3,Air Force Aerospace Studies,,
AES 330,ICL-App AF Training,0,Air Force Aerospace Studies,,
AES 331,Leading People &amp; Eff Comm I,3,Air Force Aerospace Studies,,
AES 332,Leading People &amp; Eff Comm II,3,Air Force Aerospace Studies,,
AES 340,ICL LLAB,0,Air Force Aerospace Studies,,
AES 430,SCL-App AF Training,0,Air Force Aerospace Studies,,
AES 431,Ntl Sec Aff&amp;Prep I,3,Air Force Aerospace Studies,,
AES 432,Ntl Sec Aff&amp;Prp ADII,3,Air Force Aerospace Studies,,
AES 440,SCL-App AF Training,0,Air Force Aerospace Studies,,
AES XTR1,Additional Transfer Credit,1,Air Force Aerospace Studies,,
ANT 150,Cultural Anthropolgy,3,Anthropology,,
ANT 1XTR,Additional Accepted Transfer C,0-3,Anthropology,,
ANT 1XX,Accepted Transfer Credit,1-4,Anthropology,,
ANT 204,Modern Social Problems,3,Anthropology,,
ANT 210,Modern South Asia,3,Anthropology,,
ANT 2XTR,Additional Accepted Transfer C,0-3,Anthropology,,
ANT 2XX,Accepted Transfer Credit,0-99,Anthropology,,
ANT 306,Culture and Power,3,Anthropology,,
ANT 310,Culture &amp; Personalty,3,Anthropology,,
ANT 315,Language &amp; Culture,3,Anthropology,,
ANT 320,Anthro of Childhoods,3,Anthropology,,
ANT 325,Anth of Human Rights,3,Anthropology,,
ANT 335,Urban Anthropology,3,Anthropology,,
ANT 336,Medical Anthropology,3,Anthropology,,
ANT 340,"Place, Cult, SocJust",3,Anthropology,,
ANT 350,Anthro of Tourism,3,Anthropology,,
ANT 352,Cultures Lat America,3,Anthropology,,
ANT 356,Cultures of Africa,3,Anthropology,,
ANT 368,Immigration&amp;Immigrants,3,Anthropology,,
ANT 388,Social Theory,3,Anthropology,,
ANT 392,Sp Topics-ANT,1-6,Anthropology,,
ANT 3XX,Accepted Transfer Credit,0-99,Anthropology,,
ANT 449,Anthrop Field Work,3,Anthropology,,
ANT 477,Honors Thesis,3,Anthropology,,
ANT 478,Honors Thesis,3,Anthropology,,
ANT 497,Service Learning Exp,1,Anthropology,,
ANT 498,Independent Study,1-6,Anthropology,,
ANT XTR1,Additional Transfer Credit,1,Anthropology,,
ANT XTR2,Additional Accepted Transfer C,1,Anthropology,,
ARA 101,Arabic I,3,Arabic,,
ARA 141,Arabic II,3,Arabic,,
ARA 1XX,Accepted Transfer Credit,1-4,Arabic,,
ARA 201,Intermed ARA I,3,Arabic,,
ARA 2XX,Accepted Transfer Credit,1-4,Arabic,,
ARA 301,Arabic Conv &amp; Com I,3,Arabic,,
ARA 302,Arabic Conv &amp; Com II,3,Arabic,,
