courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 516,Seminar-Intermediate Topics,"(3, 3)",Accounting,Graduate,
ACCT 567,Seminar,"(1, 3)",Accounting,Graduate,
ACCT 600,Financial Reporting and Analysis,"(3, 3)",Accounting,Graduate,
ACCT 601,Management Accounting and Control,"(3, 3)",Accounting,Graduate,
ACCT 602,Big Data Technologies,"(3, 3)",Accounting,Graduate,
ACCT 604,Database Design and Implementation,"(3, 3)",Accounting,Graduate,
ACCT 605,Current Issues In Emerging Technologies,"(3, 3)",Accounting,Graduate,
ACCT 606,"Object-oriented Systems Analysis, Design and Implementation","(3, 3)",Accounting,Graduate,
ACCT 610,Financial Reporting I,"(3, 3)",Accounting,Graduate,
ACCT 611,Financial Reporting II,"(3, 3)",Accounting,Graduate,
ACCT 612,Financial Reporting III,"(3, 3)",Accounting,Graduate,
ACCT 613,Federal Taxation of Income and Property Transactions,"(3, 3)",Accounting,Graduate,
ACCT 614,Advanced Federal Taxation,"(3, 3)",Accounting,Graduate,
ACCT 615,Advanced Financial Reporting,"(3, 3)",Accounting,Graduate,
ACCT 617,"Auditing, Ethics, and Professional Responsibility","(3, 3)",Accounting,Graduate,
ACCT 618,Estate Planning,"(3, 3)",Accounting,Graduate,
ACCT 620,Theory of External Reporting and Applications,"(3, 3)",Accounting,Graduate,
ACCT 625,Financial Statement Analysis,"(3, 3)",Accounting,Graduate,
ACCT 633,Internal Auditing,"(3, 3)",Accounting,Graduate,
ACCT 636,Advanced Topics in Auditing,"(3, 3)",Accounting,Graduate,
ACCT 653,Business Law for Accountants,"(3, 3)",Accounting,Graduate,
ACCT 657,Legal Issues for Entrepreneurs,"(3, 3)",Accounting,Graduate,
ACCT 666,Special Problem,"(1, 12)",Accounting,Graduate,
ACCT 667,Seminar,"(1, 12)",Accounting,Graduate,
ACCT 683,International Accounting,"(3, 3)",Accounting,Graduate,
ACCT 810,Theory of External Reporting,"(3, 3)",Accounting,Graduate,
ACCT 817,Information Technologies Audit,"(3, 3)",Accounting,Graduate,
ACCT 840,Contemporary Issues in Accounting,"(3, 3)",Accounting,Graduate,
ACCT 866,Special Problem,"(1, 12)",Accounting,Graduate,
ACCT 867,Seminar,"(1, 12)",Accounting,Graduate,
ACCT 868,Research,"(1, 6)",Accounting,Graduate,
AGED 666,Special Problem,"(1, 12)",Agricultural Education,Graduate,
AGED 667,Seminar,"(1, 12)",Agricultural Education,Graduate,
AGRI 667,Seminar,"(1, 6)",Agriculture,Graduate,
AGRI 867,Seminar,"(1, 12)",Agriculture,Graduate,
AFRA 566,Special Problem,"(1, 12)",Africana Studies,Graduate,
AFRA 567,Seminar,"(1, 12)",Africana Studies,Graduate,
AFRA 600,Foundations in Africana Studies,"(3, 3)",Africana Studies,Graduate,
AFRA 601,Africana Research Methods,"(3, 3)",Africana Studies,Graduate,
AFRA 621,Black Women and the Black Freedom Struggle,"(3, 3)",Africana Studies,Graduate,
AFRA 628,Modern African American History,"(3, 3)",Africana Studies,Graduate,
AFRA 630,Expressive Cultures in the African Diaspora,"(3, 3)",Africana Studies,Graduate,
AFRA 634,Interventions in Black Gender History,"(3, 3)",Africana Studies,Graduate,
AFRA 640,Visualizing Blackness: Collage and the Black Artist,"(3, 3)",Africana Studies,Graduate,
AFRA 642,The Black Portrait,"(3, 3)",Africana Studies,Graduate,
AFRA 643,Africa Under Colonial Rule,"(3, 3)",Africana Studies,Graduate,
AFRA 645,Black Bodies on Display: Race in Museums,"(3, 3)",Africana Studies,Graduate,
AFRA 646,On the Run: Slavery and Fugitivity in Delaware,"(3, 3)",Africana Studies,Graduate,
AFRA 647,Curating Hidden Collections & the Black Archive,"(3, 3)",Africana Studies,Graduate,
AFRA 649,Civil Rights Law and Policy,"(3, 3)",Africana Studies,Graduate,
AFRA 650,Black Community Studies,"(3, 6)",Africana Studies,Graduate,
AFRA 651,Becoming a Public Scholar Activist,"(3, 3)",Africana Studies,Graduate,
AFRA 655,"Young, Gifted & Black: Understanding Black Youth through Film & Popular Culture","(3, 3)",Africana Studies,Graduate,
AFRA 660,Research in African American Studies,"(1, 6)",Africana Studies,Graduate,
AFRA 661,Race & Inequality in Delaware,"(3, 3)",Africana Studies,Graduate,
AFRA 662,Maroons and Marronage in the Atlantic World,"(3, 3)",Africana Studies,Graduate,
AFRA 666,Special Problem,"(1, 12)",Africana Studies,Graduate,
AFRA 667,Seminar,"(1, 12)",Africana Studies,Graduate,
AFRA 684,Religion and Social Justice,"(3, 3)",Africana Studies,Graduate,
AFRA 866,Special Problem,"(1, 12)",Africana Studies,Graduate,
AFRA 867,Seminar,"(1, 12)",Africana Studies,Graduate,
AFRA 869,Master’s Thesis,"(1, 6)",Africana Studies,Graduate,
AFSC 666,Special Problem,"(1, 12)",Air Force Science,Graduate,
ANFS 566,Special Problem,"(1, 12)",Animal And Food Sciences,Graduate,
ANFS 567,Seminar,"(1, 12)",Animal And Food Sciences,Graduate,
ANFS 602,Forage Resource Management,"(3, 3)",Animal And Food Sciences,Graduate,
ANFS 609,Food Processing,"(4, 4)",Animal And Food Sciences,Graduate,
ANFS 611,Food Science Capstone,"(4, 4)",Animal And Food Sciences,Graduate,
ANFS 615,Developmental Biology,"(3, 3)",Animal And Food Sciences,Graduate,
ANFS 624,Monogastric Nutrition,"(3, 3)",Animal And Food Sciences,Graduate,
ANFS 628,Food Chemistry,"(4, 4)",Animal And Food Sciences,Graduate,
ANFS 629,Food Analysis,"(4, 4)",Animal And Food Sciences,Graduate,
ANFS 635,Animal Virology,"(3, 3)",Animal And Food Sciences,Graduate,
ANFS 636,Immunology of Domestic Animals,"(3, 3)",Animal And Food Sciences,Graduate,
ANFS 639,Food Microbiology,"(4, 4)",Animal And Food Sciences,Graduate,
ANFS 640,Comparative Histopathology,"(4, 4)",Animal And Food Sciences,Graduate,
ANFS 642,Lactational Physiology,"(3, 3)",Animal And Food Sciences,Graduate,
ANFS 643,Food Engineering Technology,"(4, 4)",Animal And Food Sciences,Graduate,
ANFS 644,Bioinformatics,"(3, 3)",Animal And Food Sciences,Graduate,
ANFS 648,Current Topics in One Health,"(3, 3)",Animal And Food Sciences,Graduate,
ANFS 649,Food Biotechnology,"(3, 3)",Animal And Food Sciences,Graduate,
ANFS 650,Applied Biomedical Communication,"(3, 3)",Animal And Food Sciences,Graduate,
ANFS 651,Emergency Animal Management,"(3, 3)",Animal And Food Sciences,Graduate,
ANFS 654,Advanced Ruminant Nutrition,"(3, 3)",Animal And Food Sciences,Graduate,
ANFS 655,The Gut Microbiome: Microbial and Host Perspectives,"(4, 4)",Animal And Food Sciences,Graduate,
ANFS 659,Food Biotechnology Laboratory,"(1, 1)",Animal And Food Sciences,Graduate,
ANFS 665,Seminar,"(1, 3)",Animal And Food Sciences,Graduate,
ANFS 666,Special Problem,"(1, 12)",Animal And Food Sciences,Graduate,
ANFS 667,Seminar,"(1, 12)",Animal And Food Sciences,Graduate,
ANFS 668,Research,"(1, 6)",Animal And Food Sciences,Graduate,
ANFS 670,Principles of Molecular Genetics,"(3, 3)",Animal And Food Sciences,Graduate,
ANFS 671,Paradigms in Cell Signaling,"(3, 3)",Animal And Food Sciences,Graduate,
ANFS 675,Veterinary Biochemistry,"(3, 3)",Animal And Food Sciences,Graduate,
ANFS 865,Seminar,"(1, 1)",Animal And Food Sciences,Graduate,
ANFS 866,Special Problem,"(1, 12)",Animal And Food Sciences,Graduate,
ANFS 867,Seminar,"(1, 12)",Animal And Food Sciences,Graduate,
ANFS 868,Research,"(1, 9)",Animal And Food Sciences,Graduate,
ANFS 869,Master’s Thesis,"(1, 6)",Animal And Food Sciences,Graduate,
ANFS 874,Topics in Molecular Biology,"(1, 1)",Animal And Food Sciences,Graduate,
ANFS 964,Pre-Candidacy Study,"(3, 12)",Animal And Food Sciences,Graduate,
CIEG 662,Transportation Sustainability,"(3, 3)",Civil And Environmental Engineering,Graduate,
CIEG 663,Traffic Engineering and Modeling,"(3, 3)",Civil And Environmental Engineering,Graduate,
CIEG 666,Special Problem,"(1, 12)",Civil And Environmental Engineering,Graduate,
CIEG 667,Seminar,"(1, 12)",Civil And Environmental Engineering,Graduate,
CIEG 668,Principles of Water Quality Criteria,"(3, 3)",Civil And Environmental Engineering,Graduate,
CIEG 670,Physics of Cohesive Sediment,"(3, 3)",Civil And Environmental Engineering,Graduate,
CIEG 672,Water Wave Mechanics,"(3, 3)",Civil And Environmental Engineering,Graduate,
CIEG 675,Matlab for Engineering Analysis,"(3, 3)",Civil And Environmental Engineering,Graduate,
CIEG 678,Transport and Mixing Processes,"(3, 3)",Civil And Environmental Engineering,Graduate,
CIEG 679,Sediment Transport Mechanics,"(3, 3)",Civil And Environmental Engineering,Graduate,
CIEG 680,Coastal Processes,"(3, 3)",Civil And Environmental Engineering,Graduate,
CIEG 681,Water Wave Spectra,"(3, 3)",Civil And Environmental Engineering,Graduate,
CIEG 682,Nearshore Hydrodynamics,"(3, 3)",Civil And Environmental Engineering,Graduate,
CIEG 686,Engineering Project Management,"(3, 3)",Civil And Environmental Engineering,Graduate,
CIEG 693,Waves in the Marine Environment,"(3, 3)",Civil And Environmental Engineering,Graduate,
CIEG 694,Advanced Building Information Modeling,"(3, 3)",Civil And Environmental Engineering,Graduate,
CIEG 695,Temporary Structures Design,"(3, 3)",Civil And Environmental Engineering,Graduate,
CIEG 696,Building Systems Engineering and Design,"(3, 3)",Civil And Environmental Engineering,Graduate,
CIEG 698,Groundwater Flow and Contaminant Transport,"(3, 3)",Civil And Environmental Engineering,Graduate,
CIEG 810,Earthquake Engineering,"(3, 3)",Civil And Environmental Engineering,Graduate,
CIEG 811,Advanced Structural Dynamics Design,"(3, 3)",Civil And Environmental Engineering,Graduate,
