courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACG 2021,Introduction to Financial Accounting,"(4, 4)",Accounting,,
ACG 2071,Introduction to Managerial Accounting,"(4, 4)",Accounting,,
ACG 2391,Exploring Careers in Accounting1 Credit,"(1, 1)",Accounting,,
ACG 3101,Financial Accounting and Reporting 1,"(4, 4)",Accounting,,
ACG 3401,Business Processes and Accounting Information System,"(4, 4)",Accounting,,
ACG 3802,Professional Speakers Series1 Credit,"(1, 1)",Accounting,,
ACG 4111,Financial Accounting and Reporting 2,"(4, 4)",Accounting,,
ACG 4341,Cost and Managerial Accounting,"(4, 4)",Accounting,,
ACG 4632,Introduction to Auditing,"(3, 3)",Accounting,,
ACG 4931,Special Topics,"(1, 3)",Accounting,,
ACG 4941,Supervised Accounting Internship,"(2, 4)",Accounting,,
ACG 4970,Honors Thesis1 Credit,"(1, 1)",Accounting,,
TAX 4001,Introduction to Federal Income Tax,"(3, 3)",Accounting,,
TAX 4930,Special Topics in Taxation,"(1, 4)",Accounting,,
ADV 2104C,Advertising Writing,"(3, 3)",Advertising,,
ADV 3001,Advertising Strategy,"(3, 3)",Advertising,,
ADV 3008,Principles of Advertising,"(3, 3)",Advertising,,
ADV 3303,Cross Media Selling,"(3, 3)",Advertising,,
ADV 3310,Digital Media Sales,"(3, 3)",Advertising,,
ADV 3330,Artificial Intelligence and Advertising,"(3, 3)",Advertising,,
ADV 3403,Branding,"(3, 3)",Advertising,,
ADV 3411,Multicultural Advertising in the US,"(3, 3)",Advertising,,
ADV 3420,Health Communication,"(3, 3)",Advertising,,
ADV 3500,Digital Insights,"(3, 3)",Advertising,,
ADV 3502,Advertising Sales,"(3, 3)",Advertising,,
ADV 3824,Advertising Strategy: Health / Social Influence Approach,"(3, 3)",Advertising,,
ADV 3920C,Professional Workshop in Advertising,"(1, 3)",Advertising,,
ADV 3943,The Agency Immersion,"(0, 3)",Advertising,,
ADV 4101,Copywriting and Visualization,"(3, 3)",Advertising,,
ADV 4102,Advanced Copywriting,"(3, 3)",Advertising,,
ADV 4300,Media Planning,"(3, 3)",Advertising,,
ADV 4302,Great Ideas in Marketplace Communications,"(3, 3)",Advertising,,
ADV 4304,Game-Changing Ad ideas,"(2, 2)",Advertising,,
ADV 4323,Branding and Social Media,"(3, 3)",Advertising,,
ADV 4331,AI-Driven Social Media Insight,"(3, 3)",Advertising,,
ADV 4400,International and Cross Cultural Advertising,"(3, 3)",Advertising,,
ADV 4404,Cultural Branding,"(3, 3)",Advertising,,
ADV 4603,Account Management & Project Management,"(3, 3)",Advertising,,
ADV 4710,Advertising Portfolio I: Traditional Media Basics,"(3, 3)",Advertising,,
ADV 4800,Advertising Campaigns,"(3, 3)",Advertising,,
ADV 4801,Sports Advertising Creative Campaigns,"(3, 3)",Advertising,,
ADV 4905,Individual Problems,"(1, 3)",Advertising,,
ADV 4910,Advertising Undergraduate Research,"(0, 3)",Advertising,,
ADV 4930,Special Study in Advertising,"(2, 3)",Advertising,,
ADV 4931,Seminar: Ethics and Problems in Advertising,"(3, 3)",Advertising,,
ADV 4940,Advertising Internship,"(1, 4)",Advertising,,
ADV 4941,Advanced Advertising Internship,"(1, 3)",Advertising,,
ADV 4950,Advertising Portfolio II: Beyond Traditional Media,"(3, 3)",Advertising,,
ADV 4951,Advertising Portfolio III,"(3, 3)",Advertising,,
COM 2380,Collaboration With AI for Better Communication,"(3, 3)",Advertising,,
COM 3251C,STEM Research and Application,"(3, 3)",Advertising,,
MMC 1009,Introduction to Media and Communications1 Credit,"(1, 1)",Advertising,,
MMC 2100,Writing for Mass Communication,"(3, 3)",Advertising,,
MMC 2121,Writing Fundamentals for Communicators,"(3, 3)",Advertising,,
MMC 3030,Personal Branding for Communicators1 Credit,"(1, 1)",Advertising,,
MMC 3203,Ethics and Problems in Mass Communications,"(3, 3)",Advertising,,
MMC 3254,Media Entrepreneurship1 Credit,"(1, 1)",Advertising,,
MMC 3420,Consumer and Audience Analytics,"(3, 3)",Advertising,,
AFA 2000,Introduction to African American Studies,"(3, 3)",African American Studies,,
AFA 2151,Surveying African-American Culture,"(3, 3)",African American Studies,,
AFA 2390,Race and Sports in America,"(3, 3)",African American Studies,,
AFA 3110,Key Issues in African American and Black-Atlantic Thought,"(3, 3)",African American Studies,,
AFA 3223,African American History: 1865 to Today,"(3, 3)",African American Studies,,
AFA 3240,The African Diaspora,"(3, 3)",African American Studies,,
AFA 3303,The Wire,"(3, 3)",African American Studies,,
AFA 3332,Black Feminist and Womanist Theory,"(3, 3)",African American Studies,,
AFA 3333,Black Power Movement,"(3, 3)",African American Studies,,
AFA 3342,"African Diaspora, Women, and Medicine","(3, 3)",African American Studies,,
AFA 3350,Black Masculinity,"(3, 3)",African American Studies,,
AFA 3354,"Race, Religion, and Rebellion","(3, 3)",African American Studies,,
AFA 3356,African American Religion,"(3, 3)",African American Studies,,
AFA 3357,Civil Rights and Religion,"(3, 3)",African American Studies,,
AFA 3360,Archaeology of African American Life and Culture,"(3, 3)",African American Studies,,
AFA 3363,The Black Experience: Psychological Perspectives,"(3, 3)",African American Studies,,
