courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 4A05,Professional Program in Accountancy Colloquium 1,"(2, 2)",Accounting,,
ACCT 4A06,Professional Program in Accountancy Colloquium 2,"(2, 2)",Accounting,,
ACCT 2301,Principles of Financial Accounting,"(3, 3)",Accounting,,
ACCT 2302,Principles of Managerial Accounting,"(3, 3)",Accounting,,
ACCT 2305,Foundations of Financial Accounting for Non-business Majors,"(3, 3)",Accounting,,
ACCT 2306,Foundations of Managerial Accounting for Non-business Majors,"(3, 3)",Accounting,,
ACCT 3366,Financial Reporting Frameworks,"(3, 3)",Accounting,,
ACCT 3367,Intermediate Accounting I,"(3, 3)",Accounting,,
ACCT 3368,Intermediate Accounting II,"(3, 3)",Accounting,,
ACCT 3371,Accounting Information Systems,"(3, 3)",Accounting,,
ACCT 3377,Cost Accounting,"(3, 3)",Accounting,,
ACCT 3378,Management Accounting,"(3, 3)",Accounting,,
ACCT 4107,Oil and Gas Accounting Colloquium,"(1, 1)",Accounting,,
ACCT 4108,Internal Audit Colloquium,"(1, 1)",Accounting,,
ACCT 4198,Independent Study,"(1, 1)",Accounting,,
ACCT 4330,Advanced Accounting,"(3, 3)",Accounting,,
ACCT 4331,Federal Income Tax,"(3, 3)",Accounting,,
ACCT 4332,Corporate Taxation,"(3, 3)",Accounting,,
ACCT 4335,Financial Statement Auditing,"(3, 3)",Accounting,,
ACCT 4337,Introduction to Data Analytics in Accounting,"(3, 3)",Accounting,,
ACCT 4375,Internal Audit and Entity Control Environment,"(3, 3)",Accounting,,
ACCT 4378,Oil and Gas Accounting I,"(3, 3)",Accounting,,
ACCT 4379,Enterprise Risk Management,"(3, 3)",Accounting,,
ACCT 4380,Control & Security of Financial Information: Theory and Practice,"(3, 3)",Accounting,,
ACCT 4381,Oil and Gas Accounting 2,"(3, 3)",Accounting,,
ACCT 4382,Oil and Gas Accounting 3,"(3, 3)",Accounting,,
ACCT 4396,Accounting Internship,"(3, 3)",Accounting,,
ACCT 4397,Selected Topics in Accounting,"(3, 3)",Accounting,,
ACCT 4398,Independent Study,"(3, 3)",Accounting,,
ACCT 5198,Independent Study,"(1, 1)",Accounting,,
ACCT 5301,Financial and Managerial Accounting,"(3, 3)",Accounting,,
ACCT 5330,Advanced Accounting,"(3, 3)",Accounting,,
ACCT 5331,Federal Income Tax,"(3, 3)",Accounting,,
ACCT 5332,Taxation of Business Entities,"(3, 3)",Accounting,,
ACCT 5335,Financial Statement Auditing,"(3, 3)",Accounting,,
