courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ASP 021,Workshop for Students Enrolled in MATH 121,"(2, 2)",Academic Skills Program,,
ASP 060,Resources and Strategies for College Success,"(3, 3)",Academic Skills Program,,
ASP 061,Introduction to Positive Psychology,"(1, 1)",Academic Skills Program,,
ASP 080,Workshop for Students Enrolled in MATH 180,"(2, 2)",Academic Skills Program,,
ASP 081,Workshop for Students Enrolled in MATH 181,"(2, 2)",Academic Skills Program,,
ASP 084,Research Poster and Presentation Workshop for LARES Students,"(3, 3)",Academic Skills Program,,
ASP 085,Boosting Academic Strategies for Success,"(2, 2)",Academic Skills Program,,
ASP 090,Critical Strategies for Reading and Writing Success,"(2, 2)",Academic Skills Program,,
ASP 092,Vocabulary Enrichment,"(2, 2)",Academic Skills Program,,
ASP 095,Academic and Professional Writing,"(2, 2)",Academic Skills Program,,
ASP 096,Independent Study,"(0, 3)",Academic Skills Program,,
ACTG 210,Introduction to Financial Accounting,"(3, 3)",Accounting,,
ACTG 211,Introduction to Managerial Accounting,"(3, 3)",Accounting,,
ACTG 315,Intermediate Financial Accounting I,"(3, 3)",Accounting,,
ACTG 316,Intermediate Financial Accounting II,"(3, 3)",Accounting,,
ACTG 326,Cost Accounting,"(3, 3)",Accounting,,
ACTG 355,Business Law I: Commercial Transactions,"(3, 3)",Accounting,,
ACTG 392,Data Analytics for Accountants,"(3, 3)",Accounting,,
ACTG 394,Special Topics in Accounting - Undergraduate,"(3, 3)",Accounting,,
ACTG 396,Independent Study in Accounting - Undergraduate,"(1, 3)",Accounting,,
ACTG 417,Advanced Financial Accounting,"(3, 3)",Accounting,,
ACTG 435,Auditing,"(3, 3)",Accounting,,
ACTG 436,Advanced Audit,"(3, 3)",Accounting,,
ACTG 444,Federal Income Tax for Financial Planning,"(3, 3)",Accounting,,
ACTG 445,Federal Income Tax I,"(3, 3)",Accounting,,
ACTG 446,Federal Income Tax II,"(3, 3)",Accounting,,
ACTG 447,Tax Research,"(3, 3)",Accounting,,
ACTG 456,Business Law II: Business Organizations,"(3, 3)",Accounting,,
ACTG 465,Governmental and Non-Profit Accounting,"(3, 3)",Accounting,,
ACTG 470,Ethical Environment of Business,"(3, 3)",Accounting,,
ACTG 474,Accounting Information Systems,"(3, 3)",Accounting,,
ACTG 475,Database Accounting Systems,"(3, 3)",Accounting,,
ACTG 476,Enterprise Accounting Systems,"(3, 3)",Accounting,,
ACTG 484,International Accounting,"(3, 3)",Accounting,,
ACTG 485,Valuation and Analysis,"(3, 3)",Accounting,,
ACTG 492,Accounting Data Analytics,"(3, 3)",Accounting,,
ACTG 493,"Accounting Cases, Research and Analysis","(3, 3)",Accounting,,
ACTG 494,Special Topics in Accounting,"(1, 4)",Accounting,,
ACTG 495,Competitive Strategy,"(4, 4)",Accounting,,
ACTG 499,Research Experience,"(1, 3)",Accounting,,
ACTG 500,Introduction to Financial Accounting,"(4, 4)",Accounting,,
ACTG 502,Financial Accounting I,"(4, 4)",Accounting,,
ACTG 503,Financial Accounting II,"(4, 4)",Accounting,,
ACTG 506,Management Accounting,"(4, 4)",Accounting,,
ACTG 508,Federal Income Tax - Graduate,"(4, 4)",Accounting,,
ACTG 509,Business Law: Commercial Transactions,"(4, 4)",Accounting,,
ACTG 510,Financial and Managerial Accounting for Healthcare Management,"(3, 3)",Accounting,,
ACTG 515,Accounting Theory and Paradigms,"(4, 4)",Accounting,,
ACTG 516,Financial Statement Analysis,"(4, 4)",Accounting,,
ACTG 525,Management Control and Data-Based Decision Making,"(4, 4)",Accounting,,
ACTG 534,Auditing-Graduate,"(4, 4)",Accounting,,
ACTG 535,Advanced Auditing,"(4, 4)",Accounting,,
ACTG 537,Fraud Examination,"(4, 4)",Accounting,,
ACTG 545,Advanced Taxation of Business Entities,"(4, 4)",Accounting,,
ACTG 565,Advanced Government and Nonprofit Accounting,"(4, 4)",Accounting,,
ACTG 570,The Legal and Ethical Environment of Business,"(4, 4)",Accounting,,
ACTG 585,Corporate Valuation and Accounting Information,"(4, 4)",Accounting,,
ACTG 590,Advanced Topics in Accounting,"(4, 4)",Accounting,,
ACTG 592,Advanced Statistical Analyses for Accountants,"(4, 4)",Accounting,,
ACTG 593,Professional Accounting Research,"(4, 4)",Accounting,,
ACTG 594,Special Topics in Accounting - Graduate,"(1, 4)",Accounting,,
ACTG 596,Independent Study in Accounting - Master's,"(1, 4)",Accounting,,
ACTG 599,Ph,"(None, None)",Accounting,,
ANAT 315,Anatomy I,"(4, 4)",Anatomy And Cell Biology,,
ANAT 316,Anatomy II,"(1, 1)",Anatomy And Cell Biology,,
ANAT 399,Undergraduate Laboratory Research,"(1, 4)",Anatomy And Cell Biology,,
ANAT 403,Human Neuroanatomy,"(3, 3)",Anatomy And Cell Biology,,
ANAT 414,Neuroanatomy for Allied Health Program,"(3, 3)",Anatomy And Cell Biology,,
ANAT 439,Gross Human Anatomy I,"(3, 3)",Anatomy And Cell Biology,,
ANAT 440,Gross Human Anatomy II,"(4, 4)",Anatomy And Cell Biology,,
ANAT 441,Gross Human Anatomy,"(5, 5)",Anatomy And Cell Biology,,
ANAT 442,Cell Structure and Human Histology,"(5, 5)",Anatomy And Cell Biology,,
ANAT 443,Case Studies in Clinical Anatomy,"(3, 3)",Anatomy And Cell Biology,,
ANAT 511,Experimental Foundations of Psychopharmacology,"(2, 2)",Anatomy And Cell Biology,,
ANAT 520,Concepts of Synaptic Function and Morphology,"(2, 2)",Anatomy And Cell Biology,,
ANAT 521,Plasticity in the Nervous System,"(2, 2)",Anatomy And Cell Biology,,
ANAT 523,Biology of MicroRNAs and other Small RNAs,"(2, 2)",Anatomy And Cell Biology,,
ANAT 525,Molecular and Cellular Mechanisms of Neurodegenerative Diseases,"(2, 2)",Anatomy And Cell Biology,,
ANAT 527,Cellular and Systems Neurobiology,"(3, 3)",Anatomy And Cell Biology,,
ANAT 544,Advanced Craniofacial Anatomy,"(3, 3)",Anatomy And Cell Biology,,
