courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 1300,First-Year Seminar,"(1, 1)",Accounting Courses,,
ACCT 2100,Introduction to Financial Accounting,"(3, 3)",Accounting Courses,,
ACCT 2200,Managerial Accounting Analytics and Data Visualization,"(3, 3)",Accounting Courses,,
ACCT 3020,Financial Accounting and Reporting,"(3, 3)",Accounting Courses,,
ACCT 3100,Professional Accounting Seminar,"(1, 1)",Accounting Courses,,
ACCT 3200,Income Measurement and Asset Valuation,"(3, 3)",Accounting Courses,,
ACCT 3300,Valuation of Financial Claims,"(3, 3)",Accounting Courses,,
ACCT 3400,Introduction to Taxation,"(3, 3)",Accounting Courses,,
ACCT 3420,Taxes and Business Strategy,"(3, 3)",Accounting Courses,,
ACCT 3450,Tax Practicum (VITA) I,"(0, 0)",Accounting Courses,,
ACCT 3451,Tax Practicum (VITA) II,"(1, 1)",Accounting Courses,,
ACCT 3500,Advanced Tax Topics,"(3, 3)",Accounting Courses,,
ACCT 3550,Financial Statement Analysis,"(3, 3)",Accounting Courses,,
ACCT 3600,Accounting Systems and Analytics,"(3, 3)",Accounting Courses,,
ACCT 4000,Special Topics in Accounting,"(1, 3)",Accounting Courses,,
ACCT 4001,Continuing Education: Special Topics in Accounting,"(None, None)",Accounting Courses,,
ACCT 4050,Directed Readings in Accounting,"(None, None)",Accounting Courses,,
ACCT 4100,Auditing,"(3, 3)",Accounting Courses,,
ACCT 4200,Advanced Managerial Accounting Analytics,"(3, 3)",Accounting Courses,,
ACCT 4220,Design and Use of Cost Management Systems,"(3, 3)",Accounting Courses,,
ACCT 4280,Cybersecurity,"(3, 3)",Accounting Courses,,
ACCT 4300,Accounting Ethics and Law,"(3, 3)",Accounting Courses,,
ACCT 4400,Advanced Financial Accounting,"(3, 3)",Accounting Courses,,
ACCT 4500,Accounting Measurement: Research and Analysis,"(3, 3)",Accounting Courses,,
ACCT 4600,Research Seminar for Tax Professionals,"(2, 2)",Accounting Courses,,
