courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
A&S 100,Special Introductory Course: Title To Be Assigned,"(1, 6)",College Of Arts And Sciences,,
A&S 101,Special Introductory Course: Title To Be Assigned,"(1, 6)",College Of Arts And Sciences,,
A&S 103,Basic Instruction In Less Commonly Taught Languages I (Subtitle Required),"(3, 5)",College Of Arts And Sciences,,
A&S 104,Basic Instruction In Less Commonly Taught Languages Ii (Subtitle Required),"(3, 5)",College Of Arts And Sciences,,
A&S 110,Special Introductory Course In Humanities: (Sr),"(1, 6)",College Of Arts And Sciences,,
A&S 111,Special Introductory Course In Humanities: (Sr),"(1, 6)",College Of Arts And Sciences,,
A&S 112,Special Introductory Course In Humanities: (Sr),"(1, 6)",College Of Arts And Sciences,,
A&S 113,Special Introductory Course In Humanities: (Sr),"(1, 6)",College Of Arts And Sciences,,
A&S 114,Special Introductory Course In Humanities: (Sr),"(1, 6)",College Of Arts And Sciences,,
A&S 115,Special Introductory Course In Humanities: (Sr),"(1, 6)",College Of Arts And Sciences,,
A&S 116,Special Introductory Course In Humanities: (Sr),"(1, 6)",College Of Arts And Sciences,,
A&S 117,Special Introductory Course In Humanities: (Sr),"(1, 6)",College Of Arts And Sciences,,
A&S 118,Special Introductory Course In Humanities: (Sr),"(1, 6)",College Of Arts And Sciences,,
A&S 119,Special Introductory Course In Humanities: (Sr),"(1, 6)",College Of Arts And Sciences,,
A&S 120,"Special Introductory Course In The Natural, Physical, Or Mathematical Sciences: (Sr)","(1, 6)",College Of Arts And Sciences,,
A&S 121,"Special Introductory Course In The Natural, Physical, Or Mathematical Sciences: (Sr)","(1, 6)",College Of Arts And Sciences,,
A&S 122,"Special Introductory Course In The Natural, Physical, Or Mathematical Sciences: (Sr)","(1, 6)",College Of Arts And Sciences,,
A&S 123,"Special Introductory Course In The Natural, Physical, Or Mathematical Sciences: (Sr)","(1, 6)",College Of Arts And Sciences,,
A&S 124,"Special Introductory Course In The Natural, Physical, Or Mathematical Sciences: (Sr)","(1, 6)",College Of Arts And Sciences,,
A&S 125,"Special Introductory Course In The Natural, Physical, Or Mathematical Sciences: (Sr)","(1, 6)",College Of Arts And Sciences,,
A&S 126,"Special Introductory Course In The Natural, Physical, Or Mathematical Sciences: (Sr)","(1, 6)",College Of Arts And Sciences,,
A&S 127,"Special Introductory Course In The Natural, Physical, Or Mathematical Sciences: (Sr)","(1, 6)",College Of Arts And Sciences,,
A&S 128,"Special Introductory Course In The Natural, Physical, Or Mathematical Sciences: (Sr)","(1, 6)",College Of Arts And Sciences,,
A&S 129,"Special Introductory Course In The Natural, Physical, Or Mathematical Sciences: (Sr)","(1, 6)",College Of Arts And Sciences,,
A&S 130,Special Introductory Course In Social Sciences: (Sr),"(1, 6)",College Of Arts And Sciences,,
A&S 131,Special Introductory Course In Social Sciences: (Sr),"(1, 6)",College Of Arts And Sciences,,
A&S 132,Special Introductory Course In Social Sciences: (Sr),"(1, 6)",College Of Arts And Sciences,,
A&S 133,Special Introductory Course In Social Sciences: (Sr),"(1, 6)",College Of Arts And Sciences,,
A&S 134,Special Introductory Course In Social Sciences: (Sr),"(1, 6)",College Of Arts And Sciences,,
A&S 135,Special Introductory Course In Social Sciences: (Sr),"(1, 6)",College Of Arts And Sciences,,
A&S 136,Special Introductory Course In Social Sciences: (Sr),"(1, 6)",College Of Arts And Sciences,,
A&S 137,Special Introductory Course In Social Sciences: (Sr),"(1, 6)",College Of Arts And Sciences,,
A&S 138,Special Introductory Course In Social Sciences: (Sr),"(1, 6)",College Of Arts And Sciences,,
A&S 139,Special Introductory Course In Social Sciences: (Sr),"(1, 6)",College Of Arts And Sciences,,
A&S 140,Focus: Connect And Recover,"(2, 2)",College Of Arts And Sciences,,
A&S 141,Aspire: Academically Sound Preparation For Involved Research Education,"(3, 3)",College Of Arts And Sciences,,
A&S 150,Your Career And Academic Journey,"(2, 2)",College Of Arts And Sciences,,
A&S 160,Leadership & Professional Development (Subtitle Required),"(1, 1)",College Of Arts And Sciences,,
A&S 161,"International Village, Then And Now","(3, 3)",College Of Arts And Sciences,,
A&S 203,Intermediate Instruction In Less Commonly Taught Languages I (Subtitle Required),"(3, 5)",College Of Arts And Sciences,,
A&S 300,Special Course: (Subtitle Required),"(1, 6)",College Of Arts And Sciences,,
A&S 306,Spirit Chemistry,"(3, 3)",College Of Arts And Sciences,,
A&S 310,Special Course In Humanities: (Sr),"(1, 6)",College Of Arts And Sciences,,
A&S 311,Special Course In Humanities: (Sr),"(1, 6)",College Of Arts And Sciences,,
A&S 312,Special Course In Humanities: (Sr),"(1, 6)",College Of Arts And Sciences,,
