courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCOUNTG 221,Principles of Financial Accounting,,Accounting,Undergraduate,
ACCOUNTG 222,Principles of Managerial Accounting,,Accounting,Undergraduate,
ACCOUNTG 311,Accounting Information Systems,,Accounting,Undergraduate,
ACCOUNTG 321,Intermediate Financial Accounting I,,Accounting,Undergraduate,
ACCOUNTG 423,Advanced Financial Accounting,,Accounting,Undergraduate,
ACCOUNTG 483,CPA Law,,Accounting,Undergraduate,
AFROAM 151,Literature &amp; Culture,,Afro-American Studies,Undergraduate,
ANTHRO 100,Human Nature,,Anthropology,Undergraduate,
ANTHRO 104,"Culture, Society and People",,Anthropology,Undergraduate,
ANTHRO 106,Culture Through Film,,Anthropology,Undergraduate,
ANTHRO 150,Ancient Civilizations,,Anthropology,Undergraduate,
ANTHRO 208,Human Ecology,,Anthropology,Undergraduate,
ANTHRO 270,North American Indians,,Anthropology,Undergraduate,
ANTHRO 330,Anthropology of Childhood: Global Perspectives,,Anthropology,Undergraduate,
ARCH 101,Introduction to Architecture Design and Graphics II,,Architecture,Undergraduate,
ARTS EXT 390D,Creative Community Leadership,,Arts Extension,Undergraduate,
ARTS EXT 391A,Seminar- Foundations in Arts Entrepreneurship,,Arts Extension,Undergraduate,
ARTS EXT 500,Introduction to Arts Management,,Arts Extension,Graduate,
ARTS EXT 502,Arts Marketing,,Arts Extension,Graduate,
ASTRON 101,The Solar System,,Astronomy,Undergraduate,
BDIC 391F,S-The Paranormal: Ways of Thinking about the Unknown,,Bachelor's Degree Individual Concentration (BDIC),Undergraduate,
BDIC 391L,Seminar- FUNDamentals of Grants in the Nonprofit Sector,,Bachelor's Degree Individual Concentration (BDIC),Undergraduate,
CE ENGIN 541,Structural Dynamics,,Civil and Environmental Engineering,Graduate,
CHEM 111,Gen Chem-Sci,,Chemistry,Undergraduate,
CHEM 112,Gen Chem-Sci,,Chemistry,Undergraduate,
CHEM 261,Organic Chemistry,,Chemistry,Undergraduate,
CHEM 262,Organic Chemistry,,Chemistry,Undergraduate,
COMM 121,Introduction to Media and Culture,,Communication,Undergraduate,
COMM 310,Social Influence and Persuasion,,Communication,Undergraduate,
COMM 386,"Race, Inequality and Representation",,Communication,Undergraduate,
COMM 491X,Seminar- Social Media &amp; Society,,Communication,Undergraduate,
COMM 494KI,News and Public Opinion,,Communication,Undergraduate,
COMP LIT 121,International Short Story,,Comparative Literature,Undergraduate,
COMPSCI 532,Systems for Data Science,,Computer Science,Graduate,
COMPSCI 546,Applied Information Retrieval,,Computer Science,Graduate,
COMPSCI 561,System Defense and Test,,Computer Science,Graduate,
COMPSCI 564,"Cyber Effects: Reverse Engineering, Exploit Analysis, and Capability Development",,Computer Science,Graduate,
COMPSCI 565,Advanced Digital Forensic Systems,,Computer Science,Graduate,
COMPSCI 589,Machine Learning,,Computer Science,Graduate,
COMPSCI 590AE,Mobile and Wireless Networks,,Computer Science,Graduate,
COMPSCI 596E,Indepedent Study- Machine Learning Applied to Child Rescue,,Computer Science,Graduate,
COMPSCI 645,Database Design &amp; Implementation,,Computer Science,Graduate,
COMPSCI 651,Optimization in Computer Science,,Computer Science,Graduate,
COMPSCI 677,Distributed and Operating Systems,,Computer Science,Graduate,
COMPSCI 682,Neural Networks: A Modern Introduction,,Computer Science,Graduate,
DACSS 601,Data Science Fundamentals,,Data Analytics and Computation,Graduate,
DACSS 602,Research Design,,Data Analytics and Computation,Graduate,
DACSS 603,Introduction to Quantitative Analysis,,Data Analytics and Computation,Graduate,
DACSS 604,Advanced Data-Driven Storytelling,,Data Analytics and Computation,Graduate,
DACSS 632,News and Public Opinion,,Data Analytics and Computation,Graduate,
DACSS 633,Social Influence and Persuasion,,Data Analytics and Computation,Graduate,
DACSS 690A,Data Engineering,,Data Analytics and Computation,Graduate,
DACSS 690C,Computational Social Science Methods,,Data Analytics and Computation,Graduate,
DACSS 690E,Experimental Methods for the Social Sciences,,Data Analytics and Computation,Graduate,
DACSS 691P,Seminar- Polishing Your Professional Presence,,Data Analytics and Computation,Graduate,
DACSS 696,Independent Study,,Data Analytics and Computation,Graduate,
DACSS 698,Practicum,,Data Analytics and Computation,Graduate,
DACSS 756,Machine Learning for Social Scientists,,Data Analytics and Computation,Graduate,
DACSS 758,Text as Data,,Data Analytics and Computation,Graduate,
DACSS 790C,Causal Inference,,Data Analytics and Computation,Graduate,
DACSS 790N,Network Inference,,Data Analytics and Computation,Graduate,
DACSS 790Q,Advanced Quantitative Methods,,Data Analytics and Computation,Graduate,
