courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ECAC 121,Principles of Accounting I Practice Set (1),,ECAC,,
ECAC 122,Principles of Accounting II Practice Set (1),,ECAC,,
ECAC 200,Survey of Accounting for Entrepreneurs (3),,ECAC,,
ECAC 300,Special Topics in Accounting (3),,ECAC,,
ECAC 317,Accounting Information Systems (3),,ECAC,,
ECAC 321,Auditing Theory and Practice (3),,ECAC,,
ECAC 329,Cost Accounting (3),,ECAC,,
ECAC 330,Principles of Taxation (3),,ECAC,,
ECAC 351,Advanced Cost Accounting (3),,ECAC,,
ECAC 399,Accounting Internship (3),,ECAC,,
ECAC 401,Advanced Accounting (3),,ECAC,,
ECAC 420,Information Systems for Auditors (3),,ECAC,,
AFST 100,Introduction to the Black Experience (3),,AFST,,
AFST 201,Introduction to Methodology and Research in Africana Studies (3),,AFST,,
AFST 205,Contemporary Black Popular Culture (3),,AFST,,
AFST 206,Introduction to African-American History: A Survey (3),,AFST,,
AFST 211,Introduction to Contemporary Africa (3),,AFST,,
AFST 212,Introduction to African History (3),,AFST,,
AFST 213,Africa: Culture and Development (3),,AFST,,
AFST 215,Introduction to African Dance (3),,AFST,,
AFST 230,Comparative African Religions (3),,AFST,,
AFST 240,Topics in African and African-American Studies (3),,AFST,,
AFST 241,The Making of the Caribbean (3),,AFST,,
AFST 245,Introduction to Black Music (3),,AFST,,
AFST 250,Directed Individual Study (3),,AFST,,
AFST 255,Psychology of the Black Experience in the United States (3),,AFST,,
AFST 260,Black Literature to 1900 (3),,AFST,,
AFST 261,Black Literature: Twentieth Century (3),,AFST,,
AFST 262W,Introductory Writing in Africana Studies (3),,AFST,,
AFST 263,Introduction to Black Drama (3),,AFST,,
AFST 264,Introductory Writing in Africana Studies (3),,AFST,,
AFST 271,Introduction to Community Involvement (3),,AFST,,
AFST 275,The Criminal Justice Process and Black Americans (3),,AFST,,
AFST 301,Research Design and Documentation (3),,AFST,,
AFST 312,West African History (3),,AFST,,
AFST 314,Islam in Africa (3),,AFST,,
AFST 320,Contemporary African Politics (3),,AFST,,
AFST 323,Economic Development in Africa (3),,AFST,,
AFST 340,Issues in African and Afro-American Studies (3),,AFST,,
AFST 344,Black Folklore (3),,AFST,,
AFST 345,Black American Music (3),,AFST,,
AFST 347,"Gender, Race, and Media (3)",,AFST,,
AFST 348,"Black, Queer, and Feminist Film (3)",,AFST,,
AFST 350,Psychology of Racism (3),,AFST,,
AFST 351,Black Political Thought (3),,AFST,,
AFST 352,African-American History to 1865 (3),,AFST,,
