courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AASP 400,Directed Readings in African American Studies,"(3, 3)",African American Studies,,
AASP 401,Research Directions in African-American Studies,"(3, 3)",African American Studies,,
AASP 402,Classic Readings in African American Studies,"(3, 3)",African American Studies,,
AASP 411,Black Resistance Movements,"(3, 3)",African American Studies,,
AASP 413,Gentrification: Have You Met the New Neighbors?: Issues of Belonging and Displacement in Urban Areas,"(3, 3)",African American Studies,,
AASP 441,"Science, Technology, and the Black Community","(3, 3)",African American Studies,,
AASP 443,Blacks and the Law,"(3, 3)",African American Studies,,
AASP 468,Special Topics in Africa and the Americas,"(3, 3)",African American Studies,,
AASP 478,Humanities Topics in African American Studies,"(3, 3)",African American Studies,,
AASP 479,Special Research in African-American Studies,"(1, 9)",African American Studies,,
AASP 493,Feminist and Nationalist Thought in Black Communities,"(3, 3)",African American Studies,,
AASP 498,Special Topics in Black Culture,"(3, 3)",African American Studies,,
AASP 499,Advanced Topics in Public Policy and the Black Community,"(3, 3)",African American Studies,,
AASP 602,Interdisciplinary Research Methods in Afro-American Studies,"(3, 3)",African American Studies,,
AASP 611,Classic Texts and Contemporary Issues,"(3, 3)",African American Studies,,
AASP 621,Public Policy and Black Communities,"(3, 3)",African American Studies,,
AAST 420,Asian American Women: The Social Construction of Gender,"(3, 3)",Asian American Studies,,
AAST 421,Asian American Public Policy,"(3, 3)",Asian American Studies,,
AAST 422,Asian American Women and Gender,"(3, 3)",Asian American Studies,,
AAST 424,Sociology of Race Relations,"(3, 3)",Asian American Studies,,
AAST 440,South Asian American Literature and Culture,"(3, 3)",Asian American Studies,,
AAST 443,Asian American Politics,"(3, 3)",Asian American Studies,,
AAST 498,Advanced Topics in Asian American Studies,"(3, 3)",Asian American Studies,,
AAST 499,Senior Thesis,"(3, 3)",Asian American Studies,,
AGNR 489,Field Experience,"(1, 4)",Agriculture And Natural Resources,,
AGNR 499,Special Problems,"(1, 3)",Agriculture And Natural Resources,,
AGNR 606,Program Planning and Evaluation in Agricultural Education,"(2, 3)",Agriculture And Natural Resources,,
AGNR 630,Teaching-Learning in Adult and Continuing Education,"(3, 3)",Agriculture And Natural Resources,,
AGNR 661,Rural Community Analysis,"(3, 3)",Agriculture And Natural Resources,,
AGNR 699,Special Problems,"(1, 3)",Agriculture And Natural Resources,,
AGNR 789,Special Topics,"(1, 3)",Agriculture And Natural Resources,,
AGNR 798,Seminar in Rural Education,"(1, 3)",Agriculture And Natural Resources,,
AGNR 799,Master's Thesis Research,"(1, 6)",Agriculture And Natural Resources,,
AGNR 888,Apprenticeship in Education,"(1, 8)",Agriculture And Natural Resources,,
AGNR 889,Internship in Education,"(3, 8)",Agriculture And Natural Resources,,
AGNR 899,Doctoral Dissertation Research,"(1, 8)",Agriculture And Natural Resources,,
AGST 130,Did Yeast Create Civilization?,"(3, 3)",Agricultural Science And Technology,,
AGST 275,Fundamentals of Agricultural and Environmental Chemistry,"(3, 3)",Agricultural Science And Technology,,
AGST 333,Crafty Beverage Crops,"(3, 3)",Agricultural Science And Technology,,
AGST 389,Internship in Agricultural Education,"(1, 3)",Agricultural Science And Technology,,
AGST 399,Special Problems in Agricultural Science & Technology,"(1, 3)",Agricultural Science And Technology,,
AGST 400,Advanced Crop Science,"(3, 3)",Agricultural Science And Technology,,
AGST 401,"Tractor and Equipment Operation, Safety and Maintenance","(1, 1)",Agricultural Science And Technology,,
AGST 426,Scientists Teaching and Translating Science,"(3, 3)",Agricultural Science And Technology,,
AGST 440,"Exploring Maryland Agriculture, Agricultural Industry, and Agricultural Literacy","(3, 3)",Agricultural Science And Technology,,
AGST 489,Special Topics in Agricultural Science and Technology,"(1, 3)",Agricultural Science And Technology,,
AGST 499,Independent Studies in Agricultural Science and Technology,"(1, 3)",Agricultural Science And Technology,,
AGST 640,Analysis of Maryland Agriculture,"(3, 3)",Agricultural Science And Technology,,
AGST 689,Special Topics in Agricultural Science and Technology,"(1, 3)",Agricultural Science And Technology,,
AGST 799,Master's Thesis Research,"(1, 6)",Agricultural Science And Technology,,
AMSC 420,Mathematical Modeling,"(3, 3)",Applied Mathematics & Scientific Computation,,
AMSC 452,Introduction to Dynamics and Chaos,"(3, 3)",Applied Mathematics & Scientific Computation,,
AMSC 460,Computational Methods,"(3, 3)",Applied Mathematics & Scientific Computation,,
AMSC 466,Introduction to Numerical Analysis I,"(3, 3)",Applied Mathematics & Scientific Computation,,
AMSC 498,Selected Topics in Applied Mathematics,"(1, 3)",Applied Mathematics & Scientific Computation,,
AMSC 607,Advanced Numerical Optimization,"(3, 3)",Applied Mathematics & Scientific Computation,,
AMSC 660,Scientific Computing I,"(3, 3)",Applied Mathematics & Scientific Computation,,
AMSC 661,Scientific Computing II,"(3, 3)",Applied Mathematics & Scientific Computation,,
AMSC 662,Computer Organization and Programming for Scientific Computing,"(3, 3)",Applied Mathematics & Scientific Computation,,
AMSC 663,Advanced Scientific Computing I,"(3, 3)",Applied Mathematics & Scientific Computation,,
AMSC 664,Advanced Scientific Computing II,"(3, 3)",Applied Mathematics & Scientific Computation,,
AMSC 666,Numerical Analysis I,"(3, 3)",Applied Mathematics & Scientific Computation,,
AMSC 670,Ordinary Differential Equations I,"(3, 3)",Applied Mathematics & Scientific Computation,,
AMSC 671,Ordinary Differential Equations II,"(3, 3)",Applied Mathematics & Scientific Computation,,
AMSC 673,Partial Differential Equations I,"(3, 3)",Applied Mathematics & Scientific Computation,,
AMSC 674,Partial Differential Equations II,"(3, 3)",Applied Mathematics & Scientific Computation,,
AMSC 689,Research Interactions in Applied Mathematics and Scientific Computation,"(1, 3)",Applied Mathematics & Scientific Computation,,
AMSC 698,Advanced Topics in Applied Mathematics,"(1, 4)",Applied Mathematics & Scientific Computation,,
AMSC 699,Applied Mathematics Seminar,"(1, 3)",Applied Mathematics & Scientific Computation,,
AMSC 714,Numerical Methods For Stationary PDEs,"(3, 3)",Applied Mathematics & Scientific Computation,,
AMSC 715,Numerical Methods for Evolution Partial Differential Equations,"(3, 3)",Applied Mathematics & Scientific Computation,,
AMSC 721,Mathematical Population Biology,"(3, 3)",Applied Mathematics & Scientific Computation,,
AMSC 760,Applied Statistics Practicum,"(3, 3)",Applied Mathematics & Scientific Computation,,
AMSC 761,Applied Statistics Seminar,"(1, 1)",Applied Mathematics & Scientific Computation,,
AMSC 762,Data Analysis Project,"(1, 1)",Applied Mathematics & Scientific Computation,,
AMSC 763,Advanced Linear Numerical Analysis,"(3, 3)",Applied Mathematics & Scientific Computation,,
AMSC 764,Advanced Numerical Optimization,"(3, 3)",Applied Mathematics & Scientific Computation,,
AMSC 799,Master's Thesis Research,"(1, 6)",Applied Mathematics & Scientific Computation,,
AMSC 808,Advanced Topics in Applied Mathematics,"(1, 3)",Applied Mathematics & Scientific Computation,,
AMSC 819,Applied Mathematics Seminar,"(1, 3)",Applied Mathematics & Scientific Computation,,
AMSC 898,Pre-Candidacy Research,"(1, 8)",Applied Mathematics & Scientific Computation,,
AMSC 899,Doctoral Dissertation Research,"(1, 8)",Applied Mathematics & Scientific Computation,,
AMST 418,Cultural Themes in America,"(3, 3)",American Studies,,
AMST 418,Asian American Public Policy,"(3, 3)",American Studies,,
AMST 425,Film and American Landscape,"(3, 3)",American Studies,,
AMST 428,American Cultural Eras,"(3, 3)",American Studies,,
AMST 429,Perspectives on Popular Culture,"(3, 3)",American Studies,,
AMST 450,Seminar in American Studies,"(3, 3)",American Studies,,
AMST 498,Special Topics in American Studies,"(3, 3)",American Studies,,
AMST 498,Asian American Politics,"(3, 3)",American Studies,,
AMST 499,Independent Studies,"(1, 3)",American Studies,,
AMST 601,Introductory Theories and History in American Studies,"(3, 3)",American Studies,,
AMST 602,Interdisciplinary Research Methods and Bibliographic Instruction,"(3, 3)",American Studies,,
AMST 603,Current Approaches to American Studies,"(3, 3)",American Studies,,
AMST 628,Seminar in American Studies,"(3, 3)",American Studies,,
AMST 629,Seminar in American Studies,"(3, 3)",American Studies,,
AMST 638,Orientation Seminar: Material Aspects of American Civilization,"(3, 3)",American Studies,,
AMST 639,Reading Course in Selected Aspects of American Civilization,"(3, 3)",American Studies,,
AMST 650,Material Culture Studies Theory,"(3, 3)",American Studies,,
AMST 655,Introduction to Museum Scholarship,"(3, 3)",American Studies,,
AMST 659,Special Topics: Collaborative Curation,"(3, 3)",American Studies,,
AMST 698,Directed Readings in American Studies,"(3, 3)",American Studies,,
AMST 789,Professional Development in Dance and Theatre,"(1, 1)",American Studies,,
AMST 798,Non-Thesis Research,"(1, 3)",American Studies,,
AMST 799,Master's Thesis Research,"(1, 6)",American Studies,,
AMST 851,Interpretation of Cultural Landscapes,"(3, 3)",American Studies,,
AMST 856,Museum Research Seminar,"(3, 3)",American Studies,,
AMST 857,Museum Scholarship Practicum,"(3, 6)",American Studies,,
AMST 878,American Studies Pedagogy Mentoring,"(1, 3)",American Studies,,
AMST 898,Pre-Candidacy Research,"(1, 8)",American Studies,,
AMST 899,Doctoral Dissertation Research,"(1, 8)",American Studies,,
ANSC 401,Animal Growth and Development for Production Agriculture,"(3, 3)",Animal Science,,
ANSC 410,The Gut Microbiome and its Roles in Health and Disease,"(3, 3)",Animal Science,,
ANSC 417,Regulatory Issues in Animal Care and Management,"(3, 3)",Animal Science,,
ANSC 435,Experimental Embryology,"(3, 3)",Animal Science,,
ANSC 436,Animal Health Policy and Communication,"(3, 3)",Animal Science,,
ANSC 437,Animal Biotechnology,"(3, 3)",Animal Science,,
ANSC 440,Zoonotic Diseases and Control,"(3, 3)",Animal Science,,
ANSC 443,Physiology of Lactation,"(3, 3)",Animal Science,,
ANSC 444,Domestic Animal Endocrinology,"(3, 3)",Animal Science,,
ANSC 445,Comparative Digestive Physiology,"(3, 3)",Animal Science,,
ANSC 446,Physiology of Mammalian Reproduction,"(3, 3)",Animal Science,,
ANSC 447,Physiology of Mammalian Reproduction Laboratory,"(1, 1)",Animal Science,,
ANSC 450,Animal Breeding Plans,"(3, 3)",Animal Science,,
ANSC 452,Avian Physiology,"(3, 3)",Animal Science,,
ANSC 453,Animal Welfare and Bioethics,"(3, 3)",Animal Science,,
ANSC 454,Nutritional Aspects of Metabolic Disease,"(3, 3)",Animal Science,,
ANSC 455,Applied Animal Behavior,"(3, 3)",Animal Science,,
ANSC 460,Comparative Vertebrate Immunology,"(3, 3)",Animal Science,,
ANSC 489,Current Topics in Animal Science,"(1, 3)",Animal Science,,
ANSC 497,Animal Biotechnology Recombinant DNA Laboratory,"(3, 3)",Animal Science,,
ANSC 617,Quantative Techniques in Physiology and Nutrition,"(3, 3)",Animal Science,,
ANSC 624,Recent Advances in Animal and Avian Sciences,"(1, 1)",Animal Science,,
ANSC 625,Developing Presentation Skills,"(1, 1)",Animal Science,,
ANSC 627,Molecular and Quantitative Genetics,"(3, 3)",Animal Science,,
ANSC 644,Molecular and Cellular Endocrinology,"(3, 3)",Animal Science,,
ANSC 660,Poultry Literature,"(1, 4)",Animal Science,,
ANSC 688,Special Topics,"(1, 4)",Animal Science,,
ANSC 698,Seminar,"(1, 1)",Animal Science,,
ANSC 699,Special Problems in Animal Science,"(1, 2)",Animal Science,,
ANSC 799,Master's Thesis Research,"(1, 6)",Animal Science,,
ANSC 898,Pre-Candidacy Research,"(1, 8)",Animal Science,,
ANSC 899,Doctoral Dissertation Research,"(1, 8)",Animal Science,,
ANTH 407,Anthropology and Development,"(3, 3)",Anthropology,,
ANTH 411,Global Migration and Health,"(3, 3)",Anthropology,,
ANTH 412,Hypermarginality and Urban Health,"(3, 3)",Anthropology,,
ANTH 413,Health Disparities in the United States,"(3, 3)",Anthropology,,
ANTH 415,Critical Global Health,"(3, 3)",Anthropology,,
ANTH 416,Anthropology of Global Violence,"(3, 3)",Anthropology,,
ANTH 421,Nutritional Anthropology,"(3, 3)",Anthropology,,
ANTH 422,Human-Plant-(Human & Bioactive Plant) Interaction,"(3, 3)",Anthropology,,
ANTH 424,Human Skeletal Anatomy,"(3, 3)",Anthropology,,
ANTH 428,Special Topics in Bioanthropology,"(3, 3)",Anthropology,,
ANTH 429,Advanced Special Topics in Biological Anthropology,"(3, 3)",Anthropology,,
ANTH 433,"Archaeology of Slavery: Classical, Caribbean and North American Contexts","(3, 3)",Anthropology,,
ANTH 435,Archaeological Ethnography and Heritage Ethnography,"(3, 3)",Anthropology,,
ANTH 438,Special Topics in Study Abroad IV,"(1, 6)",Anthropology,,
ANTH 440,Theory and Practice of Historical Archaeology,"(3, 3)",Anthropology,,
ANTH 441,Archaeology of Diaspora,"(3, 3)",Anthropology,,
ANTH 442,Public Archeology,"(3, 3)",Anthropology,,
ANTH 444,Theories of the Past,"(3, 3)",Anthropology,,
ANTH 445,Laboratory Methods in Archaeology,"(3, 3)",Anthropology,,
ANTH 447,Material Culture Studies in Archaeology,"(3, 3)",Anthropology,,
ANTH 448,Special Topics in Archaeology,"(3, 3)",Anthropology,,
ANTH 449,Advanced Special Topics in Archaeology,"(3, 3)",Anthropology,,
ANTH 450,Theory and Practice of Environmental Anthropology,"(3, 3)",Anthropology,,
ANTH 451,Environmental Archaeology,"(3, 3)",Anthropology,,
ANTH 452,Anthropology and Climate Change,"(3, 3)",Anthropology,,
ANTH 453,Archaeology of the Modern City,"(3, 3)",Anthropology,,
ANTH 454,Political Ecology,"(3, 3)",Anthropology,,
ANTH 456,Conservation and Indigenous People in South America,"(3, 3)",Anthropology,,
ANTH 461,Language as Practice,"(3, 3)",Anthropology,,
ANTH 462,Amazon Through Film,"(3, 3)",Anthropology,,
ANTH 463,Climate Cultures,"(3, 3)",Anthropology,,
ANTH 464,Anthropology of Cultural Heritage,"(3, 3)",Anthropology,,
ANTH 465,"Ethnoecology: Nature, Knowledge and People","(3, 3)",Anthropology,,
ANTH 466,Anthropology of Work,"(3, 3)",Anthropology,,
ANTH 467,Researching Environment and Culture,"(3, 3)",Anthropology,,
ANTH 468,Special Topics in Cultural Anthropology,"(3, 3)",Anthropology,,
ANTH 469,Advanced Special Topics in Cultural Anthropology,"(3, 3)",Anthropology,,
ANTH 473,Native American Languages and Cultures,"(3, 3)",Anthropology,,
ANTH 474,Language Racism & Identity,"(3, 3)",Anthropology,,
ANTH 476,Senior Research,"(3, 4)",Anthropology,,
ANTH 477,Senior Thesis,"(3, 4)",Anthropology,,
ANTH 478,Special Topics in Linguistics,"(3, 3)",Anthropology,,
ANTH 481,Environmental Ethnographies of Asia,"(3, 3)",Anthropology,,
ANTH 485,Honors Research Preparation,"(3, 3)",Anthropology,,
ANTH 486,Honors Research,"(3, 4)",Anthropology,,
ANTH 487,Honors Thesis,"(3, 4)",Anthropology,,
ANTH 496,Field Methods in Archaeology,"(6, 6)",Anthropology,,
ANTH 498,Advanced Field Training in Ethnography,"(1, 8)",Anthropology,,
ANTH 601,Applied Anthropology,"(3, 3)",Anthropology,,
ANTH 606,Qualitative Methods in Applied Anthropology,"(3, 3)",Anthropology,,
ANTH 607,Anthropology and Development,"(3, 3)",Anthropology,,
ANTH 611,Global Migration and Health,"(3, 3)",Anthropology,,
ANTH 612,Hypermarginality and Urban Health,"(3, 3)",Anthropology,,
ANTH 613,Health Disparities in the United States,"(3, 3)",Anthropology,,
ANTH 615,Critical Global Health,"(3, 3)",Anthropology,,
