courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
MADR 3026,100% Made in Spain: Design and Quality,"(3, 3)",Global Programs And Strategic Alliance,Undergraduate,
GCC 5024,11 Billion People: How long can the planet sustain humanity?,"(3, 3)",Undergraduate Education Administration,Graduate,
GCC 3024,11 Billion People: How long can the planet sustain humanity?,"(3, 3)",Undergraduate Education Administration,Undergraduate,
ARTH 5324,15th-Century Painting,"(3, 3)",College Of Liberal Arts,Undergraduate,
MUS 5541,16th-Century Counterpoint,"(3, 3)",College Of Liberal Arts,Undergraduate,
ARTH 5347,17th- and 18th-Century Art of Northern Europe,"(3, 3)",College Of Liberal Arts,Undergraduate,
ARTH 5346,17th- and 18th-Century Art of Southern Europe,"(3, 3)",College Of Liberal Arts,Undergraduate,
ARTH 3303,17th- and 18th-Century Painting in France,"(4, 4)",College Of Liberal Arts,Undergraduate,
MUS 4502,18th-Century Counterpoint,"(3, 3)",College Of Liberal Arts,Undergraduate,
GER 3421,18th-Century German Literature,"(3, 3)",College Of Liberal Arts,Undergraduate,
LA 8408,"18th-Century Landscape Theory: Nature and the Sublime, the Beautiful, and the Picturesque","(3, 3)",College Of Design,Graduate,
ARTH 3012,19th and 20th-Century Art: Identity & Representation,"(3, 3)",College Of Liberal Arts,Undergraduate,
GER 3431,19th-Century Literature,"(3, 3)",College Of Liberal Arts,Undergraduate,
RUSS 3409,19th-Century Russian Novel,"(3, 3)",College Of Liberal Arts,Undergraduate,
RUSS 5409,19th-Century Russian Novel,"(3, 3)",College Of Liberal Arts,Undergraduate,
LNDN 3213,20th and 21st Century Art,"(3, 3)",Global Programs And Strategic Alliance,Undergraduate,
LNDN 3324,20th Century British Fiction,"(3, 3)",Global Programs And Strategic Alliance,Undergraduate,
DIS 3623,20th Century Danish Architecture,"(3, 3)",Global Programs And Strategic Alliance,Undergraduate,
DIS 3344,20th Century European History,"(3, 3)",Global Programs And Strategic Alliance,Undergraduate,
KOR 3650,20th Century Korean Literature in Translation,"(3, 3)",College Of Liberal Arts,Undergraduate,
TLDO 3314,20th Century Spanish Art,"(3, 3)",Global Programs And Strategic Alliance,Undergraduate,
TLDO 3910,20th Century Spanish Literature,"(3, 3)",Tsya,Undergraduate,
TLDO 3001,20th Century Spanish Literature,"(3, 3)",Global Programs And Strategic Alliance,Undergraduate,
GER 3441,20th-/21st-Century Literature,"(3, 3)",College Of Liberal Arts,Undergraduate,
ENGL 5175,20th-Century British Literatures and Cultures I,"(3, 3)",College Of Liberal Arts,Graduate,
ENGL 3175,20th-Century British Literatures and Cultures I,"(3, 3)",College Of Liberal Arts,Undergraduate,
ENGL 3176,20th-Century British Literatures and Cultures II,"(3, 3)",College Of Liberal Arts,Undergraduate,
ENGL 5176,20th-Century British Literatures and Cultures II,"(3, 3)",College Of Liberal Arts,Graduate,
