courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
CHNS 3203,Advanced Chinese Grammar and Conversation,"(3, 3)",Other Courses,,
ENGL 3100,Approaches to Literature and Culture,"(3, 3)",Other Courses,,
ETFS 4132,Fireground Hydraulics,"(3, 3)",Other Courses,,
ETFS 4901,Fire Safety Research & Data Analysis,"(3, 3)",Other Courses,,
HAHS 1511,Local Social Science: Issues of Health and Quality of Life,"(3, 3)",Other Courses,,
ITLN 1502,Global Arts/Humanities: Italian Culture in the World,"(3, 3)",Other Courses,,
MATH 1241L,The Academic Success Experience,"(1, 1)",Other Courses,,
ACCT 2121,Principles of Accounting I,"(None, None)",Accounting,,
ACCT 2122,Principles of Accounting II,"(3, 3)",Accounting,,
ACCT 3300,Professional Development for Accountants,"(1, 1)",Accounting,,
ACCT 3311,Intermediate Financial Accounting I,"(3, 3)",Accounting,,
ACCT 3312,Intermediate Financial Accounting II,"(3, 3)",Accounting,,
ACCT 3323,Intermediate Accounting I,"(3, 3)",Accounting,,
ACCT 3324,Intermediate Accounting II,"(3, 3)",Accounting,,
ACCT 3325,Intermediate Accounting III,"(3, 3)",Accounting,,
ACCT 3330,Managerial Accounting and the Decision Process,"(3, 3)",Accounting,,
ACCT 3340,Accounting Information Systems,"(3, 3)",Accounting,,
ACCT 3350,Introduction to Auditing,"(3, 3)",Accounting,,
ACCT 3380,Fraud Examination,"(3, 3)",Accounting,,
ACCT 3400,Accounting Internship,"(3, 3)",Accounting,,
ACCT 3500,Accounting Cooperative Education Experience,"(0, 0)",Accounting,,
ACCT 3900,Current Developments in Accounting,"(3, 3)",Accounting,,
ACCT 4220,Income Tax,"(3, 3)",Accounting,,
AERO 1100,Leadership Laboratory,"(0, 3)",Aerospace Studies,,
AERO 1101,Foundations of the Air Force I,"(1, 1)",Aerospace Studies,,
AERO 1102,Foundations of the Air Force II,"(1, 1)",Aerospace Studies,,
AERO 2101,Evolution of Aerospace Studies I,"(1, 1)",Aerospace Studies,,
AERO 2102,Evolution of Aerospace Studies II,"(1, 1)",Aerospace Studies,,
AERO 3101,Leadership Studies I,"(3, 3)",Aerospace Studies,,
AERO 3102,Leadership Studies II,"(3, 3)",Aerospace Studies,,
AERO 4101,National Security Studies and Preparation for Active Duty I,"(3, 3)",Aerospace Studies,,
AERO 4102,National Security Studies and Preparation for Active Duty II,"(3, 3)",Aerospace Studies,,
AFRS 1100,Introduction to Africana Studies,"(3, 3)",Africana Studies,,
AFRS 1501,Global Social Science: Africana Studies,"(3, 3)",Africana Studies,,
AFRS 1512,Local Arts/Humanities: Africana Studies,"(3, 3)",Africana Studies,,
AFRS 2050,Topics in Africana Studies,"(3, 3)",Africana Studies,,
AFRS 2103,Introduction to Hip Hop,"(3, 3)",Africana Studies,,
AFRS 2105,Black Images in the Media in the U.S.,"(3, 3)",Africana Studies,,
AFRS 2107,Global Hip Hop,"(3, 3)",Africana Studies,,
AFRS 2111,Yoruba Language and Culture I,"(3, 3)",Africana Studies,,
AFRS 2112,Yoruba Language and Culture II,"(3, 3)",Africana Studies,,
AFRS 2120,African American Women,"(3, 3)",Africana Studies,,
AFRS 2156,African Civilization,"(3, 3)",Africana Studies,,
AFRS 2160,The African American Experience through Civil War,"(3, 3)",Africana Studies,,
AFRS 2161,The African American Experience: Civil War to Civil Rights,"(3, 3)",Africana Studies,,
AFRS 2170,Introduction to Health and Environmental Issues in the Africana World,"(3, 3)",Africana Studies,,
AFRS 2172,Black Sexuality and Health,"(3, 3)",Africana Studies,,
AFRS 2174,Environmental Literature in Africa and the Caribbean,"(3, 3)",Africana Studies,,
AFRS 2206,"African Literature, Music, and Art","(3, 3)",Africana Studies,,
AFRS 2207,Pan-Africanism,"(3, 3)",Africana Studies,,
AFRS 2215,Black Families in the United States,"(3, 3)",Africana Studies,,
AFRS 2221,Modern Africa,"(3, 3)",Africana Studies,,
AFRS 2301,Introduction to African American Literature,"(3, 3)",Africana Studies,,
AFRS 3050,Topics in Africana Studies,"(3, 3)",Africana Studies,,
AFRS 3101,Perspectives on Race and Ethnicity in the US,"(3, 3)",Africana Studies,,
AFRS 3121,Contemporary African Art,"(3, 3)",Africana Studies,,
AFRS 3150,The African American Church and Civil Rights,"(3, 3)",Africana Studies,,
AFRS 3154,Globalization in African History,"(3, 3)",Africana Studies,,
AFRS 3155,Health and Healing in Africa,"(3, 3)",Africana Studies,,
AFRS 3159,African American Poetry,"(3, 3)",Africana Studies,,
AFRS 3179,African American Political Philosophy,"(3, 3)",Africana Studies,,
AFRS 3190,Political Economy of the Caribbean,"(3, 3)",Africana Studies,,
AFRS 3192,African Cinema,"(3, 3)",Africana Studies,,
AFRS 3200,Folklore of Africa and the African Diaspora,"(3, 3)",Africana Studies,,
AFRS 3218,"Racial Violence, Colonial Times to Present","(3, 3)",Africana Studies,,
AFRS 3220,The Caribbean from Slavery to Independence,"(3, 3)",Africana Studies,,
AFRS 3230,Poverty and Discrimination in African Diaspora in the Modern Era,"(3, 3)",Africana Studies,,
AFRS 3239,African American Music: History and Culture,"(3, 3)",Africana Studies,,
AFRS 3240,Race and the Law,"(3, 3)",Africana Studies,,
AFRS 3250,African Americans and Health Communication,"(3, 3)",Africana Studies,,
AFRS 3260,"Slavery, Racism, and Colonialism in the African Diaspora","(3, 3)",Africana Studies,,
AFRS 3261,Psychology of the Black Experience,"(3, 3)",Africana Studies,,
AFRS 3262,Philosophy and Race,"(3, 3)",Africana Studies,,
AFRS 3264,Business Culture and Entrepreneurship in Africa,"(3, 3)",Africana Studies,,
AFRS 3265,African Economic Development,"(3, 3)",Africana Studies,,
AFRS 3270,Afro-Latin American History,"(3, 3)",Africana Studies,,
AFRS 3278,Race in the History of Brazil,"(3, 3)",Africana Studies,,
AFRS 3280,Blacks in Urban America,"(3, 3)",Africana Studies,,
AFRS 3290,Research Methods,"(3, 3)",Africana Studies,,
AFRS 3328,West African Art and Display,"(3, 3)",Africana Studies,,
AFRS 3395,African American Art,"(3, 3)",Africana Studies,,
AFRS 3692,Colloquium,"(3, 3)",Africana Studies,,
AFRS 3895,Independent Study,"(1, 3)",Africana Studies,,
AFRS 3990,Senior Project in Africana Studies,"(2, 15)",Africana Studies,,
AFRS 4050,Topics in Africana Studies,"(3, 3)",Africana Studies,,
AFRS 4100,African Diaspora Theory,"(3, 3)",Africana Studies,,
AFRS 4105,African International Relations,"(3, 3)",Africana Studies,,
AFRS 4401,Professional Internship in Africana Studies,"(3, 3)",Africana Studies,,
