courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ARS 100,"Reclaim, Regain, and Recover",0,Academic Recovery Seminar,,
ARS 120,Academic Connections in Education,0,Academic Recovery Seminar,,
ARS 140,Academic Coaching in Transitions,0,Academic Recovery Seminar,,
ACC 201,Financial Accounting,3,Accounting,,
ACC 202,Managerial Accounting,3,Accounting,,
ACC 218,Financial Statement Preparation and Disclosures,3,Accounting,,
ACC 318,Intermediate Accounting I,3,Accounting,,
ACC 319,Intermediate Accounting II,3,Accounting,,
ACC 325,Accounting Transaction Processing Systems,3,Accounting,,
ACC 330,Cost Accounting,3,Accounting,,
ACC 350,Internship in Accounting,3,Accounting,,
ACC 420,Federal Tax Concepts,3,Accounting,,
ACC 440,Auditing Concepts,3,Accounting,,
ACC 461,Governmental and Nonprofit Accounting,3,Accounting,,
ACC 493,Honors Work,3-6,Accounting,,
ACC 499,Independent Research in Accounting,1-3,Accounting,,
ACC 518,Intermediate Accounting I,3,Accounting,,
ACC 519,Intermediate Accounting II,3,Accounting,,
ACC 525,Accounting Transaction Processing Systems,3,Accounting,,
ACC 531,Cost Accounting,3,Accounting,,
ACC 561,Governmental and Nonprofit Accounting,3,Accounting,,
ACC 602,Federal Tax Concepts,3,Accounting,,
ACC 604,Auditing Concepts,3,Accounting,,
ACC 613,Directed Studies in Accounting,1-3,Accounting,,
ACC 621,Accounting Internship,3,Accounting,,
ACC 630,Seminar in Contemporary Accounting Issues,3,Accounting,,
ACC 631,Advanced Auditing,3,Accounting,,
ACC 632,Principles of Fraud Examination,3,Accounting,,
ACC 638,Accounting Data Analytics,3,Accounting,,
ACC 641,Advanced Study in Business Analysis and Reporting,1,Accounting,,
ACC 642,Specialized Accounting Entities,3,Accounting,,
ACC 643,Advanced Study in Tax Compliance and Planning,1,Accounting,,
ACC 644,Advanced Study in Information Systems and Controls,1,Accounting,,
ACC 646,Advanced Study in Business Environment and Concepts,1,Accounting,,
ACC 647,Advanced Study in Financial Accounting and Reporting,1,Accounting,,
ACC 648,Guided Study in Taxation and Business Law,1,Accounting,,
ACC 649,Advanced Study in Auditing and Attestation,1,Accounting,,
ACC 651,Introduction to Business Entity Taxation,3,Accounting,,
ACC 652,"Taxation of Estates, Gifts and Trusts",3,Accounting,,
ACC 655,Taxation of Corporations and Shareholders,3,Accounting,,
ACC 656,Taxation of Flow-Through Business Entities,3,Accounting,,
ACC 688,Advanced Business Law,3,Accounting,,
IAA 621,Statistical Computing,3,Advanced Data Analytics,,
IAA 622,Complex Data Analysis,3,Advanced Data Analytics,,
IAA 623,Categorical Data Analysis,3,Advanced Data Analytics,,
IAA 689,Capstone Project in Advanced Data Analytics,3,Advanced Data Analytics,,
ADS 200,African American Art History,3,African American and African Diaspora Studies,,
ADS 205,Introduction to African American and African Diaspora Studies,3,African American and African Diaspora Studies,,
ADS 210,"Blacks in American Society: Social, Economic, and Political Perspectives",3,African American and African Diaspora Studies,,
ADS 260,Understanding Race,3,African American and African Diaspora Studies,,
ADS 305,Special Topics in African American Studies,3,African American and African Diaspora Studies,,
ADS 306,"Special Topics in the African Diaspora: Africa, the Indian Ocean, and the Americas",3,African American and African Diaspora Studies,,
ADS 310,The Portrayal of African Americans in Film,3,African American and African Diaspora Studies,,
ADS 315,Theories and Paradigms in African American Studies,3,African American and African Diaspora Studies,,
ADS 320,The African American Athlete,3,African American and African Diaspora Studies,,
ADS 325,Black Women in the U.S.,3,African American and African Diaspora Studies,,
ADS 330,Black Music as Cultural History: 1960-1980,3,African American and African Diaspora Studies,,
ADS 340,Africana Research Methods,3,African American and African Diaspora Studies,,
ADS 350,Contemporary Africa,3,African American and African Diaspora Studies,,
ADS 351,Race and Gender in Black Performance,3,African American and African Diaspora Studies,,
ADS 356,The Making of the African Diaspora,3,African American and African Diaspora Studies,,
ADS 376,Africana Literature,3,African American and African Diaspora Studies,,
ADS 400,Independent Study,1-3,African American and African Diaspora Studies,,
ADS 410,Seminar in African American Studies,3,African American and African Diaspora Studies,,
ADS 454,Independent Black Politics 19th Century,3,African American and African Diaspora Studies,,
ADS 492,Internship in African American Studies,1-6,African American and African Diaspora Studies,,
ADS 600,Independent Study,3,African American and African Diaspora Studies,,
ADS 610,African American Theoretical Perspectives,3,African American and African Diaspora Studies,,
ADS 650,Topics in African American Gender Studies,3,African American and African Diaspora Studies,,
ADS 652,Topics in Black Performance Studies,3,African American and African Diaspora Studies,,
ADS 653,Perspectives on the African American Experience,3,African American and African Diaspora Studies,,
ASL 101,Elementary American Sign Language I,3,American Sign Language,,
ASL 102,Elementary American Sign Language II,3,American Sign Language,,
ASL 201,Directed Study in Applied Beginning American Sign Language,3,American Sign Language,,
ASL 203,Intermediate American Sign Language I,3,American Sign Language,,
ASL 204,Intermediate American Sign Language II,3,American Sign Language,,
ASL 245,Introduction to the Deaf Community,3,American Sign Language,,
ATY 100,Modern Cultural Diversity,3,Anthropology,,
ATY 113,Engaging Culture,3,Anthropology,,
ATY 153,The Human Species,3,Anthropology,,
ATY 153L,The Human Species: Laboratory,1,Anthropology,,
ATY 158,Adventures in Time-Travel through Archaeology,3,Anthropology,,
ATY 204,Anthropology through Film,3,Anthropology,,
ATY 205,The World of the Neandertals,3,Anthropology,,
ATY 208,Lost Tribes and Sunken Lands,3,Anthropology,,
ATY 212,Introduction to Anthropology,3,Anthropology,,
ATY 230,Cultures of Native North America,3,Anthropology,,
ATY 231,Race and Human Diversity,3,Anthropology,,
ATY 235,Cultures of Africa,3,Anthropology,,
ATY 240,Indigenous Towns and Temple Mounds: North American Archaeology,3,Anthropology,,
ATY 259,"Pandemics, Plagues & Outbreaks",3,Anthropology,,
ATY 311,Reading Culture and Society,3,Anthropology,,
ATY 312,The Anthropology of Children,3,Anthropology,,
ATY 315,World Ethnographies,3,Anthropology,,
ATY 321,Qualitative Data & Anthropological Knowledge,3,Anthropology,,
ATY 333,Latin American Societies and Cultures,3,Anthropology,,
ATY 334,Latin American Art and Archaeology,3,Anthropology,,
ATY 341,Paleolithic Archaeology,3,Anthropology,,
ATY 347,"Myth, Magic, and Religion",3,Anthropology,,
ATY 350,Human Origins and Evolution,3,Anthropology,,
ATY 353,"Music, Sound, and Power",3,Anthropology,,
ATY 354,Modern Asia through its Music,3,Anthropology,,
ATY 357,"Monkeys, Apes, and Humans",3,Anthropology,,
ATY 359,Forensic Anthropology,3,Anthropology,,
ATY 360,Methods in Archaeology,3,Anthropology,,
ATY 361,Methods in Biological Anthropology,3,Anthropology,,
ATY 362,Methods in Cultural Anthropology,3,Anthropology,,
ATY 363,History of Anthropological Theory,3,Anthropology,,
ATY 369,Statistics for Anthropology,3,Anthropology,,
ATY 370,Historical Archaeology of the Modern World,3,Anthropology,,
ATY 377,"Disaster, Self, and Society",3,Anthropology,,
ATY 385,Language and Culture,3,Anthropology,,
ATY 400,Cults and Conspiracy Theories,3,Anthropology,,
ATY 401,Witch Hunts and Legal Anthropology,3,Anthropology,,
ATY 403,Selected Topics in Anthropology,3,Anthropology,,
ATY 420,Economic Anthropology,3,Anthropology,,
ATY 423,Applying Archaeology in the Real World,3,Anthropology,,
ATY 424,Applying Anthropology in the Real World,3,Anthropology,,
ATY 426,Food and Culture in a Global Context,3,Anthropology,,
ATY 434,Archaeology of South America,3,Anthropology,,
ATY 440,Colliding Worlds: Forming America,3,Anthropology,,
ATY 444,Archaeology of Power/Politics,3,Anthropology,,
ATY 449,Gender Archaeology,3,Anthropology,,
ATY 450,Environmental Anthropology,3,Anthropology,,
ATY 453,Human Osteology,3,Anthropology,,
ATY 453L,Human Osteology Lab,0,Anthropology,,
ATY 457,Primate Behavior,3,Anthropology,,
ATY 459,"Anthropology of Global Water, Sanitation and Hygiene (WASH)",3,Anthropology,,
ATY 462,Archaeology of the Southeastern United States,3,Anthropology,,
ATY 465,Medical Anthropology,3,Anthropology,,
ATY 469,Anthropology of Infectious Disease,3,Anthropology,,
