courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ANB 275,Intro Tech in Animal Behavior,3,ANB,,
ANB 278,Captive Animal Management,3,ANB,,
ANB 308,Animal Communication,3,ANB,,
ANB 315,Animal Welfare Assessment Contest Team,1,ANB,,
ANB 335,Comparative Animal Behavior,3,ANB,,
ANB 362,Animal Cognition,3,ANB,,
ANB 371,Conservation Behavior,3,ANB,,
ANB 372,Foraging Behavior,3,ANB,,
ANB 384,Animal Learning and Behavior,4,ANB,,
ANB 384L,Animal Learning and Behav Lab,,ANB,,
ANB 425,Capstone in Animal Behavior,3,ANB,,
ANB 495,Animal Behavior Intern/Resrch,1-12,ANB,,
ANB 515,Animal Welfare Assessment Contest Team,1,ANB,,
ANAT 1005,Anatomy,4,ANAT,,
ANE 701,Fundamentals of Anesthesia,3,ANE,,
ANE 702,Basic Principles of Anesthesia I,3,ANE,,
ANE 703,Basic Principles of Anesthesia II,3,ANE,,
ANE 704,Advanced Pharmacology I,3,ANE,,
ANE 705,Advanced Pharmacology II,3,ANE,,
ANE 706,Advanced Anatomy & Physiology I,3,ANE,,
ANE 707,Advanced Anatomy & Physiology II,3,ANE,,
ANE 708,Advanced Pathophysiology I,3,ANE,,
ANE 709,Advanced Pathophysiology II,3,ANE,,
ANE 710,Airway Management,2,ANE,,
ANE 712,Prof Role Dev of the CRNA,3,ANE,,
ANE 714,Advanced Health Assessment Across the Lifespan,3,ANE,,
ANE 715,Advanced Principles of Anesthesia I,3,ANE,,
ANE 716,Advanced Principles of Anesthesia II,3,ANE,,
ANE 717,Pain Theory&Mgmt in Clin Pract,4,ANE,,
ANE 718,Patho&Mgmt of Pat w/Chr Pain,2,ANE,,
ANE 719,Economics Ethics Health Policy,3,ANE,,
ANE 720,Leadshp Adv Prac Nurs HC Sys,3,ANE,,
ANE 722,"Epidemiology, Pop Hlth Prevent",3,ANE,,
ANE 723,Informatics Imprv HC Qual Safe,3,ANE,,
ANE 724,Senior Symposium,1,ANE,,
ANE 725,Senior Symposium II,1,ANE,,
ANE 726,Trans Res & Evid Based Pract,3,ANE,,
ANE 727,Intro to Schol Proj,2,ANE,,
ANE 729,DNP Scholarly Proj II,2,ANE,,
ANE 730,DNP Scholarly Proj III,1,ANE,,
ANE 732,Clinical Practicum I,2,ANE,,
ANE 734,Clinical Practicum II,2,ANE,,
ANE 736,Clinical Practicum III,2,ANE,,
ANE 738,Clinical Practicum IV,2,ANE,,
ANE 740,Clinical Practicum V,2,ANE,,
ANE 742,Ane Disaster Crisis Resrs Mgmt,1,ANE,,
ANES 721,Anesthesiology Elective I,2-6,ANES,,
ANES 722,Anesthesiology Elective II,2-6,ANES,,
ANPS 1010,Anatomy & Physiology I,4,ANPS,,
ANPS 1011,Anatomy & Physiology II,4,ANPS,,
ANT 101,Introduction to Anthropology,3,ANT,,
ANT 102,Cultural Anthropology,3,ANT,,
ANT 103,Intro to Biological Anthro,3,ANT,,
ANT 211,Medical Anthropology,3,ANT,,
ANT 215G,Intro to Medical Anthropology,3,ANT,,
ANT 224,Forensic Anthropology/Human Rights,3,ANT,,
ANT 228,Anthropology of Gender,3,ANT,,
ANT 241,Plagues and Populations,3,ANT,,
ANT 312,Human Trafficking,3,ANT,,
ANT 332,Anthropology of Magic,3,ANT,,
ANT 344,"Inequality, Intersectionality, and Health",3,ANT,,
ANTH 1011,Cultural Anthropology,3,ANTH,,
APN 500,The Life-cycle of Small Grant Funding,1,APN,,
APN 505,Applied Anatomy and Physiology,3,APN,,
APN 510,Applied Nutrition Biochemistry,3,APN,,
APN 515,Applied Food Innovation,3,APN,,
APN 520,Foundations of Nutrition Care and Medical Nutrition Therapy,3,APN,,
APN 600,Trends & Issues in Nutrition,3,APN,,
APN 602,Trends and Issues in Nutrition Lab,1,APN,,
APN 604,Nutrition Across the Lifespan,3,APN,,
APN 606,Nutr Across the Lifespan Lab,1,APN,,
APN 610,Research Methods,3,APN,,
APN 611,Research Methods Lab,1,APN,,
APN 615,Nutrition and Metabolism,3,APN,,
APN 616,Nutrition & Metabolism Lab,1,APN,,
APN 620,Nutrition Education and Health Behavior Change,3,APN,,
APN 621,Nutrition Education & Health Behavior Change Lab,1,APN,,
APN 625,Nutrition Practice for Health Promotion and Disease Prevention,3,APN,,
APN 707,Dietary Practices & Enviro Stu,3,APN,,
APN 712,Global Food Systems & Sustaina,3,APN,,
APN 730,Medical Nutrition Therapy,3,APN,,
APN 731,Medical Nutrition Therapy Lab,1,APN,,
APN 734,"Nutrition Leadership, Community Nutrition and Wellness",3,APN,,
APN 736,"Nutrition Leadership, Community Nutrition, and Wellness Lab",1,APN,,
APN 740,Nutrition and Nutrition Information in Media,3,APN,,
APN 745,Overweight and Obesity,3,APN,,
APN 750,Clinical Management of Overweight and Obesity,3,APN,,
APN 755,Applied Nutrition Capstone,3,APN,,
APN 756,Applied Nutrition Capstone Lab,1,APN,,
APN 760,Micronutrients: Nutrition and Functional Applications,3,APN,,
APN 761,Micronutrients: Nutrition & Functional Applications Lab,1,APN,,
APN 770,Nutrition Counseling and Communication,3,APN,,
APN 775,Advanced Nutrition Research,3,APN,,
APN 776,Adv Nutrition Research Lab,1,APN,,
APN 780,Food and Nutrition Operations Management,3,APN,,
APN 781,Food and Nutrition Operations Management Lab,1,APN,,
APN 785,Nutrition Assessment and Application in a Clinical Setting,3,APN,,
APN 786,Nutrition Assessment and Application in a Clinical Setting Lab,1,APN,,
ARB 101,Beginner Arabic I,3,ARB,,
ARB 102,Beginner Arabic 2,3,ARB,,
ARB 201,Intermediate Arabic I,3,ARB,,
ARB 211,Intermediate Arabic,3,ARB,,
ARB 301,Advanced Arabic I,3,ARB,,
ARC 190,Exp Cultures thru Archaeology,3,ARC,,
ARC 205,Archaeological Field Methods in New England Prehistory,3,ARC,,
ARC 235,The Archaeology of New England,3,ARC,,
ARC 397,Archaeology Independent Study,1-12,ARC,,
ARH 210,Art History Survey I,3,ARH,,
ARH 211,Art History Survey II,3,ARH,,
ARH 270,Art in the Modern World,3,ARH,,
ARH 322G,History of Spanish Art,3,ARH,,
ART 101,Watercolor,3,ART,,
ART 102,Photography,3,ART,,
ART 104,Painting I,3,ART,,
ART 105,Elements of Acting,3,ART,,
ART 106,Two-Dimensional Design,3,ART,,
ART 109,T-Shirt Design,3,ART,,
ART 110,Ceramics I,3,ART,,
ART 111,Scientific Illustration,3,ART,,
ART 113,Three Dimensional Fundamentals,3,ART,,
ART 114,Printmaking,3,ART,,
ART 118,Drawing & Design Fundamentals,3,ART,,
ART 124,The Painted Book,3,ART,,
ART 130,The Art of the Letter,3,ART,,
ART 199,Topics in Art,3,ART,,
ART 200,Advanced Drawing,3,ART,,
ART 207,Landscape Painting,3,ART,,
ART 214,Color Digital Photography,3,ART,,
ART 215,Art Appreciation in Morocco,3,ART,,
ART 230,Graphic Design,3,ART,,
ART 234,Digital Animation,3,ART,,
ART 324,The Painted Book 3D,3,ART,,
ART 395,Studio Concentration Seminar,3,ART,,
ART 397,Art Independent Study,1-12,ART,,
ART 399,Topics in Art,1-12,ART,,
ART 401,Creative/Fine Arts Internship,3-6,ART,,
ASL 101,Introduction to American Sign Language,3,ASL,,
ATC 101,Prev & Care of Ath Inj.,3,ATC,,
ATC 105,Intro to Athletic Training,3,ATC,,
