courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 2120,Principles of Financial Accounting —,3,ACCT: Accounting,,
ACCT 2130,Principles of Managerial Accounting —,3,ACCT: Accounting,,
ACCT 3055,VITA: Individual Income Tax Preparation —,2,ACCT: Accounting,,
ACCT 3075,Legal and Ethical Concepts for Accountants —,3,ACCT: Accounting,,
ACCT 3090,Internship -- Accounting —,2-8,ACCT: Accounting,,
ACCT 3094,Individual Readings —,1-3,ACCT: Accounting,,
ACCT 3120,Intermediate Accounting I —,3,ACCT: Accounting,,
ACCT 3122,Intermediate Accounting II —,3,ACCT: Accounting,,
ACCT 3130,Cost Accounting and Analysis —,3,ACCT: Accounting,,
ACCT 3140,Accounting Information Systems and Analytics —,3,ACCT: Accounting,,
ACCT 3179,Cooperative Education in Accounting —,1-3,ACCT: Accounting,,
ACCT 4052,Advanced Income Tax —,3,ACCT: Accounting,,
ACCT 4150,Income Tax —,3,ACCT: Accounting,,
ACCT 4160,Auditing —,3,ACCT: Accounting,,
ACCT 6030,Accounting for Business Management —,3,ACCT: Accounting,,
ACCT 6052,Advanced Tax Topics —,3,ACCT: Accounting,,
ACCT 6090,Graduate Internship in Accounting —,1-6,ACCT: Accounting,,
ACCT 6092,Topics in Accounting: Fraud Examination —,1-3,ACCT: Accounting,,
ACCT 6120,Financial Accounting Theory and Analysis —,3,ACCT: Accounting,,
ACCT 6140,Business Analytics in Accounting —,3,ACCT: Accounting,,
ACCT 6170,Business Law for the Professional Accountant —,3,ACCT: Accounting,,
ACCT 6175,Applied Professional Research —,3,ACCT: Accounting,,
ACCT 6285,Individual Readings —,1-4,ACCT: Accounting,,
ACCT 6289,Seminar in Contemporary Issues in Accounting —,3,ACCT: Accounting,,
ACCT 6299,Research —,1-3,ACCT: Accounting,,
ACT SCI 3731,Actuarial Examination Preparation —,3,ACT SCI: Actuarial Science,,
ACT SCI 3790,Introduction to Actuarial Science —,1,ACT SCI: Actuarial Science,,
ACT SCI 6735,Advanced Actuarial Mathematics —,3,ACT SCI: Actuarial Science,,
ACT SCI 6784,Predictive Analytics in Insurance I —,3,ACT SCI: Actuarial Science,,
ACT SCI 6785,Predictive Analytics in Insurance II —,3,ACT SCI: Actuarial Science,,
ACT SCI 6788,Advanced Loss Models —,3,ACT SCI: Actuarial Science,,
ANTH 1001,Bones & Stones: The Science of Human Origins —,3,ANTH: Anthropology,,
ANTH 1002,Introduction to Cultural Anthropology —,3,ANTH: Anthropology,,
