courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 801,Fraud Examination and Internal Audit,"(3, 3)",Accounting,Graduate,
ACCT 802,Accounting Standards,"(3, 3)",Accounting,Graduate,
ACCT 803,Seminar in Financial Accounting,"(3, 3)",Accounting,Graduate,
ACCT 803,Seminar in Financial Accounting - Individual,"(3, 3)",Accounting,Graduate,
ACCT 804,Advanced Accounting,"(3, 3)",Accounting,Graduate,
ACCT 807,Professional Responsibility and Ethics in Accounting,"(3, 3)",Accounting,Graduate,
ACCT 808,Business Valuation and Financial Statement Analysis,"(3, 3)",Accounting,Graduate,
ACCT 808,Business Valuation and Financial Statement Analysis - Individual,"(3, 3)",Accounting,Graduate,
ACCT 809,Accounting Information Systems (AIS),"(3, 3)",Accounting,Graduate,
ACCT 813,Corporate Tax Accounting,"(3, 3)",Accounting,Graduate,
ACCT 814,Governmental and Not-For-Profit Accounting,"(3, 3)",Accounting,Graduate,
ACCT 815,Tax Research and Planning,"(3, 3)",Accounting,Graduate,
ACCT 815,Tax Research and Planning - Individual,"(3, 3)",Accounting,Graduate,
ACCT 816,Special Topics in Federal Taxation,"(3, 3)",Accounting,Graduate,
ACCT 817,The Income Tax and Management Decisions,"(3, 3)",Accounting,Graduate,
ACCT 819,Partnership Tax Accounting,"(3, 3)",Accounting,Graduate,
ACCT 831,Seminar in Auditing,"(3, 3)",Accounting,Graduate,
ACCT 832,Applied Auditing,"(3, 3)",Accounting,Graduate,
ACCT 837,Taxation-Individual Income Tax,"(3, 4)",Accounting,Graduate,
ACCT 838,Taxation-Corporate,"(3, 3)",Accounting,Graduate,
ACCT 840,Fraud Examination,"(3, 3)",Accounting,Graduate,
ACCT 841,Fraud Detection and Prevention,"(3, 3)",Accounting,Graduate,
ACCT 848,Business Planning,"(3, 3)",Accounting,Graduate,
ACCT 850,Accounting and Data Analytics,"(3, 3)",Accounting,Graduate,
ACCT 857,Controllership,"(3, 3)",Accounting,Graduate,
ACCT 858,Seminar in Managerial Accounting,"(3, 3)",Accounting,Graduate,
ACCT 863,Taxation-Individual Income II,"(3, 3)",Accounting,Graduate,
ACCT 888,Financial Reporting and Analysis,"(3, 3)",Accounting,Graduate,
ACCT 890,Accountancy Internship,"(1, 3)",Accounting,Graduate,
ACCT 899,Masters Thesis,"(1, 10)",Accounting,Graduate,
ACCT 906,Seminar in Comparative Accounting Systems,"(3, 3)",Accounting,Graduate,
ACCT 916,Seminar in Contemporary Accounting Theory: Empirical Tests and Methodologies,"(3, 3)",Accounting,Graduate,
ACCT 920,History and Philosophy of Accounting Thought,"(3, 3)",Accounting,Graduate,
ACCT 945,Partnership Taxation,"(1, 4)",Accounting,Graduate,
ACCT 967,Estate Planning,"(3, 3)",Accounting,Graduate,
ACCT 968,Estate Planning Problems,"(1, 4)",Accounting,Graduate,
ACCT 969,Seminar in Tax Research,"(3, 3)",Accounting,Graduate,
ACCT 984,Seminar in Selected Topics,"(3, 3)",Accounting,Graduate,
ACCT 991,Seminar in Capital Market Research in Accounting,"(3, 3)",Accounting,Graduate,
ACCT 992,Seminar in Behavioral Accounting Research,"(3, 3)",Accounting,Graduate,
ACCT 993,Seminar in Analytical Accounting Models,"(3, 3)",Accounting,Graduate,
ACCT 995,Seminar in Audit Research,"(3, 3)",Accounting,Graduate,
ACCT 996,Directed Reading or Research,"(1, 3)",Accounting,Graduate,
ACCT 999,Doctoral Dissertation,"(1, 24)",Accounting,Graduate,
ACTS 810,Credibility Theory and Loss DistributionsCrosslisted withACTS 410,"(3, 3)",Actuarial Science,Graduate,
ACTS 830,Actuarial Applications of Applied StatisticsCrosslisted withACTS 430,"(3, 3)",Actuarial Science,Graduate,
ACTS 831,Actuarial Applications of Time Series and Machine LearningCrosslisted withACTS 431,"(3, 3)",Actuarial Science,Graduate,
ACTS 840,Interest TheoryCrosslisted withACTS 440,"(3, 3)",Actuarial Science,Graduate,
ACTS 850,Stochastic Processes for ActuariesCrosslisted withACTS 450,"(3, 3)",Actuarial Science,Graduate,
ACTS 860,Short-Term Actuarial MathematicsCrosslisted withACTS 460,"(3, 3)",Actuarial Science,Graduate,
ACTS 870,Long-Term Actuarial MathematicsCrosslisted withACTS 470,"(3, 3)",Actuarial Science,Graduate,
ACTS 871,Advanced Long-Term Actuarial Mathematics ICrosslisted withACTS 471,"(3, 3)",Actuarial Science,Graduate,
ACTS 872,Advanced Long-Term Actuarial Mathematics IICrosslisted withACTS 472,"(3, 3)",Actuarial Science,Graduate,
ACTS 873,Introduction to Advanced Short-Term Risk ModelsCrosslisted withACTS 473,"(3, 3)",Actuarial Science,Graduate,
ACTS 875,Actuarial Applications in PracticeCrosslisted withACTS 475,"(3, 3)",Actuarial Science,Graduate,
ACTS 895,Actuarial Internship,"(1, 6)",Actuarial Science,Graduate,
ACTS 898,Special Topics,"(1, 3)",Actuarial Science,Graduate,
ACTS 899,Masters Thesis,"(1, 10)",Actuarial Science,Graduate,
ACTS 930,Fundamentals of Pension Mathematics,"(3, 3)",Actuarial Science,Graduate,
ACTS 950,Seminar in Actuarial Science,"(1, 3)",Actuarial Science,Graduate,
ADPR 829,Jacht,"(3, 3)",Advertising And Public Relations,Graduate,
ADPR 830,Strategic Communications: Advertising Issues and Strategies,"(3, 3)",Advertising And Public Relations,Graduate,
ADPR 833,Art DirectionCrosslisted withADPR 433,"(3, 3)",Advertising And Public Relations,Graduate,
ADPR 834,Digital Insight & AnalyticsCrosslisted withADPR 434,"(3, 3)",Advertising And Public Relations,Graduate,
ADPR 837,International/Multicultural Public RelationsCrosslisted withADPR 437,"(3, 3)",Advertising And Public Relations,Graduate,
ADPR 838,Global AdvertisingCrosslisted withADPR 438,"(3, 3)",Advertising And Public Relations,Graduate,
ADPR 847,Strategic and Creative ConceptingCrosslisted withADPR 447,"(3, 3)",Advertising And Public Relations,Graduate,
ADPR 850,Public Relations Management and Case StudiesCrosslisted withADPR 450,"(3, 3)",Advertising And Public Relations,Graduate,
ADPR 851,Public Relations TechniquesCrosslisted withADPR 451,"(3, 3)",Advertising And Public Relations,Graduate,
ADPR 857,Crisis Management in Corporations and NonprofitsCrosslisted withADPR 457,"(3, 3)",Advertising And Public Relations,Graduate,
ADPR 858,Interactive Media DesignCrosslisted withADPR 458,"(3, 3)",Advertising And Public Relations,Graduate,
ADPR 864,"Sports Media Relations & PromotionsCrosslisted withADPR 464,SPMC 464,SPMC 864","(3, 3)",Advertising And Public Relations,Graduate,
ADPR 866,Social Media Theory and PracticeCrosslisted withADPR 466,"(3, 3)",Advertising And Public Relations,Graduate,
ADPR 881,Advertising and Public Relations Research,"(3, 3)",Advertising And Public Relations,Graduate,
ADPR 883,Portfolio DevelopmentCrosslisted withADPR 483,"(1, 1)",Advertising And Public Relations,Graduate,
ADPR 884,Brands & Branding,"(3, 3)",Advertising And Public Relations,Graduate,
ADPR 888,Media Sales and PromotionCrosslisted withADPR 488,"(3, 3)",Advertising And Public Relations,Graduate,
ADPR 889,Advertising and Public Relations CampaignsCrosslisted withADPR 489,"(3, 3)",Advertising And Public Relations,Graduate,
ADPR 891,Special Topics in AdvertisingCrosslisted withADPR 491,"(1, 4)",Advertising And Public Relations,Graduate,
ADPR 896,Independent Study in Advertising and Public RelationsCrosslisted withADPR 496,"(1, 24)",Advertising And Public Relations,Graduate,
ADPR 930,Integrated Media Communications Capstone Seminar,"(3, 3)",Advertising And Public Relations,Graduate,
ABUS 855,Marketing and GlobalizationCrosslisted withMRKT 855,"(3, 6)",Agribusiness,Graduate,
AECN 801,Advanced Farm Management and Linear ProgrammingCrosslisted withAECN 401,"(3, 3)",Agricultural Economics,Graduate,
AECN 804,Agricultural Law,"(3, 3)",Agricultural Economics,Graduate,
AECN 812,Organization and Performance of Agricultural Markets,"(3, 3)",Agricultural Economics,Graduate,
AECN 814,Agricultural Price Analysis,"(3, 3)",Agricultural Economics,Graduate,
AECN 815,Analytical Methods in Economics and BusinessCrosslisted withECON 815,"(1, 4)",Agricultural Economics,Graduate,
AECN 818,Behavioral and Experimental Economics,"(4, 4)",Agricultural Economics,Graduate,
AECN 821,Orientation to Research,"(1, 1)",Agricultural Economics,Graduate,
AECN 827,Static Optimization with Mathematical Programming,"(2, 2)",Agricultural Economics,Graduate,
AECN 832,Economics of Agricultural Production,"(3, 3)",Agricultural Economics,Graduate,
