courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AAD 125L,Construction Drawings and Detailing,"(2, 2)",,,
AAD 180,Design Foundation I,"(3, 3)",,,
AAD 182,Fundamentals of Design II,"(3, 3)",,,
AAD 201,History of the Built Environment/Discussion,"(3, 3)",,,
AAD 201D,History of the Built Environment/Discussion,"(0, 0)",,,
AAD 202,Analysis of the Built Environment,"(3, 3)",,,
AAD 223,"Graphic Software for Architects, Constructors, Designers, and Planners I","(3, 3)",,,
AAD 267,Introduction to Digital Media,"(3, 3)",,,
AAD 268,3-D Presentation Graphics,"(3, 3)",,,
AAD 367,Advanced Digital Media,"(3, 3)",,,
AAD 400,Clinical Internship,"(600, 600)",,,
AAD 401,Study Abroad in Design:,"(1, 6)",,,
AAD 412,Elements of Architectural Expression: Colors & Materials,"(3, 3)",,,
AAD 421A,Entertainment and Fine Arts Law 1,"(3, 3)",,,
AAD 421B,Entertainment and Fine Arts Law II,"(3, 3)",,,
AAD 467,3-D Animation Graphics,"(3, 3)",,,
AAD 493,Independent Study,"(1, 3)",,,
AAD 495,Special Topics in Design,"(1, 4)",,,
AAE 100,Introduction to Architecture,"(3, 3)",,,
AAE 280,Design Foundation II,"(6, 6)",,,
AAE 282,Design Foundation III,"(6, 6)",,,
AAE 330,Design With Climate,"(3, 3)",,,
AAE 380,Architectural Design I,"(6, 6)",,,
AAE 382,Architectural Design II,"(6, 6)",,,
AAE 435,Developing Sustainable Design,"(3, 3)",,,
AAE 451,Multidiscipline Theory and History in Architecture,"(3, 3)",,,
AAE 453,Visionary and Utopian Architecture: Plato to Bladerunner,"(653, 653)",,,
AAE 454,Architecture and the New Urbanism,"(654, 654)",,,
AAE 455,The Enlightenment to Mid-20th Century: Architectural History and Theory,"(3, 3)",,,
AAE 456,Twentieth-Century Architectural History and Theory,"(3, 3)",,,
AAE 457,Architecture in Las Americas,"(657, 657)",,,
AAE 458,History of Renaissance and Baroque Architecture,"(3, 3)",,,
AAE 459,Design and Development,"(3, 3)",,,
AAE 460,Issues in Contemporary Urbanism,"(660, 660)",,,
AAE 461,Construction Documents and Specifications,"(3, 3)",,,
AAE 480,Architectural Design III,"(6, 6)",,,
AAE 481,"Architecture, Place and Identity","(3, 3)",,,
AAE 482,Architectural Design IV,"(6, 6)",,,
AAE 485,Non-Western Settlements,"(600, 600)",,,
AAE 493,Independent Study,"(1, 3)",,,
AAE 495,Special Topics in Architectural Design,"(1, 4)",,,
AAE 496,Special Topics in Architectural History and Theory,"(1, 3)",,,
AAI 100,Introduction to Interior Design,"(3, 3)",,,
AAI 180,Design Foundation I,"(3, 3)",,,
AAI 253,History of Architectural Interiors I,"(3, 3)",,,
AAI 254,History of Architectural Interiors II,"(None, None)",,,
AAI 270,Design Communication,"(6, 6)",,,
AAI 271,"Regulations, Standards, and Codes for Interiors","(3, 3)",,,
AAI 280,Design Foundation II,"(6, 6)",,,
AAI 282,Design Foundation III,"(6, 6)",,,
AAI 322,Interior Construction and Detailing,"(3, 3)",,,
AAI 323,Interior Construction Documents and Specifications,"(3, 3)",,,
AAI 332,Interior Architectural Systems,"(3, 3)",,,
AAI 373,Interior Design I,"(6, 6)",,,
AAI 374,Interior Design II,"(6, 6)",,,
AAI 400,Professional Internship,"(None, None)",,,
AAI 450,Designed Environment and Human Behavior,"(650, 650)",,,
AAI 453,Built Environment and Human Health,"(3, 3)",,,
AAI 455,Facilities Planning & Design,"(655, 655)",,,
AAI 459,Design and Development,"(3, 3)",,,
AAI 472,Exhibition Design,"(3, 3)",,,
AAI 473,Interior Design III,"(6, 6)",,,
AAI 474,Interior Design IV,"(6, 6)",,,
AAI 480,Furniture Design,"(3, 3)",,,
AAI 491,Professional Practice,"(3, 3)",,,
AAI 493,Independent Study,"(1, 3)",,,
AAI 495,Special Topics in Interior Design,"(1, 4)",,,
AAL 101,Design With Nature,"(3, 3)",,,
AAL 270,Design Communication,"(6, 6)",,,
AAL 356,History of Landscape Architecture II,"(3, 3)",,,
AAL 430,Land Use Management,"(3, 3)",,,
AAL 446,Land Use Planning and Controls,"(3, 3)",,,
AAL 455,Landscape Interpretation,"(655, 655)",,,
AAL 456,Campus Planning and Design,"(656, 656)",,,
AAL 459,Design and Development,"(3, 3)",,,
AAL 465,GIS Planning Methods,"(665, 665)",,,
AAL 467,History and Theory of Golf Course Development,"(667, 667)",,,
AAL 468,Golf Course Design,"(668, 668)",,,
AAL 494,Landscape Architecture Design Vll,"(6, 6)",,,
AAL 496,Landscape Architecture Design VIII,"(6, 6)",,,
AAP 100,Introduction to Urban Planning,"(2, 2)",,,
AAP 366,History of Cities I,"(3, 3)",,,
AAP 367,History of Cities II,"(3, 3)",,,
AAP 377,Site Planning and Environmental Analysis,"(2, 2)",,,
AAP 377L,Site Planning and Design I,"(4, 4)",,,
AAP 378,Urban Form and Design,"(1, 1)",,,
AAP 378L,Urban Planning and Design II,"(4, 4)",,,
AAP 477,Regional Planning Issues,"(1, 1)",,,
AAP 477L,Urban Planning and Design III,"(4, 4)",,,
AAP 478,Statistical and Policy Planning,"(1, 1)",,,
AAP 478L,Urban Planning and Design IV,"(4, 4)",,,
AAP 493,Independent Study,"(1, 3)",,,
AAP 495,Special Topics in Urban Planning and Design,"(1, 4)",,,
AAS 101,African American Survey,"(3, 3)",,,
AAS 105,African American Music and Culture,"(3, 3)",,,
AAS 166,Survey of African-American Dance,"(3, 3)",,,
AAS 232,History of Africa III,"(3, 3)",,,
AAS 264,African American Psychology,"(None, None)",,,
AAS 286,Contemporary Black Filmmakers,"(3, 3)",,,
AAS 288,African Americans in Film,"(3, 3)",,,
CEM 451,Construction Estimating,"(3, 3)",,,
CEM 452,Construction Cost Control,"(3, 3)",,,
CEM 453,Construction Scheduling,"(3, 3)",,,
CEM 454,Heavy Construction Methods and Equipment,"(654, 654)",,,
CEM 455,Construction Management Practice,"(3, 3)",,,
CEM 456,Construction Management Capstone,"(3, 3)",,,
CEM 457,Project Management,"(3, 3)",,,
CEM 458,Design-Build for Construction Management,"(3, 3)",,,
CEM 459,Quantitative Methods in Project Management,"(3, 3)",,,
CEM 470,Construction Automation,"(3, 3)",,,
CEM 480,Sustainable Construction,"(680, 680)",,,
CEM 482,Hazardous Waste Construction Operations,"(3, 3)",,,
CEM 484,Construction Site Water Management,"(3, 3)",,,
CEM 485,Construction Law and Contracts,"(685, 685)",,,
CEM 493,Independent Study,"(693, 693)",,,
CEM 495,Special Topics in Construction Management,"(695, 695)",,,
CFA 100,First Year Symposia,"(3, 3)",,,
CFA 101,Introduction to Environmental Design,"(3, 3)",,,
CFA 102,Perspectives in Popular Music - Freshman Year Seminar,"(3, 3)",,,
CFA 105,Introduction to Arts Leadership,"(3, 3)",,,
CFA 106,Arts Entrepreneurship Seminar,"(1, 1)",,,
CFA 206,Arts Entrepreneurship Seminar,"(1, 1)",,,
CFA 305,Arts Fundraising and Resource Development,"(3, 3)",,,
CFA 306,Arts Entrepreneurship Seminar,"(1, 1)",,,
CFA 307,Contemporary Arts Theory and History,"(3, 3)",,,
CFA 406,Creative Practice Senior Synthesis,"(3, 3)",,,
CFA 407,Arts Leadership Internship,"(6, 6)",,,
CFT 150,Personal Growth,"(3, 3)",,,
CFT 225,Multicultural Issues and Families,"(3, 3)",,,
CFT 350,Human Sexuality,"(3, 3)",,,
CFT 360,Contemporary Marriage and Families,"(3, 3)",,,
CFT 370,Successful Couple and Marital Relationships,"(3, 3)",,,
CFT 428,Introduction to Marriage and Family Therapy,"(3, 3)",,,
CFT 499,Individual Study,"(1, 3)",,,
CHEM 103,Preparatory Chemistry,"(103, 103)",,,
CHEM 108,Introduction to Chemistry,"(4, 4)",,,
CHEM 121A,General Chemistry I,"(121, 121)",,,
CHEM 121L,General Chemistry Laboratory I,"(121, 121)",,,
CHEM 122A,General Chemistry II,"(122, 122)",,,
CHEM 122L,General Chemistry Laboratory II,"(122, 122)",,,
CHEM 123,Qualitative Analysis Laboratory,"(2, 2)",,,
CHEM 190,Freshman Independent Study in Chemistry,"(1, 1)",,,
CHEM 240,Preparation for Organic Chemistry,"(2, 2)",,,
CHEM 241,Organic Chemistry I,"(3, 3)",,,
CHEM 241L,Organic Chemistry for Life Sciences Lab I,"(1, 1)",,,
CHEM 242,Organic Chemistry II,"(241, 242)",,,
CHEM 242L,Organic Chemistry for Life Sciences Laboratory II,"(1, 1)",,,
CHEM 302,Chemistry Demonstrations for Science Teachers,"(2, 2)",,,
CHEM 312,Introduction to Radiochemistry,"(3, 3)",,,
CHEM 347,Laboratory Techniques of Organic Chemistry I,"(2, 2)",,,
CHEM 348,Laboratory Techniques of Organic Chemistry II,"(2, 2)",,,
CHEM 355,Quantitative Analysis,"(3, 3)",,,
CHEM 355L,Quantitative Analysis Laboratory,"(2, 2)",,,
CHEM 421,Physical Chemistry I,"(621, 621)",,,
CHEM 422,Physical Chemistry II,"(622, 622)",,,
CHEM 423,Physical Chemistry Laboratory,"(2, 2)",,,
CHEM 428,Quantum Chemistry,"(628, 628)",,,
CHEM 431,Advanced Inorganic Chemistry,"(631, 631)",,,
CHEM 442,Advanced Organic Chemistry,"(3, 3)",,,
CHEM 447,Advanced Synthesis Laboratory,"(2, 2)",,,
CHEM 449,Polymer Chemistry,"(3, 3)",,,
CHEM 455,Instrumental Analysis,"(655, 655)",,,
CHEM 455L,Instrumental Analysis Laboratory,"(2, 2)",,,
CHEM 472,Biochemistry Laboratory,"(3, 3)",,,
CHEM 474,Biochemistry I,"(674, 674)",,,
CHEM 475,Biochemistry II,"(675, 675)",,,
CHEM 476,Advanced Topics in Biochemistry,"(676, 676)",,,
CHEM 478,Endocrinology,"(678, 678)",,,
CHEM 489,Senior Poster Seminar,"(1, 1)",,,
CHEM 490,Senior Independent Study in Chemistry,"(1, 3)",,,
CHEM 491,Senior Seminar in Chemistry,"(1, 1)",,,
CHEM 492,Advanced Topics in Chemistry,"(1, 2)",,,
CHEM 493,Senior Research in Chemistry I,"(1, 1)",,,
CHEM 494,Senior Research in Chemistry II,"(2, 2)",,,
CHI 100,Elementary Chinese Conversation,"(3, 3)",,,
CHI 105,Chinese Business Culture,"(3, 3)",,,
CHI 113,Elementary Chinese I,"(3, 3)",,,
CHI 114,Elementary Chinese II,"(3, 3)",,,
CHI 126,Introduction to Chinese for Heritage Speakers,"(3, 3)",,,
CHI 187,"Study Abroad in Foreign Language, Literature, or Culture I","(1, 4)",,,
CHI 213,Intermediate Chinese I,"(3, 3)",,,
CHI 214,Intermediate Chinese II,"(3, 3)",,,
CHI 287,"Study Abroad in Foreign Language, Literature, or Culture II","(1, 4)",,,
CHI 301,Third-Year Chinese: Conversation and Composition,"(3, 3)",,,
CHI 302,Third-Year Chinese: Grammar and Composition,"(3, 3)",,,
CHI 321,Chinese Culture and Civilization,"(3, 3)",,,
CHI 322,Modern Chinese Literature in Translation,"(3, 3)",,,
CHI 323,Chinese Popular Culture,"(3, 3)",,,
CHI 331,Chinese Literature in Translation,"(3, 3)",,,
CHI 350,Topics in Chinese Literature,"(3, 3)",,,
CHI 387,"Study Abroad in Foreign Language, Literature, or Culture III","(1, 4)",,,
CHI 409,Independent Study,"(1, 3)",,,
CHI 416,Business Chinese I,"(3, 3)",,,
CHI 417,Business Chinese II,"(3, 3)",,,
CHI 443,Modern Chinese Culture Through Film,"(3, 3)",,,
CHI 463,Chinese Immigrant Literature and Film,"(3, 3)",,,
CHI 487,"Study Abroad in Foreign Language, Literature, or Culture IV","(1, 4)",,,
CLA 100,First Year Seminar,"(3, 3)",,,
CLA 309,Independent Readings in the Classical Languages,"(1, 3)",,,
CLA 450,Classical Drama in Translation,"(3, 3)",,,
AIS 455B,History of China Since 1800,"(3, 3)",,,
AIS 455C,Topics in Modern China,"(3, 3)",,,
AIS 478A,Islamic and Middle Eastern History to 1750,"(3, 3)",,,
AIS 478B,Islamic and Middle Eastern History Since 1750,"(3, 3)",,,
