courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 2110,Principles of Accounting I,,Accounting,,
ACCT 2110X,Principles of Accounting IA,,Accounting,,
ACCT 2110Y,Principles of Accounting IB,,Accounting,,
ACCT 2120,Principles of Accounting II,,Accounting,,
ACCT 3020,Accounting Cycle,,Accounting,,
ACCT 3401,Financial Accounting I,,Accounting,,
ACCT 3410,Financial Accounting II,,Accounting,,
ACCT 3420,Individual Taxation,,Accounting,,
ACCT 3430,Entity Taxation,,Accounting,,
ACCT 3460,Cost Accounting,,Accounting,,
ACCT 4420,Fundamentals of Fraud Examination,,Accounting,,
ACCT 4430,Auditing,,Accounting,,
ACCT 4490,Accounting Information Systems,,Accounting,,
ACCT 4999,Accounting Senior Seminar,,Accounting,,
AFAS 300,Leading People and Effective Communication,,Air Force Aerospace Studies,,
AFAS 300L,Leadership Laboratory,,Air Force Aerospace Studies,,
AFAS 301,Leading People and Effective Communication,,Air Force Aerospace Studies,,
AFAS 301L,Leadership Laboratory,,Air Force Aerospace Studies,,
AFAS 325,Air Force ROTC Directed Studies,,Air Force Aerospace Studies,,
AFAS 329,Active Duty Physical Training Preparation,,Air Force Aerospace Studies,,
AFAS 350,Air Force ROTC Field Training,,Air Force Aerospace Studies,,
AFAS 400,"National Security, Leadership Responsibilities and Commissioning Preparation",,Air Force Aerospace Studies,,
AFAS 400L,Leadership Laboratory,,Air Force Aerospace Studies,,
AFAS 401,"National Security, Leadership Responsibilities and Commissioning Preparation",,Air Force Aerospace Studies,,
AFAS 401L,Leadership Laboratory,,Air Force Aerospace Studies,,
AFAS 1120,Aerospace Studies 1,,Air Force Aerospace Studies,,
AFAS 1121,Aerospace Studies 2,,Air Force Aerospace Studies,,
AFAS 1192L,Leadership Laboratory 1,,Air Force Aerospace Studies,,
AFAS 1292L,Leadership Laboratory 2,,Air Force Aerospace Studies,,
AFAS 2192L,Leadership Laboratory 3,,Air Force Aerospace Studies,,
AFAS 2250,Aerospace Studies 3,,Air Force Aerospace Studies,,
AFAS 2251,Aerospace Studies 4,,Air Force Aerospace Studies,,
AFAS 2292L,Leadership Laboratory 4,,Air Force Aerospace Studies,,
AFST 303,Black Liberation and Religion,,Africana Studies,,
AFST 307,African Diaspora in the Southwest,,Africana Studies,,
