courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACE 100,Academic and Career Exploration,,ACE,,
ACE 101,Pre-Health Professions Preparations,,ACE,,
ACE 109,NevadaFIT (Freshmen Intensive Transition),,ACE,,
ACE 110,First Year Experience,,ACE,,
ACE 210,Academic and Career Decision-Making,,ACE,,
ACE 310,Building Community Through Technology,,ACE,,
ACE 400,Career Studio Internship Program,,ACE,,
ACC 201,Financial Accounting,,ACC,,
ACC 202,Managerial Accounting,,ACC,,
ACC 325,Financial Investigations,,ACC,,
ACC 401,Financial Reporting I,,ACC,,
ACC 402,Financial Reporting II,,ACC,,
ACC 403,Financial Reporting III,,ACC,,
ACC 404,Advanced and International Accounting,,ACC,,
ACC 405,Cost Management and Control,,ACC,,
ACC 407,Governmental and Not-for-Profit Accounting,,ACC,,
ACC 410,Federal Taxation,,ACC,,
ACC 411,Advanced Federal Taxation,,ACC,,
ACC 415,Accounting for Management,,ACC,,
ACC 460,Commercial Transactions Law,,ACC,,
ACC 470,Audit Assurance Services,,ACC,,
ACC 475,Ethics and Professional Responsibility in Accounting,,ACC,,
ACC 481,Accounting Internship,,ACC,,
ACC 490,Independent Study,,ACC,,
ACC 494,Special Topics,,ACC,,
ACC 601,Financial Reporting I,,ACC,,
ACC 602,Financial Reporting II,,ACC,,
ACC 603,Financial Reporting III,,ACC,,
ACC 604,Advanced and International Accounting,,ACC,,
ACC 605,Cost Management and Control,,ACC,,
ACC 607,Governmental and Not-for-Profit Accounting,,ACC,,
ACC 610,Federal Taxation,,ACC,,
ACC 611,Advanced Federal Taxation,,ACC,,
ACC 660,Commercial Transactions Law,,ACC,,
ACC 670,Audit Assurance Services,,ACC,,
ACC 675,Ethics and Professional Responsibility in Accounting,,ACC,,
ACC 701,Intermediate Accounting I,,ACC,,
ACC 702,Intermediate Accounting II,,ACC,,
ACC 703,Intermediate Accounting III,,ACC,,
ACC 705,Cost Accounting,,ACC,,
ACC 710,Federal Taxation,,ACC,,
ACC 750,Accounting Seminar,,ACC,,
ACC 759,Accounting Theory and Research,,ACC,,
ACC 770,Advanced Audit,,ACC,,
ACC 780,Accounting Research,,ACC,,
ACC 783,Taxation of Corporations,,ACC,,
ACC 789,Federal Income Taxation: Policy Issues,,ACC,,
ACC 790,Independent Study,,ACC,,
ACC 794,Special Topics,,ACC,,
AE 334,Aerospace Structures and Materials,,AE,,
AE 345,Flight Mechanics,,AE,,
AE 370,Space Environment,,AE,,
AE 381,Introduction to Aerodynamics,,AE,,
AE 412,Jet and Rocket Propulsion,,AE,,
AE 422,Aerospace Laboratory,,AE,,
AE 451,Aircraft and Spacecraft Design I,,AE,,
AE 452,Aircraft and Spacecraft Design II,,AE,,
AE 458,Flight Stability and Control,,AE,,
AE 471,Orbital Mechanics,,AE,,
AE 472,Spacecraft Attitude Determination and Control,,AE,,
AE 493,Special Topics,,AE,,
AE 658,Flight Stability and Control,,AE,,
AE 671,Orbital Mechanics,,AE,,
AE 672,Spacecraft Attitude Determination and Control,,AE,,
AE 693,Special Topics,,AE,,
AE 712,Advanced Propulsion,,AE,,
AE 758,Advanced Navigation and Control,,AE,,
AE 782,Advanced Aerodynamics and Computation,,AE,,
AE 791,Special Projects,,AE,,
AE 793,Special Topics,,AE,,
AE 795,Comprehensive Examination,,AE,,
AE 797,Thesis,,AE,,
AE 799,Dissertation,,AE,,
AGSC 100,Elements of Livestock Production,,AGSC,,
AGSC 102,Agriculture Communications & Organization,,AGSC,,
AGSC 205,Introduction to Agricultural Communication,,AGSC,,
AGSC 206,Fundamentals of Animal Nutrition,,AGSC,,
AGSC 211,Agribusiness Management,,AGSC,,
AGSC 230,Principles of Horticulture,,AGSC,,
AGSC 250,Principles of Agronomy,,AGSC,,
AGSC 255,"Meat Industry, Food Safety, and Quality Systems",,AGSC,,
AGSC 280,Independent Study,,AGSC,,
AGSC 307,Environmental Economics,,AGSC,,
AGSC 308,New & Emerging Media in Agriculture,,AGSC,,
AGSC 309,Resource Economics,,AGSC,,
AGSC 310,Physiology of Reproduction,,AGSC,,
AGSC 316,Internship,,AGSC,,
AGSC 400,Seminar,,AGSC,,
AGSC 401,Reporting & Public Relations in Agriculture,,AGSC,,
AGSC 403,Communicating Agricultural & Environmental Policy,,AGSC,,
AGSC 405,Undergraduate Research in Agriculture,,AGSC,,
AGSC 406,Advanced Nutrition Management,,AGSC,,
AGSC 410,Sheep Management,,AGSC,,
AGSC 411,Integrated Pest Management (IPM) in Agriculture and Beyond,,AGSC,,
AGSC 413,Introduction to Grazing Ecology & Management,,AGSC,,
AGSC 415,Ethics and Economics of Biotechnology,,AGSC,,
AGSC 416,Internship,,AGSC,,
AGSC 418,Cattle Production & Management,,AGSC,,
AGSC 419,Plant Pathology,,AGSC,,
AGSC 420,Principles of Irrigation Water Management,,AGSC,,
AGSC 425,Forage Science,,AGSC,,
AGSC 430,Animal Genetics and Breeding,,AGSC,,
AGSC 440,Applied Remote Sensing of Dryland & Agricultural Resources,,AGSC,,
AGSC 445,Applied Python Programming for Agricultural Sciences,,AGSC,,
AGSC 450,Plant Genetics and Biotechnology,,AGSC,,
AGSC 455,Meat Science and Muscle Biology,,AGSC,,
AGSC 460,Introduction to Plant Breeding,,AGSC,,
AGSC 467,Environmental and Energy Economics,,AGSC,,
AGSC 468,Economic Impact Analysis,,AGSC,,
AGSC 480,Independent Study,,AGSC,,
AGSC 485,Special Topics,,AGSC,,
AGSC 606,Advanced Nutrition Management,,AGSC,,
AGSC 610,Sheep Management,,AGSC,,
AGSC 611,Integrated Pest Management (IPM) in Agriculture and Beyond,,AGSC,,
AGSC 613,Introduction to Grazing Ecology & Management,,AGSC,,
AGSC 615,Ethics and Economics of Biotechnology,,AGSC,,
AGSC 618,Cattle Production & Management,,AGSC,,
AGSC 619,Plant Pathology,,AGSC,,
AGSC 620,Principles of Irrigation Water Management,,AGSC,,
AGSC 625,Forage Science,,AGSC,,
AGSC 630,Animal Genetics and Breeding,,AGSC,,
AGSC 640,Applied Remote Sensing of Dryland & Agricultural Resources,,AGSC,,
AGSC 645,Applied Python Programming for Agricultural Sciences,,AGSC,,
AGSC 650,Plant Genetics and Biotechnology,,AGSC,,
AGSC 655,Meat Science and Muscle Biology,,AGSC,,
AGSC 660,Introduction to Plant Breeding,,AGSC,,
AGSC 667,Environmental and Energy Economics,,AGSC,,
AGSC 668,Economic Impact Analysis,,AGSC,,
AGSC 685,Special Topics,,AGSC,,
AGSC 712,Insect Physiology,,AGSC,,
AGSC 718,Applied Quantitative Methods for Agriculture Sciences,,AGSC,,
AGSC 790,Seminar,,AGSC,,
AGSC 791,Special Topics,,AGSC,,
AGSC 795,Comprehensive Examination,,AGSC,,
AGSC 796,Professional Paper,,AGSC,,
AGSC 797,Thesis,,AGSC,,
AGSC 799,Dissertation,,AGSC,,
ABNR 109,NevadaFIT (Freshmen Intensive Transition),,ABNR,,
ABNR 415,"Science Partners: Theory, Practice, Learning",,ABNR,,
AM 145,American Sign Language I,,AM,,
AM 146,American Sign Language II,,AM,,
AM 147,American Sign Language III,,AM,,
AM 148,American Sign Language IV,,AM,,
AM 149,American Sign Language V,,AM,,
AM 151,Fingerspelling I,,AM,,
AM 152,Fingerspelling II,,AM,,
AM 253,Deaf Culture,,AM,,
AM 254,Deaf History,,AM,,
AM 300,Advanced ASL Conversation,,AM,,
AM 380,Service Learning in American Sign Language,,AM,,
AM 390,American Sign Language Structure,,AM,,
ANSC 721,Molecular Ecology I: Theory and Applications,,ANSC,,
ANSC 722,Molecular Ecology II: Techniques and Analyses,,ANSC,,
ANSC 792,Special Problems,,ANSC,,
ANTH 101,Introduction to Cultural Anthropology,,ANTH,,
ANTH 102,Introduction to Physical Anthropology,,ANTH,,
ANTH 105,Introduction to World Archaeology,,ANTH,,
ANTH 106,Introduction to Anthropological Linguistics,,ANTH,,
ANTH 110L,Physical Anthropology Lab,,ANTH,,
ANTH 201,Peoples and Cultures of the World,,ANTH,,
ANTH 202,Archaeology,,ANTH,,
ANTH 220,Introduction to Basque Cultural Studies in a Global Frame,,ANTH,,
ANTH 222,Fundamentals of Forensic Anthropology,,ANTH,,
ANTH 281,Introduction to Language,,ANTH,,
ANTH 309,Museum Studies,,ANTH,,
ANTH 350,Archaeology of Nevada,,ANTH,,
ANTH 378,Basque Transnationalism in the United States,,ANTH,,
ANTH 400A,Indians of North America,,ANTH,,
ANTH 400B,Indians of the Great Basin,,ANTH,,
ANTH 400E,Native American Literature,,ANTH,,
ANTH 401A,Contemporary Latin American Society,,ANTH,,
ANTH 401C,Peoples and Cultures of Africa,,ANTH,,
ANTH 401D,Peoples and Cultures of Southeast Asia,,ANTH,,
ANTH 402,Comparative Social Organization,,ANTH,,
ANTH 405,"Language, Religion, Politics",,ANTH,,
ANTH 408,California Archaeology,,ANTH,,
ANTH 410,Topics in Gender and Culture,,ANTH,,
ANTH 411B,Anthropology of Islam and Muslim Cultures,,ANTH,,
ANTH 411C,Peoples and Cultures of the Amazon,,ANTH,,
