courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 2010,Accounting Principles I (Financial Accounting),"(3, 3)",Accounting,,
ACCT 2020,Accounting Principles II (Managerial Accounting),"(3, 3)",Accounting,,
ACCT 2900,Special Problems,"(1, 3)",Accounting,,
ACCT 2996,Honors College Mentored Research Experience,"(3, 3)",Accounting,,
ACCT 3110,Intermediate Accounting I,"(3, 3)",Accounting,,
ACCT 3120,Intermediate Accounting II,"(3, 3)",Accounting,,
ACCT 3270,Cost Accounting,"(3, 3)",Accounting,,
ACCT 3405,Professional Development,"(1, 1)",Accounting,,
ACCT 3996,Honors College Mentored Research Experience,"(3, 3)",Accounting,,
ACCT 4100,Accounting Systems,"(3, 3)",Accounting,,
ACCT 4130,Financial Statement Analysis,"(3, 3)",Accounting,,
ACCT 4140,Advanced and Not-for-Profit Accounting Principles,"(3, 3)",Accounting,,
ACCT 4270,Advanced Cost Accounting,"(3, 3)",Accounting,,
ACCT 4300,Federal Income Taxation,"(3, 3)",Accounting,,
ACCT 4320,Federal Income Taxation II,"(3, 3)",Accounting,,
ACCT 4400,Auditing — Professional Responsibilities,"(3, 3)",Accounting,,
ACCT 4420,International Accounting,"(3, 3)",Accounting,,
ACCT 4430,Accounting Research and Data Analysis,"(None, None)",Accounting,,
ACCT 4800,Internship,"(3, 3)",Accounting,,
ACCT 4900,Special Problems,"(1, 3)",Accounting,,
ACCT 4910,Special Problems,"(1, 3)",Accounting,,
ACCT 4951,Honors College Capstone Thesis,"(6, 6)",Accounting,,
ADDS 3975,Addictions,"(3, 3)",Addiction Studies,,
ADDS 4075,Drugs and Alcohol,"(3, 3)",Addiction Studies,,
ADDS 4175,Addiction Treatment Models,"(3, 3)",Addiction Studies,,
ADDS 4275,"Alcohol, Drugs and Disability","(3, 3)",Addiction Studies,,
ADDS 4375,Addiction Counseling and Groups,"(3, 3)",Addiction Studies,,
ADDS 4575,Current Issues in Substance Use Disorders,"(3, 3)",Addiction Studies,,
