courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AEIS 101,Introductory Academic Oral Communication,"(4, 4)",Academic English For International Students,,
AEIS 102,Advanced Academic Oral Communication,"(4, 4)",Academic English For International Students,,
AEIS 107,Reading Academic Discourse,"(4, 4)",Academic English For International Students,,
AEIS 108,Advanced Reading Academic Discourse,"(4, 4)",Academic English For International Students,,
AEIS 110,Introductory Academic Writing,"(4, 4)",Academic English For International Students,,
AEIS 111,Intermediate Academic Writing,"(4, 4)",Academic English For International Students,,
AEIS 112,Advanced Academic Writing,"(4, 4)",Academic English For International Students,,
AEIS 199,Special Studies: [Topic],"(1, 5)",Academic English For International Students,,
AEIS 610,Experimental Course: [Topic],"(1, 5)",Academic English For International Students,,
ACTG 199,Special Studies: [Topic],"(1, 5)",Accounting,,
ACTG 340,Accounting for Entrepreneurs,"(4, 4)",Accounting,,
ACTG 350,Intermediate Accounting I,"(4, 4)",Accounting,,
ACTG 351,Intermediate Accounting II,"(4, 4)",Accounting,,
ACTG 352,Intermediate Accounting III,"(4, 4)",Accounting,,
ACTG 360,Cost Accounting,"(4, 4)",Accounting,,
ACTG 401,Research: [Topic],"(1, 21)",Accounting,,
ACTG 403,Thesis,"(1, 12)",Accounting,,
ACTG 405,Reading and Conference: [Topic],"(1, 12)",Accounting,,
ACTG 406,Practicum: [Topic],"(1, 12)",Accounting,,
ACTG 407,Seminar: [Topic],"(4, 4)",Accounting,,
ACTG 408,Workshop: [Topic],"(1, 21)",Accounting,,
ACTG 409,Terminal Project,"(1, 12)",Accounting,,
ACTG 410,Experimental Course: [Topic],"(1, 4)",Accounting,,
ACTG 425,Professional Ethics for Accountants,"(4, 4)",Accounting,,
ACTG 440,Auditing,"(4, 4)",Accounting,,
ACTG 450,Advanced Financial Accounting,"(4, 4)",Accounting,,
ACTG 460,Government & Not for Profit Accounting,"(4, 4)",Accounting,,
ACTG 470,Federal Taxation,"(4, 4)",Accounting,,
ACTG 480,Accounting Data Analytics I,"(4, 4)",Accounting,,
ACTG 503,Thesis,"(1, 16)",Accounting,,
ACTG 510,Experimental Course: [Topic],"(1, 4)",Accounting,,
