courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACFD 6000,Scholarship and Personal Development I,"(1, 1)",Academic Foundations,,
ACFD 6010,Scholarship and Personal Development II,"(1, 1)",Academic Foundations,,
ACFD 6020,Scholarship and Personal Development III,"(1, 1)",Academic Foundations,,
ACFD 6030,Scholarship and Personal Development IV,"(1, 1)",Academic Foundations,,
ACFD 6999,Independent Study in Academic Foundations,"(0, 1)",Academic Foundations,,
ACCT 1010,Accounting and Financial Reporting,"(1, 1)",Accounting,,
ACCT 1020,Strategic Cost Analysis,"(1, 1)",Accounting,,
ACCT 2110,Tax Policy and Practice in the Philadelphia Community,"(1, 1)",Accounting,,
ACCT 2120,Financial Measurement and Disclosure,"(1, 1)",Accounting,,
ACCT 2420,Accounting and Business Analysis,"(1, 1)",Accounting,,
ACCT 2430,"Accounting for Mergers, Acquisitions, and Complex Financial Structures","(1, 1)",Accounting,,
ACCT 2640,Climate and Financial Markets,"(0, 1)",Accounting,,
ACCT 2700,Forensic Analytics,"(1, 1)",Accounting,,
ACCT 2900,Accounting for Entrepreneurs,"(1, 1)",Accounting,,
ACCT 2970,Taxes and Business Strategy,"(1, 1)",Accounting,,
ACCT 3990,Independent Study,"(0, 1)",Accounting,,
ACCT 6110,Fundamentals of Financial Accounting,"(1, 1)",Accounting,,
ACCT 6130,Fundamentals of Financial and Managerial Accounting,"(1, 1)",Accounting,,
ACCT 7060,Cost Management,"(1, 1)",Accounting,,
ACCT 7420,Financial Reporting and Business Analysis,"(0, 1)",Accounting,,
ACCT 7430,"Accounting for Mergers, Acquisitions and Complex Financial Structures","(1, 1)",Accounting,,
ACCT 7470,Financial Disclosure Analytics,"(0, 1)",Accounting,,
ACCT 7471,Financial Disclosure Analytics,"(0, 1)",Accounting,,
ACCT 7640,Climate and Financial Markets,"(0, 1)",Accounting,,
ACCT 7900,Accounting for Entrepreneurs,"(1, 1)",Accounting,,
ACCT 8970,Taxes and Business Strategy,"(0, 1)",Accounting,,
ACCT 9300,Empirical Design in Accounting Research,"(1, 1)",Accounting,,
ACCT 9400,Research in Accounting I,"(1, 1)",Accounting,,
ACCT 9410,Research in Accounting II,"(1, 1)",Accounting,,
ACCT 9420,Research in Accounting III,"(1, 1)",Accounting,,
ACCT 9430,Research in Accounting IV,"(1, 1)",Accounting,,
ACCT 9810,Workshop Colloquium I,"(1, 1)",Accounting,,
ACCT 9820,Workshop Colloquium II,"(1, 1)",Accounting,,
AFRC 0008,Sociology of the Black Community,"(1, 1)",Africana Studies,,
AFRC 0010,Homelessness & Urban Inequality,"(1, 1)",Africana Studies,,
AFRC 0012,Study of an African American Author,"(1, 1)",Africana Studies,,
AFRC 0013,"First-Year Seminar: Race, Class & Punishment","(1, 1)",Africana Studies,,
AFRC 0015,Race and Identity: Coming of Age in 20th Century America,"(1, 1)",Africana Studies,,
AFRC 0016,First Year Seminar - Black Spiritual Journeys: Modern African American,"(1, 1)",Africana Studies,,
AFRC 0019,"Visions of America: Plural Nations, Places and Ideals","(1, 1)",Africana Studies,,
AFRC 0030,First-Year Seminar: Africa in World History,"(1, 1)",Africana Studies,,
AFRC 0081,Decolonizing French Food,"(1, 1)",Africana Studies,,
AFRC 0082,Caribbean Literature,"(1, 1)",Africana Studies,,
AFRC 0100,African Language Tutorial I: Beginning Level I,"(1, 1)",Africana Studies,,
AFRC 0116,American Race: A Philadelphia Story (SNF Paideia Program Course),"(1, 1)",Africana Studies,,
AFRC 0300,Africa Before 1800,"(1, 1)",Africana Studies,,
AFRC 0320,First Year Seminar: Black Queer Traditions,"(1, 1)",Africana Studies,,
AFRC 0350,Africa Since 1800,"(1, 1)",Africana Studies,,
AFRC 0400,Colonial Latin America,"(1, 1)",Africana Studies,,
AFRC 0496,Malagasy (Elementary II/Intermediate II): Language in a Cultural Context,"(1, 1)",Africana Studies,,
AFRC 0521,Benjamin Franklin Seminar: 18th-Century Slavery and Abolition,"(1, 1)",Africana Studies,,
AFRC 1000,Introduction to Sociology,"(1, 1)",Africana Studies,,
AFRC 1001,Introduction to Africana Studies,"(1, 1)",Africana Studies,,
AFRC 1002,Introduction to Africa,"(1, 1)",Africana Studies,,
AFRC 1060,Race and Ethnic Relations,"(1, 1)",Africana Studies,,
AFRC 1090,Urban Sociology,"(1, 1)",Africana Studies,,
AFRC 1092,Contemporary American Literature,"(1, 1)",Africana Studies,,
AFRC 1100,American Jesus,"(1, 1)",Africana Studies,,
AFRC 1115,American Race: A Philadelphia Story (SNF Paideia Program Course),"(1, 1)",Africana Studies,,
AFRC 1117,African American Religion,"(1, 1)",Africana Studies,,
AFRC 1119,History of American Law to 1877,"(1, 1)",Africana Studies,,
AFRC 1120,Religious Ethics and Modern Society,"(1, 1)",Africana Studies,,
AFRC 1121,The American South,"(1, 1)",Africana Studies,,
AFRC 1122,"Witches, Rebels, and Prophets: People on the Margins in Early America","(1, 1)",Africana Studies,,
AFRC 1123,Law and Society,"(1, 1)",Africana Studies,,
AFRC 1130,Contemporary African Politics,"(1, 1)",Africana Studies,,
AFRC 1151,"Race, Space and Place in American History","(1, 1)",Africana Studies,,
AFRC 1160,Caribbean Culture and Politics,"(1, 1)",Africana Studies,,
AFRC 1166,A Nation of Immigrants Reconsidered,"(1, 1)",Africana Studies,,
AFRC 1169,History of American Law Since 1877,"(1, 1)",Africana Studies,,
AFRC 1172,"Bodies, Race and Rights: Sex and Citizenship in Modern American History","(1, 1)",Africana Studies,,
AFRC 1176,African American History 1550-1876,"(1, 1)",Africana Studies,,
AFRC 1177,African American History 1876 to Present,"(1, 1)",Africana Studies,,
AFRC 1187,The History of Women and Men of African Descent at the University of Penn,"(1, 1)",Africana Studies,,
AFRC 1200,African-American Literature,"(1, 1)",Africana Studies,,
