courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AAF 150,Introduction to Afro-American History,,Africana Studies,,
AAF 150H,Honors Section of HIS/AAF 150: Intro Afro-American History,,Africana Studies,,
AAF 201,Introduction to Africana Studies,,Africana Studies,,
AAF 202,Introduction to Afro-American Culture,,Africana Studies,,
AAF 205,Early African Civilizations,,Africana Studies,,
AAF 206,Free Women of Color in the Atlantic World,,Africana Studies,,
AAF 230,Black Lives Matter Movement,,Africana Studies,,
AAF 235,"Talent Development at URI: History, Legacy, Impact",,Africana Studies,,
AAF 239,Leadership in the African Diaspora,,Africana Studies,,
AAF 240,Race and Ethnicity,,Africana Studies,,
AAF 247,Introduction to Literature of the African Diaspora,,Africana Studies,,
AAF 248,African-American Literature from 1900 to the Present,,Africana Studies,,
AAF 300,Special Topics in African and Afro-American Studies,,Africana Studies,,
AAF 309,"Hip Hop, Gender and Sexuality",,Africana Studies,,
AAF 352,Black Images in Film,,Africana Studies,,
AAF 353,Indigenous and African Slavery in the Northeast,,Africana Studies,,
AAF 355,Black Women in the U.S.: Colonial Times to the Present,,Africana Studies,,
AAF 359,History of Slavery in America,,Africana Studies,,
AAF 361,Afrofuturism and Black Futures,,Africana Studies,,
AAF 362,African-American Literary Genres,,Africana Studies,,
AAF 364,Contemporary African Literature,,Africana Studies,,
AAF 366,Twentieth-Century Black Politics and Protest,,Africana Studies,,
AAF 367,"Comics, Graphic Novels and Black Culture",,Africana Studies,,
AAF 372,African-Americans and the Legal System,,Africana Studies,,
AAF 380,Civil Rights Movement,,Africana Studies,,
AAF 388,History of Sub-Saharan Africa,,Africana Studies,,
AAF 390,Directed Study or Research,,Africana Studies,,
AAF 399,Introduction to Multicultural Psychology,,Africana Studies,,
AAF 400,Africana Special Topics,,Africana Studies,,
AAF 401,The Earl N. Smith III Cabo Verde Study Abroad Program,,Africana Studies,,
AAF 407,"Hip Hop as Culture, Social Commentary and Praxis",,Africana Studies,,
AAF 408,African Governments and Politics,,Africana Studies,,
AAF 408H,Honors Section of PSC/AAF 408-African Governments & Politics,,Africana Studies,,
