courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACAD 174,Innovators Forum,"(4, 4)","Arts, Technology And The Business Of Innovation",,
ACAD 176,Rapid Visualization,"(4, 4)","Arts, Technology And The Business Of Innovation",,
ACAD 177,Digital Toolbox: Design,"(2, 2)","Arts, Technology And The Business Of Innovation",,
ACAD 178,Digital Toolbox: Motion Graphics,"(2, 2)","Arts, Technology And The Business Of Innovation",,
ACAD 179,Digital Toolbox: Excel for Business Management,"(2, 2)","Arts, Technology And The Business Of Innovation",,
ACAD 180,Digital Toolbox: Audio and Video,"(2, 2)","Arts, Technology And The Business Of Innovation",,
ACAD 181g,Disruptive Innovation,"(4, 4)","Arts, Technology And The Business Of Innovation",,
ACAD 182,Case Studies in Innovation,"(4, 4)","Arts, Technology And The Business Of Innovation",,
ACAD 186,Digital Toolbox: Computational Visual Design,"(2, 2)","Arts, Technology And The Business Of Innovation",,
ACAD 187,Digital Toolbox: 3D Design,"(2, 2)","Arts, Technology And The Business Of Innovation",,
ACAD 188,Modeling Products with Solidworks,"(2, 2)","Arts, Technology And The Business Of Innovation",,
ACAD 189,3D Tools for Product Design,"(2, 2)","Arts, Technology And The Business Of Innovation",,
ACAD 190,Making with Materials,"(2, 2)","Arts, Technology And The Business Of Innovation",,
ACAD 200,Advanced Sound and Audio,"(4, 4)","Arts, Technology And The Business Of Innovation",,
ACAD 202,Modeling Physical Systems,"(4, 4)","Arts, Technology And The Business Of Innovation",,
ACAD 203,Statics,"(4, 4)","Arts, Technology And The Business Of Innovation",,
ACAD 204,Mechanics of Materials and Structures,"(4, 4)","Arts, Technology And The Business Of Innovation",,
ACAD 206,Communication and Culture,"(4, 4)","Arts, Technology And The Business Of Innovation",,
ACAD 207,Narrative Technology and the Human Experience,"(4, 4)","Arts, Technology And The Business Of Innovation",,
ACAD 217,Extended Reality Design,"(4, 4)","Arts, Technology And The Business Of Innovation",,
ACAD 220,Introduction to Data Innovation and Analytics,"(4, 4)","Arts, Technology And The Business Of Innovation",,
ACAD 222,Introduction to Machine Intelligence,"(4, 4)","Arts, Technology And The Business Of Innovation",,
ACAD 230,Introduction to Interactive Physical Computing,"(4, 4)","Arts, Technology And The Business Of Innovation",,
ACAD 240,Materials: Denim to Nanotubes,"(4, 4)","Arts, Technology And The Business Of Innovation",,
ACAD 245,Fundamentals of Product Design,"(4, 4)","Arts, Technology And The Business Of Innovation",,
ACAD 255,Advancing Journalism with Human-Centered Design,"(4, 4)","Arts, Technology And The Business Of Innovation",,
