courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACG 5205,Advanced Financial Accounting,"(3, 3)",Accounting: General,Graduate,
ACG 5375,Valuation of Closely Held Businesses,"(3, 3)",Accounting: General,Graduate,
ACG 5505,Governmental and Not-For-Profit Accounting,"(3, 3)",Accounting: General,Graduate,
ACG 5675,Internal and Operational Auditing,"(3, 3)",Accounting: General,Graduate,
ACG 5841,Analytics in Accounting,"(3, 3)",Accounting: General,Graduate,
ACG 6026,Accounting Concepts for Managers,"(3, 3)",Accounting: General,Graduate,
ACG 6346,Contemporary Issues in Managerial Accounting,"(3, 3)",Accounting: General,Graduate,
ACG 6419,Data Wrangling and Visualization for Accounting Professionals,"(3, 3)",Accounting: General,Graduate,
ACG 6457,"Accounting Systems Audit, Control, and Security","(3, 3)",Accounting: General,Graduate,
ACG 6636,Contemporary Issues in Auditing,"(3, 3)",Accounting: General,Graduate,
ACG 6686,Fraud Examination,"(3, 3)",Accounting: General,Graduate,
ACG 6687,Fraud and Financial Reporting,"(3, 3)",Accounting: General,Graduate,
ACG 6688,Forensic Accounting and Legal Environment,"(3, 3)",Accounting: General,Graduate,
ACG 6846C,Innovation and Analytics in Accounting,"(3, 3)",Accounting: General,Graduate,
ACG 6875,Financial Reporting and Professional Issues,"(3, 3)",Accounting: General,Graduate,
ACG 6905,Independent Study,"(1, 12)",Accounting: General,Graduate,
ACG 6915,Directed Research,"(1, 12)",Accounting: General,Graduate,
ACG 6936,Selected Topics in Accounting,"(1, 4)",Accounting: General,Graduate,
ACG 7156,Seminar in Financial Accounting,"(3, 3)",Accounting: General,Graduate,
ACG 7157,Seminar in Archival Accounting Research,"(3, 3)",Accounting: General,Graduate,
ACG 7399,Seminar in Behavioral Accounting Research,"(3, 3)",Accounting: General,Graduate,
ACG 7415,Seminar in Accounting Information Systems,"(3, 3)",Accounting: General,Graduate,
ACG 7646,Seminar in Auditing,"(3, 3)",Accounting: General,Graduate,
ACG 7936,Seminar in Special Topics in Accounting,"(1, 4)",Accounting: General,Graduate,
ACG 7939,Executive Issues in Accounting,"(2, 4)",Accounting: General,Graduate,
ACG 7980,Dissertation in Accounting,"(2, 21)",Accounting: General,Graduate,
ADE 6070,International Adult Education,"(3, 3)",Adult Education,Graduate,
ADE 6080,Adult Education in the United States,"(3, 3)",Adult Education,Graduate,
ADE 6160,Program Management in Adult Education,"(3, 3)",Adult Education,Graduate,
ADE 6161,Curriculum Construction in Adult Education,"(3, 3)",Adult Education,Graduate,
ADE 6198,Effective Continuing Education for Professionals,"(3, 3)",Adult Education,Graduate,
ADE 6360,Methods of Teaching Adult Education,"(3, 3)",Adult Education,Graduate,
ADE 6370,Human Resource Development,"(3, 3)",Adult Education,Graduate,
ADE 6385,The Adult Learner,"(3, 3)",Adult Education,Graduate,
ADE 6389,Adult Learning and Cognitive Styles,"(3, 3)",Adult Education,Graduate,
ADE 6906,Independent Study,"(1, 19)",Adult Education,Graduate,
ADE 6931,Selected Topics in ADE and HRD,"(1, 5)",Adult Education,Graduate,
ADE 6966,Final Master’s Seminar,"(3, 3)",Adult Education,Graduate,
ADE 7388,Adult Development and Learning,"(3, 3)",Adult Education,Graduate,
