courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AEM 030,Grad Wrtg/Speaking Pract,0,Academic English Multi Student,,
AEM 100,Success at USF:Univ/Class Cult,3,Academic English Multi Student,,
AEM 101,US Cult:Understand/Neg New Lan,3,Academic English Multi Student,,
AEM 102,Fluency Development,4,Academic English Multi Student,,
AEM 103,Strat. for Academic Writing,1,Academic English Multi Student,,
AEM 105,Vocabulary &amp; Idioms I,2,Academic English Multi Student,,
AEM 110,Academic Reading/Writing I,8,Academic English Multi Student,,
AEM 111,Academic Oral Communication I,4,Academic English Multi Student,,
AEM 112,Pronunciation I,2,Academic English Multi Student,,
AEM 120,Academic Reading/Writing II,8,Academic English Multi Student,,
AEM 121,Academic Oral Comm II,4,Academic English Multi Student,,
AEM 122,Academic Oral Comm III,4,Academic English Multi Student,,
AEM 123,Grammar,4,Academic English Multi Student,,
AEM 124,Academic Reading/Writing III,8,Academic English Multi Student,,
AEM 128,English for Business,4,Academic English Multi Student,,
AEM 153,Legal English,4,Academic English Multi Student,,
AEM 195,FYS: First Year Seminar,4,Academic English Multi Student,,
AEM 298,Directed Study,1-8,Academic English Multi Student,,
AEM 601,Grad Wrtg/Speaking Pract,3,Academic English Multi Student,,
ASP 110,Foreword: Math,1,Academic Support Services,,
ASP 111,Foreword: Writing,1,Academic Support Services,,
ASP 112,Foreword: Contemporary Issues,1,Academic Support Services,,
ASP 113,Foreword: Computer Literacy,1,Academic Support Services,,
ASP 114,MSP Elective,1,Academic Support Services,,
ASP 115,MSP 1st Gen Success Strat,1,Academic Support Services,,
BACT 320,Intermediate Accounting I,4,Accounting (BSBA),,
BACT 321,Intermediate Accounting II,4,Accounting (BSBA),,
BACT 322,Cost Accounting,4,Accounting (BSBA),,
BACT 323,Federal Taxation I,2,Accounting (BSBA),,
BACT 328,Accounting Ethics,4,Accounting (BSBA),,
BACT 329,Accounting Data Analytics,4,Accounting (BSBA),,
BACT 420,Auditing,4,Accounting (BSBA),,
BACT 422,Federal Taxation II,2,Accounting (BSBA),,
BACT 429,Contemporary Accounting Topics,4,Accounting (BSBA),,
BACT 498,Special Topic Accounting,2-4,Accounting (BSBA),,
BACT 499,Accounting Directed Study,1-4,Accounting (BSBA),,
MSAS 600,Financial Accounting,2,Accounting (MSA),,
MSAS 601,Intermediate Accounting I,2,Accounting (MSA),,
MSAS 602,Intermediate Accounting II,2,Accounting (MSA),,
MSAS 603,Auditing I,2,Accounting (MSA),,
MSAS 604,Auditing II,2,Accounting (MSA),,
MSAS 605,Advanced Accounting,3,Accounting (MSA),,
MSAS 606,Accounting Analytics,2,Accounting (MSA),,
MSAS 607,Cost Accounting,2,Accounting (MSA),,
MSAS 608,Accounting Research &amp; Communications,2,Accounting (MSA),,
MSAS 609,Tax,2,Accounting (MSA),,
MSAS 610,Financial Statement Analysis,2,Accounting (MSA),,
MSAS 611,Fraud Accounting,2,Accounting (MSA),,
MSAS 612,Accounting Ethics,3,Accounting (MSA),,
MSAS 613,AI in Accounting,2,Accounting (MSA),,
MSAS 614,Tax II,2,Accounting (MSA),,
MSAS 698,Special Topic Accounting,1-4,Accounting (MSA),,
MSAS 699,Directed Study Accounting,1-4,Accounting (MSA),,
ADVT 101,Advertising &amp; Consumer Culture,4,Advertising,,
ADVT 102,Advertising and Persuasion,4,Advertising,,
ADVT 201,Fund. of Creative Strategy,4,Advertising,,
ADVT 202,Fund. of Creative Development,4,Advertising,,
ADVT 301,Social Media,4,Advertising,,
ADVT 302,Innovation in Advertising,4,Advertising,,
ADVT 303,Media Planning and Buying,4,Advertising,,
ADVT 320,Copywriting,4,Advertising,,
ADVT 388,Controversies in Advertising,4,Advertising,,
ADVT 390,Special Topics,2-4,Advertising,,
ADVT 398,Directed Study,1-4,Advertising,,
ADVT 400,Portfolios &amp; Presentation,4,Advertising,,
ADVT 401,Advertising Internship,4,Advertising,,
ADVT 402,Industry Internship,4,Advertising,,
ADVT 411,Campaign Project I,4,Advertising,,
ADVT 412,Campaign Project II,4,Advertising,,
AAS 100,Black Activists &amp; Visionaries,4,African American Studies,,
AAS 150,Black Heritage Immersion Trip,0-2,African American Studies,,
AAS 200,Community Engagement: Fillmore,4,African American Studies,,
AAS 390,Special Topics,1-4,African American Studies,,
AAS 398,Directed Study,1-4,African American Studies,,
AAS 400,Black Scholars Capstone Part I,2,African American Studies,,
