courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 2010,Financial Accounting Principles,"(3, 3)",Accounting,,
ACCT 2020,Managerial Accounting Principles,"(3, 3)",Accounting,,
ACCT 3110,Intermediate Financial Accounting and Reporting I,"(3, 3)",Accounting,,
ACCT 3120,Intermediate Financial Accounting and Reporting II,"(3, 3)",Accounting,,
ACCT 3310,Intermediate Managerial Accounting,"(3, 3)",Accounting,,
ACCT 3400,Auditing Principles and Techniques,"(3, 3)",Accounting,,
ACCT 3510,Business Taxation,"(3, 3)",Accounting,,
ACCT 4250,Accounting Internship,"(3, 3)",Accounting,,
ACCT 4500,Accounting Information Systems,"(3, 3)",Accounting,,
ACCT 4700,Seminar in Accounting,"(3, 3)",Accounting,,
ACCT 4900,Independent Research and Readings,"(1, 3)",Accounting,,
ACCT 4950,Senior Honors Thesis/Project (DELETED FALL 2025),"(3, 3)",Accounting,,
ACCT 5104,Accounting Analytics,"(3, 3)",Accounting,,
ACCT 5105,Taxes and Business Strategy,"(3, 3)",Accounting,,
ACCT 5200,Advanced Financial Accounting,"(3, 3)",Accounting,,
ACCT 5250,Accounting Research,"(3, 3)",Accounting,,
ACCT 5300,Advanced Accounting Internship,"(3, 3)",Accounting,,
ACCT 5310,Advanced Managerial Accounting Topics,"(3, 3)",Accounting,,
ACCT 5420,Corporate Taxation,"(3, 3)",Accounting,,
ACCT 5440,Partnership Taxation,"(3, 3)",Accounting,,
ACCT 5460,Advanced Tax Topics,"(3, 3)",Accounting,,
ACCT 5510,Advanced Auditing,"(3, 3)",Accounting,,
ACCT 5520,Individual Taxation,"(3, 3)",Accounting,,
ACCT 5540,Fraud Examination and Forensic Accounting,"(3, 3)",Accounting,,
ACCT 5620,Financial Statement Analysis and Valuation,"(3, 3)",Accounting,,
ACCT 5850,Strategic Accounting Consulting,"(3, 3)",Accounting,,
ACCT 6010,Financial and Managerial Accounting,"(3, 3)",Accounting,,
ACCT 6100,Financial Reporting and the SEC,"(3, 3)",Accounting,,
ACCT 6101,Advanced Strategic Cost Management,"(3, 3)",Accounting,,
ACCT 6102,Research and Valuation,"(3, 3)",Accounting,,
ACCT 6103,Accounting Information and the Capital Markets,"(3, 3)",Accounting,,
ACCT 6104,Accounting Analytics,"(3, 3)",Accounting,,
ACCT 6105,Taxes and Business Strategy,"(3, 3)",Accounting,,
ACCT 6106,"International Business, Finance, and Accounting","(3, 3)",Accounting,,
ACCT 6107,Corporate Governance,"(3, 3)",Accounting,,
ACCT 6108,Leadership for Financial Executives,"(3, 3)",Accounting,,
ACCT 6109,Financial Strategy,"(3, 3)",Accounting,,
ACCT 6200,Advanced Financial Accounting,"(3, 3)",Accounting,,
ACCT 6250,Accounting Research,"(3, 3)",Accounting,,
ACCT 6300,Advanced Accounting Internship,"(3, 3)",Accounting,,
ACCT 6310,Advanced Managerial Accounting Topics,"(3, 3)",Accounting,,
ACCT 6350,Accounting for Management Decision Making,"(3, 3)",Accounting,,
ACCT 6420,Corporate Taxation,"(3, 3)",Accounting,,
ACCT 6440,Partnership Taxation,"(3, 3)",Accounting,,
ACCT 6460,Advanced Tax Topics,"(3, 3)",Accounting,,
ACCT 6500,Advanced Accounting Information Systems,"(3, 3)",Accounting,,
ACCT 6510,Advanced Auditing,"(3, 3)",Accounting,,
ACCT 6540,Fraud Examination and Forensic Accounting,"(3, 3)",Accounting,,
ACCT 6560,Business Law and Professional Responsibilities,"(3, 3)",Accounting,,
ACCT 6600,Information Systems Auditing and Control,"(3, 3)",Accounting,,
ACCT 6620,Financial Statement Analysis and Valuation,"(3, 3)",Accounting,,
ACCT 6700,Advanced Accounting Topics,"(3, 3)",Accounting,,
ACCT 6800,Accounting Communications and Professional Conduct,"(3, 3)",Accounting,,
ACCT 6850,Strategic Accounting Consulting,"(3, 3)",Accounting,,
ACCT 6900,Independent Reading and Research,"(1, 3)",Accounting,,
ACCT 6960,Professional Paper,"(1, 3)",Accounting,,
ACCT 6990,Continuing Graduate Advisement,"(1, 3)",Accounting,,
AS 1010,Department of the Air Force (DAF) Professionalism,"(1, 1)",Aerospace Studies,,
AS 1020,Competition and Security,"(1, 1)",Aerospace Studies,,
AS 1110,Leadership Laboratory I,"(1, 1)",Aerospace Studies,,
AS 1120,Leadership Laboratory I,"(1, 1)",Aerospace Studies,,
AS 2010,Team and Leadership Fundamentals I,"(1, 1)",Aerospace Studies,,
AS 2020,Team and Leadership Fundamentals II,"(1, 1)",Aerospace Studies,,
AS 2110,Leadership Laboratory II,"(1, 1)",Aerospace Studies,,
AS 2120,Leadership Laboratory II,"(1, 1)",Aerospace Studies,,
