courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 2301,Principles Of Accounting I,"(3, 3)",Accounting,,
ACCT 2302,Principles Of Accounting Ii,"(3, 3)",Accounting,,
ACCT 2303,Accounting And Compliance Of Non-Profit Organizations,"(3, 3)",Accounting,,
ACCT 3133,Professionalism In Accounting,"(1, 1)",Accounting,,
ACCT 3303,Introduction To Accounting Information Systems,"(3, 3)",Accounting,,
ACCT 3309,Accounting For Managers,"(3, 3)",Accounting,,
ACCT 3311,Financial Accounting I,"(3, 3)",Accounting,,
ACCT 3312,Financial Accounting Ii,"(3, 3)",Accounting,,
ACCT 3315,Principles Of Federal Income Tax,"(3, 3)",Accounting,,
ACCT 3316,Data Analytics For Accounting,"(3, 3)",Accounting,,
ACCT 4191,Studies In Accounting,"(1, 1)",Accounting,,
ACCT 4193,Accounting Internship,"(1, 1)",Accounting,,
ACCT 4291,Studies In Accounting,"(2, 2)",Accounting,,
ACCT 4302,Cost Analysis And Decision Making,"(3, 3)",Accounting,,
ACCT 4304,Management Planning And Control,"(3, 3)",Accounting,,
ACCT 4318,Auditing,"(3, 3)",Accounting,,
ACCT 4319,Financial Accounting Iii,"(3, 3)",Accounting,,
ACCT 4325,Governmental Accounting,"(3, 3)",Accounting,,
ACCT 4331,Seminar In Accounting,"(3, 3)",Accounting,,
ACCT 4332,Internal Auditing I,"(3, 3)",Accounting,,
ACCT 4333,Internal Auditing Ii,"(3, 3)",Accounting,,
ACCT 4340,Study Of Federal Income Tax For Entities Other Than Individuals,"(3, 3)",Accounting,,
ACCT 4380,Ethics In Accounting,"(3, 3)",Accounting,,
ACCT 4391,Studies In Accounting,"(3, 3)",Accounting,,
ACCT 4393,Accounting Internship,"(3, 3)",Accounting,,
ACCT 5133,Professionalism In Accounting,"(1, 1)",Accounting,,
ACCT 5199,Graduate Accounting Internship,"(1, 1)",Accounting,,
ACCT 5299,Graduate Accounting Internship,"(2, 2)",Accounting,,
ACCT 5301,Accounting Analysis I,"(3, 3)",Accounting,,
ACCT 5302,Accounting Analysis Ii,"(3, 3)",Accounting,,
ACCT 5307,Measurement And Analysis For Business Decision-Making,"(3, 3)",Accounting,,
ACCT 5311,Financial Accounting I,"(3, 3)",Accounting,,
ACCT 5312,Financial Accounting Ii,"(3, 3)",Accounting,,
ACCT 5313,Software Tools,"(3, 3)",Accounting,,
ACCT 5314,Principles Of Federal Income Tax,"(3, 3)",Accounting,,
ACCT 5315,Accounting Systems Analysis,"(3, 3)",Accounting,,
ACCT 5316,Auditing Concepts And Practices,"(3, 3)",Accounting,,
ACCT 5317,Cost Analysis And Decision Making,"(3, 3)",Accounting,,
ACCT 5318,Studies In Auditing,"(3, 3)",Accounting,,
ACCT 5319,Financial Accounting Iii,"(3, 3)",Accounting,,
ACCT 5320,Governmental And Nonprofit Accounting,"(3, 3)",Accounting,,
ACCT 5321,Research In Accounting Issues,"(3, 3)",Accounting,,
ACCT 5322,Accounting For Management Planning And Control,"(3, 3)",Accounting,,
ACCT 5324,Financial Statement Analytics And Business Valuation,"(3, 3)",Accounting,,
ACCT 5327,Contemporary Issues In Accounting Theory,"(3, 3)",Accounting,,
ACCT 5329,Advanced Accounting Information Systems And Analytics,"(3, 3)",Accounting,,
ACCT 5330,International Accounting And Financial Reporting,"(3, 3)",Accounting,,
ACCT 5332,Operational Auditing,"(3, 3)",Accounting,,
ACCT 5335,Accounting Analytics,"(3, 3)",Accounting,,
ACCT 5339,Tax Planning And Research,"(3, 3)",Accounting,,
ACCT 5340,Study Of Federal Income Tax For Entities Other Than Individuals,"(3, 3)",Accounting,,
ACCT 5341,Taxation Of Passthrough Entities,"(3, 3)",Accounting,,
ACCT 5342,Tax Problems Of Corporations And Shareholders,"(3, 3)",Accounting,,
ACCT 5343,Tax Problems Of Transactions In Real Estate,"(3, 3)",Accounting,,
ACCT 5345,State And Local Taxation,"(3, 3)",Accounting,,
ACCT 5346,Tax Practice And Procedure,"(3, 3)",Accounting,,
ACCT 5347,Federal Taxation Of Gifts And Estates,"(3, 3)",Accounting,,
ACCT 5352,Information Systems Audit And Control,"(3, 3)",Accounting,,
ACCT 5353,Statistical Techniques Used In Accounting,"(3, 3)",Accounting,,
ACCT 5366,Fraud Examination,"(3, 3)",Accounting,,
ACCT 5372,Federal Taxation Of International Transactions,"(3, 3)",Accounting,,
ACCT 5380,Ethics In Accounting,"(3, 3)",Accounting,,
ACCT 5382,Independent Studies In Accounting,"(3, 3)",Accounting,,
ACCT 5392,Selected Topics In Accounting,"(3, 3)",Accounting,,
ACCT 5398,Thesis,"(3, 3)",Accounting,,
ACCT 5399,Graduate Accounting Internship,"(3, 3)",Accounting,,
ACCT 5698,Thesis,"(6, 6)",Accounting,,
ACCT 6101,Accounting Research Colloquium,"(1, 1)",Accounting,,
ACCT 6309,Seminar In Accounting Research I,"(3, 3)",Accounting,,
ACCT 6310,Seminar In Accounting Research Ii,"(3, 3)",Accounting,,
ACCT 6311,Seminar In Accounting Research Iii,"(3, 3)",Accounting,,
ACCT 6312,Seminar In Accounting Research Iv,"(3, 3)",Accounting,,
ACCT 6313,Seminar In Accounting Research V,"(3, 3)",Accounting,,
ACCT 6390,Special Topics In Accounting Research,"(3, 3)",Accounting,,
ADVT 2337,Introduction To Advertising,"(3, 3)",Advertising,,
ADVT 3304,Strategic Communication I,"(3, 3)",Advertising,,
ADVT 3305,Advertising Media,"(3, 3)",Advertising,,
ADVT 3306,Strategic Communication Ii,"(3, 3)",Advertising,,
ADVT 3308,Digital Advertising Design,"(3, 3)",Advertising,,
ADVT 4300,Digital Integrated Marketing Communication (Imc) Management,"(3, 3)",Advertising,,
ADVT 4301,Advertising And Imc Campaigns,"(3, 3)",Advertising,,
ADVT 4391,Conference Course,"(3, 3)",Advertising,,
ADVT 4393,Special Topics,"(3, 3)",Advertising,,
ADVT 4395,Professional Internship,"(3, 3)",Advertising,,
AE 5100,Preparatory Course For Aerospace Engineering,"(1, 1)",Aerospace Engineering,,
AE 5101,Graduate Seminar,"(1, 1)",Aerospace Engineering,,
AE 5191,Advanced Studies In Aerospace Engineering,"(1, 1)",Aerospace Engineering,,
AE 5197,Research In Aerospace Engineering,"(1, 1)",Aerospace Engineering,,
AE 5200,Preparatory Course For Aerospace Engineering,"(2, 2)",Aerospace Engineering,,
AE 5291,Advanced Studies In Aerospace Engineering,"(2, 2)",Aerospace Engineering,,
AE 5297,Research In Aerospace Engineering,"(2, 2)",Aerospace Engineering,,
AE 5300,Preparatory Course For Aerospace Engineering,"(3, 3)",Aerospace Engineering,,
AE 5301,Advanced Topics In Aerospace Engineering,"(3, 3)",Aerospace Engineering,,
AE 5302,Advanced Flight Mechanics,"(3, 3)",Aerospace Engineering,,
AE 5303,Classical Methods Of Control Systems Analysis And Synthesis,"(3, 3)",Aerospace Engineering,,
AE 5305,Dynamic Systems Modeling,"(3, 3)",Aerospace Engineering,,
AE 5310,Finite Element Methods,"(3, 3)",Aerospace Engineering,,
AE 5311,Structural Dynamics,"(3, 3)",Aerospace Engineering,,
AE 5312,Continuum Mechanics,"(3, 3)",Aerospace Engineering,,
AE 5313,Fluid Dynamics,"(3, 3)",Aerospace Engineering,,
AE 5315,Fundamentals Of Composites,"(3, 3)",Aerospace Engineering,,
AE 5320,Design Optimization,"(3, 3)",Aerospace Engineering,,
AE 5322,Aeroelasticity,"(3, 3)",Aerospace Engineering,,
AE 5323,Engineering Research Methods,"(3, 3)",Aerospace Engineering,,
AE 5325,Combustion,"(3, 3)",Aerospace Engineering,,
AE 5326,Air-Breathing Propulsion,"(3, 3)",Aerospace Engineering,,
AE 5327,Computational Aerodynamics I,"(3, 3)",Aerospace Engineering,,
AE 5328,Computational Aerodynamics Ii,"(3, 3)",Aerospace Engineering,,
AE 5329,Additive Manufacturing,"(3, 3)",Aerospace Engineering,,
AE 5331,Analytic Methods In Engineering,"(3, 3)",Aerospace Engineering,,
AE 5332,Engineering Analysis,"(3, 3)",Aerospace Engineering,,
AE 5333,Thermal Phenomena In Microsystems,"(3, 3)",Aerospace Engineering,,
AE 5335,Optimal Control Of Dynamic Sys,"(3, 3)",Aerospace Engineering,,
AE 5336,Optimal Estimation Of Dynamic Systems,"(3, 3)",Aerospace Engineering,,
AE 5337,Introduction To Robotics,"(3, 3)",Aerospace Engineering,,
AE 5338,Analytical & Computational Dynamics,"(3, 3)",Aerospace Engineering,,
AE 5339,Intermediate Mechanics Of Materials,"(3, 3)",Aerospace Engineering,,
AE 5341,Control System Components,"(3, 3)",Aerospace Engineering,,
AE 5342,Gas Dynamics,"(3, 3)",Aerospace Engineering,,
AE 5345,Numerical Heat Transfer And Fluid Flow,"(3, 3)",Aerospace Engineering,,
AE 5347,Rocket Propulsion,"(3, 3)",Aerospace Engineering,,
AE 5348,Hypersonic Propulsion,"(3, 3)",Aerospace Engineering,,
AE 5350,Classical Aerodynamics,"(3, 3)",Aerospace Engineering,,
AE 5362,"Guidance, Navigation, And Control Of Aerospace Vehicles","(3, 3)",Aerospace Engineering,,
AE 5363,Introduction To Rotorcraft Analysis,"(3, 3)",Aerospace Engineering,,
AE 5364,Introduction To Aerodynamics Of Rotorcraft,"(3, 3)",Aerospace Engineering,,
AE 5365,Introduction To Helicopter And Tiltrotor Simulation,"(3, 3)",Aerospace Engineering,,
AE 5367,High-Speed Aircraft And Space Access Vehicle Design,"(3, 3)",Aerospace Engineering,,
AE 5368,Flight Vehicle Synthesis And Systems Engineering,"(3, 3)",Aerospace Engineering,,
AE 5372,Parametric Sizing Of High-Speed Aircraft,"(3, 3)",Aerospace Engineering,,
AE 5374,Nonlinear Systems Analysis And Controls,"(3, 3)",Aerospace Engineering,,
AE 5378,Introduction To Unmanned Vehicle Systems,"(3, 3)",Aerospace Engineering,,
AE 5379,Unmanned Vehicle System Development,"(3, 3)",Aerospace Engineering,,
AE 5380,Design Of Digital Control Systems,"(3, 3)",Aerospace Engineering,,
AE 5381,Boundary Layers,"(3, 3)",Aerospace Engineering,,
AE 5382,Advanced Astronautics,"(3, 3)",Aerospace Engineering,,
AE 5383,Hypersonic Flow,"(3, 3)",Aerospace Engineering,,
AE 5385,High Temperature Gasdynamics,"(3, 3)",Aerospace Engineering,,
AE 5386,Wind & Ocean Current Energy Harvesting Fundamentals,"(3, 3)",Aerospace Engineering,,
AE 5391,Advanced Studies In Aerospace Engineering,"(3, 3)",Aerospace Engineering,,
AE 5397,Research In Aerospace Engineering,"(3, 3)",Aerospace Engineering,,
AE 5398,Thesis,"(3, 3)",Aerospace Engineering,,
AE 5400,Preparatory Course For Aerospace Engineering,"(4, 4)",Aerospace Engineering,,
AE 5698,Thesis,"(6, 6)",Aerospace Engineering,,
AE 6196,Aerospace Engineering Internship,"(1, 1)",Aerospace Engineering,,
AE 6197,Research In Aerospace Engineering,"(1, 1)",Aerospace Engineering,,
AE 6297,Research In Aerospace Engineering,"(2, 2)",Aerospace Engineering,,
AE 6299,Dissertation,"(2, 2)",Aerospace Engineering,,
AE 6304,Advanced Mechanics Of Materials,"(3, 3)",Aerospace Engineering,,
AE 6310,Advanced Finite Element Methods,"(3, 3)",Aerospace Engineering,,
AE 6311,Advanced Structural Dynamics,"(3, 3)",Aerospace Engineering,,
AE 6314,Fracture Mechanics,"(3, 3)",Aerospace Engineering,,
AE 6315,Advanced Composites,"(3, 3)",Aerospace Engineering,,
AE 6337,Advanced Robotics,"(3, 3)",Aerospace Engineering,,
AE 6397,Research In Aerospace Engineering,"(3, 3)",Aerospace Engineering,,
AE 6399,Dissertation,"(3, 3)",Aerospace Engineering,,
AE 6697,Research In Aerospace Engineering,"(6, 6)",Aerospace Engineering,,
AE 6699,Dissertation,"(6, 6)",Aerospace Engineering,,
AE 6999,Dissertation,"(9, 9)",Aerospace Engineering,,
AE 7399,Doctoral Degree Completion,"(3, 3)",Aerospace Engineering,,
AS 1121,Foundation Of The United States Air Force,"(1, 1)",Aerospace Studies,,
AS 1122,Foundation Of The United States Air Force,"(1, 1)",Aerospace Studies,,
AS 1181,Leadership Laboratory,"(1, 1)",Aerospace Studies,,
AS 2121,Team And Leadership Fundamentals,"(1, 1)",Aerospace Studies,,
AS 2122,Team And Leadership Fundamentals,"(1, 1)",Aerospace Studies,,
AS 3301,Leadership Studies,"(3, 3)",Aerospace Studies,,
AS 3311,Leadership Studies,"(3, 3)",Aerospace Studies,,
AS 4301,National Security Affairs/Preparation For Active Duty,"(3, 3)",Aerospace Studies,,
AS 4311,National Security Affairs/Preparation For Active Duty,"(3, 3)",Aerospace Studies,,
ASA 1191,Affiliated Study Abroad,"(1, 1)",Affiliated Studies Abroad,,
ASA 1291,Affiliated Study Abroad,"(2, 2)",Affiliated Studies Abroad,,
ASA 1391,Affiliated Studies Abroad,"(3, 3)",Affiliated Studies Abroad,,
ASA 1491,Affiliated Studies Abroad,"(4, 4)",Affiliated Studies Abroad,,
ASA 1591,Affiliated Studies Abroad,"(5, 5)",Affiliated Studies Abroad,,
ASA 2191,Affiliated Study Abroad,"(1, 1)",Affiliated Studies Abroad,,
ASA 2291,Affiliated Study Abroad,"(2, 2)",Affiliated Studies Abroad,,
ASA 2391,Affiliated Studies Abroad,"(3, 3)",Affiliated Studies Abroad,,
ASA 2491,Affiliated Studies Abroad,"(4, 4)",Affiliated Studies Abroad,,
ASA 2591,Affiliated Studies Abroad,"(5, 5)",Affiliated Studies Abroad,,
ASA 3191,Affiliated Study Abroad,"(1, 1)",Affiliated Studies Abroad,,
ASA 3291,Affiliated Studies Abroad,"(2, 2)",Affiliated Studies Abroad,,
ASA 3391,Affiliated Studies Abroad,"(3, 3)",Affiliated Studies Abroad,,
ASA 3491,Affiliated Studies Abroad,"(4, 4)",Affiliated Studies Abroad,,
ASA 3591,Affiliated Studies Abroad,"(5, 5)",Affiliated Studies Abroad,,
ASA 4191,Affiliated Study Abroad,"(1, 1)",Affiliated Studies Abroad,,
ASA 4291,Affiliated Studies Abroad,"(2, 2)",Affiliated Studies Abroad,,
ASA 4391,Affiliated Studies Abroad,"(3, 3)",Affiliated Studies Abroad,,
ASA 4491,Affiliated Studies Abroad,"(4, 4)",Affiliated Studies Abroad,,
ASA 4591,Affiliated Studies Abroad,"(5, 5)",Affiliated Studies Abroad,,
ASA 4691,Affiliated Study Abroad,"(6, 6)",Affiliated Studies Abroad,,
ASA 5291,Affiliated Studies Abroad,"(2, 2)",Affiliated Studies Abroad,,
ASA 5391,Affiliated Studies Abroad,"(3, 3)",Affiliated Studies Abroad,,
ASA 5491,Affiliated Studies Abroad,"(4, 4)",Affiliated Studies Abroad,,
ASA 5591,Affiliated Studies Abroad,"(5, 5)",Affiliated Studies Abroad,,
ASA 5691,Affiliated Studies Abroad,"(6, 6)",Affiliated Studies Abroad,,
AAST 2300,Introduction To African American Studies,"(3, 3)",American Studies,,
AAST 2303,History And Appreciation Of Hip Hop And R&B Music,"(3, 3)",American Studies,,
AAST 2337,Economics Of Social Issues,"(3, 3)",American Studies,,
AAST 2371,Language In A Multicultural Usa,"(3, 3)",American Studies,,
AAST 3300,"Topics In Gender, Women & Sexuality Studies","(3, 3)",American Studies,,
AAST 3301,Theories Of Human Behavior,"(3, 3)",American Studies,,
AAST 3310,Black Families,"(3, 3)",American Studies,,
AAST 3314,Civil War And Reconstruction,"(3, 3)",American Studies,,
AAST 3317,Diverse Populations,"(3, 3)",American Studies,,
AAST 3319,U,"(3, 3)",American Studies,,
AAST 3320,Black Women In Society,"(3, 3)",American Studies,,
AAST 3321,The Latina Experience,"(3, 3)",American Studies,,
AAST 3322,African American History To 1863,"(3, 3)",American Studies,,
AAST 3323,African American History Since Emancipation,"(3, 3)",American Studies,,
AAST 3328,"Race, Representation, And The Movies","(3, 3)",American Studies,,
AAST 3329,Contemporary African Cultures,"(3, 3)",American Studies,,
AAST 3330,Cultural Diversity And Identity,"(3, 3)",American Studies,,
AAST 3332,Comparative Kinship And Family Systems,"(3, 3)",American Studies,,
AAST 3336,Social Inequality,"(3, 3)",American Studies,,
AAST 3337,Racial & Ethnic Groups In Us,"(3, 3)",American Studies,,
AAST 3338,Contemporary Black Experience,"(3, 3)",American Studies,,
AAST 3339,"Race, Sport And Media","(3, 3)",American Studies,,
AAST 3341,"The Old South, 1607-1863","(3, 3)",American Studies,,
AAST 3342,Religion In Modern America,"(3, 3)",American Studies,,
AAST 3343,"The New South, 1863-Present","(3, 3)",American Studies,,
AAST 3344,Sociology Of The 1960S,"(3, 3)",American Studies,,
AAST 3345,African-American Literature,"(3, 3)",American Studies,,
AAST 3347,Topics In Multicultural American Literatures,"(3, 3)",American Studies,,
AAST 3350,Black Political And Social Thought,"(3, 3)",American Studies,,
AAST 3353,Social Climate Of Cities,"(3, 3)",American Studies,,
AAST 3373,Archaeology Of Egypt,"(3, 3)",American Studies,,
AAST 3378,History Of The Caribbean,"(3, 3)",American Studies,,
AAST 3380,"Race, Crime, And Justice","(3, 3)",American Studies,,
AAST 3385,African History I,"(3, 3)",American Studies,,
AAST 3386,African History Ii,"(3, 3)",American Studies,,
AAST 4317,Ethnic Group Politics In The United States,"(3, 3)",American Studies,,
AAST 4318,Politics Of African Americans,"(3, 3)",American Studies,,
AAST 4325,History Of Hip Hop,"(3, 3)",American Studies,,
AAST 4326,Diversity In Organizations,"(3, 3)",American Studies,,
AAST 4331,"Race, Ethnicity & Family Formation","(3, 3)",American Studies,,
AAST 4333,Comparative Civil Rights History,"(3, 3)",American Studies,,
AAST 4339,Topics In African-American Literature,"(3, 3)",American Studies,,
AAST 4341,Inequalities In Public Education,"(3, 3)",American Studies,,
AAST 4342,Topics In Cultural Anthropology,"(3, 3)",American Studies,,
AAST 4350,Special Topics In African American Studies,"(3, 3)",American Studies,,
AAST 4376,African Diaspora I,"(3, 3)",American Studies,,
AAST 4377,African Diaspora Ii,"(3, 3)",American Studies,,
AAST 4378,West Africa And The Atlantic Diaspora,"(3, 3)",American Studies,,
AAST 4391,Conference Course,"(3, 3)",American Studies,,
AAST 4399,Capstone African American Studies,"(3, 3)",American Studies,,
AAST 6391,Conference Course,"(3, 3)",American Studies,,
ANTH 1200,Personal And Professional Success In The Social Sciences,"(2, 2)",Anthropology,,
ANTH 1306,Introduction To Anthropology,"(3, 3)",Anthropology,,
ANTH 1310,Great Discoveries In Archaeology,"(3, 3)",Anthropology,,
ANTH 2307,Biological Anthropology,"(3, 3)",Anthropology,,
ANTH 2322,Global Cultures,"(3, 3)",Anthropology,,
ANTH 2339,Introduction To Archaeology,"(3, 3)",Anthropology,,
ANTH 2349,Honors Principles Of Archaeology,"(3, 3)",Anthropology,,
ANTH 2357,Anthropology In Action,"(3, 3)",Anthropology,,
ANTH 2358,Archaeological Cultures,"(3, 3)",Anthropology,,
ANTH 2359,Myths And Mysteries In Archaeology,"(3, 3)",Anthropology,,
ANTH 2370,Asian American Experience,"(3, 3)",Anthropology,,
ANTH 3300,Debates In Cultural Anthropology,"(3, 3)",Anthropology,,
ANTH 3301,Archaeological Method And Theory,"(3, 3)",Anthropology,,
ANTH 3307,Evolutionary Medicine,"(3, 3)",Anthropology,,
ANTH 3308,Forensic Anthropology,"(3, 3)",Anthropology,,
ANTH 3310,Latinos In The U,"(3, 3)",Anthropology,,
ANTH 3311,Human Adaptation And The Concept Of Race,"(3, 3)",Anthropology,,
ANTH 3313,Primate Evolution And Behavior,"(3, 3)",Anthropology,,
ANTH 3316,Latino Health Issues,"(3, 3)",Anthropology,,
ANTH 3318,"Borders, Cultures, And Cartels","(3, 3)",Anthropology,,
ANTH 3325,Ethnography Of South America,"(3, 3)",Anthropology,,
ANTH 3328,Civilizations Of South America,"(3, 3)",Anthropology,,
ANTH 3329,Contemporary African Cultures,"(3, 3)",Anthropology,,
ANTH 3330,Cultural Diversity And Identity,"(3, 3)",Anthropology,,
ANTH 3331,Culture And Personality,"(3, 3)",Anthropology,,
ANTH 3332,Food And Culture,"(3, 3)",Anthropology,,
ANTH 3333,North American Indians,"(3, 3)",Anthropology,,
ANTH 3334,Anthropology Of South Asia,"(3, 3)",Anthropology,,
ANTH 3335,Gandhi: Culture And Politics In A Global World,"(3, 3)",Anthropology,,
ANTH 3336,Anthropology Of Religion,"(3, 3)",Anthropology,,
ANTH 3338,Comparative Kinship And Family Systems,"(3, 3)",Anthropology,,
ANTH 3339,Urban Anthropology,"(3, 3)",Anthropology,,
ANTH 3341,Research Methods In Cultural Anthropology,"(3, 3)",Anthropology,,
ANTH 3343,Applied Anthropology,"(3, 3)",Anthropology,,
ANTH 3345,"Visualizing Culture: Media, Identity And Politics In The Global World","(3, 3)",Anthropology,,
ANTH 3346,Anthropology Of Tourism,"(3, 3)",Anthropology,,
ANTH 3348,Anthropology Of Migration,"(3, 3)",Anthropology,,
ANTH 3349,Anthropology Of Globalization,"(3, 3)",Anthropology,,
ANTH 3350,North American Archaeology,"(3, 3)",Anthropology,,
ANTH 3351,Archaeology Of The American Southwest,"(3, 3)",Anthropology,,
ANTH 3352,Archaeology Of Africa,"(3, 3)",Anthropology,,
ANTH 3353,Stone Age Hunters And Farmers,"(3, 3)",Anthropology,,
ANTH 3354,Anthropology Of Hunting,"(3, 3)",Anthropology,,
ANTH 3355,The Rise Of Civilization,"(3, 3)",Anthropology,,
ANTH 3356,Mesoamerican Archaeology,"(3, 3)",Anthropology,,
ANTH 3357,Collapse And Sustainability Of Societies,"(3, 3)",Anthropology,,
ANTH 3358,Underwater Archaeology,"(3, 3)",Anthropology,,
ANTH 3359,Stone Tools,"(3, 3)",Anthropology,,
ANTH 3360,Archaeology In Practice,"(3, 3)",Anthropology,,
ANTH 3366,"Sex, Gender, And Culture","(3, 3)",Anthropology,,
ANTH 3369,Medical Anthropology,"(3, 3)",Anthropology,,
ANTH 3370,Archaeology Of The Prehistoric Aegean,"(3, 3)",Anthropology,,
ANTH 3371,Archaeology Of Greece,"(3, 3)",Anthropology,,
ANTH 3372,Archaeology Of The Ancient Near East,"(3, 3)",Anthropology,,
ANTH 3373,Archaeology Of Egypt,"(3, 3)",Anthropology,,
ANTH 3374,Archeology Of Europe,"(3, 3)",Anthropology,,
ANTH 3375,Neanderthals And The Ice Age World,"(3, 3)",Anthropology,,
ANTH 3390,Special Topics In Anthropology,"(3, 3)",Anthropology,,
ANTH 3409,Paleoanthropology,"(4, 4)",Anthropology,,
ANTH 4191,Conference Course,"(1, 1)",Anthropology,,
ANTH 4291,Conference Course,"(2, 2)",Anthropology,,
ANTH 4315,"Growth, Development, And Evolution","(3, 3)",Anthropology,,
ANTH 4322,Problems In Anthropology,"(3, 3)",Anthropology,,
ANTH 4342,Topics In Cultural Anthropology,"(3, 3)",Anthropology,,
ANTH 4348,Political Anthropology,"(3, 3)",Anthropology,,
ANTH 4358,Topics In Archaeology,"(3, 3)",Anthropology,,
ANTH 4391,Conference Course,"(3, 3)",Anthropology,,
ANTH 4392,Practicum In Anthropology,"(3, 3)",Anthropology,,
ANTH 4393,Internship In Anthropology,"(3, 3)",Anthropology,,
ANTH 4394,Honors Thesis/Senior Project,"(3, 3)",Anthropology,,
ANTH 4398,Summer Field School In Anthropology,"(3, 3)",Anthropology,,
ANTH 4406,Human Osteology,"(4, 4)",Anthropology,,
ANTH 4459,Bioarchaeology,"(4, 4)",Anthropology,,
ANTH 4460,Zooarchaeology,"(4, 4)",Anthropology,,
ANTH 4698,Summer Field School In Anthropology,"(6, 6)",Anthropology,,
ANTH 5191,Conference Course,"(1, 1)",Anthropology,,
ANTH 5307,Forensic Anthropology,"(3, 3)",Anthropology,,
ANTH 5310,History Of Anthropological Theory,"(3, 3)",Anthropology,,
ANTH 5315,Archaeological Methods,"(3, 3)",Anthropology,,
