courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
FILM 6520,16mm Cinematography,"(4, 4)",,Graduate Semester,
FILM 4520,16mm Cinematography,"(4, 4)",,Undergraduate Semester,
MUSC 4560,18th-Century (Baroque) Counterpoint & Analysis,"(3, 3)",,Undergraduate Semester,
THEA 1220,1st-Year Acting for Actor Training Program,"(3, 3)",,Undergraduate Semester,
THEA 1230,1st-Year Acting for Actor Training Program,"(3, 3)",,Undergraduate Semester,
THEA 1240,1st-Year Movement for Actor Training Program,"(2, 2)",,Undergraduate Semester,
PHIL 3040,20th Century Analytic Philosophy,"(3, 3)",,Undergraduate Semester,
PHIL 3060,20th Century Continental Philosophy,"(3, 3)",,Undergraduate Semester,
MUSC 4650,20th- and 21st-Century Music,"(3, 3)",,Undergraduate Semester,
MUSC 6650,20th- and 21st-Century Music Grad,"(3, 3)",,Graduate Semester,
MUSC 6520,20th/21st Century Analysis I,"(3, 3)",,Graduate Semester,
MUSC 6521,20th/21st Century Analysis II,"(3, 3)",,Graduate Semester,
THEA 2220,2nd-Year Acting for Actor Training Program,"(3, 3)",,Undergraduate Semester,
THEA 2230,2nd-Year Acting for Actor Training Program,"(3, 3)",,Undergraduate Semester,
THEA 2240,2nd-Year Movement for Actor Training Program,"(2, 2)",,Undergraduate Semester,
THEA 2250,2nd-Year Movement for Actor Training Program,"(2, 2)",,Undergraduate Semester,
THEA 2010,2nd-Year Singing for Actor Training Program,"(2, 2)",,Undergraduate Semester,
THEA 2060,2nd-Year Voice and Speech for Actor Training Program,"(2, 2)",,Undergraduate Semester,
THEA 2070,2nd-Year Voice and Speech for Actor Training Program,"(2, 2)",,Undergraduate Semester,
FA 4360,3-D Dynamics and Motion,"(4, 4)",,Undergraduate Semester,
ART 4420,3-D Figure Structure II,"(4, 4)",,Undergraduate Semester,
FA 4350,3-D Modeling and Rendering,"(4, 4)",,Undergraduate Semester,
BME 7320,3-D Reconstruction Techniques in Medical Imaging,"(3, 3)",,Graduate Semester,
ECE 7320,3-D Reconstruction Techniques in Medical Imaging,"(3, 3)",,Graduate Semester,
RDLGY 7320,3-D Reconstruction Techniques in Medical Imaging,"(3, 3)",,Graduate Semester,
FILM 3620,3D Character Animation,"(4, 4)",,Undergraduate Semester,
GAMES 6605,3D Character Production,"(3, 3)",,Graduate Semester,
