courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACC 1999R,Special Projects,,ACC,,
ACC 2000,Accounting and Financial Reporting: A User’s Perspective,,ACC,,
ACC 2010,Principles of Accounting 1,,ACC,,
ACC 2020,Principles of Accounting 2,,ACC,,
ACC 2999R,Group Studies,,ACC,,
ACC 3000,Intermediate Accounting 1,,ACC,,
ACC 3010,Intermediate Accounting 2,,ACC,,
ACC 3050,Managerial Cost Accounting,,ACC,,
ACC 3070,Federal Tax Accounting,,ACC,,
ACC 3080,Accounting Information Systems,,ACC,,
ACC 3900R,Experiential Learning: Academic Internship Program,,ACC,,
ACC 3910,Introduction to Preparing Taxes,,ACC,,
ACC 3999R,Group Studies,,ACC,,
ACC 4040,Accounting Data Analytics,,ACC,,
ACC 4050,Auditing,,ACC,,
ACC 4070,Governmental and Nonprofit Accounting,,ACC,,
ACC 4100,Advanced Accounting,,ACC,,
ACC 4110,Taxation of Corporations and Partnerships,,ACC,,
ACC 4120,"Taxation of Estates, Gifts and Trusts",,ACC,,
ACC 4160,Advanced Managerial Accounting and Analytics,,ACC,,
ACC 4521,Forensic Accounting & Fraud Examination,,ACC,,
ACC 4995R,Departmental Thesis,,ACC,,
ACC 4997R,Research,,ACC,,
ACC 4998R,Individual Studies,,ACC,,
ACC 4999R,Group Studies,,ACC,,
AFST 2390R,Topics in Africana Studies,,AFST,,
AFST 2550,Introduction to Africana Studies (CZ or SB),,AFST,,
AFST 3300,African American Leadership in the 20th Century,,AFST,,
AFST 3301,"Theories, Methods and Intellectual Thought in Africana Studies",,AFST,,
AFST 3302,African American Women and the Black Freedom Movement,,AFST,,
AFST 3390R,Topics in Africana Studies,,AFST,,
AFST 4997R,Research,,AFST,,
AFST 4998R,Individual Studies,,AFST,,
ANTH 1100,Biological Anthropology (LL),,ANTH,,
ANTH 1200,Cultural Anthropology (CZ or SB),,ANTH,,
ANTH 1400,Archaeology (SB),,ANTH,,
ANTH 1500,Anthropology Today: The Arc of Humanity (CZ or SB),,ANTH,,
ANTH 1600,Bodies of Evidence: The Science of CSI,,ANTH,,
ANTH 1999R,Special Projects,,ANTH,,
ANTH 2000,Native Americans,,ANTH,,
ANTH 2150,Plagues and Peoples (CZ or SB),,ANTH,,
ANTH 2200,Becoming Human: The Evolutionary History of Our Species,,ANTH,,
ANTH 2250,"Wealth, Money, and Power: Anthropology of Capitalism and Beyond",,ANTH,,
ANTH 2400,World Prehistory,,ANTH,,
ANTH 2500,Professionalism in Anthropology,,ANTH,,
ANTH 2600,"Food, Society, Identity",,ANTH,,
ANTH 2770,"Magic, Divination, and Witchcraft: Anthropology of Religion (HF or SB)",,ANTH,,
ANTH 2800,Underwater Archaeology,,ANTH,,
ANTH 2850,Historical Archaeology of the Americas,,ANTH,,
ANTH 2900,Tennessee Archaeology,,ANTH,,
ANTH 2999R,Group Studies,,ANTH,,
ANTH 3125,Cultures of Latin America,,ANTH,,
ANTH 3160,Chinese Society and Culture,,ANTH,,
ANTH 3210,Anthropological Theory,,ANTH,,
ANTH 3220,Health and Illness: Socio-Cultural Perspectives,,ANTH,,
ANTH 3230,Anthropology of Death and Burial,,ANTH,,
ANTH 3250,Human Osteology,,ANTH,,
ANTH 3330,The Archaeology of Latin America,,ANTH,,
ANTH 3360,Southeastern Native Americans,,ANTH,,
ANTH 3380,Sociocultural Studies of Aging,,ANTH,,
ANTH 3410,"Culture, Environment, Power",,ANTH,,
ANTH 3600,Ape Language and Cognition,,ANTH,,
ANTH 3670,Ethics in Forensic Science,,ANTH,,
ANTH 3700,Emotions in Social and Cultural Contexts,,ANTH,,
ANTH 3999R,Group Studies,,ANTH,,
ANTH 4010,Geography of Travel and Tourism,,ANTH,,
ANTH 4100,Applied Anthropology,,ANTH,,
ANTH 4140,Research Seminar,,ANTH,,
ANTH 4200,Ethnographic Methods,,ANTH,,
ANTH 4300R,Archaeological Field Methods,,ANTH,,
ANTH 4400,Archaeological Laboratory Methods,,ANTH,,
ANTH 4500,"Archives, Collection Management, and Curation",,ANTH,,
ANTH 4600,Forensic Anthropology,,ANTH,,
ANTH 4940R,Anthropology Internship,,ANTH,,
ANTH 4950,Community Engagement Internship,,ANTH,,
ANTH 4995R,Departmental Thesis,,ANTH,,
ANTH 4997R,Research,,ANTH,,
ANTH 4998R,Individual Studies,,ANTH,,
ANTH 4999R,Group Studies,,ANTH,,
LEAP 3010,Practice of Applied Leadership,,LEAP,,
LEAP 3020,Adopting Innovation and Change,,LEAP,,
LEAP 3030,Leadership and Multicultural Organizations (CZ),,LEAP,,
LEAP 3040,Emotional Intelligence and Leadership,,LEAP,,
LEAP 3800,Prior Learning Portfolio Development,,LEAP,,
LEAP 3810R,Prior Learning Portfolio Continuance,,LEAP,,
LEAP 4010,Decision-Making in Practice,,LEAP,,
LEAP 4020,Ethics and Leadership Practice,,LEAP,,
LEAP 4030,Influence and Practice,,LEAP,,
LEAP 4040,Outcomes Measurement for Decision-Making,,LEAP,,
LEAP 4050,Global Perspectives of Leadership (CZ),,LEAP,,
