courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACTS 4301,Long Term Actuarial Mathematics I,"(3, 3)",Actuarial Science,Undergraduate,
ACTS 4302,Investment and Financial Markets,"(3, 3)",Actuarial Science,Undergraduate,
ACTS 4303,Long Term Actuarial Mathematics II,"(3, 3)",Actuarial Science,Undergraduate,
ACTS 4304,Short Term Actuarial Mathematics I,"(3, 3)",Actuarial Science,Undergraduate,
ACTS 4305,Short Term Actuarial Mathematics II,"(3, 3)",Actuarial Science,Undergraduate,
ACTS 4306,Actuarial Probability as Problem Solving,"(3, 3)",Actuarial Science,Undergraduate,
ACTS 4307,Statistics for Risk Modeling,"(3, 3)",Actuarial Science,Undergraduate,
ACTS 4308,Actuarial Financial Mathematics,"(3, 3)",Actuarial Science,Undergraduate,
ACTS 4309,Theory of Options,"(3, 3)",Actuarial Science,Undergraduate,
ACTS 4310,Predictive Analytics,"(3, 3)",Actuarial Science,Undergraduate,
ACTS 4311,Theory of Credibility,"(3, 3)",Actuarial Science,Undergraduate,
AHST 1303,Survey of Western Art History: Ancient to Medieval,"(3, 3)",Art History,Undergraduate,
AHST 1304,Survey of Western Art History: Renaissance to Modern,"(3, 3)",Art History,Undergraduate,
AHST 2331,Understanding Art,"(3, 3)",Art History,Undergraduate,
AHST 2V71,Independent Study in Art History,"(1, 3)",Art History,Undergraduate,
AHST 3313,Medieval Art and Architecture,"(3, 3)",Art History,Undergraduate,
AHST 3315,Renaissance Art and Architecture,"(3, 3)",Art History,Undergraduate,
AHST 3316,Baroque Art and Architecture,"(3, 3)",Art History,Undergraduate,
AHST 3317,Pioneers of Modern Art,"(3, 3)",Art History,Undergraduate,
AHST 3318,Contemporary Art,"(3, 3)",Art History,Undergraduate,
AHST 3319,Twentieth Century European Art: Avant-Garde and Aftermath,"(3, 3)",Art History,Undergraduate,
AHST 3320,Art in Historical Context,"(3, 3)",Art History,Undergraduate,
AHST 3321,Chinese Art History,"(3, 3)",Art History,Undergraduate,
AHST 3322,Modern Architecture,"(3, 3)",Art History,Undergraduate,
AHST 3324,History of Photography,"(3, 3)",Art History,Undergraduate,
AHST 4342,Topics in Art History,"(3, 3)",Art History,Undergraduate,
AHST 4V71,Independent Study in Art History,"(1, 3)",Art History,Undergraduate,
AHTC 1100,First Year Seminar,"(1, 1)","Arts, Humanities, And Technology",Undergraduate,
AHTC 2120,"Careers Exploration in the Arts, Humanities, and Technology","(1, 1)","Arts, Humanities, And Technology",Undergraduate,
AHTC 2188,"Enrichment in the Arts, Humanities, and Technology","(1, 1)","Arts, Humanities, And Technology",Undergraduate,
AHTC 2V71,"Independent Study in the Arts, Humanities, and Technology","(1, 3)","Arts, Humanities, And Technology",Undergraduate,
AHTC 4V50,Internship,"(1, 3)","Arts, Humanities, And Technology",Undergraduate,
AHTC 4V51,Co-op Education,"(1, 3)","Arts, Humanities, And Technology",Undergraduate,
AHTC 4V71,"Independent Study in the Arts, Humanities, and Technology","(1, 3)","Arts, Humanities, And Technology",Undergraduate,
AHTC 4V88,"Special Topics in Arts, Humanities, and Technology","(1, 3)","Arts, Humanities, And Technology",Undergraduate,
AMS 2300,American Popular Culture,"(3, 3)",American Studies,Undergraduate,
AMS 2330,Religion and Politics,"(3, 3)",American Studies,Undergraduate,
AMS 2341,American Studies for the Twenty-First Century,"(3, 3)",American Studies,Undergraduate,
AMS 2375,Sport and Culture,"(3, 3)",American Studies,Undergraduate,
AMS 2390,Topics in American Studies,"(3, 3)",American Studies,Undergraduate,
AMS 3302,American Cultures,"(3, 3)",American Studies,Undergraduate,
AMS 3316,Interpersonal Communication,"(3, 3)",American Studies,Undergraduate,
AMS 3322,American Ethnic Experience: Immigrants After 1945,"(3, 3)",American Studies,Undergraduate,
AMS 3327,"American Studies: Histories, Theories, Methodologies","(3, 3)",American Studies,Undergraduate,
AMS 3350,Crisis Communication,"(3, 3)",American Studies,Undergraduate,
AMS 3374,Entrepreneurs in America,"(3, 3)",American Studies,Undergraduate,
AMS 4300,Oral and Written Communication for the Classroom,"(3, 3)",American Studies,Undergraduate,
AMS 4301,"1960's Radicals, Revolutionaries, and Reactionaries","(3, 3)",American Studies,Undergraduate,
AMS 4304,Communication in America,"(3, 3)",American Studies,Undergraduate,
AMS 4305,World History for Teachers,"(3, 3)",American Studies,Undergraduate,
AMS 4327,The Culture of Bullying in America,"(3, 3)",American Studies,Undergraduate,
