courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
ACCT 5301.,Financial Accounting.,,Academic Catalog Toggle navigation Menu,Graduate,
ACCT 5302.,Advanced Accounting I.,,Academic Catalog Toggle navigation Menu,Graduate,
ACCT 5304.,Accounting Analysis.,,Academic Catalog Toggle navigation Menu,Graduate,
ACCT 5305.,Not-for Profit Accounting.,,Academic Catalog Toggle navigation Menu,Graduate,
ACCT 5310.,Contemporary Accounting Issues.,,Academic Catalog Toggle navigation Menu,Graduate,
ACCT 5311.,Accounting for Management.,,Academic Catalog Toggle navigation Menu,Graduate,
ACCT 5314.,Professional Wrtng-Accountants.,,Academic Catalog Toggle navigation Menu,Graduate,
ACCT 5320.,Taxation-Ptners/Ptnershp/S Cor.,,Academic Catalog Toggle navigation Menu,Graduate,
ACCT 5321.,Advanced Topics in Federal Tax.,,Academic Catalog Toggle navigation Menu,Graduate,
ACCT 5322.,Accounting & Tax Research.,,Academic Catalog Toggle navigation Menu,Graduate,
ACCT 5323.,Advanced Auditing.,,Academic Catalog Toggle navigation Menu,Graduate,
ACCT 5324.,Accounting Analytics.,,Academic Catalog Toggle navigation Menu,Graduate,
ACCT 5327.,Internal Auditing.,,Academic Catalog Toggle navigation Menu,Graduate,
ACCT 5328.,Fed Income Tax Partner & Corp.,,Academic Catalog Toggle navigation Menu,Graduate,
ACCT 5329.,Ethics in Accounting.,,Academic Catalog Toggle navigation Menu,Graduate,
ACCT 5330.,Fraud & Forensic Auditing.,,Academic Catalog Toggle navigation Menu,Graduate,
ACCT 5335.,International Accounting.,,Academic Catalog Toggle navigation Menu,Graduate,
ACCT 5340.,Masters Accountancy Capstone.,,Academic Catalog Toggle navigation Menu,Graduate,
ACCT 5391.,Accounting & Business Analysis.,,Academic Catalog Toggle navigation Menu,Graduate,
ACCT 5392.,Directed Individual Study-Acct.,,Academic Catalog Toggle navigation Menu,Graduate,
ACCT 5394.,Current Issues in Accounting.,,Academic Catalog Toggle navigation Menu,Graduate,
ACCT 5396.,Internship in Accounting.,,Academic Catalog Toggle navigation Menu,Graduate,
ACCT 6301.,Financial Accounting.,,Academic Catalog Toggle navigation Menu,Graduate,
ACCT 6310.,Intl Accounting Environment.,,Academic Catalog Toggle navigation Menu,Graduate,
ACCT 6320.,Accounting Behavioral Research.,,Academic Catalog Toggle navigation Menu,Graduate,
ACCT 6321.,Sem in Intl Financial Acct.,,Academic Catalog Toggle navigation Menu,Graduate,
ACCT 6323.,Topics in Intl Acct Research.,,Academic Catalog Toggle navigation Menu,Graduate,
ACCT 6324.,Seminar in International Tax.,,Academic Catalog Toggle navigation Menu,Graduate,
ACCT 6325.,Seminar in Intl Manag Acct.,,Academic Catalog Toggle navigation Menu,Graduate,
ACCT 6354.,Accounting Topics in Intl Bus.,,Academic Catalog Toggle navigation Menu,Graduate,
ACCT 6389.,Accounting Independet Study.,,Academic Catalog Toggle navigation Menu,Graduate,
ACCT 6398.,Accounting Dissertation I.,,Academic Catalog Toggle navigation Menu,Graduate,
ACCT 6399.,Accounting Dissertation II.,,Academic Catalog Toggle navigation Menu,Graduate,
ART 5393.,Graduate Exhibition.,,Academic Catalog Toggle navigation Menu,Graduate,
ART 5395.,Graduate Seminar.,,Academic Catalog Toggle navigation Menu,Graduate,
ARTE 5301.,Current Trends in Art Educatio.,,Academic Catalog Toggle navigation Menu,Graduate,
ARTE 5303.,Art Curriculum Development.,,Academic Catalog Toggle navigation Menu,Graduate,
ARTE 5321.,Art Criticism in the Schools.,,Academic Catalog Toggle navigation Menu,Graduate,
ARTE 5397.,Directed Research in Art Educa.,,Academic Catalog Toggle navigation Menu,Graduate,
ARTH 5390.,Directed Study.,,Academic Catalog Toggle navigation Menu,Graduate,
ARTH 5399.,Special Topics in Art History.,,Academic Catalog Toggle navigation Menu,Graduate,
BED 5300.,Bilingual Education Capstone.,,Academic Catalog Toggle navigation Menu,Graduate,
BED 5305.,Research in Bilingual Ed.,,Academic Catalog Toggle navigation Menu,Graduate,
BED 5310.,Cross Linguistic Pedagogies.,,Academic Catalog Toggle navigation Menu,Graduate,
BED 5315.,Translanguaging res/ pedagog.,,Academic Catalog Toggle navigation Menu,Graduate,
BED 5320.,Language Policy in Educ.,,Academic Catalog Toggle navigation Menu,Graduate,
BED 5325.,Assessing Bilingual Learners.,,Academic Catalog Toggle navigation Menu,Graduate,
BED 5330.,Curr Topics In Bilingual/ESL.,,Academic Catalog Toggle navigation Menu,Graduate,
BED 5331.,Found of Bil and Teach Emr Bil.,,Academic Catalog Toggle navigation Menu,Graduate,
BED 5332.,Literacy Dev. in Spanish.,,Academic Catalog Toggle navigation Menu,Graduate,
BED 5334.,Teach Content & Lit in Spanish.,,Academic Catalog Toggle navigation Menu,Graduate,
BED 5335.,Dual Language Education.,,Academic Catalog Toggle navigation Menu,Graduate,
BED 5336.,Biliteracy.,,Academic Catalog Toggle navigation Menu,Graduate,
BED 5337.,Mentoring/Literacy Educators.,,Academic Catalog Toggle navigation Menu,Graduate,
BED 5338.,"Place, Practice, & Identity.",,Academic Catalog Toggle navigation Menu,Graduate,
BED 5339.,Acad Language in DL Settings.,,Academic Catalog Toggle navigation Menu,Graduate,
BED 5340.,Capstone Course for DL Edu..,,Academic Catalog Toggle navigation Menu,Graduate,
BED 5343.,Content Area Intstr for EBs.,,Academic Catalog Toggle navigation Menu,Graduate,
BED 6300.,Borderlands Lang Acq & Comp Id.,,Academic Catalog Toggle navigation Menu,Graduate,
BED 6310.,"Place, Practice and Identity.",,Academic Catalog Toggle navigation Menu,Graduate,
BED 6314.,The Ethnography of Lan and Lit.,,Academic Catalog Toggle navigation Menu,Graduate,
BED 6315.,Discursive Practices in Educ.,,Academic Catalog Toggle navigation Menu,Graduate,
BED 6318.,Language Policy in Ed.,,Academic Catalog Toggle navigation Menu,Graduate,
BED 6331.,Crit Persp of Dual Lang Bil Ed.,,Academic Catalog Toggle navigation Menu,Graduate,
BINF 5110.,Biology Seminar/Bioinformatics.,,Academic Catalog Toggle navigation Menu,Graduate,
BINF 5111.,Chem. Sem. for Bioinformatics.,,Academic Catalog Toggle navigation Menu,Graduate,
BINF 5112.,CS Seminar for Bioinformatics.,,Academic Catalog Toggle navigation Menu,Graduate,
BINF 5113.,Math Sem. for Bioinformatics.,,Academic Catalog Toggle navigation Menu,Graduate,
BINF 5341.,Anal./Model of Bio Structures.,,Academic Catalog Toggle navigation Menu,Graduate,
BINF 5351.,Intro. Bioinformatics I.,,Academic Catalog Toggle navigation Menu,Graduate,
BINF 5352.,Intro. Bioinformatics II.,,Academic Catalog Toggle navigation Menu,Graduate,
BINF 5353.,Internship in Bioinformatics.,,Academic Catalog Toggle navigation Menu,Graduate,
BINF 5354.,Post-Genomic Analysis.,,Academic Catalog Toggle navigation Menu,Graduate,
BINF 5398.,Thesis.,,Academic Catalog Toggle navigation Menu,Graduate,
BINF 5399.,Thesis.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 5102.,Independent Research.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 5119.,Soil Ecology Laboratory.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 5129.,Seminar in Ecology Evolution.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 5130.,Seminar.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 5131.,"Ethical, Soc/Pol Dimensions.",,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 5202.,Independent Research.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 5208.,Prof Skills Devel Eco Evo.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 5209.,Rsrch Proposals in Eco Evo.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 5301.,Select Adv Topics Biol Science.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 5302.,Resrch Biological Science.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 5303.,Advanced Population Genetics.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 5305.,Herpetology.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 5308.,Rsrch Funding & Prof Developmt.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 5311.,Neurobiology of Brain Diseases.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 5313.,Biogeography.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 5316.,Biosystematics.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 5318.,Soil Ecology.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 5319.,G Protein-Coupled Recept Biol.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 5320.,Endocrinology.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 5322.,Advances/Evolutionary Theory.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 5326.,Advances Immunological Concept.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 5327.,Advances in Ecological Theory.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 5328.,Biostatistics.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 5329.,Physiology of Bacterial Cell.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 5330.,Cancer Biology.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 5331.,Advances in Eco/Evo Theory.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 5333.,Scientific Visualization.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 5340.,Structure/Funct Macromolecules.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 5344.,Molecular Pathogenesis.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 5351.,Intro Bio I:Basic Seq. Comp..,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 5352.,Intro Bio II: Gene Find/Compar.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 5360.,Aquatic Ecology.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 5363.,Spatial Ecology.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 5398.,Thesis.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 5399.,Thesis.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 5402.,Independent Research.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 5502.,Resrch in Biological Sciences.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 6119.,Soil Ecology Laboratory.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 6129.,Seminar in Ecology Evolution.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 6130.,Seminar.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 6131.,"Ethical, Soc/Pol Dimensions.",,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 6190.,Independent Research.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 6208.,Prof Skills Devel Eco Evo.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 6209.,Rsrch Proposals in Eco Evo.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 6290.,Independent Research.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 6301.,Basic Principles of Toxicology.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 6302.,Developmental Neurobiology.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 6303.,Gene Regulation.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 6304.,Physiological Regulatory Mech.,,Academic Catalog Toggle navigation Menu,Graduate,
BIOL 6305.,Cell Physiology.,,Academic Catalog Toggle navigation Menu,Graduate,
