courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
A I 388,Natural Language Processing.,"(None, None)",,Graduate Courses,
A I 388J,Optimization.,"(None, None)",,Graduate Courses,
A I 388K,Online Learning and Optimization.,"(None, None)",,Graduate Courses,
A I 388U,"Planning, Search, and Reasoning Under Uncertainty.","(None, None)",,Graduate Courses,
A I 389L,Automated Logical Reasoning.,"(None, None)",,Graduate Courses,
A I 391L,Machine Learning.,"(None, None)",,Graduate Courses,
A I 394D,Deep Learning.,"(None, None)",,Graduate Courses,
A I 394R,Reinforcement Learning: Theory and Practice.,"(None, None)",,Graduate Courses,
A I 395T,Topics in Artificial Intelligence.,"(None, None)",,Graduate Courses,
AAR 380,Topics in Applied Archaeology.,"(None, None)",,Graduate Courses,
AAS 301,Introduction to Asian American Studies.,"(None, None)",,Lower-Division Courses,
AAS 302,Immigration and Ethnicity.,"(None, None)",,Lower-Division Courses,
AAS 310,Introductory Topics in Asian American Studies.,"(None, None)",,Lower-Division Courses,
AAS 312,Introduction to Asian American History.,"(None, None)",,Lower-Division Courses,
AAS 314,Asian American Literature and Culture.,"(None, None)",,Lower-Division Courses,
AAS 316D,"Race, Deportation, and Diaspora.","(None, None)",,Lower-Division Courses,
AAS 318Q,Supervised Research.,"(None, None)",,Lower-Division Courses,
AAS 320C,Contemporary Asian American Novels.,"(None, None)",,Upper-Division Courses,
AAS 320D,Asian American Media Cultures.,"(None, None)",,Upper-Division Courses,
AAS 320F,Documenting Difference.,"(None, None)",,Upper-Division Courses,
AAS 320G,"Race, Internet, and Social Media.","(None, None)",,Upper-Division Courses,
AAS 320J,"Japanese Popular Culture: Anime, Manga, and the Otaku.","(None, None)",,Upper-Division Courses,
AAS 320K,Theorizing the Human.,"(None, None)",,Upper-Division Courses,
AAS 325C,The Chinese in Diaspora.,"(None, None)",,Upper-Division Courses,
AAS 325D,The Chinese in the United States.,"(None, None)",,Upper-Division Courses,
AAS 325E,"Taiwan: Colonization, Migration, and Identity.","(None, None)",,Upper-Division Courses,
AAS 325F,The Two Koreas and the United States.,"(None, None)",,Upper-Division Courses,
AAS 325G,History of the Southeast Asian Diaspora in the United States.,"(None, None)",,Upper-Division Courses,
AAS 325J,South Asian Migration to the United States.,"(None, None)",,Upper-Division Courses,
AAS 325K,Refugees in Twentieth-Century United States.,"(None, None)",,Upper-Division Courses,
AAS 325L,Global Economies: Asia and the United States.,"(None, None)",,Upper-Division Courses,
AAS 325M,Political Economy of Development in Postwar Korea.,"(None, None)",,Upper-Division Courses,
AAS 325N,Asian American Jurisprudence.,"(None, None)",,Upper-Division Courses,
AAS 325O,Greater China and United States Economic Relations.,"(None, None)",,Upper-Division Courses,
AAS 330C,Racism and Antiracism.,"(None, None)",,Upper-Division Courses,
AAS 330D,Blacks and Asians: Race and Social Movements.,"(None, None)",,Upper-Division Courses,
AAS 330E,The Sociology of Race and Work.,"(None, None)",,Upper-Division Courses,
AAS 330F,Transnational Korea.,"(None, None)",,Upper-Division Courses,
AAS 330G,Urban Unrest.,"(None, None)",,Upper-Division Courses,
AAS 330I,Asian Diaspora on Indigenous Lands.,"(None, None)",,Upper-Division Courses,
AAS 330J,Asian Mobilities.,"(None, None)",,Upper-Division Courses,
AAS 330K,Asian Americans in the South.,"(None, None)",,Upper-Division Courses,
AAS 330L,Anthropology of the Himalayas.,"(None, None)",,Upper-Division Courses,
AAS 330M,Reproductive Justice and Race.,"(None, None)",,Upper-Division Courses,
AAS 330N,Migration Crisis.,"(None, None)",,Upper-Division Courses,
AAS 335,Topics in Asian American Studies.,"(None, None)",,Upper-Division Courses,
AAS 358Q,Supervised Research.,"(None, None)",,Upper-Division Courses,
AAS 377,Capstone Seminar.,"(None, None)",,Upper-Division Courses,
AAS 378,Community Internship.,"(None, None)",,Upper-Division Courses,
AAS 379,Conference Course in Asian American Studies.,"(None, None)",,Upper-Division Courses,
AAS 679H,Honors Tutorial Course.,"(None, None)",,Upper-Division Courses,
AAS 381,Topics in Asian American Studies.,"(None, None)",,Graduate Courses,
AAS 391C,Conference Course.,"(None, None)",,Graduate Courses,
ACC 310F,Foundations of Accounting.,"(None, None)",,Lower-Division Courses,
ACC 311 (TCCN  ACCT 2301),Fundamentals of Financial Accounting.,"(None, None)",,Lower-Division Courses,
ACC 311H,Fundamentals of Financial Accounting: Honors.,"(None, None)",,Lower-Division Courses,
ACC 312 (TCCN  ACCT 2302),Fundamentals of Managerial Accounting.,"(None, None)",,Lower-Division Courses,
ACC 312H,Fundamentals of Managerial Accounting: Honors.,"(None, None)",,Lower-Division Courses,
ACC 326,Financial Accounting--Intermediate.,"(None, None)",,Upper-Division Courses,
ACC 327,Financial Statement Analysis.,"(None, None)",,Upper-Division Courses,
ACC 329,Managerial Accounting and Control.,"(None, None)",,Upper-Division Courses,
ACC 334M,Healthcare Accounting.,"(None, None)",,Upper-Division Courses,
"ACC 140S, 240S, 340S, 440S, 540S, 640S, 740S, 840S, 940S",Topics in Accounting.,"(None, None)",,Upper-Division Courses,
ACC 151,Accounting Careers Exploration.,"(None, None)",,Upper-Division Courses,
ACC 152,Master in Professional Accounting Distinguished Speaker Lyceum.,"(None, None)",,Upper-Division Courses,
ACC 355,Introduction to Taxation.,"(None, None)",,Upper-Division Courses,
ACC 356,Financial Accounting Concepts and Research.,"(None, None)",,Upper-Division Courses,
ACC 358C,Auditing and Other Assurance Services.,"(None, None)",,Upper-Division Courses,
ACC 359,Managerial/Cost Accounting.,"(None, None)",,Upper-Division Courses,
ACC 362,Auditing and Control.,"(None, None)",,Upper-Division Courses,
ACC 364,Fundamentals of Taxation.,"(None, None)",,Upper-Division Courses,
ACC 366C,International Accounting and Transfer Pricing.,"(None, None)",,Upper-Division Courses,
ACC 366P,Accounting Practicum.,"(None, None)",,Upper-Division Courses,
ACC 372T,Topics in Accounting.,"(None, None)",,Upper-Division Courses,
"ACC 179C, 379C",Independent Research in Accounting.,"(None, None)",,Upper-Division Courses,
ACC 180C,MPA Distinguished Speaker Lyceum.,"(None, None)",,Graduate Courses,
ACC 380D,Advanced Topics in Financial Reporting.,"(None, None)",,Graduate Courses,
ACC 280J,Financial Statement Analysis for Executives.,"(None, None)",,Graduate Courses,
"ACC 180K, 280K, 380K",Contemporary Accounting Topics.,"(None, None)",,Graduate Courses,
ACC 381,Financial Accounting.,"(None, None)",,Graduate Courses,
ACC 381M,Financial Accounting Issues in Business Decisions.,"(None, None)",,Graduate Courses,
ACC 381N,Managerial Accounting and Financial Statement Analysis.,"(None, None)",,Graduate Courses,
ACC 281P,Performance Management and Control for Executives.,"(None, None)",,Graduate Courses,
ACC 382K,Studies in Accounting Information Systems.,"(None, None)",,Graduate Courses,
ACC 383K,Studies in Auditing.,"(None, None)",,Graduate Courses,
"ACC 184, 284, 384, 484",Research and Planning in Federal Taxes.,"(None, None)",,Graduate Courses,
ACC 386K,Studies in Accounting Theory.,"(None, None)",,Graduate Courses,
"ACC 287, 387",Studies in Profit Planning and Control.,"(None, None)",,Graduate Courses,
"ACC 191C, 291C, 391C, 691C",Special Studies in Accounting.,"(None, None)",,Graduate Courses,
"ACC 192N, 292N, 392N, 492N, 592N, 692N",Master in Professional Accounting Internship.,"(None, None)",,Graduate Courses,
ACC 698,Thesis.,"(None, None)",,Graduate Courses,
ACC 398R,Master's Report.,"(None, None)",,Graduate Courses,
"ACC 399W, 699W, 999W",Dissertation.,"(None, None)",,Graduate Courses,
"ACF 110C, 210C, 310C, 410C",Conference Course.,"(None, None)",,Lower-Division Courses,
ACF 110T,Conference Course: Texas Department of Insurance Internship.,"(None, None)",,Lower-Division Courses,
ACF 112M,Actuarial Laboratory on Probability and Statistics.,"(None, None)",,Lower-Division Courses,
ACF 329,Theory of Interest.,"(None, None)",,Upper-Division Courses,
ACF 129D,Introductory Actuarial Financial Mathematics.,"(None, None)",,Upper-Division Courses,
ADV 303,Advertising and Popular Culture.,"(None, None)",,Lower-Division Courses,
ADV 305,Fundamentals of Advertising.,"(None, None)",,Lower-Division Courses,
ADV 305S,Introduction to Integrated Communication for Sports.,"(None, None)",,Lower-Division Courses,
ADV 309R,Introduction to Advertising and Public Relations Research.,"(None, None)",,Lower-Division Courses,
