courseId,courseName,courseCredits,courseSubject,courseLevel,courseCampus
AC 101,Introduction to Applied Computing I,"(3, 3)",Applied Computing,,
AC 102,Introduction to Applied Computing II,"(3, 3)",Applied Computing,,
AC 202,Introduction to Web Development,"(3, 3)",Applied Computing,,
AC 211,Introduction to Cloud Computing and Databases,"(3, 3)",Applied Computing,,
AC 302,Advanced Web Development,"(3, 3)",Applied Computing,,
AC 311,Cloud Computing Applications,"(3, 3)",Applied Computing,,
ACCT 200,Foundations of Accounting,"(3, 3)",Accounting,,
ACCT 203,Introduction to Financial Accounting,"(3, 3)",Accounting,,
ACCT 207,Honors: Foundations of Accounting,"(3, 3)",Accounting,,
ACCT 208,Honors: Introduction to Financial Accounting,"(3, 3)",Accounting,,
ACCT 311,Intermediate Financial Accounting I,"(3, 3)",Accounting,,
ACCT 411,Introduction to Auditing,"(3, 3)",Accounting,,
ACCT 412,Principles of Internal Auditing and Forensic Accounting,"(3, 3)",Accounting,,
ACCT 414,Intermediate Financial Accounting II,"(3, 3)",Accounting,,
ACCT 421,Managerial Accounting,"(3, 3)",Accounting,,
ACCT 431,Federal Income Taxation,"(3, 3)",Accounting,,
ACCT 481,Accounting Analytics,"(3, 3)",Accounting,,
ACCT 492,Accounting Internship,"(1, 6)",Accounting,,
ACCT 499,Special Topics in Accounting,"(3, 12)",Accounting,,
ADPR 216,Special Topics in Advertising and Public Relations,"(1, 3)",Advertising And Public Relations,,
ADPR 265*,Communicating in a Diverse and Global Society,"(3, 3)",Advertising And Public Relations,,
ADPR 310,Advertising Design,"(3, 3)",Advertising And Public Relations,,
ADPR 316,Special Topics in Advertising and Public Relations,"(1, 3)",Advertising And Public Relations,,
ADPR 340R*,Advertising Research Methods,"(3, 3)",Advertising And Public Relations,,
ADPR 365,Social Media Strategy,"(3, 3)",Advertising And Public Relations,,
ADPR 375,Integrating Communication Channels,"(3, 3)",Advertising And Public Relations,,
ADPR 415,Social Media Analytics,"(3, 3)",Advertising And Public Relations,,
ADPR 416,Special Topics in Advertising and Public Relations,"(1, 3)",Advertising And Public Relations,,
ADPR 492,Advertising and Public Relations Internships,"(1, 3)",Advertising And Public Relations,,
ADVT 250*,Advertising Principles,"(3, 3)",Advertising,,
ADVT 350,Creative Strategy,"(3, 3)",Advertising,,
ADVT 360,Advertising Media Strategy,"(3, 3)",Advertising,,
ADVT 380,Advertising Professional Seminar,"(1, 1)",Advertising,,
ADVT 450*,Advertising Management,"(3, 3)",Advertising,,
ADVT 460,Advertising Strategy,"(3, 3)",Advertising,,
ADVT 461,Social Media,"(3, 3)",Advertising,,
ADVT 470*,Advertising Campaigns,"(3, 3)",Advertising,,
ADVT 480,Advertising Issues,"(3, 3)",Advertising,,
ADVT 490,Special Topics,"(3, 3)",Advertising,,
ADVT 493,Independent Study,"(1, 3)",Advertising,,
AE 201,Aerospace Seminar,"(1, 1)",Aerospace Engineering,,
AE 210,Professional Topics,"(2, 2)",Aerospace Engineering,,
AE 341,Fluid Mechanics I,"(3, 3)",Aerospace Engineering,,
AE 345*,Aerospace Engineering Instrumentation and Measurement,"(3, 3)",Aerospace Engineering,,
AE 347,Honors: Fluid Mechanics,"(3, 3)",Aerospace Engineering,,
AE 351,Compressible Flow,"(3, 3)",Aerospace Engineering,,
AE 363,Structural Analysis of Aerospace Vehicles,"(3, 3)",Aerospace Engineering,,
AE 370,Airplane Performance,"(4, 4)",Aerospace Engineering,,
AE 377,Honors: Airplane Performance,"(4, 4)",Aerospace Engineering,,
AE 422,Aerodynamics,"(3, 3)",Aerospace Engineering,,
AE 424,Astronautics,"(3, 3)",Aerospace Engineering,,
AE 425,Propulsion,"(3, 3)",Aerospace Engineering,,
AE 449*,Aerospace Engineering Laboratory,"(3, 3)",Aerospace Engineering,,
AE 450*,Introduction to Aerospace Design,"(3, 3)",Aerospace Engineering,,
AE 460*,Aerospace System Design,"(3, 3)",Aerospace Engineering,,
AE 494,Selected Topics in Aerospace Engineering,"(1, 4)",Aerospace Engineering,,
AE 495,Selected Topics in Aerospace Engineering,"(1, 4)",Aerospace Engineering,,
AE 496,Emerging Topics in Aerospace Engineering,"(3, 3)",Aerospace Engineering,,
AET 101,Introduction to Manufacturing Laboratory,"(3, 3)",Applied Engineering And Technology,,
AET 200*,Advanced Math for Applied Engineers,"(3, 3)",Applied Engineering And Technology,,
AET 210,Computer Aided Design,"(3, 3)",Applied Engineering And Technology,,
AET 220,Professional Topics for Applied Engineers,"(3, 3)",Applied Engineering And Technology,,
AET 233,Mechanics of Materials,"(3, 3)",Applied Engineering And Technology,,
AET 250,Deductive Logic and Debugging,"(3, 3)",Applied Engineering And Technology,,
AET 260,Manufacturing Equipment Laboratory,"(3, 3)",Applied Engineering And Technology,,
AET 301,Physics of Energy Storage Laboratory,"(3, 3)",Applied Engineering And Technology,,
AET 302,Thermodynamics Laboratory,"(3, 3)",Applied Engineering And Technology,,
AET 303,Heat Transfer Laboratory,"(3, 3)",Applied Engineering And Technology,,
AET 310,Metrology,"(3, 3)",Applied Engineering And Technology,,
AET 320,Applied Fluid and Gas Dynamics,"(3, 3)",Applied Engineering And Technology,,
AET 321,Process Monitoring and Optimization,"(3, 3)",Applied Engineering And Technology,,
AET 322,Mobile/Web Development I,"(3, 3)",Applied Engineering And Technology,,
AET 323,Introduction to Electrical Systems,"(3, 3)",Applied Engineering And Technology,,
AET 333,Internal Co-Op/Intern Experience in Engineering,"(3, 3)",Applied Engineering And Technology,,
AET 340,Instrumentation and Measurement,"(3, 3)",Applied Engineering And Technology,,
AET 360,Electrochemistry Laboratory,"(3, 3)",Applied Engineering And Technology,,
AET 361,Junior Practicum: Propulsion System and Testing,"(3, 3)",Applied Engineering And Technology,,
AET 362,Manufacturing Automation Laboratory,"(3, 3)",Applied Engineering And Technology,,
AET 401,Senior Capstone I,"(3, 3)",Applied Engineering And Technology,,
AET 402,Senior Capstone II,"(3, 3)",Applied Engineering And Technology,,
AET 420,Electric Vehicles Laboratory,"(3, 3)",Applied Engineering And Technology,,
AET 421,Aerospace Engineering Laboratory,"(3, 3)",Applied Engineering And Technology,,
AET 422,Mobile/Web Development II,"(3, 3)",Applied Engineering And Technology,,
AET 423,Design of Manufacturing Processes,"(3, 3)",Applied Engineering And Technology,,
AET 430,Turbines and Photovoltaics Laboratory,"(3, 3)",Applied Engineering And Technology,,
AET 431,Flow Diagnostics and Characterization,"(3, 3)",Applied Engineering And Technology,,
AET 432,Control in Manufacturing,"(3, 3)",Applied Engineering And Technology,,
AET 441,Wind Tunnels Laboratory,"(3, 3)",Applied Engineering And Technology,,
AET 442,Mechanical Vibrations,"(3, 3)",Applied Engineering And Technology,,
AET 450,Development Operations,"(3, 3)",Applied Engineering And Technology,,
AET 460,OS and Cloud Architecture,"(3, 3)",Applied Engineering And Technology,,
AFAS 101,Heritage and Values I,"(1, 1)",Air Force Aerospace Studies,,
AFAS 102,Heritage and Values II,"(1, 1)",Air Force Aerospace Studies,,
AFAS 103,Leadership Lab I,"(1, 1)",Air Force Aerospace Studies,,
AFAS 104,Leadership Lab II,"(1, 1)",Air Force Aerospace Studies,,
AFAS 201,Team and Leadership Fundamentals I,"(1, 1)",Air Force Aerospace Studies,,
AFAS 202,Team and Leadership Fundamentals II,"(1, 1)",Air Force Aerospace Studies,,
AFAS 203,Leadership Laboratory III,"(1, 1)",Air Force Aerospace Studies,,
AFAS 204,Leadership Laboratory IV,"(1, 1)",Air Force Aerospace Studies,,
AFAS 301,Leading People and Effective Communication I,"(3, 3)",Air Force Aerospace Studies,,
AFAS 302,Leading People and Effective Communication II,"(3, 3)",Air Force Aerospace Studies,,
AFAS 303,Leadership Laboratory V,"(0, 0)",Air Force Aerospace Studies,,
AFAS 304,Leadership Laboratory VI,"(0, 0)",Air Force Aerospace Studies,,
